,COMPANY,TICKER,GROUP,P/E,LAST CLOSE,VOLUME,MARKET SECTOR,MACD
0,11 bit studios SA,11B,sWIG80,37.4,505.0,6902.0,Gry video,No Signal
1,4Fun Media SA,4FM,other,13.2,4.51,55.0,Media,No Signal
2,AB SA,ABE,sWIG80,8.5,33.1,4541.0,Handel hurtowy,No Signal
3,AC SA,ACG,sWIG80,12.1,42.0,90.0,Motoryzacja,No Signal
4,Action SA w restrukturyzacji,ACT,other,10.5,5.28,15204.0,Handel hurtowy,No Signal
5,Adiuvo Investments SA,ADV,other,2.95,6.44,30889.0,Ochrona zdrowia,No Signal
6,Agora SA,AGO,sWIG80,105.4,7.18,1908.0,Media,No Signal
7,Ailleron SA,ALL,other,121.3,6.6,107001.0,Informatyka,No Signal
8,Alior Bank SA,ALR,WIG20,8.7,14.0,637831.0,Banki,No Signal
9,All In! Games SA,ALG,other,28.1,24.6,9744.0,Finanse pozostałe,No Signal
10,Altus Towarzystwo Funduszy Inwestycyjnych SA,ALI,sWIG80,30.9,1.145,44457.0,Rynek kapitałowy,No Signal
11,Alumetal SA,AML,sWIG80,12.0,36.7,353.0,Hutnictwo,No Signal
12,AMICA Wronki SA,AMC,mWIG40,10.4,150.6,22443.0,Wyposażenie domu,No Signal
13,AmRest Holdings SE,EAT,other,50.6,20.05,170761.0,Rekreacja i wypoczynek,No Signal
14,Apator SA,APT,mWIG40,12.3,20.7,2849.0,Elektromaszynowy,No Signal
15,APS Energia SA,APE,other,9.5,2.28,7650.0,Elektromaszynowy,No Signal
16,Archicom SA,ARH,other,3.9,18.65,160.0,Nieruchomości,No Signal
17,Artifex Mundi SA,ART,other,26.3,9.4,6259.0,Gry video,No Signal
18,ASBISc Enterprises PLC,ASB,sWIG80,4.4,5.09,60991.0,Handel hurtowy,No Signal
19,Astarta Holding NV,AST,sWIG80,54.4,16.4,4326.0,Produkcja żywności,No Signal
20,Atal SA,1AT,sWIG80,14.5,33.9,1607.0,Nieruchomości,No Signal
21,Atende SA,ATD,other,13.1,3.28,1806.0,Informatyka,No Signal
22,Atlas Estates Limited,ATL,other,0.4,1.25,1.0,Nieruchomości,Signal Confirmed
23,ATM Grupa SA,ATG,other,14.2,4.59,1826.0,Media,No Signal
24,Auto Partner SA,APR,sWIG80,16.5,7.06,2254.0,Motoryzacja,No Signal
25,Banco Santander SA,SAN,other,6.7,8.029,32641.0,Banki,No Signal
26,Bank Handlowy w Warszawie SA,BHW,mWIG40,10.4,35.5,12377.0,Banki,No Signal
27,Bank Millennium SA,MIL,mWIG40,11.9,2.92,926521.0,Banki,No Signal
28,Bank Ochrony Środowiska SA,BOS,sWIG80,8.4,6.14,3765.0,Banki,No Signal
29,Bank Polska Kasa Opieki SA,PEO,WIG20,7.4,53.1,560815.0,Banki,No Signal
30,Benefit Systems SA,BFT,mWIG40,237.0,863.0,644.0,Rekreacja i wypoczynek,Signal Confirmed
31,Betacom SA,BCM,other,18.2,10.3,1645.0,Informatyka,No Signal
32,Biomed-Lublin Wytwórnia Surowic i Szczepionek SA,BML,other,350.3,19.25,4354904.0,Ochrona zdrowia,No Signal
33,Bioton SA,BIO,sWIG80,4.7,4.85,81544.0,Ochrona zdrowia,No Signal
34,BNP Paribas Bank Polska SA,BNP,other,12.2,47.0,5854.0,Banki,No Signal
35,BoomBit SA,BBT,other,15.3,19.1,4931.0,Gry video,No Signal
36,Boryszew SA,BRS,mWIG40,25.5,3.495,44080.0,Hutnictwo,No Signal
37,British Automotive Holding SA,BAH,other,6.8,0.7,64666.0,Motoryzacja,No Signal
38,Budimex SA,BDX,mWIG40,27.3,234.5,6632.0,Budownictwo,No Signal
39,Bumech SA,BMC,sWIG80,13.5,2.16,4525.0,Elektromaszynowy,No Signal
40,Capital Partners SA,CPA,other,8.4,1.15,7149.0,Finanse pozostałe,No Signal
41,CCC SA,CCC,WIG20,103.23,57.22,127482.0,Odzież i kosmetyki,No Signal
