Emitent;Nazwa giełdowa;Ticker;ISIN;Branża;
11 bit studios SA;11BIT;11B;PL11BTS00015;Video games;
4Fun Media SA;4FUNMEDIA;4FM;PL4FNMD00013;Media;
AB SA;ABPL;ABE;PLAB00000019;Wholesale trade;
AC SA;ACAUTOGAZ;ACG;PLACSA000014;Automotive;
Action SA w restrukturyzacji;ACTION;ACT;PLACTIN00018;Wholesale trade;
Adiuvo Investments SA;ADIUVO;ADV;PLADVIV00015;Healthcare;
Agora SA;AGORA;AGO;PLAGORA00067;Media;
Agroton Public Limited;AGROTON;AGT;CY0101062111;Food production;
Ailleron SA;AILLERON;ALL;PLWNDMB00010;IT;
Airway Medix SA;AIRWAY;AWM;PLAIRWY00017;Healthcare;
Alior Bank SA;ALIOR;ALR;PLALIOR00045;Banks;
All In! Games SA;AIGAMES;ALG;PLSNTFG00017;Other finance;
Alta SA;ALTA;AAT;PLTRNSU00013;Real estate;
Altus Towarzystwo Funduszy Inwestycyjnych SA;ALTUSTFI;ALI;PLATTFI00018;Capital market;
Alumetal SA;ALUMETAL;AML;PLALMTL00023;Metallurgy;
Ambra SA;AMBRA;AMB;PLAMBRA00013;Food production;
AMICA Wronki SA;AMICA;AMC;PLAMICA00010;Home furnishings;
Ampli SA w upadłości układowej;AMPLI;APL;PLAMPLI00019;Enterprise supplies;
AmRest Holdings SE;AMREST;EAT;ES0105375002;Recreation and relaxation;
Apator SA;APATOR;APT;PLAPATR00018;Electromechanical;
Aplisens SA;APLISENS;APN;PLAPLS000016;Electromechanical;
APS Energia SA;APSENERGY;APE;PLAPSEN00011;Electromechanical;
AR Packaging Poznań SA;BSCDRUK;BSC;PLBSCDO00017;Wood and paper;
Archicom SA;ARCHICOM;ARH;PLARHCM00016;Real estate;
Arctic Paper SA;ARCTIC;ATC;PLARTPR00012;Wood and paper;
Arteria SA;ARTERIA;ARR;PLARTER00016;Business services;
Artifex Mundi SA;ARTIFEX;ART;PLARTFX00011;Video games;
ASBISc Enterprises PLC;ASBIS;ASB;CY1000031710;Wholesale trade;
ASM Group SA;ASMGROUP;ASM;PLASMGR00014;Media;
Asseco Business Solutions SA;ASSECOBS;ABS;PLABS0000018;IT;
Asseco Poland SA;ASSECOPOL;ACP;PLSOFTB00016;IT;
Asseco South Eastern Europe SA;ASSECOSEE;ASE;PLASSEE00014;IT;
Astarta Holding NV;ASTARTA;AST;NL0000686509;Food production;
Atal SA;ATAL;1AT;PLATAL000046;Real estate;
Atende SA;ATENDE;ATD;PLATMSI00016;IT;
Atlanta Poland SA;ATLANTAPL;ATP;PLATLPL00018;Food production;
Atlantis SE;ATLANTIS;ATS;EE3100143090;Other finance;
Atlas Estates Limited;ATLASEST;ATL;GB00B0WDBP88;Real estate;
ATM Grupa SA;ATMGRUPA;ATG;PLATM0000021;Media;
ATM SA;ATM;ATM;PLATMSA00013;Telecommunication;
Atrem SA;ATREM;ATR;PLATREM00017;Construction;
AUGA Group AB;AUGA;AUG;LT0000127466;Food production;
Auto Partner SA;AUTOPARTN;APR;PLATPRT00018;Automotive;
Baltic Bridge SA;WINVEST;WIS;PLARIEL00046;Other finance;
Banco Santander SA;SANTANDER;SAN;ES0113900J37;Banks;
Bank Handlowy w Warszawie SA;HANDLOWY;BHW;PLBH00000012;Banks;
Bank Millennium SA;MILLENNIUM;MIL;PLBIG0000016;Banks;
Bank Ochrony Środowiska SA;BOS;BOS;PLBOS0000019;Banks;
Bank Polska Kasa Opieki SA;PEKAO;PEO;PLPEKAO00016;Banks;
BBI Development SA;BBIDEV;BBD;PLNFI1200018;Real estate;
Benefit Systems SA;BENEFIT;BFT;PLBNFTS00018;Recreation and relaxation;
Berling SA;BERLING;BRG;PLBRLNG00015;Enterprise supplies;
Best SA;BEST;BST;PLBEST000010;Other finance;
Betacom SA;BETACOM;BCM;PLBTCOM00016;IT;
Biomed-Lublin Wytwórnia Surowic i Szczepionek SA;BIOMEDLUB;BML;PLBMDLB00018;Healthcare;
Bioton SA;BIOTON;BIO;PLBIOTN00029;Healthcare;
