<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT_PE,D,20150723,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150724,000000,4.7458,4.8965,4.7458,4.8965,0,0
1AT_PE,D,20150727,000000,4.8965,4.8965,4.8211,4.8211,0,0
1AT_PE,D,20150728,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150729,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150730,000000,4.7458,4.8211,4.7458,4.8211,0,0
1AT_PE,D,20150731,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150803,000000,4.7458,4.7458,4.5951,4.6705,0,0
1AT_PE,D,20150804,000000,4.6705,4.6705,4.6705,4.6705,0,0
1AT_PE,D,20150805,000000,4.6705,4.8211,4.6705,4.8211,0,0
1AT_PE,D,20150806,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150807,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150810,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150811,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150812,000000,4.8211,4.8211,4.6705,4.8211,0,0
1AT_PE,D,20150813,000000,4.8211,4.8211,4.7458,4.7458,0,0
1AT_PE,D,20150814,000000,4.7458,4.8211,4.7458,4.8211,0,0
1AT_PE,D,20150817,000000,4.8211,4.8211,4.8211,4.8211,0,0
1AT_PE,D,20150818,000000,4.8211,4.8211,4.5199,4.8211,0,0
1AT_PE,D,20150819,000000,4.5951,4.8211,4.5951,4.7458,0,0
1AT_PE,D,20150820,000000,4.7458,4.7458,4.6705,4.7458,0,0
1AT_PE,D,20150821,000000,4.7458,4.7458,4.7458,4.7458,0,0
1AT_PE,D,20150824,000000,4.7458,4.7458,4.4445,4.7458,0,0
1AT_PE,D,20150825,000000,4.6705,4.7458,4.6705,4.7458,0,0
1AT_PE,D,20150827,000000,4.6705,4.7458,4.5951,4.7458,0,0
1AT_PE,D,20150828,000000,4.6705,4.7458,4.6705,4.7458,0,0
1AT_PE,D,20150831,000000,4.5199,4.7458,4.5199,4.7458,0,0
1AT_PE,D,20150901,000000,4.7458,4.7458,4.5199,4.7458,0,0
1AT_PE,D,20150902,000000,4.7458,6.2525,4.5951,6.2525,0,0
1AT_PE,D,20150903,000000,6.2525,6.3278,6.1017,6.3278,0,0
1AT_PE,D,20150907,000000,6.3278,6.3278,6.3278,6.3278,0,0
1AT_PE,D,20150908,000000,6.177,6.2525,6.177,6.2525,0,0
1AT_PE,D,20150909,000000,6.2525,6.2525,6.2525,6.2525,0,0
1AT_PE,D,20150910,000000,6.177,6.3278,6.177,6.3278,0,0
1AT_PE,D,20150911,000000,6.3278,6.3278,6.3278,6.3278,0,0
1AT_PE,D,20150914,000000,6.3278,6.3278,6.2525,6.2525,0,0
1AT_PE,D,20150915,000000,6.2525,6.2525,5.8757,5.9511,0,0
1AT_PE,D,20150916,000000,6.1017,6.1017,5.9511,6.0263,0,0
1AT_PE,D,20150917,000000,6.1017,6.1017,6.1017,6.1017,0,0
1AT_PE,D,20150918,000000,6.177,6.177,6.0263,6.0263,0,0
1AT_PE,D,20150921,000000,6.0263,6.1017,6.0263,6.1017,0,0
1AT_PE,D,20150922,000000,6.1017,6.177,6.1017,6.177,0,0
1AT_PE,D,20150923,000000,6.177,6.177,6.177,6.177,0,0
1AT_PE,D,20150924,000000,6.177,6.177,6.177,6.177,0,0
1AT_PE,D,20150928,000000,5.9511,6.1017,5.9511,6.1017,0,0
1AT_PE,D,20150929,000000,6.1017,6.1017,6.1017,6.1017,0,0
1AT_PE,D,20150930,000000,5.8757,6.2525,5.8757,6.2525,0,0
1AT_PE,D,20151001,000000,6.2525,6.2525,6.2525,6.2525,0,0
1AT_PE,D,20151002,000000,6.177,6.177,6.177,6.177,0,0
1AT_PE,D,20151005,000000,6.177,6.177,6.0263,6.177,0,0
1AT_PE,D,20151006,000000,6.2525,6.2525,6.2525,6.2525,0,0
1AT_PE,D,20151007,000000,6.2525,6.2525,6.0263,6.2525,0,0
1AT_PE,D,20151008,000000,6.2525,6.2525,6.1017,6.1017,0,0
