<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE_PE,D,20070813,000000,22.191,22.191,22.191,22.191,0,0
ABE_PE,D,20070814,000000,22.191,22.191,22.191,22.191,0,0
ABE_PE,D,20070816,000000,21.169,21.169,21.169,21.169,0,0
ABE_PE,D,20070817,000000,21.169,21.169,21.169,21.169,0,0
ABE_PE,D,20070820,000000,22.747,22.747,22.747,22.747,0,0
ABE_PE,D,20070821,000000,22.191,22.191,22.191,22.191,0,0
ABE_PE,D,20070822,000000,23.304,23.304,23.304,23.304,0,0
ABE_PE,D,20070823,000000,24.326,24.326,24.326,24.326,0,0
ABE_PE,D,20070824,000000,24.79,24.79,24.79,24.79,0,0
ABE_PE,D,20070827,000000,23.861,23.861,23.861,23.861,0,0
ABE_PE,D,20070828,000000,24.326,24.326,24.326,24.326,0,0
ABE_PE,D,20070829,000000,23.304,23.304,23.304,23.304,0,0
ABE_PE,D,20070830,000000,15.505,15.505,15.505,15.505,0,0
ABE_PE,D,20070831,000000,16.063,16.063,16.063,16.063,0,0
ABE_PE,D,20070903,000000,16.248,16.248,16.248,16.248,0,0
ABE_PE,D,20070904,000000,16.62,16.62,16.62,16.62,0,0
ABE_PE,D,20070905,000000,16.433,16.433,16.433,16.433,0,0
ABE_PE,D,20070906,000000,16.433,16.433,16.433,16.433,0,0
ABE_PE,D,20070907,000000,15.134,15.134,15.134,15.134,0,0
ABE_PE,D,20070910,000000,14.669,14.669,14.669,14.669,0,0
ABE_PE,D,20070911,000000,15.505,15.505,15.505,15.505,0,0
ABE_PE,D,20070912,000000,15.04,15.04,15.04,15.04,0,0
ABE_PE,D,20070913,000000,15.134,15.134,15.134,15.134,0,0
ABE_PE,D,20070914,000000,15.134,15.134,15.134,15.134,0,0
ABE_PE,D,20070917,000000,15.505,15.505,15.505,15.505,0,0
ABE_PE,D,20070918,000000,16.898,16.898,16.898,16.898,0,0
ABE_PE,D,20070919,000000,16.248,16.248,16.248,16.248,0,0
ABE_PE,D,20070920,000000,17.176,17.176,17.176,17.176,0,0
ABE_PE,D,20070921,000000,17.548,17.548,17.548,17.548,0,0
ABE_PE,D,20070924,000000,17.641,17.641,17.641,17.641,0,0
ABE_PE,D,20070925,000000,17.456,17.456,17.456,17.456,0,0
ABE_PE,D,20070926,000000,16.805,16.805,16.805,16.805,0,0
ABE_PE,D,20070927,000000,16.713,16.713,16.713,16.713,0,0
ABE_PE,D,20070928,000000,16.898,16.898,16.898,16.898,0,0
