<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABS_PE,D,20071119,000000,20.962,20.962,20.962,20.962,0,0
ABS_PE,D,20071120,000000,21.301,21.301,21.301,21.301,0,0
ABS_PE,D,20071121,000000,21.493,21.493,21.156,21.301,0,0
ABS_PE,D,20071122,000000,21.301,21.301,20.337,20.337,0,0
ABS_PE,D,20071123,000000,20.337,41.925,20.337,41.925,0,0
ABS_PE,D,20071126,000000,41.925,43.371,21.83,21.83,0,0
ABS_PE,D,20071127,000000,21.83,21.83,21.83,21.83,0,0
ABS_PE,D,20071128,000000,21.83,22.216,21.83,22.216,0,0
ABS_PE,D,20071129,000000,22.216,22.408,22.216,22.408,0,0
ABS_PE,D,20071203,000000,20.962,22.216,20.577,22.216,0,0
ABS_PE,D,20071205,000000,23.903,23.903,23.854,23.854,0,0
ABS_PE,D,20071206,000000,22.36,22.408,22.36,22.408,0,0
ABS_PE,D,20071207,000000,22.601,22.601,22.024,22.024,0,0
ABS_PE,D,20071210,000000,22.216,22.408,22.216,22.408,0,0
ABS_PE,D,20071211,000000,21.637,22.408,21.637,22.408,0,0
ABS_PE,D,20071212,000000,22.216,28.287,22.024,28.287,0,0
ABS_PE,D,20071213,000000,28.384,28.432,28.384,28.432,0,0
ABS_PE,D,20071214,000000,28.432,28.432,28.432,28.432,0,0
ABS_PE,D,20071217,000000,28.769,28.769,28.095,28.529,0,0
ABS_PE,D,20071219,000000,28.769,28.769,28.047,28.769,0,0
ABS_PE,D,20071220,000000,27.614,28.769,27.614,27.614,0,0
ABS_PE,D,20071221,000000,28.672,28.672,27.614,28.625,0,0
ABS_PE,D,20071227,000000,27.853,27.853,27.806,27.853,0,0
ABS_PE,D,20071228,000000,26.699,29.251,26.699,28.769,0,0
ABS_PE,D,20080102,000000,28.769,28.769,28.769,28.769,0,0
ABS_PE,D,20080103,000000,28.769,28.769,27.853,27.853,0,0
ABS_PE,D,20080104,000000,27.853,27.853,27.853,27.853,0,0
ABS_PE,D,20080107,000000,27.614,28.529,27.614,28.529,0,0
ABS_PE,D,20080108,000000,28.529,28.865,28.047,28.769,0,0
ABS_PE,D,20080109,000000,27.614,27.614,27.614,27.614,0,0
ABS_PE,D,20080110,000000,28.48,28.48,28.48,28.48,0,0
ABS_PE,D,20080114,000000,28.529,28.529,28.529,28.529,0,0
ABS_PE,D,20080116,000000,27.131,27.131,26.456,26.456,0,0
ABS_PE,D,20080117,000000,27.565,27.565,27.372,27.372,0,0
ABS_PE,D,20080121,000000,28.529,28.529,28.529,28.529,0,0
ABS_PE,D,20080122,000000,27.614,27.614,25.3,27.178,0,0
ABS_PE,D,20080123,000000,27.277,27.614,27.277,27.614,0,0
ABS_PE,D,20080125,000000,27.614,27.853,27.614,27.853,0,0
ABS_PE,D,20080128,000000,26.456,28.337,26.456,28.287,0,0
ABS_PE,D,20080129,000000,28.529,28.769,28.529,28.769,0,0
ABS_PE,D,20080201,000000,28.672,28.769,28.672,28.769,0,0
ABS_PE,D,20080204,000000,28.287,29.685,28.287,28.769,0,0
ABS_PE,D,20080205,000000,29.348,29.685,29.348,29.685,0,0
ABS_PE,D,20080206,000000,28.769,28.769,28.769,28.769,0,0
ABS_PE,D,20080207,000000,29.685,29.927,28.769,28.769,0,0
ABS_PE,D,20080208,000000,29.878,29.927,28.769,29.927,0,0
ABS_PE,D,20080213,000000,29.927,29.927,29.927,29.927,0,0
ABS_PE,D,20080214,000000,29.927,29.927,29.927,29.927,0,0
ABS_PE,D,20080215,000000,29.927,29.927,29.927,29.927,0,0
ABS_PE,D,20080219,000000,29.927,29.927,29.927,29.927,0,0
ABS_PE,D,20080220,000000,29.927,30.505,29.927,30.505,0,0
ABS_PE,D,20080221,000000,30.505,31.082,13.782,13.782,0,0
ABS_PE,D,20080222,000000,13.782,14.312,13.782,13.782,0,0
ABS_PE,D,20080225,000000,13.3,13.782,13.3,13.782,0,0
ABS_PE,D,20080226,000000,13.541,13.541,13.493,13.493,0,0
ABS_PE,D,20080227,000000,13.735,14.024,13.398,13.398,0,0
ABS_PE,D,20080228,000000,13.975,14.024,13.3,14.024,0,0
ABS_PE,D,20080229,000000,14.024,14.216,13.975,13.975,0,0
ABS_PE,D,20080303,000000,14.072,14.216,13.782,13.975,0,0
ABS_PE,D,20080304,000000,14.119,14.119,13.398,13.398,0,0
ABS_PE,D,20080305,000000,13.252,13.252,13.252,13.252,0,0
