<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACG_PE,D,20110811,000000,4.7633,4.7633,4.7633,4.7633,0,0
ACG_PE,D,20110812,000000,4.7633,4.7633,4.6008,4.7633,0,0
ACG_PE,D,20110816,000000,4.655,4.7633,4.655,4.7633,0,0
ACG_PE,D,20110817,000000,4.655,4.7633,4.655,4.7633,0,0
ACG_PE,D,20110818,000000,4.655,4.7633,4.655,4.709,0,0
ACG_PE,D,20110819,000000,4.6008,4.709,4.6008,4.709,0,0
ACG_PE,D,20110822,000000,4.655,4.655,4.655,4.655,0,0
ACG_PE,D,20110823,000000,4.655,4.655,4.655,4.655,0,0
ACG_PE,D,20110824,000000,4.655,4.709,4.655,4.709,0,0
ACG_PE,D,20110825,000000,4.709,4.709,4.1678,4.1678,0,0
ACG_PE,D,20110826,000000,4.1137,4.1678,4.1137,4.1678,0,0
ACG_PE,D,20110829,000000,4.1678,4.3303,4.1678,4.3303,0,0
ACG_PE,D,20110830,000000,4.2218,4.3303,4.2218,4.3303,0,0
ACG_PE,D,20110831,000000,4.2218,4.4926,4.2218,4.4926,0,0
ACG_PE,D,20110901,000000,4.1678,4.6008,4.1678,4.6008,0,0
ACG_PE,D,20110902,000000,4.6008,4.6008,4.6008,4.6008,0,0
ACG_PE,D,20110905,000000,4.6008,4.6008,4.6008,4.6008,0,0
ACG_PE,D,20110906,000000,4.276,4.6008,4.276,4.6008,0,0
ACG_PE,D,20110909,000000,4.4383,4.6008,4.3303,4.6008,0,0
ACG_PE,D,20110912,000000,4.4926,4.6008,4.3303,4.6008,0,0
ACG_PE,D,20110913,000000,4.4383,4.6008,4.3303,4.6008,0,0
ACG_PE,D,20110914,000000,4.3844,4.6008,4.3844,4.6008,0,0
ACG_PE,D,20110915,000000,4.3844,4.6008,4.3844,4.6008,0,0
ACG_PE,D,20110919,000000,4.4926,4.6008,4.4926,4.6008,0,0
ACG_PE,D,20110920,000000,4.6008,4.655,4.6008,4.655,0,0
ACG_PE,D,20110921,000000,4.4926,4.6008,4.4926,4.6008,0,0
ACG_PE,D,20110922,000000,4.4383,4.4383,4.3844,4.3844,0,0
ACG_PE,D,20110923,000000,4.3303,4.3844,4.276,4.276,0,0
ACG_PE,D,20110926,000000,4.2218,4.3844,4.2218,4.3303,0,0
ACG_PE,D,20110927,000000,4.276,4.3303,4.2218,4.2218,0,0
ACG_PE,D,20110928,000000,4.4383,4.4383,4.2218,4.3844,0,0
ACG_PE,D,20110929,000000,4.2218,4.3844,4.2218,4.3303,0,0
ACG_PE,D,20110930,000000,4.219,4.3332,4.219,4.219,0,0
ACG_PE,D,20111003,000000,4.2218,4.2218,4.2218,4.2218,0,0
ACG_PE,D,20111004,000000,4.2218,4.2218,4.2218,4.2218,0,0
ACG_PE,D,20111005,000000,4.2218,4.2218,4.2218,4.2218,0,0
ACG_PE,D,20111006,000000,4.2218,4.2218,4.2218,4.2218,0,0
ACG_PE,D,20111007,000000,4.4383,4.4383,4.2218,4.4383,0,0
ACG_PE,D,20111011,000000,4.3303,4.4383,4.3303,4.4383,0,0
ACG_PE,D,20111012,000000,4.2218,4.4383,4.2218,4.4383,0,0
ACG_PE,D,20111013,000000,4.3844,4.3844,4.3844,4.3844,0,0
ACG_PE,D,20111014,000000,4.276,4.4383,4.276,4.4383,0,0
ACG_PE,D,20111017,000000,4.3303,4.4383,4.3303,4.4383,0,0
ACG_PE,D,20111018,000000,4.4383,4.4383,4.4383,4.4383,0,0
ACG_PE,D,20111019,000000,4.4383,4.4383,4.4383,4.4383,0,0
ACG_PE,D,20111020,000000,4.276,4.4383,4.276,4.3844,0,0
ACG_PE,D,20111021,000000,4.3303,4.4383,4.3303,4.4383,0,0
ACG_PE,D,20111024,000000,4.4383,4.4383,4.4383,4.4383,0,0
ACG_PE,D,20111025,000000,4.3303,4.4926,4.3303,4.4383,0,0
ACG_PE,D,20111026,000000,4.3844,4.4383,4.3844,4.4383,0,0
ACG_PE,D,20111027,000000,4.3844,4.6008,4.3844,4.6008,0,0
ACG_PE,D,20111028,000000,4.4383,4.5467,4.4383,4.5467,0,0
ACG_PE,D,20111031,000000,4.5496,4.6577,4.5496,4.6577,0,0
ACG_PE,D,20111102,000000,4.4383,4.4926,4.4383,4.4383,0,0
ACG_PE,D,20111103,000000,4.655,4.655,4.4383,4.4926,0,0
ACG_PE,D,20111104,000000,4.5467,4.6008,4.4926,4.5467,0,0
ACG_PE,D,20111107,000000,4.6008,4.655,4.4383,4.655,0,0
ACG_PE,D,20111108,000000,4.655,4.655,4.655,4.655,0,0
ACG_PE,D,20111109,000000,4.4926,4.6008,4.4926,4.5467,0,0
ACG_PE,D,20111114,000000,4.4926,4.5467,4.4926,4.5467,0,0
ACG_PE,D,20111115,000000,4.4926,4.5467,4.4926,4.5467,0,0
ACG_PE,D,20111116,000000,4.4383,4.5467,4.4383,4.5467,0,0
ACG_PE,D,20120302,000000,5.1444,5.1444,5.1444,5.1444,0,0
ACG_PE,D,20120305,000000,5.1962,5.4668,5.1962,5.3045,0,0
ACG_PE,D,20120306,000000,5.3068,5.415,5.3068,5.415,0,0
