<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP_PE,D,20070813,000000,13.396,13.396,13.396,13.396,0,0
ACP_PE,D,20070814,000000,13.175,13.175,13.175,13.175,0,0
ACP_PE,D,20070816,000000,12.839,12.839,12.839,12.839,0,0
ACP_PE,D,20070817,000000,13.396,13.396,13.396,13.396,0,0
ACP_PE,D,20070820,000000,13.062,13.062,13.062,13.062,0,0
ACP_PE,D,20070821,000000,12.726,12.726,12.726,12.726,0,0
ACP_PE,D,20070822,000000,13.283,13.283,13.283,13.283,0,0
ACP_PE,D,20070823,000000,13.062,13.062,13.062,13.062,0,0
ACP_PE,D,20070824,000000,13.008,13.008,13.008,13.008,0,0
ACP_PE,D,20070827,000000,13.008,13.008,13.008,13.008,0,0
ACP_PE,D,20070828,000000,13.062,13.062,13.062,13.062,0,0
ACP_PE,D,20070829,000000,13.283,13.283,13.283,13.283,0,0
ACP_PE,D,20070830,000000,17.194,17.194,17.194,17.194,0,0
ACP_PE,D,20070831,000000,18.254,18.254,18.254,18.254,0,0
ACP_PE,D,20070903,000000,18.197,18.197,18.197,18.197,0,0
ACP_PE,D,20070904,000000,18.085,18.085,18.085,18.085,0,0
ACP_PE,D,20070905,000000,17.978,17.978,17.978,17.978,0,0
ACP_PE,D,20070906,000000,17.863,17.863,17.863,17.863,0,0
ACP_PE,D,20070907,000000,17.64,17.64,17.64,17.64,0,0
ACP_PE,D,20070910,000000,17.414,17.414,17.414,17.414,0,0
ACP_PE,D,20070911,000000,17.64,17.64,17.64,17.64,0,0
ACP_PE,D,20070912,000000,14.511,14.511,14.511,14.511,0,0
ACP_PE,D,20070913,000000,15.633,15.633,15.633,15.633,0,0
ACP_PE,D,20070914,000000,15.855,15.855,15.855,15.855,0,0
ACP_PE,D,20070917,000000,16.022,16.022,16.022,16.022,0,0
ACP_PE,D,20070918,000000,16.135,16.135,16.135,16.135,0,0
ACP_PE,D,20070919,000000,17.64,17.64,17.64,17.64,0,0
ACP_PE,D,20070920,000000,17.64,17.64,17.64,17.64,0,0
ACP_PE,D,20070921,000000,17.47,17.47,17.47,17.47,0,0
ACP_PE,D,20070924,000000,17.194,17.194,17.194,17.194,0,0
ACP_PE,D,20070925,000000,16.969,16.969,16.969,16.969,0,0
ACP_PE,D,20070926,000000,16.749,16.749,16.749,16.749,0,0
ACP_PE,D,20070927,000000,16.749,16.749,16.749,16.749,0,0
ACP_PE,D,20070928,000000,16.524,16.524,16.524,16.524,0,0
ACP_PE,D,20071001,000000,16.467,16.467,16.467,16.467,0,0
ACP_PE,D,20071002,000000,16.467,16.467,16.467,16.467,0,0
ACP_PE,D,20071003,000000,16.637,16.637,16.637,16.637,0,0
ACP_PE,D,20071004,000000,16.749,16.749,16.749,16.749,0,0
ACP_PE,D,20071005,000000,16.969,16.969,16.969,16.969,0,0
ACP_PE,D,20071008,000000,17.414,17.414,17.414,17.414,0,0
ACP_PE,D,20071009,000000,17.363,17.363,17.363,17.363,0,0
ACP_PE,D,20071010,000000,17.978,17.978,17.978,17.978,0,0
ACP_PE,D,20071011,000000,17.863,17.863,17.863,17.863,0,0
ACP_PE,D,20071012,000000,17.808,17.808,17.808,17.808,0,0
ACP_PE,D,20071015,000000,17.584,17.584,17.584,17.584,0,0
ACP_PE,D,20071016,000000,17.194,17.194,17.194,17.194,0,0
ACP_PE,D,20071017,000000,17.363,17.363,17.363,17.363,0,0
ACP_PE,D,20071018,000000,17.194,17.194,17.194,17.194,0,0
ACP_PE,D,20071019,000000,17.251,17.251,17.251,17.251,0,0
ACP_PE,D,20071022,000000,17.138,17.138,17.138,17.138,0,0
ACP_PE,D,20071023,000000,17.251,17.251,17.251,17.251,0,0
ACP_PE,D,20071024,000000,17.082,17.082,17.082,17.082,0,0
ACP_PE,D,20071025,000000,16.969,16.969,16.969,16.969,0,0
ACP_PE,D,20071026,000000,16.857,16.857,16.857,16.857,0,0
ACP_PE,D,20071029,000000,16.969,16.969,16.969,16.969,0,0
ACP_PE,D,20071030,000000,17.527,17.527,17.527,17.527,0,0
ACP_PE,D,20071031,000000,17.752,17.752,17.752,17.752,0,0
ACP_PE,D,20071102,000000,17.414,17.414,17.414,17.414,0,0
ACP_PE,D,20071105,000000,17.863,17.863,17.863,17.863,0,0
ACP_PE,D,20071106,000000,18.141,18.141,18.141,18.141,0,0
ACP_PE,D,20071107,000000,17.808,17.808,17.808,17.808,0,0
ACP_PE,D,20071108,000000,17.863,17.863,17.863,17.863,0,0
ACP_PE,D,20071109,000000,18.141,18.254,17.584,17.978,0,0
ACP_PE,D,20071112,000000,17.978,17.978,17.808,17.863,0,0
ACP_PE,D,20071113,000000,17.863,18.422,17.863,18.027,0,0
ACP_PE,D,20071114,000000,18.479,18.698,18.141,18.366,0,0
ACP_PE,D,20071115,000000,18.479,18.479,17.584,17.863,0,0
ACP_PE,D,20071116,000000,17.863,18.085,16.022,16.022,0,0
ACP_PE,D,20071119,000000,15.797,16.355,15.797,15.967,0,0
ACP_PE,D,20071120,000000,15.909,15.909,15.465,15.855,0,0
ACP_PE,D,20071121,000000,15.633,15.633,15.408,15.52,0,0
ACP_PE,D,20071122,000000,15.74,15.74,15.352,15.633,0,0
ACP_PE,D,20071123,000000,15.855,16.022,15.855,15.855,0,0
ACP_PE,D,20071126,000000,15.967,15.967,15.295,15.295,0,0
ACP_PE,D,20071127,000000,15.408,15.683,15.408,15.465,0,0
ACP_PE,D,20071128,000000,15.465,15.683,15.182,15.182,0,0
