<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALL_PE,D,20111013,000000,14.544,14.544,14.544,14.544,0,0
ALL_PE,D,20111014,000000,14.247,14.346,13.653,14.346,0,0
ALL_PE,D,20111017,000000,13.851,14.247,13.159,13.159,0,0
ALL_PE,D,20111018,000000,13.06,13.653,12.664,13.455,0,0
ALL_PE,D,20111019,000000,14.148,14.148,13.653,13.653,0,0
ALL_PE,D,20111020,000000,13.159,14.049,13.159,14.049,0,0
ALL_PE,D,20111021,000000,13.356,14.049,13.356,13.851,0,0
ALL_PE,D,20111024,000000,14.049,15.533,14.049,15.533,0,0
ALL_PE,D,20111025,000000,14.84,16.226,14.148,16.226,0,0
ALL_PE,D,20111026,000000,15.335,17.907,15.236,17.611,0,0
ALL_PE,D,20111027,000000,17.017,18.006,16.918,18.006,0,0
ALL_PE,D,20111028,000000,18.105,19.688,17.413,19.49,0,0
ALL_PE,D,20111031,000000,19.391,19.391,18.6,18.996,0,0
ALL_PE,D,20111102,000000,18.402,18.798,18.402,18.699,0,0
ALL_PE,D,20111103,000000,18.699,18.699,18.699,18.699,0,0
ALL_PE,D,20111104,000000,18.699,18.699,18.6,18.6,0,0
ALL_PE,D,20111107,000000,18.699,18.699,18.6,18.6,0,0
ALL_PE,D,20111108,000000,18.6,18.996,18.402,18.402,0,0
ALL_PE,D,20111109,000000,17.907,18.6,17.809,18.303,0,0
ALL_PE,D,20111110,000000,18.303,18.303,18.006,18.006,0,0
ALL_PE,D,20111114,000000,18.501,19.293,16.226,18.501,0,0
ALL_PE,D,20111115,000000,18.501,18.501,18.204,18.501,0,0
ALL_PE,D,20111117,000000,18.501,18.501,17.71,18.501,0,0
ALL_PE,D,20111118,000000,18.501,18.501,18.501,18.501,0,0
ALL_PE,D,20111121,000000,18.501,18.501,17.413,17.413,0,0
ALL_PE,D,20111122,000000,17.512,18.204,17.512,18.204,0,0
ALL_PE,D,20111123,000000,17.611,18.006,12.466,12.466,0,0
ALL_PE,D,20111124,000000,12.268,12.367,12.268,12.367,0,0
