<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMB_PE,D,20070813,000000,7.6623,7.6623,7.6623,7.6623,0,0
AMB_PE,D,20070814,000000,7.8358,7.8358,7.8358,7.8358,0,0
AMB_PE,D,20070816,000000,7.7199,7.7199,7.7199,7.7199,0,0
AMB_PE,D,20070817,000000,7.8358,7.8358,7.8358,7.8358,0,0
AMB_PE,D,20070820,000000,8.0035,8.0035,8.0035,8.0035,0,0
AMB_PE,D,20070821,000000,7.8358,7.8358,7.8358,7.8358,0,0
AMB_PE,D,20070822,000000,7.5522,7.5522,7.5522,7.5522,0,0
AMB_PE,D,20070823,000000,7.7783,7.7783,7.7783,7.7783,0,0
AMB_PE,D,20070824,000000,8.0035,8.0035,8.0035,8.0035,0,0
AMB_PE,D,20070827,000000,8.2299,8.2299,8.2299,8.2299,0,0
AMB_PE,D,20070828,000000,8.0035,8.0035,8.0035,8.0035,0,0
AMB_PE,D,20070829,000000,7.9459,7.9459,7.9459,7.9459,0,0
AMB_PE,D,20070830,000000,10.446,10.446,10.446,10.446,0,0
AMB_PE,D,20070831,000000,11.357,11.357,11.357,11.357,0,0
AMB_PE,D,20070903,000000,10.957,10.957,10.957,10.957,0,0
AMB_PE,D,20070904,000000,11.015,11.015,11.015,11.015,0,0
AMB_PE,D,20070905,000000,11.125,11.125,11.125,11.125,0,0
AMB_PE,D,20070906,000000,11.072,11.072,11.072,11.072,0,0
AMB_PE,D,20070907,000000,10.789,10.789,10.789,10.789,0,0
AMB_PE,D,20070910,000000,10.789,10.789,10.789,10.789,0,0
AMB_PE,D,20070911,000000,10.164,10.164,10.164,10.164,0,0
AMB_PE,D,20070912,000000,9.4796,9.4796,9.4796,9.4796,0,0
AMB_PE,D,20070913,000000,10.048,10.048,10.048,10.048,0,0
AMB_PE,D,20070914,000000,10.048,10.048,10.048,10.048,0,0
AMB_PE,D,20070917,000000,10.105,10.105,10.105,10.105,0,0
AMB_PE,D,20070918,000000,10.331,10.331,10.331,10.331,0,0
AMB_PE,D,20070919,000000,10.506,10.506,10.506,10.506,0,0
AMB_PE,D,20070920,000000,10.673,10.673,10.673,10.673,0,0
AMB_PE,D,20070921,000000,10.899,10.899,10.899,10.899,0,0
AMB_PE,D,20070924,000000,11.241,11.241,11.241,11.241,0,0
AMB_PE,D,20070925,000000,10.899,10.899,10.899,10.899,0,0
AMB_PE,D,20070926,000000,11.015,11.015,11.015,11.015,0,0
AMB_PE,D,20070927,000000,11.524,11.524,11.524,11.524,0,0
AMB_PE,D,20070928,000000,11.408,11.408,11.408,11.408,0,0
AMB_PE,D,20071001,000000,11.357,11.357,11.357,11.357,0,0
AMB_PE,D,20071002,000000,11.015,11.015,11.015,11.015,0,0
AMB_PE,D,20071003,000000,11.408,11.408,11.408,11.408,0,0
AMB_PE,D,20071004,000000,11.357,11.357,11.357,11.357,0,0
AMB_PE,D,20071005,000000,11.182,11.182,11.182,11.182,0,0
AMB_PE,D,20071008,000000,11.015,11.015,11.015,11.015,0,0
AMB_PE,D,20071009,000000,10.899,10.899,10.899,10.899,0,0
AMB_PE,D,20071010,000000,11.125,11.125,11.125,11.125,0,0
AMB_PE,D,20071011,000000,11.182,11.182,11.182,11.182,0,0
AMB_PE,D,20071012,000000,10.957,10.957,10.957,10.957,0,0
AMB_PE,D,20071015,000000,10.957,10.957,10.957,10.957,0,0
AMB_PE,D,20071016,000000,10.899,10.899,10.899,10.899,0,0
AMB_PE,D,20071017,000000,11.808,11.808,11.808,11.808,0,0
AMB_PE,D,20071018,000000,11.524,11.524,11.524,11.524,0,0
AMB_PE,D,20071019,000000,11.583,11.583,11.583,11.583,0,0
AMB_PE,D,20071022,000000,11.466,11.466,11.466,11.466,0,0
AMB_PE,D,20071023,000000,11.466,11.466,11.466,11.466,0,0
AMB_PE,D,20071024,000000,11.408,11.408,11.408,11.408,0,0
AMB_PE,D,20071025,000000,11.639,11.639,11.639,11.639,0,0
AMB_PE,D,20071026,000000,11.357,11.357,11.357,11.357,0,0
AMB_PE,D,20071029,000000,11.466,11.466,11.466,11.466,0,0
AMB_PE,D,20071030,000000,11.125,11.125,11.125,11.125,0,0
AMB_PE,D,20071031,000000,11.639,11.639,11.639,11.639,0,0
AMB_PE,D,20071102,000000,11.583,11.583,11.583,11.583,0,0
AMB_PE,D,20071105,000000,11.241,11.241,11.241,11.241,0,0
AMB_PE,D,20071106,000000,11.408,11.408,11.408,11.408,0,0
AMB_PE,D,20071107,000000,10.789,10.789,10.789,10.789,0,0
AMB_PE,D,20071108,000000,10.389,10.389,10.389,10.389,0,0
AMB_PE,D,20071109,000000,10.164,10.732,10.164,10.732,0,0
AMB_PE,D,20071112,000000,10.732,10.732,10.221,10.506,0,0
AMB_PE,D,20071113,000000,10.221,10.506,10.221,10.389,0,0
AMB_PE,D,20071114,000000,10.446,10.615,10.273,10.615,0,0
AMB_PE,D,20071115,000000,10.446,10.615,10.221,10.221,0,0
AMB_PE,D,20071116,000000,10.221,10.221,10.221,10.221,0,0
