<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC_PE,D,20071106,000000,22.283,22.283,22.283,22.283,0,0
AMC_PE,D,20071107,000000,22.283,22.283,22.283,22.283,0,0
AMC_PE,D,20071108,000000,21.837,21.837,21.837,21.837,0,0
AMC_PE,D,20071109,000000,21.538,22.955,21.389,22.955,0,0
AMC_PE,D,20071112,000000,22.88,22.955,22.135,22.805,0,0
AMC_PE,D,20071113,000000,22.88,22.88,22.209,22.656,0,0
AMC_PE,D,20071114,000000,22.955,22.955,22.58,22.955,0,0
AMC_PE,D,20071115,000000,22.955,22.955,20.868,21.017,0,0
AMC_PE,D,20071116,000000,22.135,22.135,20.42,21.091,0,0
AMC_PE,D,20071119,000000,21.091,21.091,19.898,21.091,0,0
AMC_PE,D,20080218,000000,13.415,13.415,13.415,13.415,0,0
AMC_PE,D,20080219,000000,13.415,13.787,13.042,13.415,0,0
AMC_PE,D,20080220,000000,13.415,13.415,13.042,13.116,0,0
AMC_PE,D,20080221,000000,13.116,13.787,13.116,13.415,0,0
AMC_PE,D,20080222,000000,13.489,13.713,13.116,13.191,0,0
AMC_PE,D,20080225,000000,13.415,13.489,13.191,13.266,0,0
AMC_PE,D,20080226,000000,13.191,13.341,12.594,13.191,0,0
AMC_PE,D,20080227,000000,13.116,13.116,12.521,12.521,0,0
AMC_PE,D,20080228,000000,12.371,12.744,12.371,12.594,0,0
AMC_PE,D,20080229,000000,12.148,12.223,11.701,12.223,0,0
AMC_PE,D,20080303,000000,11.998,20.644,11.625,20.644,0,0
AMC_PE,D,20080304,000000,20.42,20.868,20.122,20.868,0,0
AMC_PE,D,20080305,000000,20.868,20.868,20.496,20.868,0,0
AMC_PE,D,20080306,000000,20.717,21.389,20.717,21.24,0,0
AMC_PE,D,20080307,000000,20.569,21.24,20.569,21.24,0,0
AMC_PE,D,20080310,000000,21.24,21.463,21.017,21.389,0,0
