<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AML_PE,D,20140717,000000,8.3964,8.3964,8.3964,8.3964,0,0
AML_PE,D,20140718,000000,8.4714,8.4714,8.4714,8.4714,0,0
AML_PE,D,20140721,000000,8.4714,8.4714,8.4714,8.4714,0,0
AML_PE,D,20140722,000000,8.4714,8.4714,8.3215,8.3215,0,0
AML_PE,D,20140723,000000,8.3215,8.3964,8.3215,8.3964,0,0
AML_PE,D,20140724,000000,8.4714,8.4714,8.0218,8.1715,0,0
AML_PE,D,20140725,000000,8.1715,8.2464,8.1715,8.2464,0,0
AML_PE,D,20140728,000000,8.3215,8.4714,8.2464,8.3964,0,0
AML_PE,D,20140729,000000,8.3964,8.3964,8.3215,8.3964,0,0
AML_PE,D,20140730,000000,8.3964,8.3964,8.2464,8.3964,0,0
AML_PE,D,20140731,000000,8.3215,8.3964,8.3215,8.3964,0,0
AML_PE,D,20140801,000000,8.3964,8.3964,8.0957,8.0957,0,0
AML_PE,D,20140804,000000,8.1715,8.3215,8.0957,8.0957,0,0
AML_PE,D,20140805,000000,8.0957,8.2464,8.0957,8.2464,0,0
AML_PE,D,20140806,000000,8.2464,8.3964,8.1715,8.3964,0,0
AML_PE,D,20140807,000000,8.2464,8.3964,8.1715,8.2464,0,0
AML_PE,D,20140808,000000,8.2464,8.3215,8.1715,8.3215,0,0
AML_PE,D,20140811,000000,8.2464,8.3215,8.2464,8.3215,0,0
AML_PE,D,20140812,000000,8.3215,8.3215,8.2464,8.3215,0,0
AML_PE,D,20140813,000000,8.2464,8.3215,8.2464,8.3215,0,0
AML_PE,D,20140814,000000,8.1715,8.3215,8.1715,8.3215,0,0
AML_PE,D,20140818,000000,8.3215,8.3215,8.3215,8.3215,0,0
AML_PE,D,20140819,000000,8.3215,8.3215,8.1715,8.3215,0,0
AML_PE,D,20140820,000000,8.3215,8.3215,8.2464,8.3215,0,0
AML_PE,D,20140821,000000,8.3964,8.6209,8.3964,8.6209,0,0
AML_PE,D,20140822,000000,8.6209,8.7702,8.6209,8.6209,0,0
AML_PE,D,20140825,000000,8.6956,8.6956,8.5462,8.6209,0,0
