<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APE_PE,D,20130808,000000,13.73,13.73,13.73,13.73,0,0
APE_PE,D,20130809,000000,13.637,13.637,12.547,12.547,0,0
APE_PE,D,20130813,000000,12.818,12.818,12.547,12.547,0,0
APE_PE,D,20130814,000000,12.183,12.183,10.909,12.183,0,0
APE_PE,D,20130816,000000,11.82,12.547,11.82,12.547,0,0
APE_PE,D,20130819,000000,12.183,12.183,11.365,11.365,0,0
APE_PE,D,20130820,000000,11.547,12.547,11.365,11.547,0,0
APE_PE,D,20130821,000000,11.547,11.728,11.365,11.728,0,0
APE_PE,D,20130822,000000,12.456,12.91,12.456,12.818,0,0
APE_PE,D,20130823,000000,12.818,12.818,12.818,12.818,0,0
APE_PE,D,20130826,000000,12.818,12.818,12.183,12.183,0,0
APE_PE,D,20130827,000000,12.183,12.183,12.183,12.183,0,0
APE_PE,D,20130828,000000,11.456,12.183,11.456,12.183,0,0
APE_PE,D,20130902,000000,12.002,12.002,11.365,11.365,0,0
APE_PE,D,20130903,000000,11.456,11.456,11.456,11.456,0,0
APE_PE,D,20130906,000000,12.002,12.002,12.002,12.002,0,0
APE_PE,D,20130909,000000,12.002,12.002,12.002,12.002,0,0
APE_PE,D,20130911,000000,11.82,11.82,11.82,11.82,0,0
APE_PE,D,20130919,000000,101.01,101.1,101.01,101.1,0,0
APE_PE,D,20130923,000000,101.01,101.1,101.01,101.1,0,0
APE_PE,D,20130926,000000,101.01,101.1,101.01,101.1,0,0
APE_PE,D,20131001,000000,95.461,95.555,95.461,95.555,0,0
APE_PE,D,20131009,000000,100.74,100.83,100.74,100.83,0,0
APE_PE,D,20131010,000000,101.01,101.1,96.106,101.1,0,0
APE_PE,D,20131022,000000,99.382,99.382,97.746,97.91,0,0
APE_PE,D,20131023,000000,96.106,96.284,96.106,96.284,0,0
APE_PE,D,20131025,000000,96.106,96.106,95.461,95.555,0,0
APE_PE,D,20131030,000000,95.461,95.555,95.461,95.555,0,0
APE_PE,D,20131031,000000,101.01,101.1,101.01,101.1,0,0
APE_PE,D,20131104,000000,101.01,101.1,101.01,101.1,0,0
APE_PE,D,20131105,000000,97.746,97.91,97.746,97.91,0,0
APE_PE,D,20131107,000000,99.101,99.189,99.101,99.189,0,0
APE_PE,D,20131108,000000,97.746,97.91,97.746,97.91,0,0
APE_PE,D,20131113,000000,99.101,99.189,99.101,99.189,0,0
APE_PE,D,20131115,000000,99.101,99.189,99.101,99.189,0,0
APE_PE,D,20131118,000000,96.106,96.284,96.106,96.284,0,0
APE_PE,D,20131119,000000,99.101,101.1,99.101,101.1,0,0
APE_PE,D,20131120,000000,101.01,101.1,98.094,101.1,0,0
APE_PE,D,20131121,000000,101.01,101.01,101.01,101.01,0,0
APE_PE,D,20131122,000000,99.382,99.382,95.461,95.555,0,0
APE_PE,D,20131125,000000,98.375,101.1,98.375,101.1,0,0
APE_PE,D,20131126,000000,101.01,101.01,99.382,99.55,0,0
APE_PE,D,20131127,000000,100.74,100.83,100.74,100.83,0,0
APE_PE,D,20131129,000000,100.74,101.1,100.74,101.1,0,0
APE_PE,D,20131202,000000,101.01,101.1,101.01,101.1,0,0
APE_PE,D,20131203,000000,101.01,101.1,101.01,101.1,0,0
APE_PE,D,20131205,000000,99.73,99.83,99.73,99.83,0,0
APE_PE,D,20131206,000000,99.73,99.83,99.73,99.83,0,0
APE_PE,D,20131209,000000,99.73,99.83,97.746,99.83,0,0
APE_PE,D,20131210,000000,99.382,101.01,99.382,100.47,0,0
APE_PE,D,20131211,000000,99.382,99.55,99.382,99.55,0,0
APE_PE,D,20131212,000000,101.01,101.1,101.01,101.1,0,0
APE_PE,D,20131213,000000,99.382,99.382,97.746,97.91,0,0
APE_PE,D,20131216,000000,98.094,98.191,98.094,98.191,0,0
APE_PE,D,20131219,000000,25.639,25.639,25.094,25.094,0,0
APE_PE,D,20131220,000000,25.729,25.911,25.185,25.185,0,0
APE_PE,D,20131223,000000,25.821,25.911,25.821,25.911,0,0
APE_PE,D,20131230,000000,25.911,25.911,25.911,25.911,0,0
APE_PE,D,20140103,000000,26.821,26.913,25.911,25.911,0,0
APE_PE,D,20140107,000000,25.911,25.911,25.911,25.911,0,0
APE_PE,D,20140108,000000,25.911,25.911,25.911,25.911,0,0
APE_PE,D,20140109,000000,25.911,25.911,25.911,25.911,0,0
APE_PE,D,20140113,000000,27.184,29.276,27.184,29.185,0,0
APE_PE,D,20140114,000000,29.185,32.458,29.185,32.367,0,0
APE_PE,D,20140115,000000,31.731,32.185,31.275,32.185,0,0
APE_PE,D,20140116,000000,31.095,32.185,31.095,32.185,0,0
APE_PE,D,20140117,000000,31.731,31.731,31.731,31.731,0,0
APE_PE,D,20140120,000000,31.731,31.731,31.731,31.731,0,0
APE_PE,D,20140121,000000,31.731,33.003,31.731,33.003,0,0
APE_PE,D,20140122,000000,31.731,31.731,31.731,31.731,0,0
APE_PE,D,20140124,000000,31.731,31.731,31.731,31.731,0,0
APE_PE,D,20140127,000000,31.731,32.367,31.731,32.367,0,0
APE_PE,D,20140128,000000,31.731,31.731,31.731,31.731,0,0
APE_PE,D,20140129,000000,31.731,31.731,31.731,31.731,0,0
APE_PE,D,20140131,000000,31.731,31.731,31.731,31.731,0,0
APE_PE,D,20140203,000000,31.275,32.548,31.275,32.548,0,0
APE_PE,D,20140204,000000,32.548,32.548,32.548,32.548,0,0
APE_PE,D,20140205,000000,33.003,33.003,33.003,33.003,0,0
APE_PE,D,20140206,000000,32.912,33.458,32.548,33.277,0,0
APE_PE,D,20140207,000000,32.64,33.184,32.64,33.184,0,0
APE_PE,D,20140210,000000,33.184,34.277,33.184,33.458,0,0
APE_PE,D,20140211,000000,33.549,33.912,33.458,33.822,0,0
APE_PE,D,20140212,000000,33.822,33.822,33.822,33.822,0,0
APE_PE,D,20140213,000000,33.822,33.822,33.822,33.822,0,0
APE_PE,D,20140214,000000,33.731,33.731,33.458,33.458,0,0
APE_PE,D,20140217,000000,33.458,34.639,33.367,34.639,0,0
APE_PE,D,20140218,000000,35.912,36.276,35.458,35.458,0,0
APE_PE,D,20140219,000000,34.367,35.458,33.458,34.458,0,0
APE_PE,D,20140220,000000,34.185,35.458,33.367,35.458,0,0
APE_PE,D,20140221,000000,35.004,35.094,35.004,35.094,0,0
APE_PE,D,20140224,000000,34.912,36.276,34.912,36.276,0,0
APE_PE,D,20140225,000000,35.094,36.185,34.094,35.458,0,0
APE_PE,D,20140226,000000,33.912,35.458,33.912,35.458,0,0
APE_PE,D,20140227,000000,35.186,35.186,34.004,35.004,0,0
APE_PE,D,20140228,000000,35.004,35.367,34.004,35.367,0,0
APE_PE,D,20140303,000000,34.277,34.277,31.912,33.277,0,0
APE_PE,D,20140304,000000,33.367,33.549,31.275,33.458,0,0
APE_PE,D,20140305,000000,32.822,33.731,32.458,33.277,0,0
APE_PE,D,20140306,000000,32.458,33.277,31.185,33.277,0,0
APE_PE,D,20140307,000000,32.002,32.822,31.275,32.822,0,0
APE_PE,D,20140310,000000,32.822,33.277,31.185,32.548,0,0
APE_PE,D,20140311,000000,31.095,31.185,29.458,31.185,0,0
APE_PE,D,20140312,000000,29.639,29.639,26.913,28.185,0,0
APE_PE,D,20140313,000000,27.367,28.638,26.913,27.367,0,0
APE_PE,D,20140314,000000,26.729,26.729,22.73,25.003,0,0
APE_PE,D,20140317,000000,25.547,29.912,24.547,29.912,0,0
APE_PE,D,20140318,000000,27.003,27.003,26.913,26.913,0,0
APE_PE,D,20140319,000000,26.913,26.913,26.913,26.913,0,0
APE_PE,D,20140321,000000,26.913,26.913,26.913,26.913,0,0
APE_PE,D,20140324,000000,27.276,29.639,26.913,29.003,0,0
APE_PE,D,20140325,000000,27.003,27.003,26.913,26.913,0,0
APE_PE,D,20140326,000000,25.458,26.913,25.458,26.274,0,0
APE_PE,D,20140327,000000,26.093,26.093,26.093,26.093,0,0
APE_PE,D,20140328,000000,26.093,26.913,25.275,26.913,0,0
APE_PE,D,20140331,000000,26.913,26.913,26.913,26.913,0,0
APE_PE,D,20140401,000000,27.094,29.093,27.094,27.822,0,0
APE_PE,D,20140402,000000,27.822,28.275,27.003,28.185,0,0
APE_PE,D,20140403,000000,27.73,28.004,27.367,28.004,0,0
APE_PE,D,20140404,000000,27.548,27.548,12.183,12.183,0,0
APE_PE,D,20140407,000000,12.183,12.183,11.82,12.183,0,0
APE_PE,D,20140408,000000,12.091,12.091,11.91,12.002,0,0
APE_PE,D,20140409,000000,11.91,11.91,11.91,11.91,0,0
APE_PE,D,20140410,000000,11.91,11.91,11.91,11.91,0,0
APE_PE,D,20140411,000000,11.91,12.365,11.91,12.365,0,0
APE_PE,D,20140414,000000,12.638,12.638,12.456,12.456,0,0
APE_PE,D,20140415,000000,12.456,12.456,12.456,12.456,0,0
APE_PE,D,20140417,000000,12.456,12.456,12.456,12.456,0,0
APE_PE,D,20140423,000000,11.91,12.456,11.91,12.456,0,0
APE_PE,D,20140424,000000,12.002,12.547,12.002,12.456,0,0
APE_PE,D,20140425,000000,11.91,12.091,11.91,12.091,0,0
APE_PE,D,20140428,000000,12.091,12.183,11.91,12.183,0,0
APE_PE,D,20140430,000000,12.002,12.183,12.002,12.183,0,0
APE_PE,D,20140505,000000,12.091,12.183,12.091,12.183,0,0
APE_PE,D,20140506,000000,11.91,12.183,11.91,12.183,0,0
APE_PE,D,20140507,000000,11.456,12.183,11.365,12.002,0,0
APE_PE,D,20140509,000000,12.002,12.183,11.82,12.091,0,0
APE_PE,D,20140513,000000,11.82,12.275,11.82,12.183,0,0
APE_PE,D,20140514,000000,11.728,12.091,11.274,12.091,0,0
APE_PE,D,20140515,000000,12.091,12.547,11.184,12.456,0,0
APE_PE,D,20140516,000000,12.091,12.638,12.002,12.547,0,0
APE_PE,D,20140519,000000,12.365,12.638,12.365,12.638,0,0
APE_PE,D,20140520,000000,12.183,12.638,12.183,12.638,0,0
APE_PE,D,20140522,000000,12.547,13.092,12.547,13.092,0,0
APE_PE,D,20140523,000000,12.638,14.82,12.638,14.82,0,0
APE_PE,D,20140526,000000,14.638,14.638,14.274,14.274,0,0
APE_PE,D,20140527,000000,14,14.457,13.911,13.911,0,0
APE_PE,D,20140528,000000,13.911,14.457,13.911,14.365,0,0
APE_PE,D,20140530,000000,14.274,15.002,14.274,15.002,0,0
APE_PE,D,20140603,000000,13.365,14,13.001,14,0,0
APE_PE,D,20140605,000000,13.547,13.911,13.547,13.911,0,0
APE_PE,D,20140606,000000,13.911,14.638,13.911,14.638,0,0
APE_PE,D,20140609,000000,14.274,14.274,13.637,14.274,0,0
APE_PE,D,20140610,000000,14.457,14.457,14.457,14.457,0,0
APE_PE,D,20140611,000000,14.457,15.275,14.457,15.275,0,0
APE_PE,D,20140612,000000,15.275,15.275,14.457,15.002,0,0
APE_PE,D,20140613,000000,14.457,14.457,14.457,14.457,0,0
APE_PE,D,20140616,000000,15.002,15.002,14,15.002,0,0
APE_PE,D,20140620,000000,12.729,13.183,12.547,13.001,0,0
APE_PE,D,20140623,000000,12.547,12.547,12.456,12.456,0,0
APE_PE,D,20140624,000000,12.638,13.001,12.638,12.638,0,0
APE_PE,D,20140625,000000,12.275,13.001,12.275,13.001,0,0
APE_PE,D,20140627,000000,13.001,13.455,13.001,13.455,0,0
APE_PE,D,20140630,000000,13.455,13.455,12.547,13.455,0,0
APE_PE,D,20140701,000000,13.547,13.547,13.455,13.455,0,0
APE_PE,D,20140702,000000,12.818,13.365,12.818,13.365,0,0
APE_PE,D,20140704,000000,12.818,13.365,12.818,13.365,0,0
APE_PE,D,20140707,000000,13.365,13.365,13.365,13.365,0,0
APE_PE,D,20140708,000000,13.101,13.376,12.368,13.376,0,0
APE_PE,D,20140710,000000,13.008,13.466,13.008,13.466,0,0
APE_PE,D,20140711,000000,12.277,13.466,12.277,13.376,0,0
APE_PE,D,20140715,000000,13.376,13.376,13.376,13.376,0,0
APE_PE,D,20140716,000000,13.376,13.466,12.551,13.466,0,0
APE_PE,D,20140718,000000,12.643,13.466,12.643,13.376,0,0
APE_PE,D,20140722,000000,12.46,13.283,11.909,13.283,0,0
APE_PE,D,20140725,000000,12.368,13.101,12.368,13.101,0,0
APE_PE,D,20140728,000000,12.277,13.192,12.277,13.192,0,0
APE_PE,D,20140729,000000,12.46,13.101,11.726,13.101,0,0
APE_PE,D,20140731,000000,12.277,12.825,12.277,12.735,0,0
APE_PE,D,20140801,000000,12.643,12.735,10.902,12.185,0,0
APE_PE,D,20140804,000000,11.543,11.634,11.543,11.634,0,0
APE_PE,D,20140805,000000,11.634,11.909,11.361,11.909,0,0
APE_PE,D,20140806,000000,11.543,11.909,10.811,11.909,0,0
APE_PE,D,20140807,000000,11.085,12.277,10.902,11.819,0,0
APE_PE,D,20140808,000000,10.444,12.185,10.444,12.185,0,0
APE_PE,D,20140812,000000,10.536,12.092,10.536,12.092,0,0
APE_PE,D,20140813,000000,11.268,12.002,10.902,12.002,0,0
APE_PE,D,20140818,000000,11.909,12.092,11.909,12.092,0,0
APE_PE,D,20140819,000000,11.451,11.909,11.451,11.909,0,0
APE_PE,D,20140821,000000,11.451,11.909,11.361,11.726,0,0
APE_PE,D,20140822,000000,11.451,11.909,11.451,11.909,0,0
APE_PE,D,20140825,000000,11.909,11.909,11.909,11.909,0,0
APE_PE,D,20140828,000000,11.543,11.634,11.543,11.543,0,0
APE_PE,D,20140829,000000,11.543,11.819,11.177,11.819,0,0
APE_PE,D,20140901,000000,11.819,11.909,11.819,11.909,0,0
APE_PE,D,20140903,000000,11.268,11.909,11.268,11.268,0,0
APE_PE,D,20140904,000000,11.819,11.909,11.819,11.909,0,0
APE_PE,D,20140905,000000,11.268,11.909,11.268,11.909,0,0
APE_PE,D,20140908,000000,11.909,11.909,9.711,9.711,0,0
APE_PE,D,20140909,000000,9.711,9.711,9.711,9.711,0,0
APE_PE,D,20140910,000000,9.711,9.711,9.711,9.711,0,0
APE_PE,D,20140915,000000,9.161,9.711,9.161,9.711,0,0
APE_PE,D,20140917,000000,9.4366,9.711,9.4366,9.711,0,0
APE_PE,D,20140918,000000,9.4366,9.711,9.161,9.711,0,0
APE_PE,D,20140919,000000,9.161,9.161,9.161,9.161,0,0
APE_PE,D,20140922,000000,9.161,9.3446,8.7031,9.3446,0,0
APE_PE,D,20140924,000000,9.3446,9.803,9.3446,9.711,0,0
APE_PE,D,20140925,000000,9.711,9.711,9.711,9.711,0,0
APE_PE,D,20140929,000000,9.711,9.711,9.711,9.711,0,0
APE_PE,D,20140930,000000,9.711,9.711,9.711,9.711,0,0
APE_PE,D,20141006,000000,9.711,9.711,9.711,9.711,0,0
APE_PE,D,20141007,000000,9.711,9.711,9.711,9.711,0,0
APE_PE,D,20141008,000000,9.3446,9.711,9.161,9.62,0,0
APE_PE,D,20141010,000000,9.62,9.62,9.161,9.62,0,0
APE_PE,D,20141015,000000,9.4366,9.711,9.4366,9.711,0,0
APE_PE,D,20141016,000000,9.711,9.711,9.711,9.711,0,0
APE_PE,D,20141021,000000,9.161,9.711,9.161,9.711,0,0
APE_PE,D,20141029,000000,9.2536,9.2536,9.2536,9.2536,0,0
APE_PE,D,20141030,000000,9.2536,9.62,9.2536,9.62,0,0
APE_PE,D,20141031,000000,9.62,9.711,9.62,9.62,0,0
APE_PE,D,20141104,000000,9.528,9.528,9.528,9.528,0,0
APE_PE,D,20141105,000000,9.528,9.62,9.161,9.62,0,0
APE_PE,D,20141106,000000,9.62,9.62,9.62,9.62,0,0
APE_PE,D,20141107,000000,9.62,9.62,9.161,9.528,0,0
APE_PE,D,20141110,000000,9.711,9.711,9.62,9.62,0,0
APE_PE,D,20141112,000000,8.8862,9.62,8.8862,9.62,0,0
APE_PE,D,20141113,000000,9.4366,9.4366,8.8862,9.4366,0,0
APE_PE,D,20141114,000000,9.4366,9.62,8.8862,9.62,0,0
APE_PE,D,20141117,000000,9.62,9.62,9.528,9.62,0,0
APE_PE,D,20141118,000000,9.711,9.711,9.0704,9.62,0,0
APE_PE,D,20141119,000000,9.62,9.62,9.0704,9.0704,0,0
APE_PE,D,20141120,000000,9.0704,9.0704,8.9788,9.0704,0,0
APE_PE,D,20141121,000000,9.528,9.528,9.528,9.528,0,0
APE_PE,D,20141124,000000,9.528,9.528,9.3446,9.3446,0,0
APE_PE,D,20141125,000000,9.528,9.528,8.7031,8.7031,0,0
APE_PE,D,20141126,000000,9.0704,9.161,9.0704,9.161,0,0
APE_PE,D,20141127,000000,8.7944,9.4366,8.7944,9.4366,0,0
APE_PE,D,20141128,000000,9.4366,9.62,9.4366,9.62,0,0
APE_PE,D,20141201,000000,9.62,9.62,8.52,9.161,0,0
APE_PE,D,20141202,000000,9.2536,9.3446,8.52,8.52,0,0
APE_PE,D,20141203,000000,9.2536,9.2536,8.6116,8.6116,0,0
APE_PE,D,20141204,000000,9.161,9.3446,8.52,8.52,0,0
APE_PE,D,20141205,000000,8.8862,9.3446,8.8862,9.0704,0,0
APE_PE,D,20141208,000000,9.0704,9.0704,9.0704,9.0704,0,0
APE_PE,D,20141209,000000,9.0704,9.0704,8.4284,9.0704,0,0
APE_PE,D,20141210,000000,9.0704,9.0704,9.0704,9.0704,0,0
APE_PE,D,20141211,000000,9.0704,9.0704,9.0704,9.0704,0,0
APE_PE,D,20141215,000000,8.52,9.2536,8.4284,8.7944,0,0
APE_PE,D,20141216,000000,9.0704,9.0704,8.4284,8.7031,0,0
APE_PE,D,20141217,000000,8.9788,8.9788,8.1534,8.8862,0,0
APE_PE,D,20141218,000000,8.4284,8.4284,8.1534,8.1534,0,0
APE_PE,D,20141219,000000,8.1534,8.1534,7.9702,8.1534,0,0
APE_PE,D,20141222,000000,8.2452,8.3368,8.2452,8.3368,0,0
APE_PE,D,20141223,000000,8.3368,8.3368,8.3368,8.3368,0,0
APE_PE,D,20141230,000000,8.4284,8.4284,8.4284,8.4284,0,0
APE_PE,D,20150102,000000,8.6116,8.6116,8.6116,8.6116,0,0
APE_PE,D,20150105,000000,8.6116,8.6116,8.6116,8.6116,0,0
APE_PE,D,20150107,000000,8.6116,8.6116,8.1534,8.6116,0,0
APE_PE,D,20150108,000000,8.6116,8.6116,8.6116,8.6116,0,0
APE_PE,D,20150109,000000,8.6116,8.6116,8.6116,8.6116,0,0
APE_PE,D,20150112,000000,8.52,8.52,8.1534,8.52,0,0
APE_PE,D,20150113,000000,8.52,8.52,8.1534,8.52,0,0
APE_PE,D,20150114,000000,8.52,8.52,8.52,8.52,0,0
APE_PE,D,20150115,000000,8.52,8.52,8.52,8.52,0,0
APE_PE,D,20150116,000000,8.52,8.52,8.52,8.52,0,0
APE_PE,D,20150119,000000,8.52,8.52,8.52,8.52,0,0
APE_PE,D,20150120,000000,8.52,8.52,8.0618,8.52,0,0
APE_PE,D,20150121,000000,8.52,8.52,8.0618,8.52,0,0
APE_PE,D,20150122,000000,8.52,8.52,8.0618,8.0618,0,0
APE_PE,D,20150123,000000,8.1534,8.2452,8.1534,8.1534,0,0
APE_PE,D,20150126,000000,8.1534,8.1534,8.1534,8.1534,0,0
APE_PE,D,20150127,000000,8.1534,8.1534,8.1534,8.1534,0,0
APE_PE,D,20150128,000000,8.1534,8.1534,8.1534,8.1534,0,0
APE_PE,D,20150129,000000,8.1534,8.1534,8.1534,8.1534,0,0
APE_PE,D,20150130,000000,8.1534,8.1534,8.1534,8.1534,0,0
APE_PE,D,20150202,000000,8.1534,8.2452,8.1534,8.2452,0,0
APE_PE,D,20150203,000000,8.0618,8.0618,8.0618,8.0618,0,0
APE_PE,D,20150204,000000,8.0618,8.0618,8.0618,8.0618,0,0
APE_PE,D,20150205,000000,8.0618,8.0618,8.0618,8.0618,0,0
APE_PE,D,20150206,000000,8.0618,8.0618,7.8787,8.0618,0,0
APE_PE,D,20150209,000000,8.0618,8.0618,8.0618,8.0618,0,0
APE_PE,D,20150210,000000,8.0618,8.0618,7.6954,8.0618,0,0
APE_PE,D,20150211,000000,8.0618,8.0618,7.9702,7.9702,0,0
APE_PE,D,20150212,000000,8.0618,8.0618,7.6038,8.0618,0,0
APE_PE,D,20150213,000000,8.0618,8.0618,8.0618,8.0618,0,0
APE_PE,D,20150216,000000,8.1534,8.3368,7.3289,7.3289,0,0
APE_PE,D,20150217,000000,7.3289,8.2452,7.3289,8.2452,0,0
APE_PE,D,20150218,000000,8.3368,8.8862,8.3368,8.52,0,0
APE_PE,D,20150219,000000,8.7031,9.2536,8.7031,9.161,0,0
APE_PE,D,20150220,000000,8.9788,9.0704,8.9788,9.0704,0,0
APE_PE,D,20150223,000000,9.0704,9.894,9.0704,9.894,0,0
APE_PE,D,20150224,000000,9.803,10.352,9.3446,10.352,0,0
APE_PE,D,20150225,000000,10.261,10.719,9.803,10.628,0,0
APE_PE,D,20150226,000000,10.628,10.628,9.803,10.628,0,0
APE_PE,D,20150227,000000,9.894,10.628,9.894,10.628,0,0
APE_PE,D,20150302,000000,10.536,10.902,10.261,10.902,0,0
APE_PE,D,20150303,000000,10.902,10.902,10.902,10.902,0,0
APE_PE,D,20150304,000000,10.628,10.628,10.628,10.628,0,0
APE_PE,D,20150305,000000,10.628,10.628,9.2536,10.261,0,0
