<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APN_PE,D,20090624,000000,6.9093,6.9093,6.9093,6.9093,0,0
APN_PE,D,20090625,000000,6.9093,6.9093,6.6654,6.6654,0,0
APN_PE,D,20090626,000000,6.8281,6.8281,6.6654,6.6654,0,0
APN_PE,D,20090629,000000,6.7468,6.7468,6.7468,6.7468,0,0
APN_PE,D,20090630,000000,6.6654,6.7468,6.6654,6.7468,0,0
APN_PE,D,20090701,000000,6.6654,6.8281,6.5029,6.6654,0,0
APN_PE,D,20090702,000000,6.7468,6.7468,6.5841,6.5841,0,0
APN_PE,D,20090703,000000,6.6654,6.6654,6.5841,6.6654,0,0
APN_PE,D,20090706,000000,6.6654,6.6654,6.6654,6.6654,0,0
APN_PE,D,20090707,000000,6.5841,6.6654,6.5841,6.6654,0,0
APN_PE,D,20090709,000000,6.5029,6.6654,6.4216,6.5029,0,0
APN_PE,D,20090710,000000,6.5029,6.7468,6.5029,6.6654,0,0
APN_PE,D,20090713,000000,6.6654,6.6654,6.6654,6.6654,0,0
APN_PE,D,20090715,000000,6.6654,6.6654,6.3403,6.5841,0,0
APN_PE,D,20090716,000000,6.6654,6.6654,6.5029,6.6654,0,0
APN_PE,D,20090717,000000,6.5841,6.7468,6.5841,6.6654,0,0
APN_PE,D,20090720,000000,6.5029,6.5029,6.5029,6.5029,0,0
APN_PE,D,20090721,000000,6.5841,6.6654,6.5841,6.5841,0,0
APN_PE,D,20090722,000000,6.5841,6.8281,6.5841,6.8281,0,0
APN_PE,D,20090723,000000,6.7468,6.8281,6.7468,6.7468,0,0
APN_PE,D,20090724,000000,6.8281,6.9093,6.7468,6.7468,0,0
APN_PE,D,20090727,000000,6.8281,6.8281,6.6654,6.6654,0,0
APN_PE,D,20090728,000000,6.6654,6.7468,6.6654,6.7468,0,0
APN_PE,D,20090729,000000,6.6654,6.7468,6.6654,6.6654,0,0
APN_PE,D,20090730,000000,6.7468,6.8281,6.6654,6.6654,0,0
APN_PE,D,20090731,000000,6.7468,6.7468,6.6654,6.6654,0,0
APN_PE,D,20090803,000000,6.6654,6.7468,6.6654,6.7468,0,0
APN_PE,D,20090804,000000,6.7468,6.7468,6.6654,6.7468,0,0
APN_PE,D,20090805,000000,6.7468,6.8281,6.7468,6.7468,0,0
APN_PE,D,20090806,000000,6.7468,6.7468,6.5841,6.6654,0,0
APN_PE,D,20090807,000000,6.7468,6.7468,6.4216,6.7468,0,0
APN_PE,D,20090810,000000,6.7468,6.7468,6.5029,6.5029,0,0
APN_PE,D,20090811,000000,6.5029,6.5029,6.5029,6.5029,0,0
APN_PE,D,20090812,000000,6.4216,7.0719,6.4216,7.0719,0,0
APN_PE,D,20090813,000000,7.153,7.3158,7.153,7.2343,0,0
APN_PE,D,20090814,000000,7.2343,7.397,7.153,7.3158,0,0
APN_PE,D,20090817,000000,7.153,7.3158,6.8281,7.3158,0,0
APN_PE,D,20090818,000000,7.3158,7.6409,7.3158,7.6409,0,0
APN_PE,D,20090819,000000,7.6409,8.0476,7.6409,8.0476,0,0
APN_PE,D,20090820,000000,7.8033,8.6156,7.8033,8.6156,0,0
APN_PE,D,20090821,000000,8.2912,8.8609,8.2912,8.8609,0,0
APN_PE,D,20090824,000000,8.942,9.754,8.942,9.591,0,0
APN_PE,D,20090825,000000,9.51,9.673,9.1032,9.51,0,0
APN_PE,D,20090826,000000,9.4291,9.4291,8.6976,9.3474,0,0
APN_PE,D,20090827,000000,9.3474,9.4291,9.0229,9.3474,0,0
APN_PE,D,20090828,000000,9.3474,9.673,9.3474,9.51,0,0
APN_PE,D,20090831,000000,8.8609,9.0229,8.5344,8.942,0,0
APN_PE,D,20090901,000000,8.5344,8.942,8.2912,8.8609,0,0
APN_PE,D,20090902,000000,8.2912,10.892,8.0476,10.892,0,0
APN_PE,D,20090903,000000,10.812,11.298,9.999,10.08,0,0
APN_PE,D,20090904,000000,10.08,11.137,10.08,11.055,0,0
APN_PE,D,20090907,000000,11.137,11.218,10.566,11.218,0,0
APN_PE,D,20090908,000000,11.055,11.055,10.323,10.729,0,0
APN_PE,D,20090909,000000,10.404,10.812,10.161,10.812,0,0
APN_PE,D,20090910,000000,10.486,10.486,10.08,10.486,0,0
APN_PE,D,20090914,000000,10.729,10.812,10.729,10.812,0,0
APN_PE,D,20090915,000000,10.08,10.892,10.08,10.892,0,0
APN_PE,D,20090916,000000,10.323,10.812,10.161,10.566,0,0
APN_PE,D,20090917,000000,10.566,10.566,10.566,10.566,0,0
APN_PE,D,20090918,000000,10.161,10.161,10.161,10.161,0,0
APN_PE,D,20090921,000000,10.161,10.161,10.161,10.161,0,0
APN_PE,D,20090922,000000,10.08,10.404,9.754,9.837,0,0
APN_PE,D,20090923,000000,9.918,10.161,9.837,10.161,0,0
APN_PE,D,20090924,000000,10.161,10.161,9.754,10.161,0,0
APN_PE,D,20090928,000000,9.837,9.837,9.837,9.837,0,0
APN_PE,D,20090929,000000,9.837,9.837,9.837,9.837,0,0
APN_PE,D,20090930,000000,9.837,9.837,9.4291,9.754,0,0
APN_PE,D,20091001,000000,9.1032,9.673,9.1032,9.673,0,0
APN_PE,D,20091002,000000,9.1845,9.1845,9.1845,9.1845,0,0
APN_PE,D,20091005,000000,9.1032,9.1845,9.1032,9.1032,0,0
APN_PE,D,20091006,000000,9.1845,9.51,9.1032,9.51,0,0
APN_PE,D,20091007,000000,9.1032,9.51,9.1032,9.51,0,0
APN_PE,D,20091008,000000,9.1845,9.1845,9.1032,9.1032,0,0
APN_PE,D,20091009,000000,9.1032,9.1032,9.1032,9.1032,0,0
APN_PE,D,20091012,000000,9.1032,9.1032,9.1032,9.1032,0,0
APN_PE,D,20091013,000000,9.1032,9.1032,9.1032,9.1032,0,0
APN_PE,D,20091014,000000,9.1032,9.1032,9.1032,9.1032,0,0
APN_PE,D,20091015,000000,9.1032,9.1032,8.4533,9.1032,0,0
APN_PE,D,20091016,000000,9.1032,9.51,9.1032,9.3474,0,0
APN_PE,D,20091019,000000,9.3474,9.51,9.3474,9.51,0,0
APN_PE,D,20091020,000000,9.3474,9.51,9.3474,9.51,0,0
APN_PE,D,20091021,000000,9.3474,9.3474,9.1845,9.1845,0,0
APN_PE,D,20091022,000000,9.1845,9.2656,9.1845,9.2656,0,0
APN_PE,D,20091023,000000,9.2656,9.2656,9.2656,9.2656,0,0
APN_PE,D,20091026,000000,9.1845,9.1845,9.1845,9.1845,0,0
APN_PE,D,20091027,000000,9.1032,9.1845,9.1032,9.1845,0,0
APN_PE,D,20091029,000000,9.1845,9.2656,9.1845,9.2656,0,0
APN_PE,D,20091030,000000,9.1845,9.2656,9.1845,9.2656,0,0
APN_PE,D,20091103,000000,9.3474,9.4291,9.1032,9.2656,0,0
APN_PE,D,20091105,000000,9.0229,9.2656,9.0229,9.2656,0,0
APN_PE,D,20091106,000000,9.1032,9.1032,9.1032,9.1032,0,0
APN_PE,D,20091109,000000,9.2656,9.2656,9.1032,9.1032,0,0
APN_PE,D,20091110,000000,9.1032,9.1032,9.0229,9.0229,0,0
APN_PE,D,20091112,000000,9.1845,9.591,9.1845,9.51,0,0
APN_PE,D,20091113,000000,9.3474,9.673,9.3474,9.591,0,0
APN_PE,D,20091116,000000,9.591,9.673,9.591,9.673,0,0
APN_PE,D,20091117,000000,9.754,10.566,9.591,9.837,0,0
APN_PE,D,20091118,000000,10.161,10.161,8.6976,8.6976,0,0
APN_PE,D,20091119,000000,8.7788,8.7788,8.6156,8.6156,0,0
APN_PE,D,20091120,000000,8.6156,8.8609,8.5344,8.8609,0,0
APN_PE,D,20091124,000000,8.8609,8.8609,8.8609,8.8609,0,0
APN_PE,D,20091125,000000,8.6976,8.7788,8.6976,8.7788,0,0
APN_PE,D,20091127,000000,8.5344,8.6976,8.5344,8.6976,0,0
APN_PE,D,20091130,000000,8.6156,8.8609,8.3723,8.8609,0,0
APN_PE,D,20091201,000000,9.4291,9.4291,8.942,9.3474,0,0
APN_PE,D,20091202,000000,9.1032,9.3474,9.1032,9.3474,0,0
APN_PE,D,20091203,000000,9.1032,9.1845,9.1032,9.1845,0,0
APN_PE,D,20091204,000000,9.3474,9.591,9.1845,9.591,0,0
APN_PE,D,20091207,000000,9.591,9.591,9.3474,9.591,0,0
APN_PE,D,20091208,000000,9.591,9.591,9.4291,9.4291,0,0
APN_PE,D,20091209,000000,9.4291,9.918,9.3474,9.918,0,0
APN_PE,D,20091210,000000,9.591,9.837,9.591,9.837,0,0
APN_PE,D,20091211,000000,9.591,9.837,9.591,9.591,0,0
APN_PE,D,20091214,000000,9.591,9.591,9.591,9.591,0,0
APN_PE,D,20091215,000000,9.591,9.591,9.4291,9.591,0,0
APN_PE,D,20091216,000000,9.591,9.591,9.591,9.591,0,0
APN_PE,D,20091217,000000,9.591,9.591,9.591,9.591,0,0
APN_PE,D,20091218,000000,9.754,9.754,9.3474,9.591,0,0
APN_PE,D,20091221,000000,9.591,9.591,9.4291,9.4291,0,0
APN_PE,D,20091222,000000,9.2656,9.4291,9.2656,9.3474,0,0
APN_PE,D,20091223,000000,9.3474,9.3474,9.2656,9.3474,0,0
APN_PE,D,20091228,000000,9.2656,9.51,9.2656,9.4291,0,0
APN_PE,D,20091229,000000,9.2656,9.4291,9.2656,9.4291,0,0
APN_PE,D,20091230,000000,9.51,9.673,9.4291,9.4291,0,0
APN_PE,D,20091231,000000,9.4291,9.4291,9.3474,9.4291,0,0
APN_PE,D,20100104,000000,9.2656,9.4291,9.1032,9.1032,0,0
APN_PE,D,20100105,000000,9.4291,9.837,9.1032,9.1845,0,0
APN_PE,D,20100106,000000,8.6976,9.591,8.6976,9.0229,0,0
APN_PE,D,20100107,000000,9.0229,9.1845,8.6976,9.1845,0,0
APN_PE,D,20100108,000000,8.5344,9.1032,8.5344,9.1032,0,0
APN_PE,D,20100111,000000,9.1032,9.918,9.1032,9.918,0,0
APN_PE,D,20100112,000000,9.918,9.999,9.673,9.918,0,0
APN_PE,D,20100113,000000,9.999,10.729,9.754,10.729,0,0
APN_PE,D,20100114,000000,10.812,10.892,10.404,10.404,0,0
APN_PE,D,20100118,000000,10.812,10.812,9.918,10.486,0,0
APN_PE,D,20100119,000000,10.648,11.38,10.648,11.055,0,0
APN_PE,D,20100120,000000,11.137,11.38,11.055,11.137,0,0
APN_PE,D,20100121,000000,10.892,11.137,10.892,11.137,0,0
APN_PE,D,20100122,000000,11.137,11.137,10.729,10.892,0,0
APN_PE,D,20100125,000000,10.892,10.892,10.566,10.729,0,0
APN_PE,D,20100128,000000,9.999,10.729,9.999,10.729,0,0
APN_PE,D,20100129,000000,10.323,10.404,10.323,10.404,0,0
APN_PE,D,20100201,000000,10.404,10.404,10.404,10.404,0,0
APN_PE,D,20100202,000000,10.404,10.404,9.918,10.242,0,0
APN_PE,D,20100203,000000,9.999,10.242,9.918,10.08,0,0
APN_PE,D,20100204,000000,9.837,9.999,9.673,9.999,0,0
APN_PE,D,20100205,000000,9.4291,9.837,9.4291,9.837,0,0
APN_PE,D,20100208,000000,9.591,9.999,9.1032,9.999,0,0
APN_PE,D,20100209,000000,9.591,9.999,9.591,9.999,0,0
APN_PE,D,20100212,000000,10.08,10.729,9.837,10.729,0,0
APN_PE,D,20100215,000000,10.566,10.974,10.566,10.974,0,0
APN_PE,D,20100216,000000,10.729,10.974,10.566,10.974,0,0
APN_PE,D,20100218,000000,10.812,10.892,10.812,10.892,0,0
APN_PE,D,20100219,000000,10.648,10.974,10.648,10.974,0,0
APN_PE,D,20100225,000000,10.974,10.974,10.648,10.892,0,0
APN_PE,D,20100226,000000,10.892,11.948,10.892,11.868,0,0
APN_PE,D,20100301,000000,11.543,11.868,11.543,11.868,0,0
APN_PE,D,20100302,000000,11.868,12.03,11.868,12.03,0,0
APN_PE,D,20100303,000000,11.707,12.03,11.707,12.03,0,0
APN_PE,D,20100304,000000,11.624,11.948,11.624,11.948,0,0
APN_PE,D,20100305,000000,11.707,11.948,11.298,11.948,0,0
APN_PE,D,20100308,000000,12.355,12.355,12.355,12.355,0,0
APN_PE,D,20100309,000000,11.787,12.193,11.38,12.193,0,0
APN_PE,D,20100310,000000,12.03,12.355,12.03,12.355,0,0
APN_PE,D,20100312,000000,12.355,12.355,12.355,12.355,0,0
APN_PE,D,20100317,000000,12.111,12.355,11.948,12.274,0,0
APN_PE,D,20100318,000000,11.787,12.274,11.787,12.274,0,0
APN_PE,D,20100322,000000,11.868,12.193,11.868,12.193,0,0
APN_PE,D,20100323,000000,11.624,12.111,11.543,12.111,0,0
