<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APR_PE,D,20160606,000000,13.639,13.639,13.639,13.639,0,0
APR_PE,D,20160607,000000,13.739,14.137,13.44,13.739,0,0
APR_PE,D,20160608,000000,14.336,14.336,13.838,14.236,0,0
APR_PE,D,20160609,000000,14.834,14.834,13.938,13.938,0,0
APR_PE,D,20160610,000000,14.336,14.336,13.838,14.037,0,0
APR_PE,D,20160613,000000,14.037,14.635,14.037,14.535,0,0
APR_PE,D,20160614,000000,14.635,14.834,14.635,14.834,0,0
APR_PE,D,20160615,000000,16.028,16.028,15.033,15.132,0,0
APR_PE,D,20160616,000000,16.526,16.526,15.531,15.531,0,0
APR_PE,D,20160617,000000,15.531,15.829,15.132,15.829,0,0
APR_PE,D,20160620,000000,17.124,17.124,16.128,16.228,0,0
APR_PE,D,20160621,000000,17.124,17.124,16.128,16.825,0,0
APR_PE,D,20160622,000000,16.825,18.219,16.825,18.02,0,0
APR_PE,D,20160623,000000,18.219,18.318,17.223,17.422,0,0
APR_PE,D,20160624,000000,16.028,16.526,15.63,16.526,0,0
APR_PE,D,20160627,000000,17.024,17.124,16.626,17.024,0,0
APR_PE,D,20160628,000000,17.024,17.024,16.327,16.626,0,0
APR_PE,D,20160629,000000,18.219,18.219,16.825,17.82,0,0
APR_PE,D,20160630,000000,18.119,18.119,17.522,17.82,0,0
APR_PE,D,20160701,000000,18.02,18.02,17.223,17.721,0,0
APR_PE,D,20160704,000000,17.422,17.621,16.626,16.924,0,0
APR_PE,D,20160705,000000,17.124,17.124,16.626,16.924,0,0
APR_PE,D,20160706,000000,17.124,17.124,16.327,16.526,0,0
APR_PE,D,20160707,000000,16.725,16.725,16.228,16.526,0,0
APR_PE,D,20160708,000000,16.526,21.205,16.327,21.205,0,0
APR_PE,D,20160711,000000,21.205,22.4,21.205,22.3,0,0
APR_PE,D,20160712,000000,22.201,22.798,22.101,22.5,0,0
APR_PE,D,20160713,000000,22.599,23.495,22.201,23.495,0,0
APR_PE,D,20160714,000000,23.495,25.188,23.495,24.789,0,0
APR_PE,D,20160715,000000,24.889,24.889,24.092,24.292,0,0
APR_PE,D,20160718,000000,24.292,24.59,23.993,24.59,0,0
APR_PE,D,20160719,000000,24.69,24.69,24.092,24.092,0,0
APR_PE,D,20160720,000000,24.092,24.491,23.694,24.491,0,0
APR_PE,D,20160721,000000,24.192,24.391,23.595,23.993,0,0
APR_PE,D,20160722,000000,23.993,24.491,23.893,24.491,0,0
APR_PE,D,20160725,000000,24.391,24.391,23.893,24.391,0,0
APR_PE,D,20160726,000000,24.391,24.391,23.993,24.192,0,0
APR_PE,D,20160727,000000,24.192,24.192,23.794,24.192,0,0
APR_PE,D,20160728,000000,23.893,24.292,23.893,24.192,0,0
APR_PE,D,20160729,000000,24.192,25.088,23.893,24.988,0,0
APR_PE,D,20160801,000000,24.889,25.486,24.889,25.287,0,0
APR_PE,D,20160802,000000,25.387,25.486,25.088,25.287,0,0
APR_PE,D,20160803,000000,25.188,25.287,24.988,24.988,0,0
APR_PE,D,20160804,000000,25.287,25.486,25.088,25.486,0,0
APR_PE,D,20160805,000000,25.287,27.079,25.287,26.98,0,0
APR_PE,D,20160808,000000,27.378,27.378,26.581,26.78,0,0
APR_PE,D,20160809,000000,26.78,26.98,25.586,26.482,0,0
APR_PE,D,20160810,000000,26.482,26.681,26.283,26.681,0,0
APR_PE,D,20160811,000000,26.88,26.88,26.581,26.681,0,0
APR_PE,D,20160812,000000,26.78,26.78,26.382,26.581,0,0
APR_PE,D,20160816,000000,26.78,26.78,26.382,26.382,0,0
APR_PE,D,20160817,000000,26.78,26.78,25.486,25.884,0,0
APR_PE,D,20160818,000000,26.084,26.283,25.785,25.884,0,0
APR_PE,D,20160819,000000,25.884,26.283,25.785,25.884,0,0
APR_PE,D,20160822,000000,25.884,25.984,25.785,25.785,0,0
APR_PE,D,20160823,000000,25.884,25.984,25.685,25.785,0,0
APR_PE,D,20160824,000000,25.984,25.984,25.586,25.984,0,0
APR_PE,D,20160825,000000,25.984,25.984,24.889,25.586,0,0
APR_PE,D,20160826,000000,25.685,25.785,25.088,25.586,0,0
APR_PE,D,20160829,000000,25.486,25.586,24.988,25.387,0,0
APR_PE,D,20160830,000000,25.486,25.486,24.988,25.287,0,0
APR_PE,D,20160831,000000,25.685,25.685,25.088,25.486,0,0
APR_PE,D,20160901,000000,25.685,25.685,24.789,24.789,0,0
APR_PE,D,20160902,000000,24.491,25.486,24.391,25.486,0,0
APR_PE,D,20160905,000000,25.586,25.685,25.287,25.486,0,0
APR_PE,D,20160906,000000,25.586,26.681,25.387,26.681,0,0
