<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT_PE,D,20070813,000000,13.245,13.245,13.245,13.245,0,0
APT_PE,D,20070814,000000,12.924,12.924,12.924,12.924,0,0
APT_PE,D,20070816,000000,12.472,12.472,12.472,12.472,0,0
APT_PE,D,20070817,000000,13.441,13.441,13.441,13.441,0,0
APT_PE,D,20070820,000000,12.861,12.861,12.861,12.861,0,0
APT_PE,D,20070821,000000,13.185,13.185,13.185,13.185,0,0
APT_PE,D,20070822,000000,13.695,13.695,13.695,13.695,0,0
APT_PE,D,20070823,000000,13.763,13.763,13.763,13.763,0,0
APT_PE,D,20070824,000000,14.145,14.145,14.145,14.145,0,0
APT_PE,D,20070827,000000,14.145,14.145,14.145,14.145,0,0
APT_PE,D,20070828,000000,14.084,14.084,14.084,14.084,0,0
APT_PE,D,20070829,000000,14.084,14.084,14.084,14.084,0,0
APT_PE,D,20070830,000000,14.084,14.084,14.084,14.084,0,0
APT_PE,D,20070831,000000,14.28,14.28,14.28,14.28,0,0
APT_PE,D,20070903,000000,14.857,14.857,14.857,14.857,0,0
APT_PE,D,20070904,000000,15.367,15.367,15.367,15.367,0,0
APT_PE,D,20070905,000000,15.367,15.367,15.367,15.367,0,0
APT_PE,D,20070906,000000,15.434,15.434,15.434,15.434,0,0
APT_PE,D,20070907,000000,14.728,14.728,14.728,14.728,0,0
APT_PE,D,20070910,000000,14.857,14.857,14.857,14.857,0,0
APT_PE,D,20070911,000000,15.367,15.367,15.367,15.367,0,0
APT_PE,D,20070912,000000,15.367,15.367,15.367,15.367,0,0
APT_PE,D,20070913,000000,15.818,15.818,15.818,15.818,0,0
APT_PE,D,20070914,000000,15.689,15.689,15.689,15.689,0,0
APT_PE,D,20070917,000000,15.689,15.689,15.689,15.689,0,0
APT_PE,D,20070918,000000,15.63,15.63,15.63,15.63,0,0
APT_PE,D,20070919,000000,15.689,15.689,15.689,15.689,0,0
APT_PE,D,20070920,000000,15.689,15.689,15.689,15.689,0,0
APT_PE,D,20070921,000000,15.689,15.689,15.689,15.689,0,0
APT_PE,D,20070924,000000,15.63,15.63,15.63,15.63,0,0
APT_PE,D,20070925,000000,15.495,15.495,15.495,15.495,0,0
APT_PE,D,20070926,000000,15.755,15.755,15.755,15.755,0,0
APT_PE,D,20070927,000000,15.689,15.689,15.689,15.689,0,0
APT_PE,D,20070928,000000,15.434,15.434,15.434,15.434,0,0
APT_PE,D,20071001,000000,15.495,15.495,15.495,15.495,0,0
APT_PE,D,20071002,000000,15.495,15.495,15.495,15.495,0,0
APT_PE,D,20071003,000000,15.63,15.63,15.63,15.63,0,0
APT_PE,D,20071004,000000,15.434,15.434,15.434,15.434,0,0
APT_PE,D,20071005,000000,15.63,15.63,15.63,15.63,0,0
APT_PE,D,20071008,000000,15.367,15.367,15.367,15.367,0,0
APT_PE,D,20071009,000000,15.883,15.883,15.883,15.883,0,0
APT_PE,D,20071010,000000,15.943,15.943,15.943,15.943,0,0
APT_PE,D,20071011,000000,16.266,16.266,16.266,16.266,0,0
APT_PE,D,20071012,000000,16.591,16.591,16.591,16.591,0,0
APT_PE,D,20071015,000000,17.301,17.301,17.301,17.301,0,0
APT_PE,D,20071016,000000,16.98,16.98,16.98,16.98,0,0
APT_PE,D,20071017,000000,17.235,17.235,17.235,17.235,0,0
APT_PE,D,20071018,000000,16.655,16.655,16.655,16.655,0,0
APT_PE,D,20071019,000000,16.852,16.852,16.852,16.852,0,0
APT_PE,D,20071022,000000,16.912,16.912,16.912,16.912,0,0
APT_PE,D,20071023,000000,16.912,16.912,16.912,16.912,0,0
APT_PE,D,20071024,000000,16.912,16.912,16.912,16.912,0,0
APT_PE,D,20071025,000000,16.591,16.591,16.591,16.591,0,0
APT_PE,D,20071026,000000,16.591,16.591,16.591,16.591,0,0
APT_PE,D,20071029,000000,16.334,16.334,16.334,16.334,0,0
APT_PE,D,20071030,000000,16.266,16.266,16.266,16.266,0,0
APT_PE,D,20071031,000000,16.394,16.394,16.394,16.394,0,0
APT_PE,D,20071102,000000,16.139,16.139,16.139,16.139,0,0
APT_PE,D,20071105,000000,15.755,15.755,15.755,15.755,0,0
APT_PE,D,20071106,000000,16.011,16.011,16.011,16.011,0,0
APT_PE,D,20071107,000000,15.308,15.308,15.308,15.308,0,0
APT_PE,D,20071108,000000,15.63,15.63,15.63,15.63,0,0
APT_PE,D,20071109,000000,14.145,16.266,14.145,16.08,0,0
APT_PE,D,20071112,000000,16.08,16.08,15.047,15.818,0,0
