<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH_PE,D,20160509,000000,9.621,9.621,9.621,9.621,0,0
ARH_PE,D,20160510,000000,9.621,9.691,9.621,9.691,0,0
ARH_PE,D,20160511,000000,9.691,9.973,9.691,9.973,0,0
ARH_PE,D,20160512,000000,9.973,9.973,9.832,9.904,0,0
ARH_PE,D,20160513,000000,9.904,9.904,9.904,9.904,0,0
ARH_PE,D,20160516,000000,9.973,9.973,9.904,9.973,0,0
ARH_PE,D,20160517,000000,9.973,9.973,9.904,9.904,0,0
ARH_PE,D,20160518,000000,9.904,9.904,9.904,9.904,0,0
ARH_PE,D,20160519,000000,9.832,9.973,9.832,9.973,0,0
ARH_PE,D,20160520,000000,10.044,14.501,10.044,14.501,0,0
ARH_PE,D,20160523,000000,14.29,14.29,14.218,14.218,0,0
ARH_PE,D,20160524,000000,14.43,14.501,14.43,14.43,0,0
ARH_PE,D,20160525,000000,14.501,14.501,14.501,14.501,0,0
ARH_PE,D,20160530,000000,14.43,14.43,14.218,14.43,0,0
ARH_PE,D,20160531,000000,14.36,14.43,14.218,14.43,0,0
ARH_PE,D,20160601,000000,14.29,14.29,14.007,14.007,0,0
ARH_PE,D,20160602,000000,14.007,14.501,13.935,14.501,0,0
ARH_PE,D,20160603,000000,14.501,14.501,14.501,14.501,0,0
ARH_PE,D,20160606,000000,14.501,14.501,14.148,14.148,0,0
ARH_PE,D,20160607,000000,14.148,14.501,14.148,14.501,0,0
ARH_PE,D,20160608,000000,14.076,14.218,14.076,14.218,0,0
ARH_PE,D,20160609,000000,14.218,14.218,14.218,14.218,0,0
ARH_PE,D,20160610,000000,14.148,14.148,14.148,14.148,0,0
ARH_PE,D,20160614,000000,14.148,14.148,13.935,13.935,0,0
ARH_PE,D,20160615,000000,13.935,13.935,13.935,13.935,0,0
ARH_PE,D,20160616,000000,13.865,13.865,13.652,13.652,0,0
ARH_PE,D,20160620,000000,13.652,13.652,13.652,13.652,0,0
ARH_PE,D,20160621,000000,13.299,13.299,13.299,13.299,0,0
ARH_PE,D,20160622,000000,13.652,13.865,13.652,13.865,0,0
ARH_PE,D,20160624,000000,13.299,13.511,12.591,13.44,0,0
ARH_PE,D,20160627,000000,13.902,13.902,13.825,13.902,0,0
ARH_PE,D,20160628,000000,13.902,13.902,13.902,13.902,0,0
ARH_PE,D,20160629,000000,13.825,14.355,13.825,14.355,0,0
ARH_PE,D,20160630,000000,14.052,14.128,14.052,14.128,0,0
ARH_PE,D,20160701,000000,14.052,14.052,13.977,13.977,0,0
ARH_PE,D,20160704,000000,14.052,14.052,13.675,13.675,0,0
ARH_PE,D,20160705,000000,13.751,13.751,13.22,13.22,0,0
ARH_PE,D,20160706,000000,13.147,13.22,13.147,13.22,0,0
ARH_PE,D,20160707,000000,13.22,13.297,13.22,13.297,0,0
ARH_PE,D,20160712,000000,13.373,13.373,13.373,13.373,0,0
ARH_PE,D,20160713,000000,13.297,13.297,13.297,13.297,0,0
