<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB_PE,D,20071030,000000,7.312,7.312,7.312,7.312,0,0
ASB_PE,D,20071031,000000,7.0298,7.0298,7.0298,7.0298,0,0
ASB_PE,D,20071102,000000,7.1388,7.1388,7.1388,7.1388,0,0
ASB_PE,D,20071105,000000,8.1626,8.1626,8.1626,8.1626,0,0
ASB_PE,D,20071106,000000,8.3303,8.3303,8.3303,8.3303,0,0
ASB_PE,D,20071107,000000,8.0483,8.0483,8.0483,8.0483,0,0
ASB_PE,D,20071108,000000,8.2213,8.2213,8.2213,8.2213,0,0
ASB_PE,D,20071109,000000,7.6518,8.2716,7.6518,8.2716,0,0
ASB_PE,D,20071112,000000,7.7086,8.669,7.7086,8.1626,0,0
ASB_PE,D,20071113,000000,8.669,8.669,8.1626,8.1626,0,0
ASB_PE,D,20071114,000000,6.1781,6.1781,6.1781,6.1781,0,0
ASB_PE,D,20071115,000000,6.3454,6.3454,6.0057,6.0057,0,0
ASB_PE,D,20071116,000000,5.8964,6.0057,5.8389,5.8389,0,0
ASB_PE,D,20071119,000000,5.9482,6.0057,5.8389,6.0057,0,0
ASB_PE,D,20071120,000000,5.6664,5.6664,5.6664,5.6664,0,0
ASB_PE,D,20071121,000000,5.3845,5.3845,4.9874,4.9874,0,0
ASB_PE,D,20071122,000000,4.9874,4.9874,4.9874,4.9874,0,0
ASB_PE,D,20071123,000000,4.5332,5.6664,4.5332,5.6664,0,0
ASB_PE,D,20071126,000000,6.0057,6.0057,5.4994,5.4994,0,0
ASB_PE,D,20071127,000000,5.4994,5.6664,5.4994,5.6089,0,0
ASB_PE,D,20071128,000000,5.6089,5.9482,5.6089,5.9482,0,0
ASB_PE,D,20071129,000000,5.9482,5.9482,5.9482,5.9482,0,0
ASB_PE,D,20071130,000000,5.4421,6.1781,5.4421,6.1781,0,0
ASB_PE,D,20071203,000000,6.1781,6.3454,6.0057,6.3454,0,0
ASB_PE,D,20071205,000000,6.1781,6.2363,5.8389,6.1781,0,0
ASB_PE,D,20071206,000000,6.1781,6.3454,6.1781,6.3454,0,0
ASB_PE,D,20071210,000000,5.9482,6.1781,5.9482,6.0633,0,0
ASB_PE,D,20071211,000000,6.0633,6.742,6.0633,6.742,0,0
ASB_PE,D,20071212,000000,6.742,6.742,6.5179,6.6909,0,0
ASB_PE,D,20071213,000000,6.5179,6.6909,6.5179,6.6909,0,0
ASB_PE,D,20071214,000000,6.4605,6.6909,6.4605,6.5754,0,0
ASB_PE,D,20071217,000000,6.5754,6.5754,6.3454,6.3454,0,0
ASB_PE,D,20071218,000000,6.2937,6.2937,6.2937,6.2937,0,0
ASB_PE,D,20071219,000000,6.4605,6.5179,6.4605,6.5179,0,0
ASB_PE,D,20071220,000000,6.5179,7.1388,6.5179,7.0871,0,0
ASB_PE,D,20071221,000000,7.0871,7.5941,7.0871,7.3694,0,0
ASB_PE,D,20071227,000000,7.3694,7.9906,7.3694,7.7086,0,0
ASB_PE,D,20071228,000000,8.0483,8.1626,7.8232,8.1039,0,0
ASB_PE,D,20080102,000000,8.4443,8.4443,8.1039,8.3303,0,0
ASB_PE,D,20080103,000000,8.2213,8.3303,7.8232,7.8232,0,0
ASB_PE,D,20080104,000000,7.8232,7.8232,7.8232,7.8232,0,0
ASB_PE,D,20080107,000000,7.6518,7.6518,7.0871,7.3694,0,0
ASB_PE,D,20080108,000000,7.0871,7.1388,7.0871,7.1388,0,0
ASB_PE,D,20080109,000000,6.742,7.0298,6.5754,7.0298,0,0
ASB_PE,D,20080110,000000,6.742,6.8575,6.5754,6.8575,0,0
ASB_PE,D,20080111,000000,6.742,6.7995,6.5179,6.7995,0,0
ASB_PE,D,20080114,000000,6.5754,6.5754,6.5754,6.5754,0,0
ASB_PE,D,20080115,000000,6.5754,7.0298,6.5754,6.7995,0,0
ASB_PE,D,20080116,000000,6.4029,6.6328,6.1205,6.3454,0,0
ASB_PE,D,20080117,000000,6.1781,6.742,6.1781,6.1781,0,0
ASB_PE,D,20080118,000000,6.4605,6.4605,6.2363,6.2363,0,0
ASB_PE,D,20080121,000000,6.4029,6.4029,6.0057,6.0057,0,0
ASB_PE,D,20080122,000000,6.1781,6.1781,5.8389,5.8389,0,0
ASB_PE,D,20080123,000000,6.1205,6.1205,5.8389,5.8964,0,0
ASB_PE,D,20080124,000000,6.0057,6.5179,5.8964,6.5179,0,0
ASB_PE,D,20080125,000000,7.1969,7.1969,6.4029,6.5754,0,0
ASB_PE,D,20080128,000000,6.6328,6.6328,6.0633,6.1205,0,0
ASB_PE,D,20080129,000000,6.2363,6.8575,6.1205,6.1781,0,0
ASB_PE,D,20080130,000000,6.2937,6.6909,6.0633,6.6909,0,0
ASB_PE,D,20080131,000000,6.7995,6.7995,6.4605,6.4605,0,0
ASB_PE,D,20080201,000000,6.5754,6.6328,6.2937,6.6328,0,0
ASB_PE,D,20080204,000000,6.742,6.742,6.5179,6.5754,0,0
ASB_PE,D,20080205,000000,6.5754,6.5754,6.3454,6.3454,0,0
ASB_PE,D,20080206,000000,6.1781,6.3454,6.0633,6.2937,0,0
ASB_PE,D,20080207,000000,6.1781,6.4605,6.1205,6.4605,0,0
ASB_PE,D,20080211,000000,6.3454,6.6909,6.3454,6.6909,0,0
ASB_PE,D,20080212,000000,6.6328,6.6328,6.4605,6.5754,0,0
ASB_PE,D,20080213,000000,6.5179,6.5754,6.5179,6.5754,0,0
ASB_PE,D,20080214,000000,6.6909,6.6909,6.2937,6.5754,0,0
ASB_PE,D,20080215,000000,6.2937,6.6328,6.2937,6.6328,0,0
ASB_PE,D,20080218,000000,6.5179,6.6328,6.1205,6.6328,0,0
ASB_PE,D,20080219,000000,6.1781,6.5179,6.1781,6.5179,0,0
ASB_PE,D,20080220,000000,6.2363,6.5179,6.1205,6.5179,0,0
ASB_PE,D,20080221,000000,6.2363,6.5179,6.1781,6.5179,0,0
