<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASE_PE,D,20091028,000000,16.747,16.747,16.747,16.747,0,0
ASE_PE,D,20091029,000000,16.551,18.176,16.551,16.877,0,0
ASE_PE,D,20091030,000000,17.98,17.98,17.008,17.136,0,0
ASE_PE,D,20091102,000000,17.2,17.2,16.551,16.747,0,0
ASE_PE,D,20091103,000000,16.551,16.747,16.032,16.551,0,0
ASE_PE,D,20091104,000000,16.032,17.071,16.032,17.008,0,0
ASE_PE,D,20091105,000000,17.008,17.008,17.008,17.008,0,0
ASE_PE,D,20091106,000000,17.008,17.008,17.008,17.008,0,0
ASE_PE,D,20091109,000000,17.008,17.397,17.008,17.008,0,0
ASE_PE,D,20091110,000000,17.008,17.008,17.008,17.008,0,0
ASE_PE,D,20091112,000000,17.008,17.008,16.941,16.941,0,0
ASE_PE,D,20091116,000000,16.941,16.941,11.944,11.944,0,0
ASE_PE,D,20091118,000000,11.878,11.944,11.878,11.878,0,0
ASE_PE,D,20091119,000000,11.814,11.814,11.684,11.684,0,0
ASE_PE,D,20091123,000000,12.008,12.008,12.008,12.008,0,0
ASE_PE,D,20091124,000000,12.008,12.008,12.008,12.008,0,0
ASE_PE,D,20091125,000000,12.008,12.008,11.944,11.944,0,0
ASE_PE,D,20091126,000000,10.776,11.878,10.776,11.878,0,0
ASE_PE,D,20091203,000000,10.71,11.944,10.71,11.944,0,0
ASE_PE,D,20091204,000000,11.164,11.944,11.164,11.944,0,0
ASE_PE,D,20091217,000000,11.684,11.944,11.684,11.944,0,0
ASE_PE,D,20091218,000000,10.969,11.944,10.969,11.944,0,0
ASE_PE,D,20091221,000000,11.944,11.944,11.944,11.944,0,0
ASE_PE,D,20091228,000000,11.944,11.944,11.944,11.944,0,0
ASE_PE,D,20091229,000000,11.944,11.944,11.944,11.944,0,0
ASE_PE,D,20091231,000000,11.944,11.944,11.944,11.944,0,0
ASE_PE,D,20100104,000000,10.906,17.2,10.906,17.2,0,0
ASE_PE,D,20100105,000000,16.228,16.421,16.228,16.421,0,0
ASE_PE,D,20100106,000000,16.421,16.421,16.421,16.421,0,0
ASE_PE,D,20100107,000000,16.747,16.747,16.421,16.747,0,0
ASE_PE,D,20100108,000000,16.228,16.421,16.228,16.359,0,0
ASE_PE,D,20100112,000000,15.707,16.162,15.707,16.162,0,0
ASE_PE,D,20100113,000000,16.359,16.421,16.359,16.421,0,0
ASE_PE,D,20100114,000000,15.707,16.421,15.707,16.421,0,0
ASE_PE,D,20100115,000000,16.228,16.228,16.228,16.228,0,0
ASE_PE,D,20100122,000000,15.188,16.228,15.188,16.228,0,0
ASE_PE,D,20100126,000000,16.228,16.228,16.228,16.228,0,0
ASE_PE,D,20100202,000000,15.514,16.747,15.514,16.681,0,0
ASE_PE,D,20100205,000000,15.514,15.514,15.514,15.514,0,0
ASE_PE,D,20100216,000000,15.514,15.514,15.514,15.514,0,0
ASE_PE,D,20100222,000000,14.668,14.994,14.668,14.93,0,0
ASE_PE,D,20100226,000000,15.447,15.514,15.447,15.514,0,0
ASE_PE,D,20100302,000000,15.579,15.579,15.579,15.579,0,0
ASE_PE,D,20100304,000000,15.707,15.707,15.707,15.707,0,0
ASE_PE,D,20100310,000000,15.707,15.707,15.707,15.707,0,0
ASE_PE,D,20100311,000000,15.188,15.188,15.188,15.188,0,0
ASE_PE,D,20100312,000000,15.707,16.618,15.707,16.618,0,0
ASE_PE,D,20100315,000000,16.747,16.747,16.747,16.747,0,0
ASE_PE,D,20100317,000000,17.59,17.785,17.461,17.461,0,0
ASE_PE,D,20100318,000000,17.785,17.785,14.216,14.216,0,0
ASE_PE,D,20100329,000000,12.982,14.216,12.982,14.216,0,0
ASE_PE,D,20100330,000000,14.216,14.28,14.216,14.28,0,0
ASE_PE,D,20100331,000000,14.281,14.281,14.149,14.149,0,0
ASE_PE,D,20100401,000000,14.216,14.216,14.216,14.216,0,0
ASE_PE,D,20100406,000000,14.15,14.15,13.827,13.889,0,0
ASE_PE,D,20100412,000000,13.502,13.631,13.371,13.631,0,0
ASE_PE,D,20100413,000000,12.657,12.723,12.593,12.723,0,0
ASE_PE,D,20100414,000000,13.889,13.889,13.889,13.889,0,0
ASE_PE,D,20100415,000000,13.437,13.502,12.657,13.371,0,0
ASE_PE,D,20100416,000000,12.851,13.371,12.851,13.048,0,0
ASE_PE,D,20100419,000000,13.242,13.242,13.048,13.048,0,0
ASE_PE,D,20100420,000000,13.048,13.371,13.048,13.048,0,0
ASE_PE,D,20100421,000000,13.048,13.242,12.982,13.048,0,0
ASE_PE,D,20100423,000000,13.047,13.047,12.27,12.788,0,0
ASE_PE,D,20100426,000000,12.787,12.787,12.787,12.787,0,0
ASE_PE,D,20100427,000000,12.787,12.787,12.593,12.593,0,0
ASE_PE,D,20100428,000000,12.526,12.526,12.526,12.526,0,0
ASE_PE,D,20100429,000000,12.593,12.593,12.526,12.526,0,0
ASE_PE,D,20100430,000000,12.723,12.723,12.526,12.526,0,0
ASE_PE,D,20100504,000000,12.526,12.526,12.463,12.463,0,0
ASE_PE,D,20100505,000000,12.723,12.723,12.723,12.723,0,0
ASE_PE,D,20100506,000000,12.723,12.723,12.723,12.723,0,0
ASE_PE,D,20100507,000000,12.332,12.593,12.332,12.593,0,0
ASE_PE,D,20100510,000000,12.657,12.657,12.267,12.398,0,0
ASE_PE,D,20100511,000000,12.267,12.267,11.618,11.618,0,0
ASE_PE,D,20100512,000000,11.424,11.424,10.906,10.906,0,0
ASE_PE,D,20100513,000000,10.906,10.906,10.061,10.581,0,0
ASE_PE,D,20100514,000000,11.164,11.164,10.061,10.061,0,0
ASE_PE,D,20100517,000000,10.191,10.191,9.737,9.998,0,0
ASE_PE,D,20100518,000000,10.191,10.191,9.2822,9.3471,0,0
ASE_PE,D,20100519,000000,9.3471,9.3471,8.5031,8.5031,0,0
ASE_PE,D,20100520,000000,8.6332,8.6332,8.4384,8.4384,0,0
ASE_PE,D,20100521,000000,8.4384,8.6332,8.4384,8.6332,0,0
ASE_PE,D,20100524,000000,8.6332,8.6332,8.3737,8.6332,0,0
ASE_PE,D,20100525,000000,8.5678,8.5678,7.9841,8.3737,0,0
ASE_PE,D,20100526,000000,8.4384,8.6968,8.2441,8.6968,0,0
ASE_PE,D,20100527,000000,8.6968,8.6968,8.6968,8.6968,0,0
ASE_PE,D,20100528,000000,8.6968,8.6968,8.5031,8.6332,0,0
ASE_PE,D,20100531,000000,8.6314,9.0852,8.6314,8.9594,0,0
ASE_PE,D,20100601,000000,9.0221,9.0221,8.6968,8.893,0,0
ASE_PE,D,20100602,000000,8.8267,8.8267,8.8267,8.8267,0,0
ASE_PE,D,20100604,000000,8.8267,8.893,8.7631,8.8267,0,0
ASE_PE,D,20100607,000000,8.7631,8.7631,8.5678,8.5678,0,0
ASE_PE,D,20100608,000000,8.5031,8.5031,8.3737,8.3737,0,0
ASE_PE,D,20100609,000000,8.3737,8.3737,8.3072,8.3737,0,0
ASE_PE,D,20100610,000000,8.3737,8.6968,8.3737,8.6968,0,0
ASE_PE,D,20100611,000000,8.6968,8.6968,8.4384,8.5678,0,0
ASE_PE,D,20100614,000000,8.6968,8.893,8.5678,8.6968,0,0
ASE_PE,D,20100615,000000,8.7631,8.7631,8.6968,8.6968,0,0
ASE_PE,D,20100616,000000,8.7631,8.7631,8.6314,8.7631,0,0
ASE_PE,D,20100617,000000,8.6959,8.6959,8.5652,8.6959,0,0
ASE_PE,D,20100618,000000,8.5652,8.5652,8.4401,8.5652,0,0
ASE_PE,D,20100621,000000,8.5678,8.5678,8.4384,8.5678,0,0
ASE_PE,D,20100622,000000,8.5652,8.5652,8.1127,8.3089,0,0
ASE_PE,D,20100623,000000,8.2441,8.3762,7.8566,8.046,0,0
ASE_PE,D,20100624,000000,8.046,8.046,7.7254,7.9816,0,0
ASE_PE,D,20100625,000000,7.9816,8.178,7.8566,8.178,0,0
ASE_PE,D,20100628,000000,7.7904,7.9224,7.7254,7.8566,0,0
ASE_PE,D,20100629,000000,8.1454,8.1454,7.7512,7.7512,0,0
ASE_PE,D,20100630,000000,7.884,7.9515,7.8166,7.9515,0,0
ASE_PE,D,20100701,000000,7.8823,7.949,7.8823,7.949,0,0
