<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AST_PE,D,20070813,000000,17.3,17.3,17.3,17.3,0,0
AST_PE,D,20070814,000000,14.1,14.1,14.1,14.1,0,0
AST_PE,D,20070816,000000,13.7,13.7,13.7,13.7,0,0
AST_PE,D,20070817,000000,13.5,13.5,13.5,13.5,0,0
AST_PE,D,20070820,000000,13.8,13.8,13.8,13.8,0,0
AST_PE,D,20070821,000000,14.2,14.2,14.2,14.2,0,0
AST_PE,D,20070822,000000,14.9,14.9,14.9,14.9,0,0
AST_PE,D,20070823,000000,15.5,15.5,15.5,15.5,0,0
AST_PE,D,20070824,000000,15,15,15,15,0,0
AST_PE,D,20070827,000000,15.6,15.6,15.6,15.6,0,0
AST_PE,D,20070828,000000,15.4,15.4,15.4,15.4,0,0
AST_PE,D,20070829,000000,15.5,15.5,15.5,15.5,0,0
AST_PE,D,20071119,000000,12.3,12.3,12.3,12.3,0,0
AST_PE,D,20071120,000000,12.4,12.4,12,12.3,0,0
AST_PE,D,20071121,000000,11.7,11.7,10.5,11.3,0,0
AST_PE,D,20071122,000000,10.9,11.9,10.5,11.9,0,0
AST_PE,D,20071123,000000,11.9,12.2,11.1,11.4,0,0
AST_PE,D,20071126,000000,11.5,11.9,11,11,0,0
AST_PE,D,20071127,000000,10.8,11.4,10.5,10.9,0,0
AST_PE,D,20071128,000000,10.9,11.3,10.9,11.3,0,0
AST_PE,D,20071129,000000,11.5,11.9,11.3,11.9,0,0
AST_PE,D,20071130,000000,12,12.3,12,12.3,0,0
AST_PE,D,20071203,000000,12.5,12.5,12.2,12.3,0,0
AST_PE,D,20071204,000000,12.3,12.5,12.2,12.2,0,0
AST_PE,D,20071205,000000,12.2,12.2,11.9,12.1,0,0
AST_PE,D,20071206,000000,12.1,12.6,12.1,12.4,0,0
AST_PE,D,20071207,000000,12.2,12.2,11.7,11.7,0,0
AST_PE,D,20071210,000000,11.8,11.8,11.5,11.8,0,0
AST_PE,D,20071211,000000,11.8,12.3,11.5,12.3,0,0
AST_PE,D,20071212,000000,11.5,13.4,11.5,13.4,0,0
AST_PE,D,20071213,000000,13.5,13.9,13.4,13.5,0,0
AST_PE,D,20071214,000000,13.5,14.1,13.4,14,0,0
AST_PE,D,20071217,000000,13.5,14.7,12.8,13.4,0,0
AST_PE,D,20071218,000000,13.3,14.6,13,14.4,0,0
AST_PE,D,20071219,000000,14.6,16.3,14.6,15.7,0,0
AST_PE,D,20071220,000000,15.9,15.9,15.2,15.9,0,0
AST_PE,D,20071221,000000,15.9,16.9,15.9,16.9,0,0
AST_PE,D,20071227,000000,17.1,17.6,16,16.8,0,0
AST_PE,D,20071228,000000,17.4,17.4,16,17.1,0,0
AST_PE,D,20080102,000000,16.7,17.1,16.3,16.3,0,0
AST_PE,D,20080103,000000,16.1,16.5,15.4,16.4,0,0
AST_PE,D,20080104,000000,16.8,16.8,16,16.4,0,0
AST_PE,D,20080107,000000,16,16.3,15.7,15.8,0,0
AST_PE,D,20080108,000000,15.9,16.5,15.9,16.4,0,0
AST_PE,D,20080109,000000,16,16,15.5,16,0,0
AST_PE,D,20080110,000000,15.4,16,15.4,15.5,0,0
AST_PE,D,20080111,000000,15.5,15.6,14.9,15.6,0,0
AST_PE,D,20080114,000000,15.6,15.6,15.6,15.6,0,0
AST_PE,D,20080115,000000,16.1,17.8,16.1,16.1,0,0
AST_PE,D,20080116,000000,16.1,17.6,16.1,17.1,0,0
AST_PE,D,20080117,000000,17.6,18.7,16.6,16.6,0,0
AST_PE,D,20080118,000000,16.6,17.1,15.6,15.9,0,0
AST_PE,D,20080121,000000,15,15.4,14.9,15.3,0,0
AST_PE,D,20080122,000000,15.3,16.4,14.5,15.2,0,0
AST_PE,D,20080123,000000,15.2,16.2,14.7,14.9,0,0
AST_PE,D,20080124,000000,15.1,15.4,14.9,15.4,0,0
AST_PE,D,20080125,000000,15.7,16.1,15.7,16.1,0,0
AST_PE,D,20080128,000000,15.5,16.1,15.5,15.9,0,0
AST_PE,D,20080129,000000,15.9,18,15.9,17.7,0,0
AST_PE,D,20080130,000000,17.7,18.3,17,18.3,0,0
AST_PE,D,20080131,000000,18.6,18.9,17.7,17.7,0,0
AST_PE,D,20080201,000000,18.4,18.4,17,17.6,0,0
AST_PE,D,20080204,000000,18.2,18.2,17.1,17.8,0,0
AST_PE,D,20080205,000000,17,17.7,17,17,0,0
AST_PE,D,20080206,000000,16.8,17.6,16.8,17.4,0,0
AST_PE,D,20080207,000000,17.7,18.1,16.2,16.3,0,0
AST_PE,D,20080208,000000,16.2,16.5,16,16.5,0,0
AST_PE,D,20080211,000000,16.5,17.3,16.5,17.2,0,0
AST_PE,D,20080212,000000,16.8,17.2,16.8,17.2,0,0
AST_PE,D,20080213,000000,17.8,17.8,17.2,17.4,0,0
AST_PE,D,20080214,000000,18,18.1,17.4,17.6,0,0
AST_PE,D,20080215,000000,17.9,17.9,17.4,17.4,0,0
AST_PE,D,20080218,000000,17.7,17.7,16.7,17.4,0,0
AST_PE,D,20080219,000000,17.4,17.5,16.9,16.9,0,0
AST_PE,D,20080220,000000,17.1,17.3,16.9,17.2,0,0
AST_PE,D,20080221,000000,17.7,18,17.2,17.7,0,0
AST_PE,D,20080222,000000,17.7,18.5,17.7,18.3,0,0
AST_PE,D,20080225,000000,18.5,20.2,18.5,19.1,0,0
AST_PE,D,20080226,000000,19.1,19.4,18.7,19.3,0,0
AST_PE,D,20080227,000000,19.3,19.5,19,19.3,0,0
AST_PE,D,20080228,000000,19.3,19.6,12.4,12.4,0,0
AST_PE,D,20080229,000000,12.4,12.6,11.5,11.8,0,0
AST_PE,D,20080303,000000,11.7,11.7,11.1,11.4,0,0
AST_PE,D,20080304,000000,11.4,12.1,11.4,11.8,0,0
AST_PE,D,20080305,000000,12.3,13.4,12.3,13.3,0,0
AST_PE,D,20080306,000000,13,13.1,12.9,13,0,0
AST_PE,D,20080307,000000,13,13.1,12.8,12.9,0,0
AST_PE,D,20080310,000000,12.9,14,12.9,14,0,0
AST_PE,D,20080311,000000,14,14.7,14,14.5,0,0
AST_PE,D,20080312,000000,14.7,14.8,14.3,14.4,0,0
AST_PE,D,20080313,000000,14.4,14.4,13.4,14.1,0,0
AST_PE,D,20080314,000000,14.2,15.3,14.1,15,0,0
AST_PE,D,20080317,000000,14.7,14.8,14.2,14.7,0,0
AST_PE,D,20080318,000000,15.4,15.4,13.3,14.1,0,0
AST_PE,D,20080319,000000,14.2,14.2,13.6,13.9,0,0
AST_PE,D,20080320,000000,13.4,13.4,12.6,12.8,0,0
AST_PE,D,20080325,000000,12.8,13.2,12.8,13.2,0,0
AST_PE,D,20080326,000000,13.5,13.8,13.2,13.2,0,0
AST_PE,D,20080327,000000,13.3,14.4,13.2,14.4,0,0
AST_PE,D,20080328,000000,14.4,14.4,14,14.1,0,0
AST_PE,D,20080331,000000,14.2,14.2,14.2,14.2,0,0
AST_PE,D,20080401,000000,14.2,14.2,13.7,13.7,0,0
AST_PE,D,20080402,000000,13.8,13.8,13.3,13.3,0,0
AST_PE,D,20080403,000000,13.3,13.7,13.3,13.4,0,0
AST_PE,D,20080404,000000,13.7,13.7,13.2,13.4,0,0
AST_PE,D,20080407,000000,13.1,13.7,13.1,13.7,0,0
