<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC_PE,D,20091023,000000,5.9871,5.9871,5.9871,5.9871,0,0
ATC_PE,D,20091026,000000,5.9871,5.9871,5.9002,5.9002,0,0
ATC_PE,D,20091027,000000,5.9002,5.9871,5.8135,5.9871,0,0
ATC_PE,D,20091028,000000,5.9871,5.9871,5.8135,5.8135,0,0
ATC_PE,D,20091029,000000,5.8135,5.8135,5.64,5.7267,0,0
ATC_PE,D,20091030,000000,5.64,5.7267,5.64,5.7267,0,0
ATC_PE,D,20091102,000000,5.7267,5.7267,5.7267,5.7267,0,0
ATC_PE,D,20091103,000000,5.7267,5.8135,5.64,5.7267,0,0
ATC_PE,D,20091104,000000,5.7267,5.7267,5.64,5.7267,0,0
ATC_PE,D,20091105,000000,5.64,5.8135,5.64,5.64,0,0
ATC_PE,D,20091106,000000,5.64,5.7267,5.5532,5.7267,0,0
ATC_PE,D,20091109,000000,5.64,5.9871,5.64,5.8135,0,0
ATC_PE,D,20091110,000000,5.9002,5.9002,5.8135,5.9002,0,0
ATC_PE,D,20091112,000000,5.9002,5.9002,5.8135,5.8135,0,0
ATC_PE,D,20091113,000000,5.8135,5.9002,5.8135,5.8135,0,0
ATC_PE,D,20091116,000000,5.9002,5.9002,5.8135,5.8135,0,0
ATC_PE,D,20091117,000000,5.8135,5.8135,5.7267,5.8135,0,0
ATC_PE,D,20091118,000000,5.8135,5.8135,5.7267,5.7267,0,0
ATC_PE,D,20091119,000000,5.7267,5.7267,5.2061,5.2061,0,0
ATC_PE,D,20091120,000000,5.2061,5.2929,5.2061,5.2929,0,0
ATC_PE,D,20091123,000000,5.2061,5.2061,5.2061,5.2061,0,0
ATC_PE,D,20091124,000000,5.2061,5.2061,5.2061,5.2061,0,0
ATC_PE,D,20091125,000000,5.2061,5.2061,5.1193,5.2061,0,0
ATC_PE,D,20091126,000000,5.2061,5.2061,5.1193,5.1193,0,0
ATC_PE,D,20091127,000000,4.9458,6.0738,4.9458,6.0738,0,0
ATC_PE,D,20091130,000000,5.9871,6.0738,5.9002,6.0738,0,0
ATC_PE,D,20091201,000000,5.9871,5.9871,5.9002,5.9871,0,0
ATC_PE,D,20091202,000000,5.9871,5.9871,5.9002,5.9871,0,0
ATC_PE,D,20091203,000000,5.9002,6.2473,5.9002,6.2473,0,0
ATC_PE,D,20091204,000000,6.2473,6.3341,6.0738,6.3341,0,0
ATC_PE,D,20091207,000000,6.3341,6.3341,6.2473,6.2473,0,0
ATC_PE,D,20091208,000000,6.2473,6.7679,6.2473,6.6812,0,0
ATC_PE,D,20091209,000000,6.7679,7.0283,6.7679,6.9414,0,0
ATC_PE,D,20091210,000000,7.0283,7.0283,6.7679,6.8547,0,0
ATC_PE,D,20091211,000000,6.8547,6.9414,6.7679,6.8547,0,0
ATC_PE,D,20091214,000000,6.7679,6.8547,6.7679,6.7679,0,0
ATC_PE,D,20091215,000000,6.7679,6.8547,6.7679,6.8547,0,0
ATC_PE,D,20091216,000000,6.7679,6.9414,6.7679,6.8547,0,0
ATC_PE,D,20091217,000000,6.8547,6.9414,6.7679,6.8547,0,0
ATC_PE,D,20091218,000000,6.8547,6.8547,6.7679,6.8547,0,0
ATC_PE,D,20091221,000000,6.8547,6.8547,6.8547,6.8547,0,0
ATC_PE,D,20091222,000000,6.8547,6.8547,6.7679,6.8547,0,0
ATC_PE,D,20091223,000000,6.8547,6.8547,6.8547,6.8547,0,0
ATC_PE,D,20091228,000000,6.8547,6.8547,6.8547,6.8547,0,0
ATC_PE,D,20091229,000000,6.8547,6.9414,6.8547,6.8547,0,0
ATC_PE,D,20091230,000000,6.8547,6.9414,6.8547,6.8547,0,0
ATC_PE,D,20091231,000000,6.8547,6.8547,6.7679,6.8547,0,0
ATC_PE,D,20100104,000000,6.8547,6.8547,6.7679,6.8547,0,0
ATC_PE,D,20100105,000000,6.8547,6.9414,6.8547,6.8547,0,0
ATC_PE,D,20100106,000000,6.8547,6.8547,6.7679,6.8547,0,0
ATC_PE,D,20100107,000000,6.8547,6.8547,6.7679,6.7679,0,0
ATC_PE,D,20100108,000000,6.7679,6.7679,6.5077,6.5077,0,0
ATC_PE,D,20100111,000000,6.5077,6.5945,6.3341,6.4209,0,0
ATC_PE,D,20100112,000000,6.4209,6.5077,6.3341,6.3341,0,0
ATC_PE,D,20100113,000000,6.3341,6.6812,6.3341,6.6812,0,0
ATC_PE,D,20100114,000000,6.7679,6.7679,6.5077,6.5077,0,0
ATC_PE,D,20100115,000000,6.5077,6.5945,6.5077,6.5945,0,0
ATC_PE,D,20100118,000000,6.6812,6.7679,6.6812,6.7679,0,0
ATC_PE,D,20100119,000000,6.7679,6.7679,6.6812,6.7679,0,0
ATC_PE,D,20100120,000000,6.7679,6.7679,6.6812,6.6812,0,0
ATC_PE,D,20100121,000000,6.6812,6.6812,6.5945,6.5945,0,0
ATC_PE,D,20100122,000000,6.5945,6.5945,6.5945,6.5945,0,0
ATC_PE,D,20100125,000000,6.5945,6.7679,6.5077,6.6812,0,0
ATC_PE,D,20100126,000000,6.5945,6.5945,6.5077,6.5945,0,0
ATC_PE,D,20100127,000000,6.5945,6.6812,6.5945,6.6812,0,0
ATC_PE,D,20100128,000000,6.6812,6.8547,6.5945,6.7679,0,0
ATC_PE,D,20100129,000000,6.7641,6.7641,6.7641,6.7641,0,0
ATC_PE,D,20100201,000000,6.7679,6.7679,6.6812,6.7679,0,0
ATC_PE,D,20100202,000000,6.7679,7.0283,6.7679,6.9414,0,0
ATC_PE,D,20100203,000000,6.9414,7.2018,6.8547,7.2018,0,0
ATC_PE,D,20100204,000000,7.2018,7.3753,7.115,7.115,0,0
ATC_PE,D,20100205,000000,7.0283,7.115,6.8547,7.115,0,0
ATC_PE,D,20100208,000000,7.0283,7.2886,6.9414,7.115,0,0
ATC_PE,D,20100209,000000,7.2018,7.2018,7.0283,7.115,0,0
ATC_PE,D,20100210,000000,7.115,7.115,7.0283,7.0283,0,0
ATC_PE,D,20100211,000000,7.115,7.2018,7.0283,7.115,0,0
ATC_PE,D,20100212,000000,7.115,7.2886,7.115,7.2018,0,0
ATC_PE,D,20100215,000000,7.2018,7.4621,7.2018,7.3753,0,0
ATC_PE,D,20100216,000000,7.4621,7.4621,7.2886,7.3753,0,0
ATC_PE,D,20100217,000000,7.4621,7.5489,7.4621,7.5489,0,0
ATC_PE,D,20100218,000000,7.5489,7.6357,7.4621,7.6357,0,0
ATC_PE,D,20100219,000000,7.4621,7.6357,7.4621,7.6357,0,0
ATC_PE,D,20100222,000000,7.8092,7.8092,7.6357,7.8092,0,0
ATC_PE,D,20100223,000000,7.8959,7.8959,7.7224,7.8092,0,0
ATC_PE,D,20100224,000000,7.8092,7.8092,7.6357,7.6357,0,0
ATC_PE,D,20100225,000000,7.7224,7.8092,7.6357,7.8092,0,0
ATC_PE,D,20100226,000000,7.8092,8.1562,7.8092,7.9826,0,0
ATC_PE,D,20100301,000000,7.9826,8.1562,7.9826,8.0695,0,0
ATC_PE,D,20100302,000000,8.0695,8.1562,7.9826,8.0695,0,0
ATC_PE,D,20100303,000000,8.1562,8.2431,6.5077,6.5077,0,0
ATC_PE,D,20100304,000000,6.4209,6.4209,6.2473,6.2473,0,0
ATC_PE,D,20100305,000000,6.2473,6.8547,6.2473,6.8547,0,0
ATC_PE,D,20100308,000000,6.8547,7.115,6.7679,7.0283,0,0
ATC_PE,D,20100309,000000,7.0283,7.2018,7.0283,7.115,0,0
ATC_PE,D,20100310,000000,7.115,7.3753,7.115,7.2886,0,0
ATC_PE,D,20100311,000000,7.2886,7.2886,7.115,7.115,0,0
ATC_PE,D,20100312,000000,7.2018,7.2886,7.115,7.115,0,0
ATC_PE,D,20100315,000000,7.115,7.115,6.7679,6.8547,0,0
