<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATD_PE,D,20120601,000000,6.9793,6.9793,6.9793,6.9793,0,0
ATD_PE,D,20120604,000000,6.9178,6.9178,6.3002,6.7943,0,0
ATD_PE,D,20120605,000000,6.5465,6.9793,6.113,6.1776,0,0
ATD_PE,D,20120606,000000,6.0547,6.4234,6.0547,6.3007,0,0
ATD_PE,D,20120608,000000,6.1148,6.1148,5.6824,5.6824,0,0
ATD_PE,D,20120611,000000,5.7442,5.7442,5.6208,5.6824,0,0
ATD_PE,D,20120612,000000,5.6824,5.7442,5.4974,5.6824,0,0
ATD_PE,D,20120613,000000,5.7442,5.7442,5.4974,5.6824,0,0
ATD_PE,D,20120614,000000,5.7442,5.7442,5.5589,5.5589,0,0
ATD_PE,D,20120615,000000,5.7442,5.8089,5.6214,5.8089,0,0
ATD_PE,D,20120618,000000,5.9297,6.053,5.8678,5.8678,0,0
ATD_PE,D,20120619,000000,5.9913,5.9913,5.9297,5.9297,0,0
ATD_PE,D,20120620,000000,6.1148,6.3002,6.1148,6.1148,0,0
ATD_PE,D,20120621,000000,6.3002,6.4855,6.3002,6.4237,0,0
ATD_PE,D,20120622,000000,6.5465,6.5465,6.113,6.4881,0,0
ATD_PE,D,20120625,000000,6.6709,6.6709,6.1766,6.1766,0,0
ATD_PE,D,20120626,000000,6.1148,6.6095,6.1148,6.1148,0,0
ATD_PE,D,20120627,000000,6.0547,6.113,5.8672,5.8672,0,0
ATD_PE,D,20120628,000000,6.113,6.3007,5.9318,6.3007,0,0
ATD_PE,D,20120629,000000,6.4881,6.4881,6.4234,6.4234,0,0
ATD_PE,D,20120703,000000,6.0547,6.4881,6.0547,6.113,0,0
ATD_PE,D,20120704,000000,6.113,6.3007,6.113,6.3007,0,0
ATD_PE,D,20120705,000000,6.1453,6.5335,6.0159,6.4041,0,0
ATD_PE,D,20120706,000000,6.3394,6.4041,6.3394,6.3394,0,0
ATD_PE,D,20120709,000000,6.4041,6.4041,6.4041,6.4041,0,0
ATD_PE,D,20120710,000000,6.3394,6.4041,5.9512,5.9512,0,0
ATD_PE,D,20120711,000000,6.0159,6.1453,5.9512,6.1453,0,0
ATD_PE,D,20120712,000000,6.1453,6.1453,6.0159,6.0159,0,0
ATD_PE,D,20120713,000000,6.0159,6.0159,6.0159,6.0159,0,0
ATD_PE,D,20120716,000000,6.0159,6.0159,6.0159,6.0159,0,0
ATD_PE,D,20120717,000000,6.0159,6.0159,5.7572,5.7572,0,0
ATD_PE,D,20120718,000000,5.8218,5.8218,5.8218,5.8218,0,0
ATD_PE,D,20120719,000000,5.6278,5.6278,5.6278,5.6278,0,0
ATD_PE,D,20120720,000000,5.7572,5.7572,5.6925,5.6925,0,0
ATD_PE,D,20120723,000000,5.6278,5.6278,5.6278,5.6278,0,0
ATD_PE,D,20120724,000000,5.5631,5.8866,5.5631,5.8866,0,0
ATD_PE,D,20120725,000000,5.6925,5.8218,5.6925,5.7572,0,0
ATD_PE,D,20120726,000000,5.8866,5.8866,5.5631,5.7572,0,0
ATD_PE,D,20120727,000000,5.8218,5.8866,5.8218,5.8866,0,0
ATD_PE,D,20120730,000000,5.8866,5.8866,5.8866,5.8866,0,0
ATD_PE,D,20120731,000000,5.8866,5.9512,5.8866,5.9512,0,0
ATD_PE,D,20120801,000000,5.7572,6.0806,5.7572,6.0806,0,0
ATD_PE,D,20120802,000000,6.1453,6.6627,6.1453,6.6627,0,0
ATD_PE,D,20120803,000000,6.7922,6.7922,6.5984,6.7275,0,0
ATD_PE,D,20120808,000000,6.5984,6.5984,6.2101,6.4041,0,0
ATD_PE,D,20120809,000000,6.6627,6.6627,6.4041,6.4041,0,0
ATD_PE,D,20120810,000000,6.3394,6.4041,6.3394,6.4041,0,0
ATD_PE,D,20120813,000000,5.9512,5.9512,5.9512,5.9512,0,0
ATD_PE,D,20120814,000000,5.8866,6.4041,5.8866,6.3394,0,0
ATD_PE,D,20120816,000000,5.8866,6.3394,5.8866,6.3394,0,0
ATD_PE,D,20120817,000000,6.0159,6.3394,6.0159,6.2747,0,0
ATD_PE,D,20120820,000000,5.8866,5.8866,5.6925,5.6925,0,0
ATD_PE,D,20120821,000000,5.6925,6.2101,5.6925,6.2101,0,0
ATD_PE,D,20120822,000000,6.1453,6.1453,6.0806,6.0806,0,0
ATD_PE,D,20120823,000000,6.1453,6.1453,6.1453,6.1453,0,0
ATD_PE,D,20120824,000000,6.1453,6.1453,6.1453,6.1453,0,0
ATD_PE,D,20120827,000000,6.1453,6.2101,6.1453,6.2101,0,0
ATD_PE,D,20120828,000000,5.7572,6.2101,5.7572,6.2101,0,0
ATD_PE,D,20120829,000000,5.7572,6.2101,5.7572,6.1453,0,0
ATD_PE,D,20120831,000000,5.9512,5.9512,5.9512,5.9512,0,0
