<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATG_PE,D,20070813,000000,16.725,16.725,16.725,16.725,0,0
ATG_PE,D,20070814,000000,16.831,16.831,16.831,16.831,0,0
ATG_PE,D,20070816,000000,15.945,15.945,15.945,15.945,0,0
ATG_PE,D,20070817,000000,15.945,15.945,15.945,15.945,0,0
ATG_PE,D,20070820,000000,15.78,15.78,15.78,15.78,0,0
ATG_PE,D,20070821,000000,15.113,15.113,15.113,15.113,0,0
ATG_PE,D,20070822,000000,16.28,16.28,16.28,16.28,0,0
ATG_PE,D,20070823,000000,18.499,18.499,18.499,18.499,0,0
ATG_PE,D,20070824,000000,19,19,19,19,0,0
ATG_PE,D,20070827,000000,19.277,19.277,19.277,19.277,0,0
ATG_PE,D,20070828,000000,19.222,19.222,19.222,19.222,0,0
ATG_PE,D,20070829,000000,18.556,18.556,18.556,18.556,0,0
ATG_PE,D,20070830,000000,19.171,19.171,19.171,19.171,0,0
ATG_PE,D,20070831,000000,19.222,19.222,19.222,19.222,0,0
ATG_PE,D,20070903,000000,19.392,19.392,19.392,19.392,0,0
ATG_PE,D,20070904,000000,19.557,19.557,19.557,19.557,0,0
ATG_PE,D,20070905,000000,21.002,21.002,21.002,21.002,0,0
ATG_PE,D,20070906,000000,20.609,20.609,20.609,20.609,0,0
ATG_PE,D,20070907,000000,20.609,20.609,20.609,20.609,0,0
ATG_PE,D,20070910,000000,20.609,20.609,20.609,20.609,0,0
ATG_PE,D,20070911,000000,20.78,20.78,20.78,20.78,0,0
ATG_PE,D,20070912,000000,20.945,20.945,20.945,20.945,0,0
ATG_PE,D,20070913,000000,20.945,20.945,20.945,20.945,0,0
ATG_PE,D,20070914,000000,20.945,20.945,20.945,20.945,0,0
ATG_PE,D,20070917,000000,20.444,20.444,20.444,20.444,0,0
ATG_PE,D,20070918,000000,20.165,20.165,20.165,20.165,0,0
ATG_PE,D,20070919,000000,20.945,20.945,20.945,20.945,0,0
ATG_PE,D,20070920,000000,20.887,20.887,20.887,20.887,0,0
ATG_PE,D,20070921,000000,21.002,21.002,21.002,21.002,0,0
ATG_PE,D,20070924,000000,20.831,20.831,20.831,20.831,0,0
ATG_PE,D,20070925,000000,20.831,20.831,20.831,20.831,0,0
ATG_PE,D,20070926,000000,22.668,22.668,22.668,22.668,0,0
