<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT_PE,D,20200424,000000,26.9,26.9,26.9,26.9,0,0
BBT_PE,D,20200427,000000,31.1,35,29.9,29.9,0,0
BBT_PE,D,20200428,000000,29.8,30.4,28.1,28.5,0,0
BBT_PE,D,20200429,000000,27.8,28.4,27,28.2,0,0
BBT_PE,D,20200430,000000,28.4,28.4,26.3,26.9,0,0
BBT_PE,D,20200504,000000,27,27.8,26.6,27.8,0,0
BBT_PE,D,20200505,000000,28.3,29.2,27.7,27.7,0,0
BBT_PE,D,20200506,000000,27.2,28.2,26.9,27.8,0,0
BBT_PE,D,20200507,000000,28.7,28.7,27.2,28,0,0
BBT_PE,D,20200508,000000,28.5,28.5,27.6,27.6,0,0
BBT_PE,D,20200511,000000,28.1,28.4,26.8,27.2,0,0
BBT_PE,D,20200512,000000,27.5,27.7,27.2,27.6,0,0
BBT_PE,D,20200513,000000,27.1,27.8,27.1,27.5,0,0
BBT_PE,D,20200514,000000,27.5,27.5,25.8,26.2,0,0
BBT_PE,D,20200515,000000,26.2,27.4,26.2,26.6,0,0
BBT_PE,D,20200518,000000,25.9,27.6,25.9,27.4,0,0
BBT_PE,D,20200519,000000,27.7,28.4,27.4,28.3,0,0
BBT_PE,D,20200520,000000,28.4,29.3,28,29,0,0
BBT_PE,D,20200521,000000,29.2,29.6,28.8,28.8,0,0
BBT_PE,D,20200522,000000,28.5,29.1,28,28.7,0,0
BBT_PE,D,20200525,000000,28.6,30.2,28.3,30.2,0,0
BBT_PE,D,20200526,000000,30.3,32.6,30.3,32.1,0,0
BBT_PE,D,20200527,000000,32.6,33,28.5,29.2,0,0
BBT_PE,D,20200528,000000,29.8,30.6,29.3,30.2,0,0
BBT_PE,D,20200529,000000,32.7,33,18.5,18.5,0,0
BBT_PE,D,20200601,000000,18.9,18.9,17.9,18.4,0,0
BBT_PE,D,20200602,000000,18.4,18.4,18,18.4,0,0
BBT_PE,D,20200603,000000,18.4,18.5,18,18.4,0,0
BBT_PE,D,20200604,000000,18.1,18.2,17.4,17.7,0,0
BBT_PE,D,20200605,000000,17.2,17.3,16.8,17,0,0
BBT_PE,D,20200608,000000,17.2,17.2,16.2,17.1,0,0
BBT_PE,D,20200609,000000,16.9,17.7,16.6,17.7,0,0
BBT_PE,D,20200610,000000,17.9,17.9,16.7,17.1,0,0
BBT_PE,D,20200612,000000,16.3,16.7,16.1,16.5,0,0
BBT_PE,D,20200615,000000,16.1,16.4,16,16.1,0,0
BBT_PE,D,20200616,000000,16.3,16.7,16.3,16.7,0,0
BBT_PE,D,20200617,000000,16.8,16.8,16.4,16.6,0,0
BBT_PE,D,20200618,000000,16.7,16.7,16.2,16.3,0,0
BBT_PE,D,20200619,000000,16.2,16.6,15.8,16.6,0,0
BBT_PE,D,20200622,000000,16.6,17.2,16.5,16.7,0,0
BBT_PE,D,20200623,000000,16.8,18.2,16.5,17.8,0,0
BBT_PE,D,20200624,000000,17.8,17.8,17.4,17.4,0,0
BBT_PE,D,20200625,000000,17.4,17.4,17.1,17.2,0,0
BBT_PE,D,20200626,000000,17.6,17.8,17.2,17.5,0,0
BBT_PE,D,20200629,000000,17.5,17.7,17.5,17.6,0,0
BBT_PE,D,20200630,000000,17.7,17.7,16.9,16.9,0,0
BBT_PE,D,20200701,000000,16.8,17.4,16.8,17.4,0,0
BBT_PE,D,20200702,000000,17.5,17.7,17.2,17.5,0,0
BBT_PE,D,20200703,000000,17.6,18.5,17.4,18.2,0,0
BBT_PE,D,20200706,000000,18.4,18.4,17.4,17.4,0,0
BBT_PE,D,20200707,000000,17.4,18,17.1,17.1,0,0
BBT_PE,D,20200708,000000,17.5,18.3,16.9,18.3,0,0
BBT_PE,D,20200709,000000,18.7,19,17.5,18,0,0
BBT_PE,D,20200710,000000,18.4,18.4,17.6,17.8,0,0
BBT_PE,D,20200713,000000,18.3,18.3,17.5,17.7,0,0
BBT_PE,D,20200714,000000,17.7,17.7,16.9,17.2,0,0
BBT_PE,D,20200715,000000,17.2,17.9,17.2,17.6,0,0
BBT_PE,D,20200716,000000,17.6,17.6,17.2,17.5,0,0
