<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX_PE,D,20070813,000000,790.19,790.19,790.19,790.19,0,0
BDX_PE,D,20070814,000000,780.63,780.63,780.63,780.63,0,0
BDX_PE,D,20070816,000000,713.01,713.01,713.01,713.01,0,0
BDX_PE,D,20080225,000000,37.988,37.988,37.988,37.988,0,0
BDX_PE,D,20080226,000000,37.988,37.988,36.951,36.951,0,0
BDX_PE,D,20080227,000000,36.821,36.995,36.737,36.778,0,0
BDX_PE,D,20080228,000000,36.778,65.82,36.737,65.82,0,0
BDX_PE,D,20080229,000000,63.486,64.784,63.486,64.697,0,0
BDX_PE,D,20080303,000000,63.703,63.703,61.499,61.802,0,0
BDX_PE,D,20080304,000000,61.153,61.802,58.559,58.948,0,0
BDX_PE,D,20080305,000000,59.208,59.295,58.948,59.208,0,0
BDX_PE,D,20080306,000000,59.121,60.073,58.948,59.295,0,0
BDX_PE,D,20080307,000000,58.258,59.295,58.258,58.948,0,0
BDX_PE,D,20080310,000000,58.69,59.857,58.69,59.295,0,0
BDX_PE,D,20080311,000000,59.295,60.029,58.258,60.029,0,0
BDX_PE,D,20080312,000000,60.764,63.486,60.029,63.486,0,0
BDX_PE,D,20080313,000000,60.504,63.486,60.504,60.937,0,0
BDX_PE,D,20080314,000000,60.937,60.937,60.806,60.937,0,0
BDX_PE,D,20080317,000000,59.337,59.381,58.388,58.861,0,0
BDX_PE,D,20080318,000000,58.604,58.604,58.431,58.516,0,0
BDX_PE,D,20080319,000000,58.604,60.547,58.215,60.547,0,0
BDX_PE,D,20080320,000000,60.375,60.375,58.3,59.295,0,0
BDX_PE,D,20080325,000000,59.554,59.64,59.424,59.468,0,0
BDX_PE,D,20080326,000000,60.42,60.42,58.559,59.813,0,0
BDX_PE,D,20080327,000000,59.683,61.153,59.598,61.153,0,0
BDX_PE,D,20080328,000000,61.153,61.153,60.764,60.764,0,0
BDX_PE,D,20080331,000000,61.368,61.368,61.368,61.368,0,0
BDX_PE,D,20080401,000000,60.764,61.368,60.462,61.239,0,0
BDX_PE,D,20080402,000000,60.635,61.544,60.635,61.066,0,0
BDX_PE,D,20080403,000000,61.499,61.499,60.764,60.937,0,0
BDX_PE,D,20080404,000000,60.504,61.455,60.504,60.764,0,0
BDX_PE,D,20080407,000000,60.029,60.764,60.029,60.42,0,0
BDX_PE,D,20080408,000000,60.073,60.073,59.512,59.598,0,0
BDX_PE,D,20080409,000000,58.991,59.468,58.861,59.468,0,0
BDX_PE,D,20080410,000000,58.604,59.468,58.604,58.604,0,0
BDX_PE,D,20080411,000000,59.295,59.468,56.961,57.091,0,0
BDX_PE,D,20080414,000000,56.745,56.745,55.016,55.274,0,0
BDX_PE,D,20080415,000000,55.274,55.62,54.972,55.016,0,0
BDX_PE,D,20080416,000000,54.931,57.263,54.931,57.134,0,0
BDX_PE,D,20080417,000000,57.523,58.474,57.134,57.22,0,0
BDX_PE,D,20080418,000000,57.091,57.479,57.091,57.134,0,0
BDX_PE,D,20080421,000000,57.523,57.523,56.745,56.745,0,0
BDX_PE,D,20080422,000000,55.752,55.794,54.972,55.232,0,0
BDX_PE,D,20080423,000000,54.972,57.048,54.368,57.048,0,0
BDX_PE,D,20080424,000000,55.663,56.916,55.059,55.274,0,0
BDX_PE,D,20080425,000000,58.344,58.344,55.88,57.176,0,0
BDX_PE,D,20080428,000000,58.861,60.42,57.176,60.029,0,0
BDX_PE,D,20080429,000000,59.295,59.813,58.647,59.079,0,0
BDX_PE,D,20080430,000000,58.732,59.079,27.314,27.314,0,0
BDX_PE,D,20080505,000000,27.919,27.919,27.4,27.746,0,0
BDX_PE,D,20080506,000000,28.091,28.091,27.4,27.746,0,0
BDX_PE,D,20080507,000000,27.746,28.047,27.574,27.919,0,0
BDX_PE,D,20080508,000000,27.271,27.831,27.271,27.831,0,0
BDX_PE,D,20080509,000000,27.831,28.653,27.831,28.221,0,0
BDX_PE,D,20080512,000000,28.091,28.566,28.005,28.438,0,0
BDX_PE,D,20080513,000000,28.438,28.739,28.178,28.178,0,0
BDX_PE,D,20080514,000000,27.919,28.438,27.875,27.961,0,0
BDX_PE,D,20080515,000000,27.919,28.307,27.919,28.307,0,0
BDX_PE,D,20080516,000000,28.005,28.482,28.005,28.438,0,0
BDX_PE,D,20080519,000000,28.091,28.61,28.091,28.61,0,0
BDX_PE,D,20080520,000000,28.61,28.955,28.135,28.438,0,0
BDX_PE,D,20080521,000000,28.61,28.61,28.135,28.395,0,0
BDX_PE,D,20080523,000000,28.395,28.955,28.135,28.955,0,0
BDX_PE,D,20080526,000000,28.783,28.783,27.919,27.961,0,0
BDX_PE,D,20080527,000000,27.746,28.091,27.746,28.091,0,0
BDX_PE,D,20080528,000000,28.091,28.135,28.091,28.135,0,0
BDX_PE,D,20080529,000000,27.746,28.438,27.746,28.438,0,0
BDX_PE,D,20080530,000000,28.091,28.783,28.091,28.438,0,0
