<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHW_PE,D,20070813,000000,9.3225,9.3225,9.3225,9.3225,0,0
BHW_PE,D,20070814,000000,9.219,9.219,9.219,9.219,0,0
BHW_PE,D,20070816,000000,8.81,8.81,8.81,8.81,0,0
BHW_PE,D,20070817,000000,9.219,9.219,9.219,9.219,0,0
BHW_PE,D,20070820,000000,9.3225,9.3225,9.3225,9.3225,0,0
BHW_PE,D,20070821,000000,9.3225,9.3225,9.3225,9.3225,0,0
BHW_PE,D,20070822,000000,9.683,9.683,9.683,9.683,0,0
BHW_PE,D,20070823,000000,10.188,10.188,10.188,10.188,0,0
BHW_PE,D,20070824,000000,10.292,10.292,10.292,10.292,0,0
BHW_PE,D,20070827,000000,10.292,10.292,10.292,10.292,0,0
BHW_PE,D,20070828,000000,10.397,10.397,10.397,10.397,0,0
BHW_PE,D,20070829,000000,10.243,10.243,10.243,10.243,0,0
BHW_PE,D,20070830,000000,10.292,10.292,10.292,10.292,0,0
BHW_PE,D,20070831,000000,10.498,10.498,10.498,10.498,0,0
BHW_PE,D,20070903,000000,10.653,10.653,10.653,10.653,0,0
BHW_PE,D,20070904,000000,10.653,10.653,10.653,10.653,0,0
BHW_PE,D,20070905,000000,10.548,10.548,10.548,10.548,0,0
BHW_PE,D,20070906,000000,10.188,10.188,10.188,10.188,0,0
BHW_PE,D,20070907,000000,10.036,10.036,10.036,10.036,0,0
BHW_PE,D,20070910,000000,9.834,9.834,9.834,9.834,0,0
BHW_PE,D,20070911,000000,9.988,9.988,9.988,9.988,0,0
BHW_PE,D,20070912,000000,9.988,9.988,9.988,9.988,0,0
BHW_PE,D,20070913,000000,9.834,9.834,9.834,9.834,0,0
BHW_PE,D,20070914,000000,9.834,9.834,9.834,9.834,0,0
BHW_PE,D,20070917,000000,9.683,9.683,9.683,9.683,0,0
BHW_PE,D,20070918,000000,9.834,9.834,9.834,9.834,0,0
BHW_PE,D,20070919,000000,10.292,10.292,10.292,10.292,0,0
BHW_PE,D,20070920,000000,10.397,10.397,10.397,10.397,0,0
BHW_PE,D,20070921,000000,10.292,10.292,10.292,10.292,0,0
BHW_PE,D,20070924,000000,10.243,10.243,10.243,10.243,0,0
BHW_PE,D,20070925,000000,10.243,10.243,10.243,10.243,0,0
BHW_PE,D,20070926,000000,10.188,10.188,10.188,10.188,0,0
BHW_PE,D,20070927,000000,10.09,10.09,10.09,10.09,0,0
BHW_PE,D,20070928,000000,10.09,10.09,10.09,10.09,0,0
BHW_PE,D,20071001,000000,9.78,9.78,9.78,9.78,0,0
BHW_PE,D,20071002,000000,9.834,9.834,9.834,9.834,0,0
BHW_PE,D,20071003,000000,10.036,10.036,10.036,10.036,0,0
BHW_PE,D,20071004,000000,10.036,10.036,10.036,10.036,0,0
BHW_PE,D,20071005,000000,10.188,10.188,10.188,10.188,0,0
BHW_PE,D,20071008,000000,10.292,10.292,10.292,10.292,0,0
BHW_PE,D,20071009,000000,10.45,10.45,10.45,10.45,0,0
BHW_PE,D,20071010,000000,10.498,10.498,10.498,10.498,0,0
BHW_PE,D,20071011,000000,10.804,10.804,10.804,10.804,0,0
BHW_PE,D,20071012,000000,10.907,10.907,10.907,10.907,0,0
BHW_PE,D,20071015,000000,11.115,11.115,11.115,11.115,0,0
BHW_PE,D,20071016,000000,11.164,11.164,11.164,11.164,0,0
BHW_PE,D,20071017,000000,10.804,10.804,10.804,10.804,0,0
BHW_PE,D,20071018,000000,10.498,10.498,10.498,10.498,0,0
BHW_PE,D,20071019,000000,10.548,10.548,10.548,10.548,0,0
BHW_PE,D,20071022,000000,10.139,10.139,10.139,10.139,0,0
BHW_PE,D,20071023,000000,10.548,10.548,10.548,10.548,0,0
BHW_PE,D,20071024,000000,10.603,10.603,10.603,10.603,0,0
BHW_PE,D,20071025,000000,10.45,10.45,10.45,10.45,0,0
BHW_PE,D,20071026,000000,10.188,10.188,10.188,10.188,0,0
BHW_PE,D,20071029,000000,10.243,10.243,10.243,10.243,0,0
BHW_PE,D,20071030,000000,10.397,10.397,10.397,10.397,0,0
BHW_PE,D,20071031,000000,10.292,10.292,10.292,10.292,0,0
BHW_PE,D,20071102,000000,10.188,10.188,10.188,10.188,0,0
BHW_PE,D,20071105,000000,10.188,10.188,10.188,10.188,0,0
BHW_PE,D,20071106,000000,10.188,10.188,10.188,10.188,0,0
BHW_PE,D,20071107,000000,9.834,9.834,9.834,9.834,0,0
BHW_PE,D,20071108,000000,8.9138,8.9138,8.9138,8.9138,0,0
BHW_PE,D,20071109,000000,8.81,9.219,8.6571,8.9138,0,0
BHW_PE,D,20071112,000000,8.81,8.9138,8.6571,8.6571,0,0
BHW_PE,D,20071113,000000,8.6571,8.7066,8.4513,8.6571,0,0
BHW_PE,D,20071114,000000,8.7552,8.8594,8.7552,8.7552,0,0
BHW_PE,D,20071115,000000,8.7552,8.7552,8.194,8.2428,0,0
BHW_PE,D,20071116,000000,8.2428,8.4018,8.0424,8.2428,0,0
BHW_PE,D,20071119,000000,8.2976,8.4018,8.194,8.4018,0,0
BHW_PE,D,20071120,000000,8.1451,8.1451,8.1451,8.1451,0,0
BHW_PE,D,20071121,000000,8.0913,8.0913,7.9388,7.9388,0,0
BHW_PE,D,20071122,000000,7.9877,8.4513,7.8349,8.4513,0,0
BHW_PE,D,20071123,000000,8.3464,8.7066,8.3464,8.5537,0,0
BHW_PE,D,20071126,000000,8.7066,8.7066,8.4513,8.4513,0,0
BHW_PE,D,20071127,000000,8.4513,8.4513,8.2976,8.4513,0,0
BHW_PE,D,20071128,000000,8.3464,8.4513,8.194,8.4018,0,0
BHW_PE,D,20071129,000000,8.4999,8.5537,8.4513,8.5537,0,0
BHW_PE,D,20071130,000000,8.5537,8.8594,8.5537,8.81,0,0
BHW_PE,D,20071203,000000,8.9138,9.1695,8.7066,9.1154,0,0
BHW_PE,D,20071204,000000,9.1154,9.1154,8.9633,9.1154,0,0
