<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BML_PE,D,20120214,000000,571.3,571.3,571.3,571.3,0,0
BML_PE,D,20120215,000000,578.2,578.2,578.1,578.1,0,0
BML_PE,D,20120216,000000,578.2,578.2,578.1,578.1,0,0
BML_PE,D,20120217,000000,578.2,578.2,576.7,576.7,0,0
BML_PE,D,20120221,000000,576.9,576.9,574.7,574.7,0,0
BML_PE,D,20120222,000000,574.1,574.8,574.1,574.7,0,0
BML_PE,D,20120223,000000,574.8,574.8,574.7,574.7,0,0
BML_PE,D,20120224,000000,574.8,574.8,574.7,574.7,0,0
BML_PE,D,20120227,000000,574.8,574.8,574.7,574.7,0,0
BML_PE,D,20120228,000000,574.8,574.8,574.7,574.7,0,0
BML_PE,D,20120229,000000,574.8,574.8,533.9,533.9,0,0
BML_PE,D,20120301,000000,544.2,544.2,543.4,543.4,0,0
BML_PE,D,20120306,000000,544.2,544.2,544.1,544.1,0,0
BML_PE,D,20120309,000000,544.2,544.2,544.1,544.1,0,0
BML_PE,D,20120312,000000,544.2,544.2,544.1,544.1,0,0
BML_PE,D,20120314,000000,544.2,544.2,544.1,544.1,0,0
BML_PE,D,20120315,000000,544.2,544.2,492.5,499.9,0,0
BML_PE,D,20120316,000000,486.4,486.4,455.7,455.7,0,0
BML_PE,D,20120319,000000,476.2,523.8,476.2,523.7,0,0
BML_PE,D,20120321,000000,510.2,510.2,486.3,486.3,0,0
BML_PE,D,20120322,000000,476.9,477.6,476.9,477.4,0,0
BML_PE,D,20120326,000000,483,489.1,483,489,0,0
BML_PE,D,20120327,000000,489.1,489.1,489,489,0,0
BML_PE,D,20120328,000000,483,483,482.9,482.9,0,0
BML_PE,D,20120329,000000,483,510.2,483,496.5,0,0
BML_PE,D,20120330,000000,496.6,544.1,496.6,544.1,0,0
BML_PE,D,20120410,000000,523.8,523.8,523.7,523.7,0,0
BML_PE,D,20120411,000000,523.8,530.6,520.3,520.3,0,0
BML_PE,D,20120418,000000,517,517,486.3,486.3,0,0
BML_PE,D,20120420,000000,503.4,503.4,503.3,503.3,0,0
BML_PE,D,20120423,000000,496.6,506.8,489.7,489.7,0,0
BML_PE,D,20120424,000000,486.4,506.8,486.4,506.7,0,0
BML_PE,D,20120425,000000,506.8,513.6,506.8,513.5,0,0
BML_PE,D,20120430,000000,496.6,496.6,489.7,489.7,0,0
BML_PE,D,20120510,000000,489.8,489.8,473.5,474.7,0,0
BML_PE,D,20120511,000000,474.1,486.4,474.1,486.3,0,0
BML_PE,D,20120514,000000,486.4,544.2,486.4,544.1,0,0
BML_PE,D,20120515,000000,523.8,523.8,523.7,523.7,0,0
BML_PE,D,20120517,000000,500,523.8,500,510.1,0,0
BML_PE,D,20120518,000000,500,510.2,493.2,510.1,0,0
BML_PE,D,20120521,000000,510.2,510.2,469.4,476.1,0,0
BML_PE,D,20120522,000000,476.2,476.2,476.1,476.1,0,0
BML_PE,D,20120523,000000,476.2,488.4,435.4,488.3,0,0
BML_PE,D,20120524,000000,476.2,476.2,476.2,476.2,0,0
BML_PE,D,20120823,000000,1733.4,1733.4,1733.4,1733.4,0,0
BML_PE,D,20120824,000000,1750,1750,1729.9,1729.9,0,0
BML_PE,D,20120827,000000,1750,1750,1733.4,1733.4,0,0
BML_PE,D,20120828,000000,1750,1750,1642.9,1698.1,0,0
BML_PE,D,20120829,000000,1714.3,1714.3,1642.9,1694.5,0,0
BML_PE,D,20120830,000000,1710.7,1750,1642.9,1729.9,0,0
BML_PE,D,20120831,000000,1746.4,1960.7,1732.1,1942.2,0,0
BML_PE,D,20120903,000000,1964.3,1964.3,1942.2,1942.2,0,0
BML_PE,D,20120904,000000,1964.3,2446.4,1964.3,2405.6,0,0
BML_PE,D,20120905,000000,2428.6,2428.6,2370.2,2370.2,0,0
BML_PE,D,20120906,000000,2392.9,2428.6,2387.9,2387.9,0,0
BML_PE,D,20120907,000000,2428.6,2428.6,2357.1,2398.5,0,0
BML_PE,D,20120910,000000,2392.9,2392.9,2370.2,2370.2,0,0
BML_PE,D,20120911,000000,2392.9,2392.9,2366.7,2366.7,0,0
BML_PE,D,20120912,000000,2389.3,2389.3,2366.7,2366.7,0,0
BML_PE,D,20120913,000000,2392.9,2392.9,2370.2,2370.2,0,0
BML_PE,D,20120914,000000,2392.9,2417.9,2392.9,2395,0,0
BML_PE,D,20120917,000000,2425,2425,2370.2,2370.2,0,0
BML_PE,D,20120918,000000,2392.9,2392.9,2366.7,2366.7,0,0
BML_PE,D,20120919,000000,2392.9,2392.9,2370.2,2370.2,0,0
BML_PE,D,20120920,000000,2392.9,2392.9,2370.2,2370.2,0,0
BML_PE,D,20120921,000000,2389.3,2392.9,2357.1,2366.7,0,0
BML_PE,D,20120924,000000,2389.3,2389.3,2366.7,2366.7,0,0
BML_PE,D,20120925,000000,2389.3,2389.3,2366.7,2366.7,0,0
BML_PE,D,20120926,000000,2392.9,2392.9,2370.2,2370.2,0,0
BML_PE,D,20120927,000000,2392.9,2392.9,2370.2,2370.2,0,0
BML_PE,D,20120928,000000,2392.9,2392.9,2370.2,2370.2,0,0
BML_PE,D,20121001,000000,2375,2375,2334.9,2334.9,0,0
BML_PE,D,20121002,000000,2321.4,2321.4,2142.9,2211,0,0
BML_PE,D,20121004,000000,2232.1,2232.1,2211,2211,0,0
BML_PE,D,20121005,000000,2232.1,2232.1,2211,2211,0,0
BML_PE,D,20121008,000000,2232.1,2232.1,2211,2211,0,0
BML_PE,D,20121009,000000,2232.1,2232.1,2182.7,2182.7,0,0
BML_PE,D,20121010,000000,2203.6,2203.6,2182.7,2182.7,0,0
BML_PE,D,20121011,000000,2203.6,2232.1,2182.7,2182.7,0,0
BML_PE,D,20121012,000000,2203.6,2203.6,2182.7,2182.7,0,0
BML_PE,D,20121016,000000,2232.1,2232.1,2087.2,2087.2,0,0
BML_PE,D,20121017,000000,2107.1,2107.1,2055.4,2055.4,0,0
BML_PE,D,20121018,000000,2107.1,2107.1,1977.5,1977.5,0,0
BML_PE,D,20121019,000000,1964.3,2103.6,1928.6,2083.7,0,0
BML_PE,D,20121022,000000,2103.6,2103.6,1988.2,1988.2,0,0
BML_PE,D,20121023,000000,1989.3,2017.9,1989.3,1998.8,0,0
BML_PE,D,20121024,000000,2035.7,2035.7,2016.5,2016.5,0,0
BML_PE,D,20121025,000000,2035.7,2035.7,2016.5,2016.5,0,0
BML_PE,D,20121031,000000,1996.4,2000,1981.1,1981.1,0,0
BML_PE,D,20121102,000000,2000,2000,1981.1,1981.1,0,0
BML_PE,D,20121105,000000,1928.6,1964.3,1928.6,1945.7,0,0
BML_PE,D,20121106,000000,1946.4,1946.4,1910.3,1910.3,0,0
BML_PE,D,20121107,000000,1928.6,1928.6,1768.8,1768.8,0,0
BML_PE,D,20121108,000000,1785.7,1821.4,1764.3,1768.8,0,0
BML_PE,D,20121109,000000,1785.7,1828.6,1768.8,1768.8,0,0
BML_PE,D,20121112,000000,1785.7,1785.7,1768.8,1768.8,0,0
BML_PE,D,20121113,000000,1785.7,1842.9,1768.8,1768.8,0,0
