<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS_PE,D,20070813,000000,15.334,15.334,15.334,15.334,0,0
BRS_PE,D,20070814,000000,15.531,15.531,15.531,15.531,0,0
BRS_PE,D,20070816,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20070817,000000,13.467,13.467,13.467,13.467,0,0
BRS_PE,D,20070820,000000,13.467,13.467,13.467,13.467,0,0
BRS_PE,D,20070821,000000,13.27,13.27,13.27,13.27,0,0
BRS_PE,D,20070822,000000,13.761,13.761,13.761,13.761,0,0
BRS_PE,D,20070823,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20070824,000000,14.941,14.941,14.941,14.941,0,0
BRS_PE,D,20070827,000000,15.236,15.236,15.236,15.236,0,0
BRS_PE,D,20070828,000000,15.039,15.039,15.039,15.039,0,0
BRS_PE,D,20070829,000000,15.531,15.531,15.531,15.531,0,0
BRS_PE,D,20070830,000000,31.651,31.651,31.651,31.651,0,0
BRS_PE,D,20070831,000000,32.143,32.143,32.143,32.143,0,0
BRS_PE,D,20070903,000000,32.045,32.045,32.045,32.045,0,0
BRS_PE,D,20070904,000000,32.536,32.536,32.536,32.536,0,0
BRS_PE,D,20070905,000000,31.651,31.651,31.651,31.651,0,0
BRS_PE,D,20070906,000000,31.062,31.062,31.062,31.062,0,0
BRS_PE,D,20070907,000000,30.57,30.57,30.57,30.57,0,0
BRS_PE,D,20070910,000000,29.98,29.98,29.98,29.98,0,0
BRS_PE,D,20070911,000000,30.177,30.177,30.177,30.177,0,0
BRS_PE,D,20070912,000000,30.079,30.079,30.079,30.079,0,0
BRS_PE,D,20070913,000000,29.98,29.98,29.98,29.98,0,0
BRS_PE,D,20070914,000000,29.98,29.98,29.98,29.98,0,0
BRS_PE,D,20070917,000000,29.292,29.292,29.292,29.292,0,0
BRS_PE,D,20070918,000000,14.351,14.351,14.351,14.351,0,0
BRS_PE,D,20070919,000000,14.351,14.351,14.351,14.351,0,0
BRS_PE,D,20070920,000000,14.45,14.45,14.45,14.45,0,0
BRS_PE,D,20070921,000000,14.45,14.45,14.45,14.45,0,0
BRS_PE,D,20070924,000000,14.45,14.45,14.45,14.45,0,0
BRS_PE,D,20070925,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20070926,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20070927,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20070928,000000,13.86,13.86,13.86,13.86,0,0
BRS_PE,D,20071001,000000,13.761,13.761,13.761,13.761,0,0
BRS_PE,D,20071002,000000,13.958,13.958,13.958,13.958,0,0
BRS_PE,D,20071003,000000,13.958,13.958,13.958,13.958,0,0
BRS_PE,D,20071004,000000,13.958,13.958,13.958,13.958,0,0
BRS_PE,D,20071005,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20071008,000000,14.056,14.056,14.056,14.056,0,0
BRS_PE,D,20071009,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20071010,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20071011,000000,14.548,14.548,14.548,14.548,0,0
BRS_PE,D,20071012,000000,14.45,14.45,14.45,14.45,0,0
BRS_PE,D,20071015,000000,14.45,14.45,14.45,14.45,0,0
BRS_PE,D,20071016,000000,14.45,14.45,14.45,14.45,0,0
BRS_PE,D,20071017,000000,14.45,14.45,14.45,14.45,0,0
BRS_PE,D,20071018,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20071019,000000,14.155,14.155,14.155,14.155,0,0
BRS_PE,D,20071022,000000,29.096,29.096,29.096,29.096,0,0
BRS_PE,D,20071023,000000,28.703,28.703,28.703,28.703,0,0
BRS_PE,D,20071024,000000,28.309,28.309,28.309,28.309,0,0
BRS_PE,D,20071025,000000,28.506,28.506,28.506,28.506,0,0
BRS_PE,D,20071026,000000,28.506,28.506,28.506,28.506,0,0
BRS_PE,D,20071029,000000,28.506,28.506,28.506,28.506,0,0
BRS_PE,D,20071030,000000,28.309,28.309,28.309,28.309,0,0
BRS_PE,D,20071031,000000,27.916,27.916,27.916,27.916,0,0
BRS_PE,D,20071102,000000,27.228,27.228,27.228,27.228,0,0
BRS_PE,D,20071105,000000,26.737,26.737,26.737,26.737,0,0
BRS_PE,D,20071106,000000,25.262,25.262,25.262,25.262,0,0
BRS_PE,D,20071107,000000,23.493,23.493,23.493,23.493,0,0
BRS_PE,D,20071108,000000,23.198,23.198,23.198,23.198,0,0
BRS_PE,D,20071109,000000,23.198,23.296,22.018,22.215,0,0
BRS_PE,D,20071112,000000,21.429,22.215,21.429,21.822,0,0
BRS_PE,D,20071113,000000,21.429,21.724,20.937,21.429,0,0
BRS_PE,D,20071114,000000,21.822,22.018,21.232,21.232,0,0
BRS_PE,D,20071115,000000,21.232,21.232,19.954,20.151,0,0
BRS_PE,D,20071116,000000,19.758,20.151,19.07,19.659,0,0
BRS_PE,D,20071119,000000,19.954,20.249,19.07,19.364,0,0
BRS_PE,D,20071120,000000,19.168,51.311,17.595,51.311,0,0
BRS_PE,D,20071121,000000,50.623,50.623,46.101,47.379,0,0
BRS_PE,D,20071122,000000,46.691,50.623,43.349,50.623,0,0
BRS_PE,D,20071123,000000,50.721,52.883,50.229,50.623,0,0
BRS_PE,D,20071126,000000,52.883,52.883,49.64,49.64,0,0
BRS_PE,D,20071127,000000,45.904,50.229,45.904,48.853,0,0
BRS_PE,D,20071128,000000,50.033,51.016,48.46,51.016,0,0
BRS_PE,D,20071129,000000,51.704,52.883,49.64,50.721,0,0
BRS_PE,D,20071130,000000,51.114,53.375,50.721,50.721,0,0
BRS_PE,D,20071203,000000,52.097,59.863,52.097,57.405,0,0
BRS_PE,D,20071204,000000,59.273,59.568,56.914,56.914,0,0
BRS_PE,D,20071205,000000,55.636,59.174,55.636,58.683,0,0
BRS_PE,D,20071206,000000,59.371,59.371,56.619,57.602,0,0
BRS_PE,D,20071207,000000,58.29,58.29,57.012,57.307,0,0
BRS_PE,D,20071210,000000,57.209,57.307,55.537,55.537,0,0
BRS_PE,D,20071211,000000,55.144,55.832,54.555,54.653,0,0
BRS_PE,D,20071212,000000,57.307,59.273,56.127,56.226,0,0
BRS_PE,D,20071213,000000,56.815,56.815,54.063,54.555,0,0
BRS_PE,D,20071214,000000,53.768,54.456,52.883,53.178,0,0
BRS_PE,D,20071217,000000,51.409,52.097,50.328,52.097,0,0
BRS_PE,D,20071218,000000,51.507,51.704,49.443,51.704,0,0
BRS_PE,D,20071219,000000,51.311,52.982,51.311,51.409,0,0
BRS_PE,D,20071220,000000,51.409,51.999,50.819,51.311,0,0
BRS_PE,D,20071221,000000,51.409,53.375,50.524,50.524,0,0
BRS_PE,D,20071227,000000,52.392,52.589,51.212,51.606,0,0
BRS_PE,D,20071228,000000,52.195,53.375,51.212,52.589,0,0
BRS_PE,D,20080102,000000,53.178,54.456,52.982,53.768,0,0
BRS_PE,D,20080103,000000,54.26,54.26,51.999,52.687,0,0
BRS_PE,D,20080104,000000,52.294,53.572,51.802,51.802,0,0
BRS_PE,D,20080107,000000,51.114,51.114,50.426,51.114,0,0
BRS_PE,D,20080108,000000,50.524,51.016,49.836,50.623,0,0
BRS_PE,D,20080109,000000,49.836,49.836,48.067,48.067,0,0
BRS_PE,D,20080110,000000,49.148,49.148,44.332,44.332,0,0
BRS_PE,D,20080111,000000,45.02,45.02,43.84,44.037,0,0
BRS_PE,D,20080114,000000,42.956,42.956,42.956,42.956,0,0
BRS_PE,D,20080115,000000,43.152,43.152,40.203,40.99,0,0
BRS_PE,D,20080116,000000,37.549,40.302,37.549,38.041,0,0
BRS_PE,D,20080117,000000,38.827,39.22,37.451,38.237,0,0
BRS_PE,D,20080118,000000,37.058,39.712,37.058,39.024,0,0
BRS_PE,D,20080121,000000,39.024,41.383,38.237,39.024,0,0
BRS_PE,D,20080122,000000,37.549,39.024,37.549,39.024,0,0
BRS_PE,D,20080123,000000,39.712,40.596,39.024,40.302,0,0
BRS_PE,D,20080124,000000,42.267,43.054,41.383,41.874,0,0
BRS_PE,D,20080125,000000,43.152,43.152,40.99,41.874,0,0
BRS_PE,D,20080128,000000,40.99,40.99,40.203,40.203,0,0
BRS_PE,D,20080129,000000,40.99,42.071,40.99,41.973,0,0
BRS_PE,D,20080130,000000,41.973,41.973,41.383,41.383,0,0
BRS_PE,D,20080131,000000,41.973,41.973,40.498,40.99,0,0
BRS_PE,D,20080201,000000,41.481,42.267,41.481,41.481,0,0
BRS_PE,D,20080204,000000,42.071,42.759,41.481,41.874,0,0
BRS_PE,D,20080205,000000,41.481,41.481,40.105,40.891,0,0
BRS_PE,D,20080206,000000,39.712,40.891,39.712,40.793,0,0
BRS_PE,D,20080207,000000,40.596,41.678,40.203,41.088,0,0
BRS_PE,D,20080208,000000,40.99,41.186,40.4,41.186,0,0
BRS_PE,D,20080211,000000,40.99,42.267,40.596,41.088,0,0
BRS_PE,D,20080212,000000,41.284,44.037,41.284,44.037,0,0
BRS_PE,D,20080213,000000,42.857,43.25,42.562,43.25,0,0
BRS_PE,D,20080214,000000,43.545,43.939,42.464,43.054,0,0
BRS_PE,D,20080215,000000,42.366,42.366,41.481,41.874,0,0
BRS_PE,D,20080218,000000,42.267,42.267,40.99,41.186,0,0
BRS_PE,D,20080219,000000,40.695,41.383,40.498,40.695,0,0
BRS_PE,D,20080220,000000,40.007,41.284,40.007,40.105,0,0
BRS_PE,D,20080221,000000,40.596,41.186,40.105,40.596,0,0
BRS_PE,D,20080222,000000,40.596,42.169,40.596,40.891,0,0
BRS_PE,D,20080225,000000,41.383,41.383,40.302,40.302,0,0
BRS_PE,D,20080226,000000,40.498,40.498,39.417,40.498,0,0
BRS_PE,D,20080227,000000,40.498,40.498,40.105,40.302,0,0
BRS_PE,D,20080228,000000,39.81,40.203,39.613,40.105,0,0
BRS_PE,D,20080229,000000,40.105,40.105,37.549,37.549,0,0
BRS_PE,D,20080303,000000,37.549,37.549,8.6501,8.6501,0,0
BRS_PE,D,20080304,000000,8.8467,8.8467,8.4535,8.5518,0,0
BRS_PE,D,20080305,000000,8.4535,8.5518,8.3552,8.4535,0,0
BRS_PE,D,20080306,000000,8.5518,8.6501,8.4535,8.5518,0,0
BRS_PE,D,20080307,000000,8.5518,8.7484,8.3552,8.4535,0,0
BRS_PE,D,20080310,000000,8.4535,8.4535,8.3552,8.4535,0,0
BRS_PE,D,20080311,000000,8.3552,8.5518,8.3552,8.5518,0,0
BRS_PE,D,20080312,000000,8.8467,8.8467,8.4535,8.5518,0,0
BRS_PE,D,20080313,000000,8.5518,8.5518,8.2569,8.5518,0,0
BRS_PE,D,20080314,000000,8.5518,8.7484,8.3552,8.3552,0,0
BRS_PE,D,20080317,000000,8.2569,8.4535,8.0603,8.2569,0,0
BRS_PE,D,20080318,000000,8.2569,8.2569,8.0603,8.0603,0,0
BRS_PE,D,20080319,000000,8.2569,8.2569,8.0603,8.1586,0,0
BRS_PE,D,20080320,000000,8.1586,8.1586,8.0603,8.0603,0,0
BRS_PE,D,20080325,000000,8.2569,8.2569,8.2569,8.2569,0,0
BRS_PE,D,20080326,000000,8.3552,8.4535,8.2569,8.4535,0,0
BRS_PE,D,20080327,000000,8.5518,8.945,8.4535,8.8467,0,0
BRS_PE,D,20080328,000000,8.945,8.945,8.7484,8.945,0,0
BRS_PE,D,20080331,000000,8.8467,8.8467,8.8467,8.8467,0,0
BRS_PE,D,20080401,000000,8.8467,8.8467,8.5518,8.7484,0,0
BRS_PE,D,20080402,000000,8.7484,8.7484,8.6501,8.6501,0,0
BRS_PE,D,20080403,000000,8.7484,8.7484,8.6501,8.6501,0,0
BRS_PE,D,20080404,000000,8.5518,8.8467,8.5518,8.8467,0,0
BRS_PE,D,20080407,000000,8.7484,8.8467,8.5518,8.5518,0,0
BRS_PE,D,20080408,000000,8.7484,8.7484,8.5518,8.6501,0,0
BRS_PE,D,20080409,000000,8.6501,8.6501,8.5518,8.5518,0,0
