<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAR_PE,D,20070813,000000,54.238,54.238,54.238,54.238,0,0
CAR_PE,D,20070814,000000,53.183,53.183,53.183,53.183,0,0
CAR_PE,D,20070816,000000,46.345,46.345,46.345,46.345,0,0
CAR_PE,D,20070817,000000,47.499,47.499,47.499,47.499,0,0
CAR_PE,D,20070820,000000,48.652,48.652,48.652,48.652,0,0
CAR_PE,D,20070821,000000,48.652,48.652,48.652,48.652,0,0
CAR_PE,D,20070822,000000,50.219,50.219,50.219,50.219,0,0
CAR_PE,D,20070823,000000,35.533,35.533,35.533,35.533,0,0
CAR_PE,D,20070824,000000,36.405,36.405,36.405,36.405,0,0
CAR_PE,D,20070827,000000,37.081,37.081,37.081,37.081,0,0
CAR_PE,D,20070828,000000,38.918,38.918,38.918,38.918,0,0
CAR_PE,D,20070829,000000,39.3,39.3,39.3,39.3,0,0
CAR_PE,D,20070830,000000,39.595,39.595,39.595,39.595,0,0
CAR_PE,D,20070831,000000,38.721,38.721,38.721,38.721,0,0
CAR_PE,D,20070903,000000,38.721,38.721,38.721,38.721,0,0
CAR_PE,D,20070904,000000,38.721,38.721,38.721,38.721,0,0
CAR_PE,D,20070905,000000,38.527,38.527,38.527,38.527,0,0
CAR_PE,D,20070906,000000,39.017,39.017,39.017,39.017,0,0
CAR_PE,D,20070907,000000,38.527,38.527,38.527,38.527,0,0
CAR_PE,D,20070910,000000,37.753,37.753,37.753,37.753,0,0
CAR_PE,D,20070911,000000,37.853,37.853,37.853,37.853,0,0
CAR_PE,D,20070912,000000,37.081,37.081,37.081,37.081,0,0
CAR_PE,D,20070913,000000,36.982,36.982,36.982,36.982,0,0
CAR_PE,D,20070914,000000,37.47,37.47,37.47,37.47,0,0
CAR_PE,D,20070917,000000,36.892,36.892,36.892,36.892,0,0
CAR_PE,D,20070918,000000,36.501,36.501,36.501,36.501,0,0
CAR_PE,D,20070919,000000,37.081,37.081,37.081,37.081,0,0
CAR_PE,D,20070920,000000,36.892,36.892,36.892,36.892,0,0
CAR_PE,D,20070921,000000,36.892,36.892,36.892,36.892,0,0
CAR_PE,D,20070924,000000,36.024,36.024,36.024,36.024,0,0
CAR_PE,D,20070925,000000,35.054,35.054,35.054,35.054,0,0
CAR_PE,D,20070926,000000,37.176,37.176,37.176,37.176,0,0
CAR_PE,D,20070927,000000,36.892,36.892,36.892,36.892,0,0
CAR_PE,D,20070928,000000,36.892,36.892,36.892,36.892,0,0
CAR_PE,D,20071001,000000,36.405,36.405,36.405,36.405,0,0
CAR_PE,D,20071002,000000,36.405,36.405,36.405,36.405,0,0
CAR_PE,D,20071003,000000,36.12,36.12,36.12,36.12,0,0
CAR_PE,D,20071004,000000,35.729,35.729,35.729,35.729,0,0
CAR_PE,D,20071005,000000,35.924,35.924,35.924,35.924,0,0
CAR_PE,D,20071008,000000,35.827,35.827,35.827,35.827,0,0
CAR_PE,D,20071009,000000,36.024,36.024,36.024,36.024,0,0
CAR_PE,D,20071010,000000,35.153,35.153,35.153,35.153,0,0
CAR_PE,D,20071011,000000,35.924,35.924,35.924,35.924,0,0
CAR_PE,D,20071012,000000,36.306,36.306,36.306,36.306,0,0
CAR_PE,D,20071015,000000,37.95,37.95,37.95,37.95,0,0
CAR_PE,D,20071016,000000,36.501,36.501,36.501,36.501,0,0
CAR_PE,D,20071017,000000,36.795,36.795,36.795,36.795,0,0
CAR_PE,D,20071018,000000,35.729,35.729,35.729,35.729,0,0
CAR_PE,D,20071019,000000,36.218,36.218,36.218,36.218,0,0
CAR_PE,D,20071022,000000,36.501,36.501,36.501,36.501,0,0
CAR_PE,D,20071023,000000,37.274,37.274,37.274,37.274,0,0
CAR_PE,D,20071024,000000,37.176,37.176,37.176,37.176,0,0
CAR_PE,D,20071025,000000,35.729,35.729,35.729,35.729,0,0
CAR_PE,D,20071026,000000,36.306,36.306,36.306,36.306,0,0
CAR_PE,D,20071029,000000,36.795,36.795,36.795,36.795,0,0
CAR_PE,D,20071030,000000,36.501,36.501,36.501,36.501,0,0
CAR_PE,D,20071031,000000,36.601,36.601,36.601,36.601,0,0
CAR_PE,D,20071102,000000,35.729,35.729,35.729,35.729,0,0
CAR_PE,D,20071105,000000,35.729,35.729,35.729,35.729,0,0
CAR_PE,D,20071106,000000,34.672,34.672,34.672,34.672,0,0
CAR_PE,D,20071107,000000,34.575,34.575,34.575,34.575,0,0
CAR_PE,D,20071108,000000,33.898,33.898,33.898,33.898,0,0
CAR_PE,D,20071109,000000,33.898,33.898,32.452,32.735,0,0
CAR_PE,D,20071112,000000,32.735,32.735,32.159,32.452,0,0
