<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL_PE,D,20141212,000000,9.2075,9.2075,9.2075,9.2075,0,0
CDL_PE,D,20141215,000000,9.2896,9.3737,9.2896,9.3737,0,0
CDL_PE,D,20141216,000000,9.1219,9.1219,8.8714,9.1219,0,0
CDL_PE,D,20141217,000000,9.1219,9.1219,8.8714,9.0387,0,0
CDL_PE,D,20141218,000000,9.1219,9.1219,8.4528,8.4528,0,0
CDL_PE,D,20141219,000000,8.4528,9.4567,8.4528,9.4567,0,0
CDL_PE,D,20141222,000000,9.3737,9.3737,9.0387,9.3737,0,0
CDL_PE,D,20141223,000000,9.3737,9.3737,9.2075,9.2075,0,0
CDL_PE,D,20141229,000000,9.2075,9.2075,8.9553,9.1219,0,0
CDL_PE,D,20141230,000000,9.1219,9.1219,9.1219,9.1219,0,0
CDL_PE,D,20150102,000000,9.2075,9.2896,9.2075,9.2896,0,0
CDL_PE,D,20150105,000000,9.2896,9.4567,9.0387,9.2075,0,0
CDL_PE,D,20150107,000000,9.2896,9.2896,9.2896,9.2896,0,0
CDL_PE,D,20150108,000000,9.2896,9.4567,9.2896,9.2896,0,0
CDL_PE,D,20150109,000000,9.2896,9.4567,8.9553,8.9553,0,0
CDL_PE,D,20150112,000000,8.9553,9.1219,8.9553,9.1219,0,0
CDL_PE,D,20150113,000000,9.2075,9.2896,9.2075,9.2896,0,0
CDL_PE,D,20150114,000000,9.2075,9.2075,9.0387,9.0387,0,0
CDL_PE,D,20150115,000000,8.7874,9.2075,8.5367,9.0387,0,0
CDL_PE,D,20150116,000000,9.0387,9.1219,9.0387,9.1219,0,0
CDL_PE,D,20150119,000000,9.2075,9.2075,9.1219,9.2075,0,0
CDL_PE,D,20150120,000000,9.2075,9.2075,9.1219,9.1219,0,0
CDL_PE,D,20150121,000000,9.0387,9.0387,8.7874,9.0387,0,0
CDL_PE,D,20150122,000000,9.0387,9.0387,8.7036,8.7036,0,0
CDL_PE,D,20150123,000000,8.7036,8.7036,8.2855,8.3688,0,0
CDL_PE,D,20150126,000000,8.5367,8.5367,8.1181,8.3688,0,0
CDL_PE,D,20150127,000000,8.4528,8.4528,8.2018,8.2018,0,0
CDL_PE,D,20150128,000000,8.2855,8.3688,8.2018,8.2855,0,0
CDL_PE,D,20150129,000000,8.2018,8.3688,8.2018,8.3688,0,0
CDL_PE,D,20150130,000000,8.3688,8.5367,8.2855,8.3688,0,0
CDL_PE,D,20150202,000000,8.4528,8.4528,8.1181,8.3688,0,0
CDL_PE,D,20150203,000000,8.3688,8.3688,8.1181,8.2855,0,0
CDL_PE,D,20150204,000000,8.2855,8.2855,8.0344,8.0344,0,0
CDL_PE,D,20150205,000000,8.0344,8.1181,7.9507,8.0344,0,0
CDL_PE,D,20150206,000000,8.0344,8.7036,8.0344,8.3688,0,0
CDL_PE,D,20150209,000000,8.8714,8.8714,8.2018,8.4528,0,0
CDL_PE,D,20150210,000000,8.2855,8.4528,8.0344,8.2855,0,0
CDL_PE,D,20150211,000000,8.1181,8.2018,8.0344,8.0344,0,0
CDL_PE,D,20150212,000000,8.2018,8.2018,7.6996,7.7833,0,0
CDL_PE,D,20150213,000000,7.867,8.0344,7.867,7.9507,0,0
CDL_PE,D,20150216,000000,7.9507,7.9507,7.7833,7.9507,0,0
CDL_PE,D,20150217,000000,7.9507,7.9507,7.6996,7.6996,0,0
CDL_PE,D,20150218,000000,7.7833,7.9507,7.7833,7.9507,0,0
CDL_PE,D,20150219,000000,7.9507,8.4528,7.9507,8.3688,0,0
CDL_PE,D,20150220,000000,8.3688,8.5367,8.3688,8.3688,0,0
CDL_PE,D,20150223,000000,8.1181,8.3688,8.1181,8.2855,0,0
CDL_PE,D,20150224,000000,8.2855,8.2855,8.0344,8.1181,0,0
CDL_PE,D,20150225,000000,8.2018,8.2018,7.9507,7.9507,0,0
CDL_PE,D,20150226,000000,8.1181,8.1181,7.9507,8.1181,0,0
CDL_PE,D,20150227,000000,8.1181,8.4528,7.9507,7.9507,0,0
CDL_PE,D,20150302,000000,7.9507,8.2018,7.867,8.2018,0,0
CDL_PE,D,20150303,000000,8.0344,8.2018,8.0344,8.1181,0,0
CDL_PE,D,20150304,000000,8.0344,8.1181,7.9507,8.0344,0,0
CDL_PE,D,20150305,000000,8.1181,8.2018,8.1181,8.2018,0,0
CDL_PE,D,20150306,000000,8.3688,8.3688,8.2018,8.2855,0,0
CDL_PE,D,20150309,000000,8.2855,8.3688,8.1181,8.1181,0,0
CDL_PE,D,20150311,000000,8.2018,8.2018,8.1181,8.1181,0,0
CDL_PE,D,20150312,000000,7.867,8.1181,7.867,8.1181,0,0
CDL_PE,D,20150313,000000,7.9507,7.9507,7.9507,7.9507,0,0
CDL_PE,D,20150316,000000,8.1181,8.1181,7.9507,7.9507,0,0
CDL_PE,D,20150317,000000,8.1181,8.1181,8.1181,8.1181,0,0
CDL_PE,D,20150318,000000,8.2018,8.3688,8.2018,8.3688,0,0
CDL_PE,D,20150319,000000,8.3688,8.7036,8.3688,8.7036,0,0
CDL_PE,D,20150320,000000,8.7036,9.875,8.7036,9.626,0,0
CDL_PE,D,20150323,000000,9.626,9.626,8.4528,8.4528,0,0
CDL_PE,D,20150324,000000,8.4528,8.4528,8.1181,8.1181,0,0
CDL_PE,D,20150325,000000,8.1181,8.2018,8.1181,8.1181,0,0
CDL_PE,D,20150326,000000,8.0344,8.2018,7.9507,8.1181,0,0
CDL_PE,D,20150327,000000,8.1181,8.2018,8.0344,8.1181,0,0
CDL_PE,D,20150330,000000,8.1181,8.2855,8.1181,8.2018,0,0
CDL_PE,D,20150331,000000,8.2018,8.2018,7.9507,8.0344,0,0
CDL_PE,D,20150401,000000,8.1181,8.1181,7.7833,7.9507,0,0
CDL_PE,D,20150402,000000,7.9507,7.9507,7.616,7.616,0,0
CDL_PE,D,20150407,000000,7.616,7.867,7.616,7.7833,0,0
CDL_PE,D,20150408,000000,7.7833,8.0344,7.7833,7.867,0,0
CDL_PE,D,20150409,000000,7.9507,7.9507,7.7833,7.7833,0,0
CDL_PE,D,20150410,000000,7.7833,7.867,7.6996,7.867,0,0
CDL_PE,D,20150413,000000,7.6996,7.7833,7.6996,7.7833,0,0
CDL_PE,D,20150414,000000,7.7833,7.7833,7.7833,7.7833,0,0
CDL_PE,D,20150415,000000,7.7833,7.7833,7.616,7.6996,0,0
CDL_PE,D,20150416,000000,7.6996,7.6996,7.616,7.616,0,0
CDL_PE,D,20150417,000000,7.616,7.867,7.616,7.867,0,0
CDL_PE,D,20150420,000000,7.867,7.867,7.6996,7.867,0,0
CDL_PE,D,20150421,000000,8.0344,8.0344,7.6996,7.9507,0,0
CDL_PE,D,20150422,000000,7.9507,7.9507,7.7833,7.867,0,0
CDL_PE,D,20150423,000000,7.867,7.867,7.867,7.867,0,0
CDL_PE,D,20150424,000000,7.867,7.867,7.7833,7.7833,0,0
CDL_PE,D,20150427,000000,7.7833,7.7833,7.5323,7.7833,0,0
CDL_PE,D,20150428,000000,7.867,7.867,7.616,7.6996,0,0
CDL_PE,D,20150429,000000,7.7833,7.7833,7.5323,7.5323,0,0
CDL_PE,D,20150430,000000,7.5323,7.6996,7.4485,7.6996,0,0
CDL_PE,D,20150504,000000,7.7833,7.7833,7.616,7.616,0,0
CDL_PE,D,20150505,000000,7.616,7.6996,7.616,7.6996,0,0
CDL_PE,D,20150506,000000,7.6996,7.9507,7.6996,7.9507,0,0
