<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR_PE,D,20090216,000000,13.929,13.929,13.929,13.929,0,0
CDR_PE,D,20090217,000000,14.027,14.027,11.968,12.261,0,0
CDR_PE,D,20090218,000000,12.653,12.85,11.673,12.36,0,0
CDR_PE,D,20090219,000000,12.653,13.144,12.653,12.85,0,0
CDR_PE,D,20090220,000000,12.556,12.556,12.164,12.261,0,0
CDR_PE,D,20090223,000000,12.556,12.556,12.164,12.261,0,0
CDR_PE,D,20090224,000000,11.968,12.653,11.968,12.261,0,0
CDR_PE,D,20090225,000000,12.653,12.653,12.261,12.261,0,0
CDR_PE,D,20090226,000000,12.164,12.36,12.164,12.36,0,0
CDR_PE,D,20090227,000000,12.36,12.457,11.968,11.968,0,0
CDR_PE,D,20090302,000000,12.065,12.261,11.869,11.968,0,0
CDR_PE,D,20090303,000000,11.869,13.046,11.673,13.046,0,0
CDR_PE,D,20090304,000000,13.046,13.243,12.556,12.85,0,0
CDR_PE,D,20090305,000000,13.046,13.046,12.752,12.752,0,0
CDR_PE,D,20090306,000000,12.556,12.85,12.261,12.457,0,0
CDR_PE,D,20090309,000000,12.457,12.457,11.968,12.261,0,0
CDR_PE,D,20090310,000000,12.457,13.144,12.457,13.144,0,0
CDR_PE,D,20090311,000000,13.243,13.243,12.85,13.046,0,0
CDR_PE,D,20090312,000000,12.85,13.046,12.261,12.85,0,0
CDR_PE,D,20090313,000000,12.85,13.144,12.752,12.85,0,0
CDR_PE,D,20090316,000000,12.85,13.046,12.752,13.046,0,0
CDR_PE,D,20090317,000000,13.046,13.046,12.752,12.85,0,0
CDR_PE,D,20090318,000000,12.85,13.046,12.752,12.752,0,0
CDR_PE,D,20090319,000000,12.556,13.243,12.556,13.144,0,0
CDR_PE,D,20090320,000000,12.948,14.91,12.948,14.713,0,0
CDR_PE,D,20090323,000000,15.008,15.303,14.616,14.713,0,0
CDR_PE,D,20090324,000000,15.008,15.008,14.125,14.223,0,0
CDR_PE,D,20090325,000000,14.125,15.008,14.125,14.713,0,0
CDR_PE,D,20090326,000000,14.91,16.675,14.616,15.695,0,0
CDR_PE,D,20090327,000000,16.185,16.185,15.204,15.695,0,0
CDR_PE,D,20090330,000000,15.695,15.891,15.4,15.4,0,0
CDR_PE,D,20090331,000000,15.596,15.891,15.4,15.4,0,0
CDR_PE,D,20090401,000000,15.891,15.891,14.812,14.91,0,0
CDR_PE,D,20090402,000000,15.891,15.891,15.891,15.891,0,0
CDR_PE,D,20090403,000000,15.891,16.675,15.596,15.891,0,0
CDR_PE,D,20090406,000000,16.479,16.479,15.4,15.596,0,0
CDR_PE,D,20090407,000000,15.596,15.891,15.596,15.891,0,0
CDR_PE,D,20090408,000000,15.792,16.675,15.792,16.283,0,0
CDR_PE,D,20090409,000000,16.872,17.951,16.578,17.951,0,0
CDR_PE,D,20090414,000000,17.755,19.03,17.755,17.951,0,0
CDR_PE,D,20090415,000000,17.755,18.442,17.755,18.442,0,0
