<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIE_PE,D,20070813,000000,11.502,11.502,11.502,11.502,0,0
CIE_PE,D,20070814,000000,11.348,11.348,11.348,11.348,0,0
CIE_PE,D,20070816,000000,10.572,10.572,10.572,10.572,0,0
CIE_PE,D,20070817,000000,10.339,10.339,10.339,10.339,0,0
CIE_PE,D,20070820,000000,10.178,10.178,10.178,10.178,0,0
CIE_PE,D,20070821,000000,9.866,9.866,9.866,9.866,0,0
CIE_PE,D,20070822,000000,10.259,10.259,10.259,10.259,0,0
CIE_PE,D,20070823,000000,10.259,10.259,10.259,10.259,0,0
CIE_PE,D,20070824,000000,10.644,10.644,10.644,10.644,0,0
CIE_PE,D,20070827,000000,10.723,10.723,10.723,10.723,0,0
CIE_PE,D,20070828,000000,10.572,10.572,10.572,10.572,0,0
CIE_PE,D,20070829,000000,10.572,10.572,10.572,10.572,0,0
CIE_PE,D,20070830,000000,10.491,10.491,10.491,10.491,0,0
CIE_PE,D,20070831,000000,10.644,10.644,10.644,10.644,0,0
CIE_PE,D,20070903,000000,10.804,10.804,10.804,10.804,0,0
CIE_PE,D,20070904,000000,10.804,10.804,10.804,10.804,0,0
CIE_PE,D,20070905,000000,10.804,10.804,10.804,10.804,0,0
CIE_PE,D,20070906,000000,10.491,10.491,10.491,10.491,0,0
CIE_PE,D,20070907,000000,10.259,10.259,10.259,10.259,0,0
CIE_PE,D,20070910,000000,10.259,10.259,10.259,10.259,0,0
CIE_PE,D,20070911,000000,10.178,10.178,10.178,10.178,0,0
CIE_PE,D,20070912,000000,10.339,10.339,10.339,10.339,0,0
CIE_PE,D,20070913,000000,10.644,10.644,10.644,10.644,0,0
CIE_PE,D,20070914,000000,10.572,10.572,10.572,10.572,0,0
CIE_PE,D,20070917,000000,10.572,10.572,10.572,10.572,0,0
CIE_PE,D,20070918,000000,10.572,10.572,10.572,10.572,0,0
CIE_PE,D,20070919,000000,10.723,10.723,10.723,10.723,0,0
CIE_PE,D,20070920,000000,10.644,10.644,10.644,10.644,0,0
