<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLN_PE,D,20161201,000000,23.253,23.253,23.253,23.253,0,0
CLN_PE,D,20161202,000000,23.253,23.351,23.057,23.253,0,0
CLN_PE,D,20161205,000000,23.253,23.744,23.253,23.744,0,0
CLN_PE,D,20161206,000000,23.842,24.92,23.842,24.529,0,0
CLN_PE,D,20161207,000000,24.92,26.196,24.92,25.706,0,0
CLN_PE,D,20161208,000000,26.098,26.098,25.412,25.607,0,0
CLN_PE,D,20161209,000000,26,26,25.019,25.607,0,0
CLN_PE,D,20161212,000000,25.706,25.706,24.92,24.92,0,0
CLN_PE,D,20161213,000000,25.313,25.412,24.92,25.313,0,0
CLN_PE,D,20161214,000000,25.412,25.51,25.019,25.215,0,0
CLN_PE,D,20161215,000000,25.019,25.706,25.019,25.607,0,0
CLN_PE,D,20161216,000000,25.607,26,25.51,25.706,0,0
CLN_PE,D,20161219,000000,25.607,25.607,25.215,25.412,0,0
CLN_PE,D,20161220,000000,25.412,25.51,25.412,25.412,0,0
CLN_PE,D,20161221,000000,25.412,26,25.215,25.804,0,0
CLN_PE,D,20161222,000000,25.902,25.902,25.117,25.607,0,0
CLN_PE,D,20161223,000000,25.607,26,25.607,25.902,0,0
CLN_PE,D,20161227,000000,25.902,26,25.804,26,0,0
CLN_PE,D,20161228,000000,26,26,25.607,25.804,0,0
CLN_PE,D,20161229,000000,25.902,25.902,25.706,25.902,0,0
CLN_PE,D,20161230,000000,25.902,25.902,25.607,25.607,0,0
CLN_PE,D,20170102,000000,26.098,26.098,25.51,25.51,0,0
CLN_PE,D,20170103,000000,25.706,26.687,25.706,26.687,0,0
CLN_PE,D,20170104,000000,26.687,26.687,26.294,26.49,0,0
CLN_PE,D,20170105,000000,26.588,26.981,26.588,26.981,0,0
CLN_PE,D,20170109,000000,26.981,26.981,26.785,26.981,0,0
CLN_PE,D,20170110,000000,26.883,26.981,26.785,26.785,0,0
CLN_PE,D,20170111,000000,26.981,26.981,26.883,26.981,0,0
CLN_PE,D,20170112,000000,26.981,26.981,26.588,26.785,0,0
CLN_PE,D,20170113,000000,26.687,26.981,26.294,26.49,0,0
CLN_PE,D,20170116,000000,26.393,26.393,25.607,26.294,0,0
CLN_PE,D,20170117,000000,26.294,26.294,25.902,26.294,0,0
CLN_PE,D,20170118,000000,26.294,27.079,26.294,26.883,0,0
CLN_PE,D,20170119,000000,26.883,28.649,26.588,28.159,0,0
CLN_PE,D,20170120,000000,28.551,30.121,28.06,29.337,0,0
CLN_PE,D,20170123,000000,29.433,30.218,29.433,30.218,0,0
CLN_PE,D,20170124,000000,30.71,33.358,30.612,33.261,0,0
CLN_PE,D,20170125,000000,32.967,33.849,32.574,32.868,0,0
CLN_PE,D,20170126,000000,33.261,33.261,31.789,32.28,0,0
CLN_PE,D,20170127,000000,32.181,32.77,31.2,32.77,0,0
CLN_PE,D,20170130,000000,32.77,35.32,32.77,34.83,0,0
CLN_PE,D,20170131,000000,34.929,35.124,34.438,35.124,0,0
CLN_PE,D,20170201,000000,35.223,35.32,34.438,34.732,0,0
CLN_PE,D,20170202,000000,35.026,35.026,33.849,34.242,0,0
CLN_PE,D,20170203,000000,34.143,34.339,31.986,32.181,0,0
CLN_PE,D,20170206,000000,31.789,32.083,30.906,31.789,0,0
CLN_PE,D,20170207,000000,31.789,31.789,31.69,31.69,0,0
CLN_PE,D,20170208,000000,31.789,33.358,31.789,32.77,0,0
CLN_PE,D,20170209,000000,33.358,33.555,31.986,32.083,0,0
CLN_PE,D,20170210,000000,32.377,32.377,31.299,31.69,0,0
CLN_PE,D,20170213,000000,31.69,31.789,30.906,31.495,0,0
CLN_PE,D,20170214,000000,31.789,31.887,31.299,31.789,0,0
CLN_PE,D,20170215,000000,31.789,32.868,31.789,32.671,0,0
CLN_PE,D,20170216,000000,32.868,33.652,32.868,33.652,0,0
CLN_PE,D,20170217,000000,33.652,33.652,32.28,32.967,0,0
CLN_PE,D,20170220,000000,33.358,33.457,32.28,32.574,0,0
CLN_PE,D,20170221,000000,32.574,33.162,31.495,31.789,0,0
CLN_PE,D,20170222,000000,32.181,32.181,31.495,31.789,0,0
CLN_PE,D,20170223,000000,31.789,33.162,31.593,33.064,0,0
CLN_PE,D,20170224,000000,33.064,33.064,32.28,32.28,0,0
CLN_PE,D,20170227,000000,32.377,33.457,32.377,33.064,0,0
CLN_PE,D,20170228,000000,33.162,33.555,32.77,32.967,0,0
CLN_PE,D,20170301,000000,33.358,34.536,32.967,34.536,0,0
CLN_PE,D,20170302,000000,34.929,35.419,34.83,35.223,0,0
CLN_PE,D,20170303,000000,35.32,35.32,34.438,35.223,0,0
CLN_PE,D,20170306,000000,35.32,35.811,35.026,35.713,0,0
CLN_PE,D,20170307,000000,35.811,35.811,33.652,35.419,0,0
