<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR_PE,D,20070813,000000,30.531,30.531,30.531,30.531,0,0
CMR_PE,D,20070814,000000,30.165,30.165,30.165,30.165,0,0
CMR_PE,D,20070816,000000,26.875,26.875,26.875,26.875,0,0
CMR_PE,D,20070817,000000,27.79,27.79,27.79,27.79,0,0
CMR_PE,D,20070820,000000,26.785,26.785,26.785,26.785,0,0
CMR_PE,D,20070821,000000,27.332,27.332,27.332,27.332,0,0
CMR_PE,D,20070822,000000,28.795,28.795,28.795,28.795,0,0
CMR_PE,D,20070823,000000,30.165,30.165,30.165,30.165,0,0
CMR_PE,D,20070824,000000,30.624,30.624,30.624,30.624,0,0
CMR_PE,D,20070827,000000,30.35,30.35,30.35,30.35,0,0
CMR_PE,D,20070828,000000,29.984,29.984,29.984,29.984,0,0
CMR_PE,D,20070829,000000,30.624,30.624,30.624,30.624,0,0
CMR_PE,D,20070830,000000,30.441,30.441,30.441,30.441,0,0
CMR_PE,D,20070831,000000,30.714,30.714,30.714,30.714,0,0
CMR_PE,D,20070903,000000,31.08,31.08,31.08,31.08,0,0
CMR_PE,D,20070904,000000,31.171,31.171,31.171,31.171,0,0
CMR_PE,D,20070905,000000,31.08,31.08,31.08,31.08,0,0
CMR_PE,D,20070906,000000,31.08,31.08,31.08,31.08,0,0
CMR_PE,D,20070907,000000,30.898,30.898,30.898,30.898,0,0
CMR_PE,D,20070910,000000,29.525,29.525,29.525,29.525,0,0
CMR_PE,D,20070911,000000,30.714,30.714,30.714,30.714,0,0
CMR_PE,D,20070912,000000,30.714,30.714,30.714,30.714,0,0
CMR_PE,D,20070913,000000,30.714,30.714,30.714,30.714,0,0
CMR_PE,D,20070914,000000,30.714,30.714,30.714,30.714,0,0
CMR_PE,D,20070917,000000,30.35,30.35,30.35,30.35,0,0
CMR_PE,D,20070918,000000,30.26,30.26,30.26,30.26,0,0
CMR_PE,D,20070919,000000,30.441,30.441,30.441,30.441,0,0
CMR_PE,D,20070920,000000,30.074,30.074,30.074,30.074,0,0
CMR_PE,D,20070921,000000,29.891,29.891,29.891,29.891,0,0
CMR_PE,D,20070924,000000,29.891,29.891,29.891,29.891,0,0
CMR_PE,D,20070925,000000,30.441,30.441,30.441,30.441,0,0
CMR_PE,D,20070926,000000,30.714,30.714,30.714,30.714,0,0
CMR_PE,D,20070927,000000,30.898,30.898,30.898,30.898,0,0
CMR_PE,D,20070928,000000,30.898,30.898,30.898,30.898,0,0
CMR_PE,D,20071001,000000,28.795,28.795,28.795,28.795,0,0
CMR_PE,D,20071002,000000,29.525,29.525,29.525,29.525,0,0
CMR_PE,D,20071003,000000,28.795,28.795,28.795,28.795,0,0
CMR_PE,D,20071004,000000,28.612,28.612,28.612,28.612,0,0
CMR_PE,D,20071005,000000,28.612,28.612,28.612,28.612,0,0
CMR_PE,D,20071008,000000,28.247,28.247,28.247,28.247,0,0
CMR_PE,D,20071009,000000,28.795,28.795,28.795,28.795,0,0
CMR_PE,D,20071010,000000,28.795,28.795,28.795,28.795,0,0
CMR_PE,D,20071011,000000,29.891,29.891,29.891,29.891,0,0
CMR_PE,D,20071012,000000,29.71,29.71,29.71,29.71,0,0
