<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COG_PE,D,20070813,000000,111.84,111.84,111.84,111.84,0,0
COG_PE,D,20070814,000000,104.58,104.58,104.58,104.58,0,0
COG_PE,D,20070816,000000,79.214,79.214,79.214,79.214,0,0
COG_PE,D,20070817,000000,85.201,85.201,85.201,85.201,0,0
COG_PE,D,20070820,000000,85.918,85.918,85.918,85.918,0,0
COG_PE,D,20070821,000000,64.856,64.856,64.856,64.856,0,0
COG_PE,D,20070822,000000,69.802,69.802,69.802,69.802,0,0
COG_PE,D,20070823,000000,78.976,78.976,78.976,78.976,0,0
COG_PE,D,20070824,000000,84.956,84.956,84.956,84.956,0,0
COG_PE,D,20070827,000000,89.107,89.107,89.107,89.107,0,0
COG_PE,D,20070828,000000,87.352,87.352,87.352,87.352,0,0
COG_PE,D,20070829,000000,92.059,92.059,92.059,92.059,0,0
COG_PE,D,20070830,000000,89.9,89.9,89.9,89.9,0,0
COG_PE,D,20070831,000000,91.663,91.663,91.663,91.663,0,0
COG_PE,D,20070903,000000,93.333,93.333,93.333,93.333,0,0
COG_PE,D,20070904,000000,95.248,95.248,95.248,95.248,0,0
COG_PE,D,20070905,000000,96.767,96.767,96.767,96.767,0,0
COG_PE,D,20070906,000000,96.682,96.682,96.682,96.682,0,0
COG_PE,D,20070907,000000,93.418,93.418,93.418,93.418,0,0
COG_PE,D,20070910,000000,89.343,89.343,89.343,89.343,0,0
COG_PE,D,20070911,000000,90.541,90.541,90.541,90.541,0,0
COG_PE,D,20070912,000000,91.975,91.975,91.975,91.975,0,0
COG_PE,D,20070913,000000,91.663,91.663,91.663,91.663,0,0
COG_PE,D,20070914,000000,89.824,89.824,89.824,89.824,0,0
COG_PE,D,20070917,000000,88.947,88.947,88.947,88.947,0,0
COG_PE,D,20070918,000000,92.54,92.54,92.54,92.54,0,0
COG_PE,D,20070919,000000,96.606,96.606,96.606,96.606,0,0
COG_PE,D,20070920,000000,98.125,98.125,98.125,98.125,0,0
COG_PE,D,20070921,000000,98.04,98.04,98.04,98.04,0,0
COG_PE,D,20070924,000000,100.6,100.6,100.6,100.6,0,0
COG_PE,D,20070925,000000,97.399,97.399,97.399,97.399,0,0
COG_PE,D,20070926,000000,96.606,96.606,96.606,96.606,0,0
COG_PE,D,20070927,000000,94.135,94.135,94.135,94.135,0,0
COG_PE,D,20070928,000000,92.54,92.54,92.54,92.54,0,0
COG_PE,D,20071001,000000,86.551,86.551,86.551,86.551,0,0
COG_PE,D,20071002,000000,86.871,86.871,86.871,86.871,0,0
COG_PE,D,20071003,000000,83.522,83.522,83.522,83.522,0,0
COG_PE,D,20071004,000000,84.56,84.56,84.56,84.56,0,0
COG_PE,D,20071005,000000,84.636,84.636,84.636,84.636,0,0
COG_PE,D,20071008,000000,85.277,85.277,85.277,85.277,0,0
COG_PE,D,20071009,000000,88.55,88.55,88.55,88.55,0,0
COG_PE,D,20071010,000000,89.588,89.588,89.588,89.588,0,0
COG_PE,D,20071011,000000,90.06,90.06,90.06,90.06,0,0
COG_PE,D,20071012,000000,90.541,90.541,90.541,90.541,0,0
COG_PE,D,20071015,000000,90.144,90.144,90.144,90.144,0,0
COG_PE,D,20071016,000000,87.352,87.352,87.352,87.352,0,0
COG_PE,D,20071017,000000,87.673,87.673,87.673,87.673,0,0
COG_PE,D,20080229,000000,21.299,21.299,21.299,21.299,0,0
COG_PE,D,20080303,000000,20.342,20.741,19.465,20.023,0,0
COG_PE,D,20080304,000000,20.582,20.661,19.385,20.102,0,0
COG_PE,D,20080305,000000,20.422,21.539,20.183,21.539,0,0
COG_PE,D,20080306,000000,21.539,22.257,21.14,21.14,0,0
COG_PE,D,20080307,000000,20.501,20.981,20.263,20.981,0,0
COG_PE,D,20080310,000000,20.661,21.858,20.582,21.299,0,0
COG_PE,D,20080311,000000,21.459,22.336,21.299,22.257,0,0
COG_PE,D,20080312,000000,22.815,22.815,21.618,22.017,0,0
COG_PE,D,20080313,000000,21.379,22.017,20.981,21.219,0,0
COG_PE,D,20080314,000000,21.539,22.017,21.06,21.14,0,0
COG_PE,D,20080317,000000,20.582,20.821,20.023,20.661,0,0
COG_PE,D,20080318,000000,20.981,21.459,20.661,21.299,0,0
COG_PE,D,20080319,000000,21.459,21.858,20.9,21.618,0,0
COG_PE,D,20080320,000000,21.14,21.937,21.14,21.778,0,0
COG_PE,D,20080325,000000,22.336,22.416,22.017,22.177,0,0
COG_PE,D,20080326,000000,22.257,22.257,21.299,21.698,0,0
COG_PE,D,20080327,000000,21.698,21.937,21.539,21.618,0,0
COG_PE,D,20080328,000000,21.539,21.698,21.379,21.698,0,0
COG_PE,D,20080331,000000,22.177,22.177,22.177,22.177,0,0
COG_PE,D,20080401,000000,22.257,22.975,22.257,22.735,0,0
COG_PE,D,20080402,000000,23.214,24.171,23.214,23.533,0,0
COG_PE,D,20080403,000000,23.453,23.613,22.735,22.895,0,0
COG_PE,D,20080404,000000,22.576,23.054,22.576,23.054,0,0
COG_PE,D,20080407,000000,23.214,24.33,23.214,24.171,0,0
COG_PE,D,20080408,000000,24.012,24.012,23.374,23.533,0,0
COG_PE,D,20080409,000000,23.453,24.729,23.453,24.171,0,0
COG_PE,D,20080410,000000,24.411,24.491,23.772,24.012,0,0
COG_PE,D,20080411,000000,24.33,24.491,23.374,23.374,0,0
COG_PE,D,20080414,000000,22.975,23.294,22.496,23.214,0,0
COG_PE,D,20080415,000000,23.693,23.693,22.815,23.214,0,0
COG_PE,D,20080416,000000,23.134,23.294,22.735,23.214,0,0
COG_PE,D,20080417,000000,23.294,23.294,22.336,22.336,0,0
COG_PE,D,20080418,000000,22.416,22.815,22.257,22.336,0,0
COG_PE,D,20080421,000000,22.496,22.496,21.14,21.14,0,0
COG_PE,D,20080422,000000,21.14,21.299,19.624,20.183,0,0
COG_PE,D,20080423,000000,20.183,20.422,19.704,19.784,0,0
COG_PE,D,20080424,000000,19.864,20.422,19.864,20.342,0,0
COG_PE,D,20080425,000000,20.661,21.539,20.661,21.299,0,0
COG_PE,D,20080428,000000,21.539,21.539,20.981,20.981,0,0
COG_PE,D,20080429,000000,20.821,21.06,20.263,20.9,0,0
COG_PE,D,20080430,000000,20.981,21.618,20.9,21.459,0,0
COG_PE,D,20080505,000000,21.778,22.097,21.539,21.937,0,0
COG_PE,D,20080506,000000,21.937,21.937,21.219,21.539,0,0
COG_PE,D,20080507,000000,21.937,22.017,21.459,21.778,0,0
COG_PE,D,20080508,000000,21.618,21.698,21.219,21.459,0,0
COG_PE,D,20080509,000000,21.539,21.778,21.379,21.618,0,0
COG_PE,D,20080512,000000,21.618,21.778,21.299,21.539,0,0
COG_PE,D,20080513,000000,21.618,21.698,20.981,21.459,0,0
COG_PE,D,20080514,000000,21.219,21.539,21.06,21.459,0,0
COG_PE,D,20080515,000000,21.379,21.379,20.023,20.023,0,0
COG_PE,D,20080516,000000,20.263,20.741,16.593,16.593,0,0
COG_PE,D,20080519,000000,16.273,16.433,15.955,15.955,0,0
COG_PE,D,20080520,000000,15.955,15.955,14.838,14.918,0,0
COG_PE,D,20080521,000000,14.918,15.396,14.918,15.157,0,0
COG_PE,D,20080523,000000,15.317,15.317,14.758,15.237,0,0
COG_PE,D,20080526,000000,15.237,15.237,14.838,15.077,0,0
COG_PE,D,20080527,000000,15.237,15.237,14.838,15.077,0,0
COG_PE,D,20080528,000000,15.157,15.795,15.157,15.396,0,0
COG_PE,D,20080529,000000,15.874,15.874,15.237,15.396,0,0
COG_PE,D,20080530,000000,15.317,15.795,15.237,15.396,0,0
COG_PE,D,20080602,000000,15.556,15.556,15.077,15.237,0,0
COG_PE,D,20080603,000000,14.918,15.077,14.918,15.077,0,0
COG_PE,D,20080604,000000,15.237,15.237,5.9032,5.9032,0,0
COG_PE,D,20080605,000000,5.983,5.983,5.7437,5.8235,0,0
COG_PE,D,20080606,000000,5.8235,6.0628,5.6638,5.6638,0,0
COG_PE,D,20080609,000000,5.5043,5.6638,5.5043,5.6638,0,0
COG_PE,D,20080610,000000,5.6638,5.6638,5.3448,5.3448,0,0
COG_PE,D,20080611,000000,5.3448,5.3448,4.9459,4.9459,0,0
COG_PE,D,20080612,000000,4.9459,5.1852,4.9459,5.1055,0,0
COG_PE,D,20080613,000000,5.1852,5.1852,5.0257,5.1055,0,0
COG_PE,D,20080616,000000,5.265,5.265,5.1055,5.1852,0,0
COG_PE,D,20080617,000000,5.1852,5.265,5.1055,5.265,0,0
COG_PE,D,20080618,000000,5.1055,5.1852,4.9459,4.9459,0,0
COG_PE,D,20080619,000000,5.0257,5.0257,4.9459,5.0257,0,0
COG_PE,D,20080620,000000,5.0257,5.0257,4.9459,4.9459,0,0
COG_PE,D,20080623,000000,5.1055,5.1055,4.7864,4.7864,0,0
COG_PE,D,20080624,000000,4.7864,4.8662,4.547,4.7066,0,0
COG_PE,D,20080625,000000,4.8662,4.9459,4.6268,4.9459,0,0
COG_PE,D,20080626,000000,4.9459,4.9459,4.7066,4.7066,0,0
COG_PE,D,20080627,000000,4.7066,4.8662,4.547,4.7066,0,0
COG_PE,D,20080630,000000,4.6268,4.7066,4.547,4.7066,0,0
COG_PE,D,20080701,000000,4.7066,4.7066,4.4673,4.6268,0,0
COG_PE,D,20080702,000000,4.547,4.6268,4.4673,4.547,0,0
COG_PE,D,20080703,000000,4.4673,4.4673,4.3875,4.3875,0,0
COG_PE,D,20080704,000000,4.3875,4.3875,4.3875,4.3875,0,0
COG_PE,D,20080707,000000,4.3875,4.4673,4.228,4.3875,0,0
COG_PE,D,20080708,000000,4.228,4.8662,4.228,4.7864,0,0
COG_PE,D,20080709,000000,4.8662,5.1852,4.8662,4.9459,0,0
COG_PE,D,20080710,000000,4.8662,5.1055,4.8662,5.0257,0,0
COG_PE,D,20080711,000000,5.0257,5.0257,4.547,4.7864,0,0
COG_PE,D,20080714,000000,4.8662,4.9459,4.6268,4.7066,0,0
COG_PE,D,20080715,000000,4.547,4.6268,4.4673,4.4673,0,0
COG_PE,D,20080716,000000,4.547,4.6268,4.4673,4.6268,0,0
COG_PE,D,20080717,000000,4.8662,4.9459,4.7864,4.9459,0,0
COG_PE,D,20080718,000000,5.0257,5.3448,4.8662,5.265,0,0
COG_PE,D,20080721,000000,5.4245,5.4245,5.1852,5.265,0,0
COG_PE,D,20080722,000000,5.265,5.3448,5.1055,5.1852,0,0
COG_PE,D,20080723,000000,5.265,5.5043,5.1852,5.4245,0,0
COG_PE,D,20080724,000000,5.5043,5.5043,5.1055,5.1055,0,0
COG_PE,D,20080725,000000,4.9459,5.3448,4.8662,5.3448,0,0
COG_PE,D,20080728,000000,5.3448,5.3448,5.1852,5.3448,0,0
COG_PE,D,20080729,000000,5.1055,5.3448,5.1055,5.3448,0,0
COG_PE,D,20080730,000000,5.5841,5.6638,5.5043,5.5841,0,0
COG_PE,D,20080731,000000,5.6638,5.6638,5.3448,5.4245,0,0
COG_PE,D,20080801,000000,5.4245,5.4245,5.265,5.3448,0,0
COG_PE,D,20080804,000000,5.3448,5.4245,5.265,5.265,0,0
COG_PE,D,20080805,000000,5.3448,5.5043,5.3448,5.4245,0,0
COG_PE,D,20080806,000000,5.4245,5.4245,5.265,5.3448,0,0
COG_PE,D,20080807,000000,5.265,5.4245,5.1055,5.1852,0,0
COG_PE,D,20080808,000000,5.0257,5.265,5.0257,5.1852,0,0
COG_PE,D,20080811,000000,5.1852,5.265,5.1055,5.265,0,0
COG_PE,D,20080812,000000,5.1852,5.4245,5.1852,5.3448,0,0
COG_PE,D,20080813,000000,5.265,5.5841,5.1852,5.4245,0,0
COG_PE,D,20080814,000000,5.3448,5.4245,5.3448,5.4245,0,0
COG_PE,D,20080818,000000,5.1852,5.1852,4.3875,4.3875,0,0
COG_PE,D,20080819,000000,4.3875,4.3875,4.0684,4.1482,0,0
COG_PE,D,20080820,000000,4.1482,4.228,4.0684,4.0684,0,0
COG_PE,D,20080821,000000,4.0684,4.3077,3.9887,4.228,0,0
COG_PE,D,20080822,000000,4.228,4.4673,4.228,4.3875,0,0
COG_PE,D,20080825,000000,4.4673,4.4673,4.228,4.3077,0,0
COG_PE,D,20080826,000000,4.3077,4.7864,4.3077,4.6268,0,0
COG_PE,D,20080827,000000,4.6268,4.6268,4.4673,4.6268,0,0
COG_PE,D,20080828,000000,4.547,4.8662,4.547,4.7864,0,0
COG_PE,D,20080829,000000,4.8662,4.8662,4.6268,4.6268,0,0
COG_PE,D,20080901,000000,4.547,4.6268,4.4673,4.547,0,0
COG_PE,D,20080902,000000,4.6268,4.7066,4.4673,4.7066,0,0
COG_PE,D,20080903,000000,4.6268,4.6268,4.4673,4.547,0,0
COG_PE,D,20080904,000000,4.547,4.6268,4.547,4.547,0,0
COG_PE,D,20080905,000000,4.3875,4.3875,4.3077,4.3875,0,0
COG_PE,D,20080908,000000,4.4673,4.4673,4.3077,4.3077,0,0
COG_PE,D,20080909,000000,4.3077,4.3875,4.228,4.3077,0,0
COG_PE,D,20080910,000000,4.228,4.3875,4.228,4.3077,0,0
COG_PE,D,20080911,000000,4.3875,4.3875,4.228,4.228,0,0
COG_PE,D,20080912,000000,4.3077,4.3875,4.3077,4.3077,0,0
COG_PE,D,20080915,000000,4.3077,4.3077,3.9887,4.0684,0,0
COG_PE,D,20080916,000000,3.9089,4.0684,3.9089,3.9887,0,0
COG_PE,D,20080917,000000,4.0684,4.0684,3.9089,3.9887,0,0
COG_PE,D,20080918,000000,3.9089,3.9089,3.8291,3.9089,0,0
COG_PE,D,20080919,000000,4.0684,4.0684,3.9089,4.0684,0,0
COG_PE,D,20080922,000000,4.1482,4.228,4.0684,4.0684,0,0
COG_PE,D,20080923,000000,4.0684,4.3077,3.9089,4.1482,0,0
COG_PE,D,20080924,000000,4.3077,4.3077,4.1482,4.228,0,0
COG_PE,D,20080925,000000,4.228,4.228,4.1482,4.228,0,0
COG_PE,D,20080926,000000,4.228,4.228,3.9887,4.1482,0,0
COG_PE,D,20080929,000000,4.0684,4.0684,3.9089,3.9089,0,0
COG_PE,D,20080930,000000,3.8291,3.9887,3.7494,3.9887,0,0
COG_PE,D,20081001,000000,3.9887,3.9887,3.9089,3.9887,0,0
COG_PE,D,20081002,000000,4.0684,4.0684,3.9089,3.9089,0,0
COG_PE,D,20081003,000000,3.9089,3.9089,3.8291,3.9089,0,0
COG_PE,D,20081006,000000,3.8291,3.8291,3.51,3.51,0,0
COG_PE,D,20081007,000000,3.4302,3.51,3.3504,3.4302,0,0
COG_PE,D,20081008,000000,3.2707,3.4302,3.0314,3.1909,0,0
COG_PE,D,20081009,000000,3.2707,3.3504,3.1909,3.1909,0,0
COG_PE,D,20081010,000000,2.9516,3.0314,2.7921,2.9516,0,0
COG_PE,D,20081013,000000,3.0314,3.1111,2.9516,2.9516,0,0
COG_PE,D,20081014,000000,3.1111,3.1111,2.9516,3.1111,0,0
COG_PE,D,20081015,000000,3.1111,3.1111,2.7921,2.9516,0,0
COG_PE,D,20081016,000000,2.7921,3.0314,2.7921,2.8718,0,0
COG_PE,D,20081017,000000,2.9516,2.9516,2.7123,2.7921,0,0
COG_PE,D,20081020,000000,2.8718,2.9516,2.7921,2.7921,0,0
COG_PE,D,20081021,000000,2.9516,2.9516,2.7921,2.7921,0,0
COG_PE,D,20081022,000000,2.7921,2.7921,2.6325,2.7123,0,0
COG_PE,D,20081023,000000,2.6325,2.7123,2.3932,2.5527,0,0
COG_PE,D,20081024,000000,2.4729,2.4729,2.3134,2.4729,0,0
COG_PE,D,20081027,000000,2.3134,2.4729,2.3134,2.4729,0,0
COG_PE,D,20081028,000000,2.5527,2.6325,2.5527,2.5527,0,0
COG_PE,D,20081029,000000,2.6325,2.9516,2.6325,2.8718,0,0
COG_PE,D,20081030,000000,3.0314,3.0314,2.7921,2.8718,0,0
COG_PE,D,20081031,000000,2.8718,2.8718,2.7123,2.8718,0,0
COG_PE,D,20081103,000000,2.7921,3.0314,2.7921,2.8718,0,0
COG_PE,D,20081104,000000,2.9516,3.0314,2.8718,2.9516,0,0
COG_PE,D,20081105,000000,2.9516,2.9516,2.7921,2.8718,0,0
COG_PE,D,20081106,000000,2.8718,2.8718,2.7123,2.7123,0,0
COG_PE,D,20081107,000000,2.6325,2.7921,2.6325,2.7921,0,0
COG_PE,D,20081110,000000,2.8718,2.8718,2.7921,2.7921,0,0
COG_PE,D,20081112,000000,2.8718,2.8718,2.7123,2.7123,0,0
COG_PE,D,20081113,000000,2.6325,2.7123,2.5527,2.7123,0,0
COG_PE,D,20081114,000000,2.8718,2.8718,2.7123,2.7921,0,0
COG_PE,D,20081117,000000,2.6325,3.1111,2.6325,3.1111,0,0
COG_PE,D,20081118,000000,3.1111,3.1111,2.9516,2.9516,0,0
COG_PE,D,20081119,000000,3.0314,3.1111,2.8718,3.1111,0,0
COG_PE,D,20081120,000000,3.0314,3.0314,2.8718,2.9516,0,0
COG_PE,D,20081121,000000,2.9516,3.1111,2.9516,2.9516,0,0
COG_PE,D,20081124,000000,3.0314,3.1111,3.0314,3.1111,0,0
COG_PE,D,20081125,000000,3.1111,3.1909,3.0314,3.1111,0,0
COG_PE,D,20081126,000000,3.1111,3.2707,3.1111,3.2707,0,0
COG_PE,D,20081127,000000,3.4302,3.4302,3.1909,3.1909,0,0
COG_PE,D,20081128,000000,3.1909,3.3504,2.9516,3.0314,0,0
COG_PE,D,20081201,000000,3.0314,3.0314,2.7921,2.7921,0,0
COG_PE,D,20081202,000000,2.7123,3.0314,2.7123,3.0314,0,0
COG_PE,D,20081203,000000,3.0314,3.1111,2.9516,3.0314,0,0
COG_PE,D,20081204,000000,3.0314,3.0314,2.9516,2.9516,0,0
COG_PE,D,20081205,000000,2.9516,3.1909,2.9516,3.1909,0,0
COG_PE,D,20081208,000000,3.1909,3.5898,3.1909,3.51,0,0
COG_PE,D,20081209,000000,3.5898,3.5898,3.4302,3.51,0,0
COG_PE,D,20081210,000000,3.5898,3.7494,3.4302,3.5898,0,0
COG_PE,D,20081211,000000,3.7494,3.9089,3.7494,3.8291,0,0
COG_PE,D,20081212,000000,3.6696,3.7494,3.51,3.6696,0,0
COG_PE,D,20081215,000000,3.8291,3.8291,3.5898,3.7494,0,0
COG_PE,D,20081216,000000,3.6696,3.7494,3.6696,3.6696,0,0
COG_PE,D,20081217,000000,3.7494,3.7494,3.4302,3.5898,0,0
COG_PE,D,20081218,000000,3.5898,3.5898,3.4302,3.4302,0,0
COG_PE,D,20081219,000000,3.3504,3.4302,3.3504,3.4302,0,0
COG_PE,D,20081222,000000,3.51,3.51,3.1909,3.1909,0,0
COG_PE,D,20081223,000000,3.2707,3.2707,3.1111,3.1111,0,0
COG_PE,D,20081229,000000,3.1111,3.1909,3.0314,3.1111,0,0
COG_PE,D,20081230,000000,3.1111,3.1909,3.1111,3.1909,0,0
COG_PE,D,20081231,000000,3.1909,3.1909,3.1111,3.1111,0,0
COG_PE,D,20090105,000000,3.3504,3.4302,3.1111,3.4302,0,0
COG_PE,D,20090106,000000,3.4302,3.51,3.3504,3.4302,0,0
COG_PE,D,20090107,000000,3.4302,3.6696,3.4302,3.51,0,0
COG_PE,D,20090108,000000,3.51,3.6696,3.4302,3.6696,0,0
COG_PE,D,20090109,000000,3.6696,4.3077,3.6696,4.1482,0,0
COG_PE,D,20090112,000000,4.228,4.547,4.0684,4.3077,0,0
COG_PE,D,20090113,000000,4.3077,4.4673,4.3077,4.3875,0,0
COG_PE,D,20090114,000000,4.4673,4.4673,4.0684,4.0684,0,0
