<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPS_PE,D,20080506,000000,26.548,26.548,26.548,26.548,0,0
CPS_PE,D,20080507,000000,26.548,26.637,26.21,26.637,0,0
CPS_PE,D,20080508,000000,26.465,26.637,26.291,26.548,0,0
CPS_PE,D,20080509,000000,26.548,26.548,25.863,25.945,0,0
CPS_PE,D,20080512,000000,26.036,26.036,25.863,25.945,0,0
CPS_PE,D,20080513,000000,25.863,26.291,25.863,26.291,0,0
CPS_PE,D,20080514,000000,26.637,27.319,26.637,27.148,0,0
CPS_PE,D,20080515,000000,27.056,27.056,26.892,26.974,0,0
CPS_PE,D,20080516,000000,26.974,26.974,20.997,20.997,0,0
CPS_PE,D,20080519,000000,21.088,21.088,20.823,20.997,0,0
CPS_PE,D,20080520,000000,20.997,21.424,20.997,21.252,0,0
CPS_PE,D,20080521,000000,21.17,21.424,21.088,21.252,0,0
CPS_PE,D,20080523,000000,21.252,21.424,21.252,21.343,0,0
CPS_PE,D,20080526,000000,21.343,21.343,21.17,21.252,0,0
CPS_PE,D,20080527,000000,21.17,21.343,21.17,21.343,0,0
CPS_PE,D,20080528,000000,21.343,21.935,21.343,21.935,0,0
CPS_PE,D,20080529,000000,22.026,22.197,21.935,21.935,0,0
CPS_PE,D,20080530,000000,22.106,22.708,22.026,22.626,0,0
CPS_PE,D,20080602,000000,22.626,23.472,22.626,23.217,0,0
CPS_PE,D,20080603,000000,23.308,24.327,23.308,24.246,0,0
CPS_PE,D,20080604,000000,24.417,24.417,23.134,23.308,0,0
CPS_PE,D,20080605,000000,22.88,23.39,22.708,22.961,0,0
CPS_PE,D,20080606,000000,23.39,23.472,22.79,23.043,0,0
CPS_PE,D,20080609,000000,22.453,23.043,22.106,22.79,0,0
CPS_PE,D,20080610,000000,22.361,22.79,21.771,22.106,0,0
CPS_PE,D,20080611,000000,21.771,21.935,21.597,21.852,0,0
CPS_PE,D,20080612,000000,21.515,22.197,21.515,21.597,0,0
CPS_PE,D,20080613,000000,21.597,22.106,21.597,21.935,0,0
CPS_PE,D,20080616,000000,21.935,22.626,21.935,22.534,0,0
CPS_PE,D,20080617,000000,22.453,22.961,22.453,22.708,0,0
CPS_PE,D,20080618,000000,22.626,22.626,21.935,22.026,0,0
CPS_PE,D,20080619,000000,21.935,22.026,21.515,21.935,0,0
CPS_PE,D,20080620,000000,22.106,22.279,21.935,21.935,0,0
CPS_PE,D,20080623,000000,22.026,22.026,21.515,21.597,0,0
CPS_PE,D,20080624,000000,21.597,21.597,20.66,20.997,0,0
CPS_PE,D,20080625,000000,20.823,20.823,20.66,20.743,0,0
CPS_PE,D,20080626,000000,20.57,20.823,20.57,20.66,0,0
CPS_PE,D,20080627,000000,20.488,20.997,20.315,20.823,0,0
CPS_PE,D,20080630,000000,20.743,21.17,20.66,21.088,0,0
