<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC_PE,D,20070813,000000,12.155,12.155,12.155,12.155,0,0
DBC_PE,D,20070814,000000,12.155,12.155,12.155,12.155,0,0
DBC_PE,D,20070816,000000,12.034,12.034,12.034,12.034,0,0
DBC_PE,D,20070817,000000,11.795,11.795,11.795,11.795,0,0
DBC_PE,D,20070820,000000,12.034,12.034,12.034,12.034,0,0
DBC_PE,D,20070821,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070822,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070823,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070824,000000,11.38,11.38,11.38,11.38,0,0
DBC_PE,D,20070827,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070828,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070829,000000,11.442,11.442,11.442,11.442,0,0
DBC_PE,D,20070830,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070831,000000,11.502,11.502,11.502,11.502,0,0
DBC_PE,D,20070903,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070904,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070905,000000,11.557,11.557,11.557,11.557,0,0
DBC_PE,D,20070906,000000,11.502,11.502,11.502,11.502,0,0
DBC_PE,D,20070907,000000,11.143,11.143,11.143,11.143,0,0
DBC_PE,D,20070910,000000,11.026,11.026,11.026,11.026,0,0
DBC_PE,D,20070911,000000,11.026,11.026,11.026,11.026,0,0
DBC_PE,D,20070912,000000,11.143,11.143,11.143,11.143,0,0
DBC_PE,D,20070913,000000,11.026,11.026,11.026,11.026,0,0
DBC_PE,D,20070914,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070917,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070918,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070919,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070920,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070921,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070924,000000,11.026,11.026,11.026,11.026,0,0
DBC_PE,D,20070925,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070926,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070927,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20070928,000000,10.849,10.849,10.849,10.849,0,0
DBC_PE,D,20071001,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071002,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071003,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071004,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071005,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071008,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071009,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071010,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071011,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071012,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071015,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071016,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071017,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071018,000000,10.727,10.727,10.727,10.727,0,0
DBC_PE,D,20071019,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071022,000000,10.91,10.91,10.91,10.91,0,0
DBC_PE,D,20071023,000000,10.788,10.788,10.788,10.788,0,0
DBC_PE,D,20071024,000000,10.788,10.788,10.788,10.788,0,0
DBC_PE,D,20071025,000000,11.026,11.026,11.026,11.026,0,0
DBC_PE,D,20071026,000000,11.502,11.502,11.502,11.502,0,0
DBC_PE,D,20071029,000000,11.502,11.502,11.502,11.502,0,0
DBC_PE,D,20071030,000000,11.143,11.143,11.143,11.143,0,0
DBC_PE,D,20071031,000000,11.38,11.38,11.38,11.38,0,0
DBC_PE,D,20071102,000000,10.551,10.551,10.551,10.551,0,0
DBC_PE,D,20071105,000000,12.155,12.155,12.155,12.155,0,0
DBC_PE,D,20071106,000000,12.21,12.21,12.21,12.21,0,0
DBC_PE,D,20071107,000000,11.918,11.918,11.918,11.918,0,0
DBC_PE,D,20071108,000000,11.918,11.918,11.918,11.918,0,0
DBC_PE,D,20071109,000000,11.557,12.57,11.557,12.57,0,0
DBC_PE,D,20071112,000000,12.21,12.803,12.155,12.686,0,0
DBC_PE,D,20071113,000000,12.57,12.686,12.509,12.57,0,0
DBC_PE,D,20071114,000000,12.625,12.746,12.388,12.746,0,0
DBC_PE,D,20071115,000000,12.625,12.746,11.918,12.57,0,0
DBC_PE,D,20071116,000000,12.686,12.686,11.918,12.57,0,0
DBC_PE,D,20071119,000000,12.57,12.862,12.448,12.803,0,0
DBC_PE,D,20071120,000000,12.746,12.803,12.57,12.803,0,0
DBC_PE,D,20071121,000000,12.57,12.57,12.57,12.57,0,0
DBC_PE,D,20071122,000000,12.332,12.57,12.332,12.57,0,0
DBC_PE,D,20071123,000000,12.57,12.625,12.332,12.57,0,0
DBC_PE,D,20071126,000000,12.57,12.57,12.332,12.57,0,0
DBC_PE,D,20071127,000000,12.57,12.57,12.388,12.57,0,0
DBC_PE,D,20071128,000000,12.686,12.686,12.448,12.57,0,0
DBC_PE,D,20071129,000000,12.57,12.57,12.448,12.57,0,0
DBC_PE,D,20071130,000000,12.448,12.448,11.795,11.918,0,0
DBC_PE,D,20071203,000000,11.918,11.918,11.38,11.618,0,0
DBC_PE,D,20071204,000000,11.795,11.795,11.38,11.74,0,0
DBC_PE,D,20071205,000000,11.618,12.155,11.618,12.095,0,0
DBC_PE,D,20071206,000000,12.095,12.095,11.795,11.918,0,0
DBC_PE,D,20071207,000000,12.155,12.448,12.034,12.448,0,0
DBC_PE,D,20071210,000000,12.21,12.448,12.21,12.448,0,0
DBC_PE,D,20071211,000000,12.21,12.625,12.21,12.625,0,0
DBC_PE,D,20071212,000000,12.625,13.216,12.625,13.216,0,0
DBC_PE,D,20071213,000000,12.984,13.216,12.803,13.101,0,0
DBC_PE,D,20071214,000000,13.101,13.632,13.101,13.632,0,0
DBC_PE,D,20071217,000000,13.4,13.754,13.162,13.754,0,0
DBC_PE,D,20071218,000000,13.754,13.992,13.517,13.871,0,0
DBC_PE,D,20071219,000000,13.632,13.871,13.632,13.871,0,0
DBC_PE,D,20071220,000000,13.517,13.992,13.517,13.992,0,0
DBC_PE,D,20071221,000000,14.107,14.107,13.871,13.93,0,0
DBC_PE,D,20071227,000000,13.992,14.168,13.871,14.168,0,0
DBC_PE,D,20071228,000000,14.168,14.168,13.93,13.93,0,0
DBC_PE,D,20080102,000000,13.93,13.93,13.871,13.871,0,0
DBC_PE,D,20080103,000000,13.632,13.632,13.4,13.455,0,0
DBC_PE,D,20080104,000000,13.578,13.578,13.4,13.455,0,0
DBC_PE,D,20080107,000000,13.578,13.578,13.455,13.455,0,0
DBC_PE,D,20080108,000000,13.339,13.455,13.279,13.455,0,0
DBC_PE,D,20080109,000000,13.216,13.216,12.625,12.686,0,0
DBC_PE,D,20080110,000000,12.448,12.686,11.557,11.68,0,0
DBC_PE,D,20080111,000000,11.38,12.034,11.38,11.68,0,0
DBC_PE,D,20080114,000000,11.026,11.026,11.026,11.026,0,0
DBC_PE,D,20080115,000000,11.326,11.618,10.849,10.849,0,0
DBC_PE,D,20080116,000000,10.612,10.612,10.312,10.433,0,0
DBC_PE,D,20080117,000000,10.312,10.551,10.312,10.374,0,0
DBC_PE,D,20080118,000000,10.551,10.551,10.433,10.433,0,0
DBC_PE,D,20080121,000000,10.612,10.612,9.604,9.604,0,0
DBC_PE,D,20080122,000000,9.3058,9.604,9.1893,9.604,0,0
DBC_PE,D,20080123,000000,9.781,9.842,8.8903,9.72,0,0
DBC_PE,D,20080124,000000,10.196,10.196,9.897,10.02,0,0
DBC_PE,D,20080125,000000,10.196,10.551,10.02,10.551,0,0
DBC_PE,D,20080128,000000,10.673,11.203,10.673,11.203,0,0
DBC_PE,D,20080129,000000,11.264,11.68,11.264,11.618,0,0
DBC_PE,D,20080130,000000,11.74,11.856,11.557,11.74,0,0
DBC_PE,D,20080131,000000,11.973,11.973,11.502,11.856,0,0
DBC_PE,D,20080201,000000,11.973,12.21,11.618,12.21,0,0
DBC_PE,D,20080204,000000,12.155,12.155,11.973,12.155,0,0
DBC_PE,D,20080205,000000,11.973,12.155,11.795,12.034,0,0
DBC_PE,D,20080206,000000,11.795,12.155,11.68,11.918,0,0
DBC_PE,D,20080207,000000,12.034,12.034,11.68,11.68,0,0
DBC_PE,D,20080208,000000,11.74,11.74,11.557,11.618,0,0
DBC_PE,D,20080211,000000,11.856,12.155,11.856,12.155,0,0
DBC_PE,D,20080212,000000,12.155,12.272,12.155,12.272,0,0
DBC_PE,D,20080213,000000,12.155,12.332,12.155,12.332,0,0
DBC_PE,D,20080214,000000,12.272,12.509,12.21,12.509,0,0
DBC_PE,D,20080215,000000,12.272,13.216,12.095,13.216,0,0
DBC_PE,D,20080218,000000,13.279,13.339,13.279,13.339,0,0
DBC_PE,D,20080219,000000,13.339,13.455,13.339,13.455,0,0
DBC_PE,D,20080220,000000,13.455,13.455,13.279,13.279,0,0
DBC_PE,D,20080221,000000,13.455,13.578,13.279,13.455,0,0
DBC_PE,D,20080222,000000,13.578,13.578,13.339,13.339,0,0
DBC_PE,D,20080225,000000,13.517,13.578,13.339,13.339,0,0
DBC_PE,D,20080226,000000,15.236,15.53,15.176,15.353,0,0
DBC_PE,D,20080227,000000,15.651,15.651,14.999,15.061,0,0
DBC_PE,D,20080228,000000,15.114,15.114,14.999,15.061,0,0
DBC_PE,D,20080229,000000,15.061,15.061,14.938,14.938,0,0
DBC_PE,D,20080303,000000,14.938,15.061,14.938,14.938,0,0
DBC_PE,D,20080304,000000,15.236,15.236,14.938,15.114,0,0
DBC_PE,D,20080305,000000,15.061,15.061,14.999,14.999,0,0
DBC_PE,D,20080306,000000,14.938,14.938,14.877,14.938,0,0
DBC_PE,D,20080307,000000,14.823,14.999,14.823,14.938,0,0
DBC_PE,D,20080310,000000,14.938,14.999,14.76,14.999,0,0
DBC_PE,D,20080311,000000,14.999,15.061,14.877,15.061,0,0
DBC_PE,D,20080312,000000,14.999,15.061,14.76,14.999,0,0
DBC_PE,D,20080313,000000,14.877,15.114,14.76,15.061,0,0
DBC_PE,D,20080314,000000,14.877,14.999,14.823,14.823,0,0
