<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCR_PE,D,20070813,000000,10.603,10.603,10.603,10.603,0,0
DCR_PE,D,20070814,000000,9.594,9.594,9.594,9.594,0,0
DCR_PE,D,20070816,000000,8.6349,8.6349,8.6349,8.6349,0,0
DCR_PE,D,20070817,000000,8.7273,8.7273,8.7273,8.7273,0,0
DCR_PE,D,20070820,000000,9.546,9.546,9.546,9.546,0,0
DCR_PE,D,20070821,000000,9.882,9.882,9.882,9.882,0,0
DCR_PE,D,20070822,000000,10.695,10.695,10.695,10.695,0,0
DCR_PE,D,20070823,000000,11.367,11.367,11.367,11.367,0,0
DCR_PE,D,20070824,000000,10.744,10.744,10.744,10.744,0,0
DCR_PE,D,20070827,000000,10.359,10.359,10.359,10.359,0,0
DCR_PE,D,20070828,000000,9.931,9.931,9.931,9.931,0,0
DCR_PE,D,20070829,000000,9.784,9.784,9.784,9.784,0,0
DCR_PE,D,20070830,000000,9.834,9.834,9.834,9.834,0,0
DCR_PE,D,20070831,000000,10.072,10.072,10.072,10.072,0,0
DCR_PE,D,20070903,000000,10.407,10.407,10.407,10.407,0,0
DCR_PE,D,20070904,000000,10.407,10.407,10.407,10.407,0,0
DCR_PE,D,20070905,000000,10.407,10.407,10.407,10.407,0,0
DCR_PE,D,20070906,000000,10.506,10.506,10.506,10.506,0,0
DCR_PE,D,20070907,000000,9.882,9.882,9.882,9.882,0,0
DCR_PE,D,20070910,000000,9.784,9.784,9.784,9.784,0,0
DCR_PE,D,20070911,000000,9.834,9.834,9.834,9.834,0,0
DCR_PE,D,20070912,000000,10.072,10.072,10.072,10.072,0,0
DCR_PE,D,20070913,000000,10.072,10.072,10.072,10.072,0,0
DCR_PE,D,20070914,000000,10.168,10.168,10.168,10.168,0,0
DCR_PE,D,20070917,000000,10.506,10.506,10.506,10.506,0,0
DCR_PE,D,20070918,000000,10.407,10.407,10.407,10.407,0,0
DCR_PE,D,20070919,000000,10.407,10.407,10.407,10.407,0,0
DCR_PE,D,20070920,000000,10.506,10.506,10.506,10.506,0,0
DCR_PE,D,20070921,000000,10.359,10.359,10.359,10.359,0,0
DCR_PE,D,20070924,000000,10.311,10.311,10.311,10.311,0,0
DCR_PE,D,20070925,000000,10.311,10.311,10.311,10.311,0,0
DCR_PE,D,20070926,000000,10.266,10.266,10.266,10.266,0,0
DCR_PE,D,20070927,000000,10.266,10.266,10.266,10.266,0,0
DCR_PE,D,20070928,000000,10.266,10.266,10.266,10.266,0,0
DCR_PE,D,20071001,000000,10.072,10.072,10.072,10.072,0,0
DCR_PE,D,20071002,000000,9.974,9.974,9.974,9.974,0,0
DCR_PE,D,20071003,000000,9.882,9.882,9.882,9.882,0,0
DCR_PE,D,20071004,000000,9.974,9.974,9.974,9.974,0,0
DCR_PE,D,20071005,000000,10.266,10.266,10.266,10.266,0,0
DCR_PE,D,20071008,000000,10.218,10.218,10.218,10.218,0,0
DCR_PE,D,20071009,000000,10.266,10.266,10.266,10.266,0,0
DCR_PE,D,20071010,000000,10.072,10.072,10.072,10.072,0,0
DCR_PE,D,20071011,000000,9.882,9.882,9.882,9.882,0,0
DCR_PE,D,20071012,000000,9.974,9.974,9.974,9.974,0,0
DCR_PE,D,20071015,000000,9.974,9.974,9.974,9.974,0,0
DCR_PE,D,20071016,000000,9.784,9.784,9.784,9.784,0,0
DCR_PE,D,20071017,000000,10.218,10.218,10.218,10.218,0,0
DCR_PE,D,20071018,000000,9.882,9.882,9.882,9.882,0,0
DCR_PE,D,20071019,000000,10.407,10.407,10.407,10.407,0,0
DCR_PE,D,20071022,000000,9.784,9.784,9.784,9.784,0,0
DCR_PE,D,20071023,000000,10.218,10.218,10.218,10.218,0,0
DCR_PE,D,20071024,000000,10.218,10.218,10.218,10.218,0,0
DCR_PE,D,20071025,000000,10.218,10.218,10.218,10.218,0,0
DCR_PE,D,20071026,000000,9.974,9.974,9.974,9.974,0,0
DCR_PE,D,20071029,000000,9.974,9.974,9.974,9.974,0,0
DCR_PE,D,20071030,000000,9.784,9.784,9.784,9.784,0,0
DCR_PE,D,20071031,000000,10.072,10.072,10.072,10.072,0,0
DCR_PE,D,20071102,000000,10.072,10.072,10.072,10.072,0,0
DCR_PE,D,20071105,000000,9.974,9.974,9.974,9.974,0,0
DCR_PE,D,20071106,000000,9.882,9.882,9.882,9.882,0,0
DCR_PE,D,20071107,000000,9.4976,9.4976,9.4976,9.4976,0,0
DCR_PE,D,20071108,000000,9.0198,9.0198,9.0198,9.0198,0,0
DCR_PE,D,20071109,000000,9.0198,9.0198,8.7762,8.7762,0,0
DCR_PE,D,20071112,000000,9.2094,9.2094,7.9143,8.2012,0,0
DCR_PE,D,20071113,000000,9.0198,9.0198,7.9143,8.3916,0,0
DCR_PE,D,20071114,000000,8.8251,8.8251,8.0606,8.2502,0,0
DCR_PE,D,20071115,000000,7.7243,8.2502,7.4813,7.7243,0,0
DCR_PE,D,20071116,000000,7.8652,7.8652,7.3886,7.768,0,0
DCR_PE,D,20071119,000000,7.8652,7.8652,7.768,7.8652,0,0
DCR_PE,D,20071120,000000,7.768,7.768,7.3886,7.3886,0,0
DCR_PE,D,20071121,000000,7.5785,7.5785,6.7649,7.1448,0,0
DCR_PE,D,20071122,000000,7.1448,7.8171,6.7649,7.6764,0,0
DCR_PE,D,20071123,000000,7.6764,7.8652,7.1935,7.6764,0,0
DCR_PE,D,20071126,000000,7.6764,7.6764,7.1448,7.1448,0,0
DCR_PE,D,20071127,000000,7.4373,7.4373,7.0037,7.2915,0,0
DCR_PE,D,20071128,000000,7.2915,7.2915,6.9545,7.1935,0,0
DCR_PE,D,20071129,000000,7.2421,7.768,7.1935,7.768,0,0
DCR_PE,D,20071130,000000,7.768,7.8171,7.4813,7.8171,0,0
DCR_PE,D,20071203,000000,7.8171,7.8171,7.6764,7.6764,0,0
DCR_PE,D,20071204,000000,7.6764,7.6764,7.6764,7.6764,0,0
DCR_PE,D,20071205,000000,7.8171,7.8171,7.768,7.768,0,0
DCR_PE,D,20071206,000000,7.8171,7.8171,7.627,7.6764,0,0
DCR_PE,D,20071207,000000,7.0524,7.627,7.0524,7.627,0,0
DCR_PE,D,20071210,000000,7.5785,7.8171,7.5785,7.768,0,0
DCR_PE,D,20071211,000000,7.627,7.627,7.4373,7.4813,0,0
DCR_PE,D,20071212,000000,7.4373,7.4373,7.0037,7.1935,0,0
DCR_PE,D,20071213,000000,7.2421,7.4373,7.2421,7.3393,0,0
DCR_PE,D,20071214,000000,7.5299,7.5299,7.3393,7.4373,0,0
DCR_PE,D,20071217,000000,7.5299,7.5299,7.2421,7.3393,0,0
DCR_PE,D,20071218,000000,6.8088,7.9143,6.8088,7.9143,0,0
DCR_PE,D,20071219,000000,8.2502,8.2502,7.3886,7.3886,0,0
DCR_PE,D,20071220,000000,7.4373,7.4373,7.1935,7.1935,0,0
DCR_PE,D,20071221,000000,7.101,7.3393,7.101,7.101,0,0
DCR_PE,D,20071227,000000,7.101,7.1935,7.101,7.1935,0,0
DCR_PE,D,20071228,000000,7.4373,7.6764,7.4373,7.6764,0,0
DCR_PE,D,20080102,000000,7.8652,7.8652,7.4373,7.6764,0,0
DCR_PE,D,20080103,000000,7.5299,7.6764,7.2421,7.6764,0,0
DCR_PE,D,20080104,000000,7.6764,7.6764,7.2421,7.4813,0,0
DCR_PE,D,20080107,000000,7.3886,7.3886,7.0037,7.1935,0,0
DCR_PE,D,20080108,000000,7.3393,7.5299,7.1935,7.5299,0,0
DCR_PE,D,20080109,000000,7.5299,7.5299,7.2421,7.5299,0,0
DCR_PE,D,20080110,000000,7.5299,7.5299,6.8088,6.9067,0,0
DCR_PE,D,20080111,000000,7.4373,7.4373,7.3393,7.3393,0,0
DCR_PE,D,20080114,000000,6.5218,6.5218,6.5218,6.5218,0,0
DCR_PE,D,20080115,000000,6.9545,6.9545,6.619,6.6677,0,0
DCR_PE,D,20080116,000000,6.619,6.619,6.2344,6.4778,0,0
DCR_PE,D,20080117,000000,6.7649,6.8088,6.619,6.7163,0,0
DCR_PE,D,20080118,000000,7.0037,7.0037,6.5698,7.0037,0,0
DCR_PE,D,20080121,000000,7.0037,7.1935,6.7163,6.7163,0,0
DCR_PE,D,20080122,000000,6.2829,6.8088,6.2829,6.8088,0,0
DCR_PE,D,20080123,000000,6.8574,6.8574,6.7649,6.8088,0,0
DCR_PE,D,20080124,000000,6.8574,7.3393,6.6677,6.9545,0,0
DCR_PE,D,20080125,000000,7.4373,7.4813,7.4373,7.4813,0,0
DCR_PE,D,20080128,000000,7.4373,7.5785,7.2421,7.5299,0,0
DCR_PE,D,20080129,000000,7.5299,8.0116,7.5299,7.9625,0,0
DCR_PE,D,20080130,000000,7.9625,8.1529,7.8171,8.1529,0,0
DCR_PE,D,20080131,000000,8.2012,8.4406,8.1529,8.3474,0,0
DCR_PE,D,20080201,000000,8.3474,8.3474,8.3474,8.3474,0,0
DCR_PE,D,20080204,000000,8.9231,8.9231,8.3474,8.3474,0,0
DCR_PE,D,20080205,000000,8.7762,8.7762,8.3474,8.3474,0,0
DCR_PE,D,20080206,000000,8.3474,8.3474,8.3474,8.3474,0,0
DCR_PE,D,20080207,000000,8.3474,8.3474,8.2992,8.2992,0,0
DCR_PE,D,20080208,000000,8.3474,8.3474,8.1047,8.1047,0,0
DCR_PE,D,20080211,000000,8.1047,8.1047,8.1047,8.1047,0,0
DCR_PE,D,20080212,000000,8.1047,8.1047,8.1047,8.1047,0,0
DCR_PE,D,20080213,000000,8.7762,8.7762,8.2992,8.3474,0,0
DCR_PE,D,20080214,000000,8.5859,8.5859,8.4406,8.4406,0,0
DCR_PE,D,20080215,000000,8.5859,8.5859,8.1047,8.3474,0,0
DCR_PE,D,20080218,000000,8.5859,8.5859,8.3474,8.3474,0,0
DCR_PE,D,20080219,000000,8.5379,8.5379,8.3474,8.3474,0,0
