<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEL_PE,D,20091215,000000,6.746,6.746,6.746,6.746,0,0
DEL_PE,D,20091217,000000,6.5891,6.5891,6.4322,6.5891,0,0
DEL_PE,D,20091218,000000,6.4322,6.5891,6.4322,6.5891,0,0
DEL_PE,D,20091221,000000,6.5891,6.903,6.5891,6.746,0,0
DEL_PE,D,20091222,000000,6.5891,6.746,6.3538,6.6676,0,0
DEL_PE,D,20091223,000000,6.746,6.746,6.4322,6.5891,0,0
DEL_PE,D,20091228,000000,6.5891,6.5891,6.5107,6.5107,0,0
DEL_PE,D,20091229,000000,6.5891,6.5891,6.4322,6.5107,0,0
DEL_PE,D,20091230,000000,6.5107,6.5891,6.4322,6.5891,0,0
DEL_PE,D,20091231,000000,6.5891,6.5891,6.5891,6.5891,0,0
DEL_PE,D,20100104,000000,6.4322,8.0017,6.4322,8.0017,0,0
DEL_PE,D,20100105,000000,8.0017,8.0017,7.8443,7.9226,0,0
DEL_PE,D,20100106,000000,8.0017,8.0017,7.766,7.9226,0,0
DEL_PE,D,20100107,000000,8.0017,8.0017,7.6085,7.6085,0,0
DEL_PE,D,20100108,000000,8.0017,8.0017,7.8443,8.0017,0,0
DEL_PE,D,20100111,000000,8.0017,8.0017,8.0017,8.0017,0,0
DEL_PE,D,20100112,000000,7.6876,8.0017,7.6876,8.0017,0,0
DEL_PE,D,20100113,000000,7.766,8.0017,7.766,7.9226,0,0
DEL_PE,D,20100114,000000,7.9226,7.9226,7.766,7.9226,0,0
DEL_PE,D,20100115,000000,8.0017,8.0017,7.8443,7.9226,0,0
DEL_PE,D,20100118,000000,7.9226,7.9226,7.9226,7.9226,0,0
DEL_PE,D,20100119,000000,7.9226,7.9226,7.9226,7.9226,0,0
DEL_PE,D,20100120,000000,7.9226,7.9226,7.8443,7.8443,0,0
DEL_PE,D,20100121,000000,7.766,7.8443,7.766,7.8443,0,0
DEL_PE,D,20100122,000000,7.766,7.8443,7.6876,7.766,0,0
DEL_PE,D,20100125,000000,7.6085,7.9226,7.5304,7.766,0,0
DEL_PE,D,20100126,000000,7.6085,7.8443,7.5304,7.766,0,0
DEL_PE,D,20100127,000000,7.8443,8.2366,7.766,8.0017,0,0
DEL_PE,D,20100128,000000,8.1584,8.1584,7.9226,8.0017,0,0
DEL_PE,D,20100129,000000,8.0017,8.3156,8.0017,8.1584,0,0
DEL_PE,D,20100201,000000,8.3156,8.3156,8.0803,8.1584,0,0
DEL_PE,D,20100202,000000,8.0803,8.2366,8.0803,8.1584,0,0
DEL_PE,D,20100203,000000,8.1584,8.4711,8.1584,8.3156,0,0
DEL_PE,D,20100204,000000,8.3156,8.5494,8.3156,8.4711,0,0
DEL_PE,D,20100205,000000,8.3927,8.4711,8.0803,8.4711,0,0
DEL_PE,D,20100208,000000,8.3927,8.7064,8.3927,8.5494,0,0
DEL_PE,D,20100209,000000,8.6279,8.6279,8.3156,8.5494,0,0
DEL_PE,D,20100210,000000,8.6279,8.6279,8.4711,8.4711,0,0
DEL_PE,D,20100211,000000,8.3156,8.9427,8.1584,8.9427,0,0
DEL_PE,D,20100212,000000,8.9427,8.9427,8.4711,8.7848,0,0
DEL_PE,D,20100215,000000,8.7848,8.8642,8.7848,8.8642,0,0
DEL_PE,D,20100216,000000,8.9427,8.9427,8.7848,8.9427,0,0
DEL_PE,D,20100217,000000,8.8642,9.1781,8.8642,9.1781,0,0
DEL_PE,D,20100218,000000,9.1781,9.1781,9.0211,9.1781,0,0
DEL_PE,D,20100219,000000,9.1781,9.2569,9.0211,9.2569,0,0
DEL_PE,D,20100222,000000,9.2569,9.4915,9.2569,9.413,0,0
DEL_PE,D,20100223,000000,9.4915,9.4915,9.2569,9.2569,0,0
