<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGA_PE,D,20070813,000000,11.694,11.694,11.694,11.694,0,0
DGA_PE,D,20070814,000000,11.619,11.619,11.619,11.619,0,0
DGA_PE,D,20070816,000000,10.222,10.222,10.222,10.222,0,0
DGA_PE,D,20070817,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20070820,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20070821,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20070822,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20070823,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20070824,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20070827,000000,3.2539,3.2539,3.2539,3.2539,0,0
DGA_PE,D,20070828,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20070829,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20070830,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20070831,000000,3.2539,3.2539,3.2539,3.2539,0,0
DGA_PE,D,20070903,000000,3.4046,3.4046,3.4046,3.4046,0,0
DGA_PE,D,20070904,000000,3.5634,3.5634,3.5634,3.5634,0,0
DGA_PE,D,20070905,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070906,000000,3.5634,3.5634,3.5634,3.5634,0,0
DGA_PE,D,20070907,000000,3.5634,3.5634,3.5634,3.5634,0,0
DGA_PE,D,20070910,000000,3.3292,3.3292,3.3292,3.3292,0,0
DGA_PE,D,20070911,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070912,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070913,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070914,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070917,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070918,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070919,000000,3.5634,3.5634,3.5634,3.5634,0,0
DGA_PE,D,20070920,000000,3.5634,3.5634,3.5634,3.5634,0,0
DGA_PE,D,20070921,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070924,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070925,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070926,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070927,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20070928,000000,3.4881,3.4881,3.4881,3.4881,0,0
DGA_PE,D,20071001,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20071002,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20071003,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20071004,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071005,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071008,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20071009,000000,3.1787,3.1787,3.1787,3.1787,0,0
DGA_PE,D,20071010,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071011,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20071012,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20071015,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20071016,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071017,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20071018,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071019,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20071022,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071023,000000,3.095,3.095,3.095,3.095,0,0
DGA_PE,D,20071024,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071025,000000,2.9444,2.9444,2.9444,2.9444,0,0
DGA_PE,D,20071026,000000,2.9444,2.9444,2.9444,2.9444,0,0
DGA_PE,D,20071029,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071030,000000,2.9444,2.9444,2.9444,2.9444,0,0
DGA_PE,D,20071031,000000,2.9444,2.9444,2.9444,2.9444,0,0
DGA_PE,D,20071102,000000,2.9444,2.9444,2.9444,2.9444,0,0
DGA_PE,D,20071105,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071106,000000,2.9444,2.9444,2.9444,2.9444,0,0
DGA_PE,D,20071107,000000,2.9444,2.9444,2.9444,2.9444,0,0
DGA_PE,D,20071108,000000,3.0197,3.0197,3.0197,3.0197,0,0
DGA_PE,D,20071109,000000,3.0197,3.0197,2.7855,2.7855,0,0
DGA_PE,D,20071112,000000,2.7103,2.7855,2.476,2.6349,0,0
DGA_PE,D,20071113,000000,2.7103,2.7103,2.476,2.7103,0,0
DGA_PE,D,20071114,000000,2.7103,2.9444,2.7103,2.7855,0,0
DGA_PE,D,20071115,000000,2.8691,2.8691,2.6349,2.6349,0,0
DGA_PE,D,20071116,000000,2.476,2.7103,2.476,2.6349,0,0
DGA_PE,D,20071119,000000,2.6349,3.1787,2.6349,2.8691,0,0
DGA_PE,D,20071120,000000,2.7855,2.7855,2.7855,2.7855,0,0
DGA_PE,D,20071121,000000,2.8691,2.8691,2.5596,2.5596,0,0
DGA_PE,D,20071122,000000,2.5596,2.6349,2.4008,2.6349,0,0
DGA_PE,D,20071123,000000,2.7855,3.0197,2.7103,3.0197,0,0
DGA_PE,D,20071126,000000,3.095,3.2539,3.095,3.095,0,0
DGA_PE,D,20071127,000000,3.095,3.4881,3.095,3.4881,0,0
