<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL_PE,D,20071115,000000,11.346,11.346,11.346,11.346,0,0
DVL_PE,D,20071116,000000,11.275,11.346,10.843,10.915,0,0
DVL_PE,D,20071119,000000,11.13,11.13,10.555,10.555,0,0
DVL_PE,D,20071120,000000,10.484,10.484,9.766,9.981,0,0
DVL_PE,D,20071121,000000,9.694,9.839,9.1919,9.4072,0,0
DVL_PE,D,20071122,000000,9.3354,9.981,8.7614,9.91,0,0
DVL_PE,D,20071123,000000,10.126,10.126,9.766,9.766,0,0
DVL_PE,D,20071126,000000,9.981,9.981,9.3354,9.4798,0,0
DVL_PE,D,20071127,000000,9.1919,9.766,9.1919,9.622,0,0
DVL_PE,D,20071128,000000,9.766,10.126,9.622,9.981,0,0
DVL_PE,D,20071129,000000,10.196,10.269,9.91,9.91,0,0
DVL_PE,D,20071130,000000,9.981,10.484,9.981,10.196,0,0
DVL_PE,D,20071203,000000,10.269,10.269,9.981,10.196,0,0
DVL_PE,D,20071204,000000,10.196,10.269,10.054,10.196,0,0
DVL_PE,D,20071205,000000,10.196,10.843,10.196,10.771,0,0
DVL_PE,D,20071206,000000,10.771,10.843,10.555,10.555,0,0
DVL_PE,D,20071207,000000,10.555,10.7,10.484,10.628,0,0
DVL_PE,D,20071210,000000,10.484,10.628,10.341,10.484,0,0
DVL_PE,D,20071211,000000,10.484,10.484,10.126,10.269,0,0
DVL_PE,D,20071212,000000,9.981,10.196,9.981,10.054,0,0
DVL_PE,D,20071213,000000,9.981,9.981,9.694,9.766,0,0
DVL_PE,D,20071214,000000,9.766,9.839,9.4798,9.622,0,0
DVL_PE,D,20071217,000000,9.551,9.551,9.1202,9.1919,0,0
DVL_PE,D,20071218,000000,9.0475,9.551,8.7614,9.551,0,0
DVL_PE,D,20071219,000000,9.694,9.694,9.3354,9.4798,0,0
DVL_PE,D,20071220,000000,9.3354,9.551,9.2637,9.4072,0,0
DVL_PE,D,20071221,000000,9.4072,9.4798,9.4072,9.4798,0,0
DVL_PE,D,20071227,000000,9.551,9.91,9.551,9.694,0,0
DVL_PE,D,20071228,000000,9.694,9.981,9.694,9.766,0,0
DVL_PE,D,20080102,000000,9.839,9.839,9.766,9.766,0,0
DVL_PE,D,20080103,000000,9.694,10.054,9.551,10.054,0,0
DVL_PE,D,20080104,000000,10.126,10.555,10.054,10.269,0,0
DVL_PE,D,20080107,000000,9.981,10.196,9.839,9.839,0,0
DVL_PE,D,20080108,000000,9.839,9.91,9.622,9.839,0,0
DVL_PE,D,20080109,000000,9.622,9.766,9.622,9.694,0,0
DVL_PE,D,20080110,000000,9.766,9.766,9.4798,9.4798,0,0
DVL_PE,D,20080111,000000,9.4798,9.694,9.4798,9.622,0,0
DVL_PE,D,20080114,000000,9.694,9.694,9.694,9.694,0,0
DVL_PE,D,20080115,000000,9.622,9.839,9.4798,9.622,0,0
DVL_PE,D,20080116,000000,9.1202,9.3354,8.9766,9.3354,0,0
DVL_PE,D,20080117,000000,9.4798,9.4798,9.0475,9.2637,0,0
DVL_PE,D,20080118,000000,9.1919,9.551,9.1919,9.2637,0,0
DVL_PE,D,20080121,000000,9.0475,9.1919,8.4737,8.4737,0,0
DVL_PE,D,20080122,000000,7.9708,8.5452,7.9708,8.4024,0,0
DVL_PE,D,20080123,000000,8.5452,8.6887,8.1149,8.4024,0,0
DVL_PE,D,20080124,000000,8.7614,8.9766,8.617,8.9766,0,0
DVL_PE,D,20080125,000000,9.1919,9.2637,8.9049,8.9766,0,0
DVL_PE,D,20080128,000000,8.6887,8.6887,8.5452,8.5452,0,0
DVL_PE,D,20080129,000000,8.7614,8.8322,8.617,8.7614,0,0
DVL_PE,D,20080130,000000,8.7614,9.1202,8.7614,8.9766,0,0
DVL_PE,D,20080131,000000,9.0475,9.1202,8.9049,8.9766,0,0
DVL_PE,D,20080201,000000,9.1202,9.3354,9.1202,9.3354,0,0
DVL_PE,D,20080204,000000,9.4798,9.4798,9.2637,9.3354,0,0
DVL_PE,D,20080205,000000,9.3354,9.3354,8.8322,8.9049,0,0
DVL_PE,D,20080206,000000,8.6887,8.9049,8.617,8.7614,0,0
DVL_PE,D,20080207,000000,8.7614,8.8322,8.5452,8.617,0,0
DVL_PE,D,20080208,000000,8.617,8.9049,8.617,8.9049,0,0
DVL_PE,D,20080211,000000,8.9766,9.2637,8.9766,9.1919,0,0
DVL_PE,D,20080212,000000,9.3354,9.3354,9.2637,9.3354,0,0
DVL_PE,D,20080213,000000,9.3354,9.3354,9.0475,9.1202,0,0
DVL_PE,D,20080214,000000,9.2637,9.3354,9.1202,9.1202,0,0
DVL_PE,D,20080215,000000,9.1202,9.1202,8.9049,8.9049,0,0
DVL_PE,D,20080218,000000,8.9766,9.1202,8.8322,8.8322,0,0
DVL_PE,D,20080219,000000,8.9766,9.1919,8.8322,9.1202,0,0
DVL_PE,D,20080220,000000,8.9766,9.1202,8.9049,9.0475,0,0
DVL_PE,D,20080221,000000,9.0475,9.1202,8.9766,9.1202,0,0
DVL_PE,D,20080222,000000,9.1202,9.1202,8.9766,8.9766,0,0
DVL_PE,D,20080225,000000,9.0475,9.0475,8.9766,8.9766,0,0
DVL_PE,D,20080226,000000,8.9766,9.0475,8.9049,8.9049,0,0
DVL_PE,D,20080227,000000,9.0475,9.1919,8.9049,9.0475,0,0
DVL_PE,D,20080228,000000,9.0475,9.1202,8.1862,8.1862,0,0
DVL_PE,D,20080229,000000,8.1862,8.3304,7.9708,8.0428,0,0
DVL_PE,D,20080303,000000,7.8275,7.8275,7.6117,7.6836,0,0
DVL_PE,D,20080304,000000,7.7554,7.7554,7.5398,7.5398,0,0
DVL_PE,D,20080305,000000,7.6117,7.6836,7.5398,7.6836,0,0
DVL_PE,D,20080306,000000,7.7554,7.7554,7.5398,7.5398,0,0
DVL_PE,D,20080307,000000,7.4687,7.4687,7.3966,7.4687,0,0
