<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAH_PE,D,20111124,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111125,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111128,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111129,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111130,000000,51.086,52.464,51.086,52.464,0,0
EAH_PE,D,20111205,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111206,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111207,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111208,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111209,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111212,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111213,000000,51.086,51.086,51.086,51.086,0,0
EAH_PE,D,20111214,000000,51.086,53.842,51.086,53.842,0,0
EAH_PE,D,20111215,000000,53.842,54.577,53.842,54.577,0,0
EAH_PE,D,20111216,000000,55.313,66.338,55.313,66.338,0,0
EAH_PE,D,20111219,000000,66.338,80.12,66.338,71.851,0,0
EAH_PE,D,20111220,000000,74.607,77.364,74.607,77.364,0,0
EAH_PE,D,20111221,000000,77.364,77.364,77.364,77.364,0,0
EAH_PE,D,20111222,000000,75.986,75.986,75.986,75.986,0,0
EAH_PE,D,20111223,000000,74.516,74.607,74.516,74.607,0,0
EAH_PE,D,20111227,000000,74.607,74.607,64.96,64.96,0,0
EAH_PE,D,20111228,000000,69.094,74.607,69.094,74.607,0,0
EAH_PE,D,20111229,000000,74.607,74.607,74.607,74.607,0,0
EAH_PE,D,20111230,000000,74.607,88.39,73.229,88.39,0,0
EAH_PE,D,20120102,000000,88.39,88.39,88.39,88.39,0,0
EAH_PE,D,20120103,000000,88.114,88.114,88.114,88.114,0,0
EAH_PE,D,20120104,000000,87.746,87.746,87.746,87.746,0,0
EAH_PE,D,20120105,000000,88.114,88.114,88.114,88.114,0,0
EAH_PE,D,20120109,000000,88.114,88.114,88.114,88.114,0,0
EAH_PE,D,20120110,000000,88.114,88.298,88.114,88.298,0,0
EAH_PE,D,20120111,000000,88.298,88.298,88.298,88.298,0,0
EAH_PE,D,20120112,000000,85.633,85.633,85.633,85.633,0,0
EAH_PE,D,20120113,000000,85.633,85.633,85.633,85.633,0,0
EAH_PE,D,20120117,000000,83.704,83.704,82.877,82.877,0,0
EAH_PE,D,20120118,000000,82.877,82.877,82.877,82.877,0,0
EAH_PE,D,20120119,000000,82.877,82.877,82.877,82.877,0,0
EAH_PE,D,20120120,000000,82.877,82.877,82.877,82.877,0,0
EAH_PE,D,20120126,000000,79.018,79.018,74.607,74.607,0,0
EAH_PE,D,20120130,000000,78.742,78.742,78.742,78.742,0,0
EAH_PE,D,20120201,000000,77.364,77.364,77.364,77.364,0,0
EAH_PE,D,20120202,000000,77.364,77.364,77.364,77.364,0,0
EAH_PE,D,20120203,000000,77.364,77.364,77.364,77.364,0,0
EAH_PE,D,20120206,000000,77.364,77.364,77.364,77.364,0,0
EAH_PE,D,20120207,000000,77.364,78.191,77.364,78.191,0,0
EAH_PE,D,20120209,000000,79.018,82.877,79.018,80.12,0,0
EAH_PE,D,20120210,000000,80.12,80.12,80.12,80.12,0,0
EAH_PE,D,20120213,000000,80.12,80.12,80.12,80.12,0,0
EAH_PE,D,20120215,000000,81.499,82.877,81.499,82.877,0,0
EAH_PE,D,20120216,000000,82.877,82.877,81.499,81.499,0,0
EAH_PE,D,20120217,000000,81.774,82.877,10.291,10.291,0,0
EAH_PE,D,20120220,000000,10.291,10.291,10.291,10.291,0,0
EAH_PE,D,20120221,000000,10.291,10.291,9.923,10.291,0,0
EAH_PE,D,20120222,000000,10.291,10.291,9.923,10.015,0,0
EAH_PE,D,20120223,000000,9.923,10.383,9.923,10.291,0,0
EAH_PE,D,20120224,000000,10.291,11.669,9.831,11.669,0,0
