<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH_PE,D,20070813,000000,3.2101,3.2101,3.2101,3.2101,0,0
ECH_PE,D,20070814,000000,3.1399,3.1399,3.1399,3.1399,0,0
ECH_PE,D,20070816,000000,2.8821,2.8821,2.8821,2.8821,0,0
ECH_PE,D,20070817,000000,2.7884,2.7884,2.7884,2.7884,0,0
ECH_PE,D,20070820,000000,2.718,2.718,2.718,2.718,0,0
ECH_PE,D,20070821,000000,2.6478,2.6478,2.6478,2.6478,0,0
ECH_PE,D,20070822,000000,1.9683,1.9683,1.9683,1.9683,0,0
ECH_PE,D,20070823,000000,2.0854,2.0854,2.0854,2.0854,0,0
ECH_PE,D,20070824,000000,2.1088,2.1088,2.1088,2.1088,0,0
ECH_PE,D,20070827,000000,2.2026,2.2026,2.2026,2.2026,0,0
ECH_PE,D,20070828,000000,2.179,2.179,2.179,2.179,0,0
ECH_PE,D,20070829,000000,2.1557,2.1557,2.1557,2.1557,0,0
ECH_PE,D,20070830,000000,2.1323,2.1323,2.1323,2.1323,0,0
ECH_PE,D,20070831,000000,2.2026,2.2026,2.2026,2.2026,0,0
ECH_PE,D,20070903,000000,2.2494,2.2494,2.2494,2.2494,0,0
ECH_PE,D,20070904,000000,2.2729,2.2729,2.2729,2.2729,0,0
ECH_PE,D,20070905,000000,2.2494,2.2494,2.2494,2.2494,0,0
ECH_PE,D,20070906,000000,2.226,2.226,2.226,2.226,0,0
ECH_PE,D,20070907,000000,2.2026,2.2026,2.2026,2.2026,0,0
ECH_PE,D,20070910,000000,2.1557,2.1557,2.1557,2.1557,0,0
ECH_PE,D,20070911,000000,2.1323,2.1323,2.1323,2.1323,0,0
ECH_PE,D,20070912,000000,2.179,2.179,2.179,2.179,0,0
ECH_PE,D,20070913,000000,2.1557,2.1557,2.1557,2.1557,0,0
ECH_PE,D,20070914,000000,2.1088,2.1088,2.1088,2.1088,0,0
ECH_PE,D,20070917,000000,2.1557,2.1557,2.1557,2.1557,0,0
ECH_PE,D,20070918,000000,2.1557,2.1557,2.1557,2.1557,0,0
ECH_PE,D,20070919,000000,2.1557,2.1557,2.1557,2.1557,0,0
