<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFK_PE,D,20070813,000000,19.955,19.955,19.955,19.955,0,0
EFK_PE,D,20070814,000000,20.5,20.5,20.5,20.5,0,0
EFK_PE,D,20070816,000000,11.921,11.921,11.921,11.921,0,0
EFK_PE,D,20070817,000000,11.985,11.985,11.985,11.985,0,0
EFK_PE,D,20070820,000000,12.351,12.351,12.351,12.351,0,0
EFK_PE,D,20070821,000000,12.535,12.535,12.535,12.535,0,0
EFK_PE,D,20070822,000000,13.382,13.382,13.382,13.382,0,0
EFK_PE,D,20070823,000000,13.565,13.565,13.565,13.565,0,0
EFK_PE,D,20070824,000000,13.261,13.261,13.261,13.261,0,0
EFK_PE,D,20070827,000000,13.445,13.445,13.445,13.445,0,0
EFK_PE,D,20070828,000000,13.337,13.337,13.337,13.337,0,0
EFK_PE,D,20070829,000000,13.52,13.52,13.52,13.52,0,0
EFK_PE,D,20070830,000000,13.153,13.153,13.153,13.153,0,0
EFK_PE,D,20070831,000000,13.52,13.52,13.52,13.52,0,0
EFK_PE,D,20070903,000000,14.019,14.019,14.019,14.019,0,0
EFK_PE,D,20070904,000000,13.464,13.464,13.464,13.464,0,0
EFK_PE,D,20070905,000000,13.774,13.774,13.774,13.774,0,0
EFK_PE,D,20070906,000000,13.275,13.275,13.275,13.275,0,0
EFK_PE,D,20070907,000000,12.97,12.97,12.97,12.97,0,0
EFK_PE,D,20070910,000000,12.781,12.781,12.781,12.781,0,0
EFK_PE,D,20070911,000000,13.027,13.027,13.027,13.027,0,0
EFK_PE,D,20070912,000000,13.275,13.275,13.275,13.275,0,0
EFK_PE,D,20070913,000000,13.275,13.275,13.275,13.275,0,0
EFK_PE,D,20070914,000000,13.337,13.337,13.337,13.337,0,0
EFK_PE,D,20070917,000000,13.957,13.957,13.957,13.957,0,0
EFK_PE,D,20070918,000000,13.774,13.774,13.774,13.774,0,0
EFK_PE,D,20070919,000000,14.076,14.076,14.076,14.076,0,0
EFK_PE,D,20070920,000000,14.019,14.019,14.019,14.019,0,0
EFK_PE,D,20070921,000000,14.696,14.696,14.696,14.696,0,0
EFK_PE,D,20070924,000000,14.203,14.203,14.203,14.203,0,0
EFK_PE,D,20070925,000000,14.513,14.513,14.513,14.513,0,0
EFK_PE,D,20070926,000000,14.878,14.878,14.878,14.878,0,0
EFK_PE,D,20070927,000000,14.633,14.633,14.633,14.633,0,0
EFK_PE,D,20070928,000000,14.575,14.575,14.575,14.575,0,0
EFK_PE,D,20071001,000000,14.575,14.575,14.575,14.575,0,0
EFK_PE,D,20071002,000000,14.633,14.633,14.633,14.633,0,0
EFK_PE,D,20071003,000000,14.386,14.386,14.386,14.386,0,0
EFK_PE,D,20071004,000000,14.323,14.323,14.323,14.323,0,0
EFK_PE,D,20071005,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071008,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071009,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071010,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071011,000000,14.45,14.45,14.45,14.45,0,0
EFK_PE,D,20071012,000000,14.323,14.323,14.323,14.323,0,0
EFK_PE,D,20071015,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071016,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071017,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071018,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071019,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071022,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071023,000000,14.14,14.14,14.14,14.14,0,0
EFK_PE,D,20071024,000000,13.829,13.829,13.829,13.829,0,0
EFK_PE,D,20071025,000000,13.774,13.774,13.774,13.774,0,0
EFK_PE,D,20071026,000000,13.774,13.774,13.774,13.774,0,0
EFK_PE,D,20071029,000000,13.774,13.774,13.774,13.774,0,0
EFK_PE,D,20071030,000000,13.711,13.711,13.711,13.711,0,0
EFK_PE,D,20071031,000000,13.711,13.711,13.711,13.711,0,0
EFK_PE,D,20071102,000000,13.774,13.774,13.774,13.774,0,0
EFK_PE,D,20071105,000000,14.076,14.076,14.076,14.076,0,0
EFK_PE,D,20071106,000000,14.822,14.822,14.822,14.822,0,0
EFK_PE,D,20071107,000000,14.575,14.575,14.575,14.575,0,0
EFK_PE,D,20071108,000000,14.513,14.513,14.513,14.513,0,0
EFK_PE,D,20071109,000000,14.513,14.822,14.203,14.575,0,0
EFK_PE,D,20071112,000000,14.203,14.942,14.14,14.14,0,0
EFK_PE,D,20071113,000000,14.203,14.203,13.774,14.14,0,0
EFK_PE,D,20071114,000000,14.203,14.203,13.774,13.774,0,0
EFK_PE,D,20071115,000000,13.774,14.14,13.09,13.337,0,0
EFK_PE,D,20071116,000000,12.97,13.337,11.364,11.364,0,0
EFK_PE,D,20071119,000000,11.364,11.364,11.055,11.364,0,0
EFK_PE,D,20071120,000000,10.745,11.301,10.745,10.745,0,0
EFK_PE,D,20071121,000000,10.437,10.437,10.437,10.437,0,0
EFK_PE,D,20071122,000000,10.437,10.619,10.19,10.619,0,0
EFK_PE,D,20071123,000000,11.668,11.668,11.301,11.364,0,0
EFK_PE,D,20071126,000000,11.548,11.548,10.993,11.176,0,0
EFK_PE,D,20071127,000000,11.176,11.301,10.619,10.682,0,0
EFK_PE,D,20071128,000000,10.808,10.808,10.309,10.808,0,0
EFK_PE,D,20071129,000000,11.176,11.176,10.808,10.993,0,0
EFK_PE,D,20071130,000000,11.364,11.364,10.619,11.055,0,0
EFK_PE,D,20071203,000000,11.176,11.176,10.619,10.929,0,0
EFK_PE,D,20071204,000000,10.619,11.112,10.619,11.112,0,0
EFK_PE,D,20071205,000000,11.112,11.301,10.682,11.238,0,0
EFK_PE,D,20071206,000000,11.422,11.422,10.993,11.301,0,0
EFK_PE,D,20071207,000000,10.808,11.301,10.808,11.301,0,0
EFK_PE,D,20071210,000000,11.301,11.301,10.808,10.993,0,0
EFK_PE,D,20071211,000000,10.745,10.993,10.437,10.993,0,0
EFK_PE,D,20071212,000000,10.808,11.238,10.808,11.238,0,0
EFK_PE,D,20071213,000000,11.112,11.112,10.619,10.682,0,0
EFK_PE,D,20071214,000000,10.808,10.929,10.499,10.562,0,0
EFK_PE,D,20071217,000000,10.562,10.562,10.126,10.499,0,0
EFK_PE,D,20071218,000000,10.126,10.499,10.126,10.437,0,0
EFK_PE,D,20071219,000000,10.064,10.253,9.88,10.253,0,0
EFK_PE,D,20071220,000000,9.633,9.88,9.633,9.88,0,0
EFK_PE,D,20071221,000000,9.3876,9.943,9.3876,9.633,0,0
EFK_PE,D,20071227,000000,9.943,10.253,9.76,9.76,0,0
EFK_PE,D,20071228,000000,9.633,10.19,9.633,10.006,0,0
EFK_PE,D,20080102,000000,10.064,10.064,9.943,9.943,0,0
EFK_PE,D,20080103,000000,9.633,10.064,9.57,9.88,0,0
EFK_PE,D,20080104,000000,9.943,9.943,9.506,9.506,0,0
EFK_PE,D,20080107,000000,9.3876,9.57,9.3229,9.3876,0,0
EFK_PE,D,20080108,000000,9.3229,9.696,9.2602,9.57,0,0
EFK_PE,D,20080109,000000,9.2602,9.4503,9.0139,9.0139,0,0
EFK_PE,D,20080110,000000,9.0139,9.3876,8.3378,8.83,0,0
EFK_PE,D,20080111,000000,9.1405,9.1405,8.7667,8.7667,0,0
EFK_PE,D,20080114,000000,8.3378,8.3378,8.3378,8.3378,0,0
EFK_PE,D,20080115,000000,8.1536,8.3378,8.1536,8.3378,0,0
EFK_PE,D,20080116,000000,7.5345,8.1536,7.5345,8.0904,0,0
EFK_PE,D,20080117,000000,8.5197,8.646,8.0273,8.3378,0,0
EFK_PE,D,20080118,000000,8.1536,8.2738,7.7178,8.2738,0,0
EFK_PE,D,20080121,000000,8.2738,8.2738,8.1536,8.2107,0,0
EFK_PE,D,20080122,000000,8.2107,8.2107,7.6546,8.1536,0,0
EFK_PE,D,20080123,000000,8.5197,8.5197,7.781,7.781,0,0
EFK_PE,D,20080124,000000,8.0904,8.0904,7.964,8.0904,0,0
EFK_PE,D,20080125,000000,8.0904,8.1536,8.0904,8.0904,0,0
EFK_PE,D,20080128,000000,8.2107,8.2107,7.781,8.0904,0,0
EFK_PE,D,20080129,000000,8.83,8.83,8.0273,8.5197,0,0
EFK_PE,D,20080131,000000,8.3378,8.3378,8.0273,8.1536,0,0
EFK_PE,D,20080201,000000,8.4566,8.4566,8.4566,8.4566,0,0
EFK_PE,D,20080204,000000,8.4009,8.4009,8.1536,8.1536,0,0
EFK_PE,D,20080205,000000,8.2107,8.2107,7.964,7.964,0,0
EFK_PE,D,20080206,000000,7.8442,8.0273,7.781,7.964,0,0
EFK_PE,D,20080207,000000,7.964,7.964,7.781,7.964,0,0
EFK_PE,D,20080208,000000,7.964,7.964,7.7178,7.964,0,0
EFK_PE,D,20080211,000000,7.781,8.3378,7.781,8.3378,0,0
EFK_PE,D,20080212,000000,8.3378,8.3378,8.0904,8.3378,0,0
EFK_PE,D,20080213,000000,8.1536,8.1536,8.0273,8.0273,0,0
EFK_PE,D,20080214,000000,8.3378,8.3378,8.3378,8.3378,0,0
EFK_PE,D,20080215,000000,8.3378,8.3378,8.3378,8.3378,0,0
EFK_PE,D,20080218,000000,8.4009,8.7046,8.4009,8.7046,0,0
EFK_PE,D,20080219,000000,8.7046,8.7046,8.3378,8.3378,0,0
EFK_PE,D,20080220,000000,8.3378,9.1405,8.3378,9.0139,0,0
EFK_PE,D,20080221,000000,9.0767,9.88,9.0139,9.76,0,0
EFK_PE,D,20080222,000000,9.696,9.696,9.3229,9.3229,0,0
EFK_PE,D,20080225,000000,9.88,9.88,9.57,9.76,0,0
EFK_PE,D,20080226,000000,9.696,9.696,9.3876,9.3876,0,0
EFK_PE,D,20080227,000000,9.506,9.696,9.0767,9.57,0,0
EFK_PE,D,20080228,000000,9.506,9.76,9.1405,9.1405,0,0
EFK_PE,D,20080229,000000,8.8934,9.0767,8.5197,9.0767,0,0
EFK_PE,D,20080303,000000,8.646,10.006,8.1536,10.006,0,0
EFK_PE,D,20080304,000000,10.126,10.126,9.88,9.88,0,0
EFK_PE,D,20080305,000000,10.19,10.499,9.943,10.499,0,0
EFK_PE,D,20080306,000000,10.745,10.745,9.943,10.619,0,0
EFK_PE,D,20080307,000000,9.943,10.562,9.943,10.499,0,0
EFK_PE,D,20080310,000000,10.437,10.745,10.437,10.745,0,0
EFK_PE,D,20080311,000000,10.808,11.176,10.808,11.176,0,0
EFK_PE,D,20080312,000000,11.301,11.612,10.993,10.993,0,0
EFK_PE,D,20080313,000000,11.485,11.485,10.993,11.422,0,0
EFK_PE,D,20080314,000000,11.238,11.485,10.993,10.993,0,0
EFK_PE,D,20080317,000000,10.437,10.437,10.126,10.437,0,0
EFK_PE,D,20080318,000000,10.808,10.808,10.808,10.808,0,0
EFK_PE,D,20080319,000000,10.745,10.745,10.562,10.745,0,0
EFK_PE,D,20080320,000000,10.745,10.993,10.745,10.993,0,0
EFK_PE,D,20080325,000000,11.055,11.176,11.055,11.176,0,0
EFK_PE,D,20080326,000000,11.364,11.364,10.864,11.364,0,0
EFK_PE,D,20080327,000000,10.864,11.422,10.864,11.364,0,0
EFK_PE,D,20080328,000000,11.238,11.238,11.176,11.176,0,0
EFK_PE,D,20080331,000000,11.364,11.364,11.364,11.364,0,0
EFK_PE,D,20080401,000000,11.055,11.364,11.055,11.364,0,0
EFK_PE,D,20080402,000000,11.364,11.612,11.364,11.548,0,0
EFK_PE,D,20080403,000000,11.422,11.73,11.422,11.668,0,0
EFK_PE,D,20080404,000000,11.668,11.794,11.485,11.794,0,0
EFK_PE,D,20080407,000000,11.857,12.288,11.857,12.104,0,0
EFK_PE,D,20080408,000000,12.104,12.104,12.104,12.104,0,0
EFK_PE,D,20080410,000000,11.794,12.104,11.794,11.794,0,0
EFK_PE,D,20080411,000000,11.612,12.104,11.612,12.042,0,0
EFK_PE,D,20080414,000000,11.612,12.042,11.612,12.042,0,0
EFK_PE,D,20080415,000000,11.978,12.351,11.978,12.351,0,0
EFK_PE,D,20080416,000000,12.351,12.661,12.351,12.661,0,0
EFK_PE,D,20080417,000000,12.661,12.781,12.414,12.472,0,0
EFK_PE,D,20080418,000000,12.535,12.781,12.168,12.472,0,0
EFK_PE,D,20080421,000000,12.596,12.596,12.351,12.351,0,0
EFK_PE,D,20080422,000000,11.914,12.414,11.612,11.612,0,0
EFK_PE,D,20080423,000000,11.301,11.978,11.176,11.176,0,0
EFK_PE,D,20080424,000000,11.364,11.612,11.112,11.238,0,0
EFK_PE,D,20080425,000000,11.364,11.612,11.176,11.422,0,0
EFK_PE,D,20080428,000000,11.857,11.857,11.422,11.794,0,0
EFK_PE,D,20080429,000000,11.548,11.73,11.548,11.612,0,0
