<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELB_PE,D,20070813,000000,28.159,28.159,28.159,28.159,0,0
ELB_PE,D,20070814,000000,26.962,26.962,26.962,26.962,0,0
ELB_PE,D,20070816,000000,21.232,21.232,21.232,21.232,0,0
ELB_PE,D,20070817,000000,21.925,21.925,21.925,21.925,0,0
ELB_PE,D,20070820,000000,22.238,22.238,22.238,22.238,0,0
ELB_PE,D,20070821,000000,21.925,21.925,21.925,21.925,0,0
ELB_PE,D,20070822,000000,23.748,23.748,23.748,23.748,0,0
ELB_PE,D,20070823,000000,22.807,22.807,22.807,22.807,0,0
ELB_PE,D,20070824,000000,23.242,23.242,23.242,23.242,0,0
ELB_PE,D,20070827,000000,22.301,22.301,22.301,22.301,0,0
ELB_PE,D,20070828,000000,23.621,23.621,23.621,23.621,0,0
ELB_PE,D,20070829,000000,23.621,23.621,23.621,23.621,0,0
ELB_PE,D,20070830,000000,26.014,26.014,26.014,26.014,0,0
ELB_PE,D,20070831,000000,25.829,25.829,25.829,25.829,0,0
ELB_PE,D,20070903,000000,25.892,25.892,25.892,25.892,0,0
ELB_PE,D,20070904,000000,25.892,25.892,25.892,25.892,0,0
ELB_PE,D,20070905,000000,25.892,25.892,25.892,25.892,0,0
ELB_PE,D,20070906,000000,25.829,25.829,25.829,25.829,0,0
ELB_PE,D,20070907,000000,25.829,25.829,25.829,25.829,0,0
ELB_PE,D,20070910,000000,25.765,25.765,25.765,25.765,0,0
ELB_PE,D,20070911,000000,25.259,25.259,25.259,25.259,0,0
ELB_PE,D,20070912,000000,25.259,25.259,25.259,25.259,0,0
ELB_PE,D,20070913,000000,25.138,25.138,25.138,25.138,0,0
ELB_PE,D,20070914,000000,25.01,25.01,25.01,25.01,0,0
ELB_PE,D,20070917,000000,24.881,24.881,24.881,24.881,0,0
ELB_PE,D,20070918,000000,25.765,25.765,25.765,25.765,0,0
ELB_PE,D,20070919,000000,27.026,27.026,27.026,27.026,0,0
ELB_PE,D,20070920,000000,26.456,26.456,26.456,26.456,0,0
ELB_PE,D,20070921,000000,26.776,26.776,26.776,26.776,0,0
ELB_PE,D,20070924,000000,26.207,26.207,26.207,26.207,0,0
ELB_PE,D,20070925,000000,25.765,25.765,25.765,25.765,0,0
ELB_PE,D,20070926,000000,24.695,24.695,24.695,24.695,0,0
ELB_PE,D,20070927,000000,23.499,23.499,23.499,23.499,0,0
ELB_PE,D,20070928,000000,24.318,24.318,24.318,24.318,0,0
ELB_PE,D,20071001,000000,24.062,24.062,24.062,24.062,0,0
ELB_PE,D,20071002,000000,24.382,24.382,24.382,24.382,0,0
ELB_PE,D,20071003,000000,24.004,24.004,24.004,24.004,0,0
ELB_PE,D,20071004,000000,23.813,23.813,23.813,23.813,0,0
ELB_PE,D,20071005,000000,24.126,24.126,24.126,24.126,0,0
ELB_PE,D,20071008,000000,24.382,24.382,24.382,24.382,0,0
ELB_PE,D,20071009,000000,24.569,24.569,24.569,24.569,0,0
ELB_PE,D,20071010,000000,23.813,23.813,23.813,23.813,0,0
ELB_PE,D,20071011,000000,23.435,23.435,23.435,23.435,0,0
ELB_PE,D,20071012,000000,23.058,23.058,23.058,23.058,0,0
ELB_PE,D,20071015,000000,22.993,22.993,22.993,22.993,0,0
