<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL_PE,D,20070813,000000,10.296,10.296,10.296,10.296,0,0
ETL_PE,D,20070814,000000,10.336,10.336,10.336,10.336,0,0
ETL_PE,D,20070816,000000,9.523,9.523,9.523,9.523,0,0
ETL_PE,D,20070817,000000,9.4824,9.4824,9.4824,9.4824,0,0
ETL_PE,D,20070820,000000,9.678,9.678,9.678,9.678,0,0
ETL_PE,D,20070821,000000,9.1729,9.1729,9.1729,9.1729,0,0
ETL_PE,D,20070822,000000,9.638,9.638,9.638,9.638,0,0
ETL_PE,D,20070823,000000,9.638,9.638,9.638,9.638,0,0
ETL_PE,D,20070824,000000,9.523,9.523,9.523,9.523,0,0
ETL_PE,D,20070827,000000,9.638,9.638,9.638,9.638,0,0
ETL_PE,D,20070828,000000,9.867,9.867,9.867,9.867,0,0
ETL_PE,D,20070829,000000,9.987,9.987,9.987,9.987,0,0
ETL_PE,D,20070830,000000,9.987,9.987,9.987,9.987,0,0
ETL_PE,D,20070831,000000,10.022,10.022,10.022,10.022,0,0
ETL_PE,D,20070903,000000,10.216,10.216,10.216,10.216,0,0
ETL_PE,D,20070904,000000,10.49,10.49,10.49,10.49,0,0
ETL_PE,D,20070905,000000,10.49,10.49,10.49,10.49,0,0
ETL_PE,D,20070906,000000,10.372,10.372,10.372,10.372,0,0
ETL_PE,D,20070907,000000,9.867,9.867,9.867,9.867,0,0
ETL_PE,D,20070910,000000,9.713,9.713,9.713,9.713,0,0
ETL_PE,D,20070911,000000,9.523,9.523,9.523,9.523,0,0
ETL_PE,D,20070912,000000,9.867,9.867,9.867,9.867,0,0
ETL_PE,D,20070913,000000,9.713,9.713,9.713,9.713,0,0
ETL_PE,D,20070914,000000,9.713,9.713,9.713,9.713,0,0
ETL_PE,D,20070917,000000,9.598,9.598,9.598,9.598,0,0
ETL_PE,D,20070918,000000,9.3669,9.3669,9.3669,9.3669,0,0
ETL_PE,D,20070919,000000,9.523,9.523,9.523,9.523,0,0
ETL_PE,D,20070920,000000,9.598,9.598,9.598,9.598,0,0
ETL_PE,D,20070921,000000,9.558,9.558,9.558,9.558,0,0
ETL_PE,D,20070924,000000,9.558,9.558,9.558,9.558,0,0
ETL_PE,D,20070925,000000,9.907,9.907,9.907,9.907,0,0
ETL_PE,D,20070926,000000,9.907,9.907,9.907,9.907,0,0
ETL_PE,D,20070927,000000,9.907,9.907,9.907,9.907,0,0
ETL_PE,D,20070928,000000,9.598,9.598,9.598,9.598,0,0
ETL_PE,D,20071001,000000,9.713,9.713,9.713,9.713,0,0
ETL_PE,D,20071002,000000,9.638,9.638,9.638,9.638,0,0
ETL_PE,D,20071003,000000,9.523,9.523,9.523,9.523,0,0
ETL_PE,D,20071004,000000,9.523,9.523,9.523,9.523,0,0
ETL_PE,D,20071005,000000,9.598,9.598,9.598,9.598,0,0
ETL_PE,D,20071008,000000,9.4436,9.4436,9.4436,9.4436,0,0
ETL_PE,D,20071009,000000,9.598,9.598,9.598,9.598,0,0
ETL_PE,D,20071010,000000,9.638,9.638,9.638,9.638,0,0
ETL_PE,D,20071011,000000,9.752,9.752,9.752,9.752,0,0
ETL_PE,D,20071012,000000,9.678,9.678,9.678,9.678,0,0
ETL_PE,D,20071015,000000,9.638,9.638,9.638,9.638,0,0
ETL_PE,D,20071016,000000,9.792,9.792,9.792,9.792,0,0
ETL_PE,D,20071017,000000,9.752,9.752,9.752,9.752,0,0
ETL_PE,D,20071018,000000,9.638,9.638,9.638,9.638,0,0
ETL_PE,D,20071019,000000,9.752,9.752,9.752,9.752,0,0
ETL_PE,D,20071022,000000,9.792,9.792,9.792,9.792,0,0
ETL_PE,D,20071023,000000,10.256,10.256,10.256,10.256,0,0
ETL_PE,D,20071024,000000,10.915,10.915,10.915,10.915,0,0
ETL_PE,D,20071025,000000,10.954,10.954,10.954,10.954,0,0
ETL_PE,D,20071026,000000,10.954,10.954,10.954,10.954,0,0
ETL_PE,D,20071029,000000,11.109,11.109,11.109,11.109,0,0
ETL_PE,D,20071030,000000,11.225,11.225,11.225,11.225,0,0
ETL_PE,D,20071031,000000,11.264,11.264,11.264,11.264,0,0
ETL_PE,D,20071102,000000,11.264,11.264,11.264,11.264,0,0
ETL_PE,D,20071105,000000,10.646,10.646,10.646,10.646,0,0
ETL_PE,D,20071106,000000,10.8,10.8,10.8,10.8,0,0
ETL_PE,D,20071107,000000,10.646,10.646,10.646,10.646,0,0
ETL_PE,D,20071108,000000,10.567,10.567,10.567,10.567,0,0
ETL_PE,D,20071109,000000,10.45,10.875,10.45,10.646,0,0
ETL_PE,D,20071112,000000,10.646,11.609,10.646,11.609,0,0
ETL_PE,D,20071113,000000,11.609,11.688,11.145,11.649,0,0
ETL_PE,D,20071114,000000,11.764,11.919,11.649,11.919,0,0
ETL_PE,D,20071115,000000,11.919,12.152,11.145,11.919,0,0
ETL_PE,D,20071116,000000,11.264,11.919,11.145,11.38,0,0
ETL_PE,D,20071119,000000,11.609,12.542,11.38,12.422,0,0
ETL_PE,D,20071120,000000,12.618,12.618,12.618,12.618,0,0
ETL_PE,D,20071121,000000,12.348,12.542,12.152,12.152,0,0
ETL_PE,D,20071122,000000,12.152,12.152,11.764,12.152,0,0
ETL_PE,D,20071123,000000,12.152,12.152,11.919,11.999,0,0
ETL_PE,D,20071126,000000,12.037,12.194,11.609,11.764,0,0
ETL_PE,D,20071127,000000,11.764,11.764,11.574,11.649,0,0
ETL_PE,D,20071128,000000,11.764,11.764,8.1655,8.1655,0,0
ETL_PE,D,20071129,000000,8.3203,8.3604,8.2048,8.3604,0,0
ETL_PE,D,20071130,000000,8.5136,8.5136,8.3604,8.4383,0,0
ETL_PE,D,20071203,000000,8.4383,8.4383,8.4383,8.4383,0,0
ETL_PE,D,20071204,000000,8.3998,8.3998,8.1655,8.1655,0,0
ETL_PE,D,20071205,000000,8.1655,8.1655,8.1655,8.1655,0,0
ETL_PE,D,20071206,000000,8.1655,8.2851,8.1655,8.2851,0,0
ETL_PE,D,20071207,000000,8.3203,8.5136,8.3203,8.5136,0,0
ETL_PE,D,20071210,000000,8.4383,8.4383,8.2441,8.3604,0,0
ETL_PE,D,20071211,000000,8.4383,8.4383,8.4383,8.4383,0,0
ETL_PE,D,20071212,000000,8.2441,8.2441,8.1655,8.1655,0,0
ETL_PE,D,20071213,000000,8.1655,8.1655,8.1655,8.1655,0,0
ETL_PE,D,20071214,000000,8.0901,8.1655,7.8558,8.1655,0,0
ETL_PE,D,20071217,000000,8.1655,8.3203,7.8558,7.9353,0,0
ETL_PE,D,20071218,000000,7.9353,8.1655,7.7804,8.1254,0,0
ETL_PE,D,20071219,000000,7.8952,8.1655,7.7419,8.1655,0,0
ETL_PE,D,20071220,000000,8.0901,8.2048,7.9714,8.2048,0,0
ETL_PE,D,20071221,000000,8.2441,8.2441,7.7804,8.2048,0,0
ETL_PE,D,20071227,000000,8.3604,8.3604,7.9714,8.1655,0,0
ETL_PE,D,20071228,000000,8.0901,8.3203,8.0492,8.3203,0,0
ETL_PE,D,20080102,000000,8.3203,8.3203,7.9353,8.3203,0,0
ETL_PE,D,20080103,000000,8.0901,8.1254,7.9353,8.1254,0,0
ETL_PE,D,20080104,000000,8.1254,8.1254,8.1254,8.1254,0,0
ETL_PE,D,20080107,000000,7.9714,8.1655,7.9714,8.0492,0,0
