<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR_PE,D,20070813,000000,21.602,21.602,21.602,21.602,0,0
EUR_PE,D,20070814,000000,21.368,21.368,21.368,21.368,0,0
EUR_PE,D,20070816,000000,20.756,20.756,20.756,20.756,0,0
EUR_PE,D,20070817,000000,20.152,20.152,20.152,20.152,0,0
EUR_PE,D,20070820,000000,20.152,20.152,20.152,20.152,0,0
EUR_PE,D,20070821,000000,19.306,19.306,19.306,19.306,0,0
EUR_PE,D,20070822,000000,18.315,18.315,18.315,18.315,0,0
EUR_PE,D,20070823,000000,18.703,18.703,18.703,18.703,0,0
EUR_PE,D,20070824,000000,18.549,18.549,18.549,18.549,0,0
EUR_PE,D,20070827,000000,18.856,18.856,18.856,18.856,0,0
EUR_PE,D,20070828,000000,19.306,19.306,19.306,19.306,0,0
EUR_PE,D,20070829,000000,19.459,19.459,19.459,19.459,0,0
EUR_PE,D,20070830,000000,19.846,19.846,19.846,19.846,0,0
EUR_PE,D,20070831,000000,19.54,19.54,19.54,19.54,0,0
EUR_PE,D,20070903,000000,19.459,19.459,19.459,19.459,0,0
EUR_PE,D,20070904,000000,19.459,19.459,19.459,19.459,0,0
EUR_PE,D,20070905,000000,18.703,18.703,18.703,18.703,0,0
EUR_PE,D,20070906,000000,18.703,18.703,18.703,18.703,0,0
EUR_PE,D,20070907,000000,18.703,18.703,18.703,18.703,0,0
EUR_PE,D,20070910,000000,18.01,18.01,18.01,18.01,0,0
EUR_PE,D,20070911,000000,19.459,19.459,19.459,19.459,0,0
EUR_PE,D,20070912,000000,19.154,19.154,19.154,19.154,0,0
EUR_PE,D,20070913,000000,19.08,19.08,19.08,19.08,0,0
EUR_PE,D,20070914,000000,19.08,19.08,19.08,19.08,0,0
EUR_PE,D,20070917,000000,18.549,18.549,18.549,18.549,0,0
EUR_PE,D,20070918,000000,18.856,18.856,18.856,18.856,0,0
EUR_PE,D,20070919,000000,18.928,18.928,18.928,18.928,0,0
EUR_PE,D,20070920,000000,18.928,18.928,18.928,18.928,0,0
EUR_PE,D,20070921,000000,18.856,18.856,18.856,18.856,0,0
EUR_PE,D,20070924,000000,18.928,18.928,18.928,18.928,0,0
EUR_PE,D,20070925,000000,18.928,18.928,18.928,18.928,0,0
EUR_PE,D,20070926,000000,18.928,18.928,18.928,18.928,0,0
EUR_PE,D,20070927,000000,18.928,18.928,18.928,18.928,0,0
EUR_PE,D,20070928,000000,19.08,19.08,19.08,19.08,0,0
EUR_PE,D,20071001,000000,19.235,19.235,19.235,19.235,0,0
EUR_PE,D,20071002,000000,18.928,18.928,18.928,18.928,0,0
EUR_PE,D,20071003,000000,19.08,19.08,19.08,19.08,0,0
EUR_PE,D,20071004,000000,19.08,19.08,19.08,19.08,0,0
EUR_PE,D,20071005,000000,19.154,19.154,19.154,19.154,0,0
EUR_PE,D,20071008,000000,18.856,18.856,18.856,18.856,0,0
EUR_PE,D,20071009,000000,18.856,18.856,18.856,18.856,0,0
EUR_PE,D,20071010,000000,19.235,19.235,19.235,19.235,0,0
EUR_PE,D,20071011,000000,21.142,21.142,21.142,21.142,0,0
EUR_PE,D,20071012,000000,20.612,20.612,20.612,20.612,0,0
EUR_PE,D,20071015,000000,21.215,21.215,21.215,21.215,0,0
EUR_PE,D,20071016,000000,21.062,21.062,21.062,21.062,0,0
EUR_PE,D,20071017,000000,21.521,21.521,21.521,21.521,0,0
EUR_PE,D,20071018,000000,21.674,21.674,21.674,21.674,0,0
EUR_PE,D,20071019,000000,22.286,22.286,22.286,22.286,0,0
EUR_PE,D,20071022,000000,21.448,21.448,21.448,21.448,0,0
EUR_PE,D,20071023,000000,21.448,21.448,21.448,21.448,0,0
EUR_PE,D,20071024,000000,21.674,21.674,21.674,21.674,0,0
EUR_PE,D,20071025,000000,21.142,21.142,21.142,21.142,0,0
EUR_PE,D,20071026,000000,21.062,21.062,21.062,21.062,0,0
EUR_PE,D,20071029,000000,21.448,21.448,21.448,21.448,0,0
