<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEE_PE,D,20130531,000000,12.164,12.164,12.164,12.164,0,0
FEE_PE,D,20130605,000000,11.966,12.164,11.274,11.867,0,0
FEE_PE,D,20130606,000000,11.867,12.065,11.867,11.966,0,0
FEE_PE,D,20130612,000000,11.175,11.867,11.175,11.867,0,0
FEE_PE,D,20130613,000000,11.076,11.669,11.076,11.57,0,0
FEE_PE,D,20130614,000000,11.57,11.57,11.57,11.57,0,0
FEE_PE,D,20130617,000000,11.57,11.57,11.076,11.274,0,0
FEE_PE,D,20130618,000000,11.373,11.867,11.373,11.867,0,0
FEE_PE,D,20130619,000000,11.669,11.768,11.57,11.768,0,0
FEE_PE,D,20130620,000000,11.57,11.669,11.57,11.669,0,0
FEE_PE,D,20130621,000000,11.57,11.867,11.57,11.669,0,0
FEE_PE,D,20130624,000000,11.471,11.867,11.471,11.867,0,0
FEE_PE,D,20130625,000000,11.867,12.065,11.57,11.867,0,0
FEE_PE,D,20130626,000000,12.065,12.065,11.867,11.966,0,0
FEE_PE,D,20130627,000000,11.966,11.966,11.867,11.966,0,0
FEE_PE,D,20130628,000000,11.966,12.065,11.966,12.065,0,0
FEE_PE,D,20130701,000000,12.065,12.361,12.065,12.361,0,0
FEE_PE,D,20130702,000000,12.263,12.263,12.065,12.263,0,0
FEE_PE,D,20130703,000000,12.263,12.263,12.065,12.263,0,0
FEE_PE,D,20130704,000000,12.263,12.757,12.263,12.757,0,0
FEE_PE,D,20130705,000000,12.757,12.757,12.757,12.757,0,0
FEE_PE,D,20130708,000000,12.361,12.46,12.361,12.46,0,0
FEE_PE,D,20130709,000000,12.46,12.46,12.164,12.46,0,0
FEE_PE,D,20130710,000000,12.46,12.46,12.164,12.46,0,0
FEE_PE,D,20130711,000000,12.164,12.46,12.164,12.46,0,0
FEE_PE,D,20130712,000000,12.559,12.658,12.46,12.658,0,0
FEE_PE,D,20130715,000000,12.559,12.658,12.559,12.658,0,0
FEE_PE,D,20130716,000000,12.658,13.35,12.658,13.153,0,0
FEE_PE,D,20130717,000000,13.153,14.339,13.153,13.252,0,0
FEE_PE,D,20130718,000000,14.142,15.032,13.944,14.537,0,0
FEE_PE,D,20130719,000000,14.834,14.834,14.339,14.339,0,0
FEE_PE,D,20130722,000000,14.834,14.834,14.438,14.438,0,0
FEE_PE,D,20130723,000000,14.834,14.834,14.438,14.438,0,0
FEE_PE,D,20130724,000000,13.548,14.339,13.252,14.142,0,0
FEE_PE,D,20130725,000000,13.252,14.339,13.252,13.944,0,0
FEE_PE,D,20130726,000000,13.746,14.24,13.746,13.944,0,0
FEE_PE,D,20130729,000000,14.537,14.537,13.944,14.438,0,0
FEE_PE,D,20130730,000000,14.834,14.834,13.845,13.944,0,0
FEE_PE,D,20130731,000000,14.043,14.438,13.944,14.438,0,0
FEE_PE,D,20130801,000000,14.438,14.438,13.845,13.944,0,0
FEE_PE,D,20130802,000000,14.339,14.339,13.647,14.339,0,0
FEE_PE,D,20130805,000000,14.339,14.339,14.24,14.24,0,0
FEE_PE,D,20130806,000000,13.845,14.339,13.746,14.339,0,0
FEE_PE,D,20130807,000000,13.845,14.339,13.845,13.845,0,0
FEE_PE,D,20130808,000000,13.845,13.944,13.845,13.845,0,0
FEE_PE,D,20130809,000000,13.845,13.845,13.845,13.845,0,0
FEE_PE,D,20130812,000000,13.944,14.735,13.944,14.735,0,0
FEE_PE,D,20130813,000000,14.735,17.504,14.735,17.504,0,0
FEE_PE,D,20130814,000000,17.504,18.592,17.504,17.801,0,0
FEE_PE,D,20130816,000000,18.196,19.778,17.801,19.778,0,0
FEE_PE,D,20130819,000000,19.778,21.163,18.691,19.679,0,0
FEE_PE,D,20130820,000000,18.592,19.778,18.592,19.778,0,0
FEE_PE,D,20130821,000000,19.778,20.866,19.778,20.273,0,0
FEE_PE,D,20130822,000000,20.273,20.273,19.581,19.778,0,0
FEE_PE,D,20130823,000000,19.778,19.778,19.778,19.778,0,0
FEE_PE,D,20130826,000000,19.778,19.778,19.185,19.482,0,0
FEE_PE,D,20130827,000000,19.482,19.482,19.185,19.185,0,0
FEE_PE,D,20130828,000000,19.185,19.185,18.493,19.086,0,0
FEE_PE,D,20130829,000000,19.086,19.086,18.888,18.888,0,0
FEE_PE,D,20130830,000000,19.086,19.086,18.888,18.888,0,0
FEE_PE,D,20130902,000000,18.888,19.086,18.592,18.888,0,0
FEE_PE,D,20130903,000000,18.493,18.789,18.493,18.789,0,0
FEE_PE,D,20130904,000000,19.185,19.383,18.394,18.789,0,0
FEE_PE,D,20130905,000000,18.493,19.086,17.108,17.899,0,0
FEE_PE,D,20130906,000000,18.493,19.482,18.295,19.482,0,0
FEE_PE,D,20130909,000000,19.482,21.064,19.284,21.064,0,0
FEE_PE,D,20130910,000000,20.866,22.943,20.866,21.954,0,0
FEE_PE,D,20130911,000000,22.152,22.646,20.668,21.855,0,0
FEE_PE,D,20130912,000000,22.35,22.448,21.163,22.448,0,0
FEE_PE,D,20130913,000000,22.547,22.547,21.558,22.35,0,0
FEE_PE,D,20130916,000000,22.448,22.547,21.756,21.756,0,0
FEE_PE,D,20130917,000000,22.547,22.547,21.756,22.547,0,0
FEE_PE,D,20130918,000000,22.547,22.547,22.448,22.448,0,0
FEE_PE,D,20130919,000000,22.547,22.547,22.35,22.448,0,0
FEE_PE,D,20130920,000000,21.855,22.35,21.855,22.35,0,0
FEE_PE,D,20130923,000000,22.547,22.547,21.855,22.547,0,0
FEE_PE,D,20130924,000000,22.547,22.547,22.053,22.251,0,0
FEE_PE,D,20130925,000000,22.547,22.547,22.547,22.547,0,0
FEE_PE,D,20130926,000000,22.152,22.448,22.053,22.053,0,0
FEE_PE,D,20130927,000000,22.448,22.448,22.448,22.448,0,0
FEE_PE,D,20130930,000000,22.448,22.547,22.448,22.448,0,0
FEE_PE,D,20131001,000000,22.448,23.042,22.152,23.042,0,0
FEE_PE,D,20131002,000000,23.042,23.042,22.943,22.943,0,0
FEE_PE,D,20131003,000000,21.855,23.042,21.855,22.844,0,0
FEE_PE,D,20131004,000000,23.042,23.042,22.943,22.943,0,0
FEE_PE,D,20131007,000000,22.943,22.943,22.547,22.745,0,0
