<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGT_PE,D,20141106,000000,4.3,4.3,4.3,4.3,0,0
FGT_PE,D,20141107,000000,4,4.3,4,4.3,0,0
FGT_PE,D,20141110,000000,4.3,4.5,4.3,4.3,0,0
FGT_PE,D,20141112,000000,4.3,4.4,4.3,4.4,0,0
FGT_PE,D,20141113,000000,4.4,4.4,4.4,4.4,0,0
FGT_PE,D,20141114,000000,4.4,4.4,4.3,4.3,0,0
FGT_PE,D,20141117,000000,4.5,4.5,4.3,4.4,0,0
FGT_PE,D,20141118,000000,4.3,4.3,4.2,4.3,0,0
FGT_PE,D,20141119,000000,4.3,4.3,4.3,4.3,0,0
FGT_PE,D,20141120,000000,4.3,4.3,4.3,4.3,0,0
FGT_PE,D,20141121,000000,4.3,4.3,4.2,4.2,0,0
FGT_PE,D,20141124,000000,4.2,4.2,3.8,4,0,0
FGT_PE,D,20141125,000000,4,4,3.3,3.3,0,0
FGT_PE,D,20141126,000000,3.5,3.5,2.8,2.8,0,0
FGT_PE,D,20141127,000000,2.7,2.7,2.5,2.5,0,0
FGT_PE,D,20141128,000000,2.4,3,2.4,3,0,0
FGT_PE,D,20141201,000000,3.2,3.2,3,3.1,0,0
FGT_PE,D,20141202,000000,3.1,3.1,2.9,3,0,0
FGT_PE,D,20141203,000000,3.1,3.1,3.1,3.1,0,0
FGT_PE,D,20141204,000000,3.4,3.4,3.2,3.2,0,0
FGT_PE,D,20141205,000000,3.3,3.3,3.3,3.3,0,0
FGT_PE,D,20141208,000000,3.3,3.3,3.2,3.2,0,0
FGT_PE,D,20141209,000000,3.2,3.3,3.2,3.3,0,0
FGT_PE,D,20141210,000000,3.3,3.3,3,3,0,0
FGT_PE,D,20141211,000000,3.3,3.3,3.2,3.2,0,0
FGT_PE,D,20141212,000000,3.3,3.3,3.2,3.2,0,0
FGT_PE,D,20141215,000000,3.1,3.1,3.1,3.1,0,0
FGT_PE,D,20141216,000000,3.2,3.2,3,3,0,0
FGT_PE,D,20141217,000000,3.2,3.2,2.9,3.2,0,0
FGT_PE,D,20141218,000000,3.2,3.2,3.2,3.2,0,0
FGT_PE,D,20141219,000000,3.2,3.2,3.1,3.1,0,0
FGT_PE,D,20141222,000000,3.1,3.1,3.1,3.1,0,0
FGT_PE,D,20141223,000000,3.1,3.1,3.1,3.1,0,0
FGT_PE,D,20141229,000000,3.1,3.1,2.9,2.9,0,0
FGT_PE,D,20141230,000000,3.1,3.1,3.1,3.1,0,0
FGT_PE,D,20150102,000000,3.3,3.3,3.2,3.2,0,0
FGT_PE,D,20150105,000000,3.2,3.2,3.2,3.2,0,0
FGT_PE,D,20150107,000000,3.2,3.2,3.2,3.2,0,0
FGT_PE,D,20150108,000000,2.8,3.1,2.8,3.1,0,0
FGT_PE,D,20150109,000000,3.1,3.1,3.1,3.1,0,0
FGT_PE,D,20150112,000000,2.9,2.9,2.9,2.9,0,0
FGT_PE,D,20150113,000000,3,3,2.9,2.9,0,0
FGT_PE,D,20150114,000000,2.9,3,2.9,3,0,0
FGT_PE,D,20150115,000000,3,3,2.9,2.9,0,0
FGT_PE,D,20150116,000000,3,3,3,3,0,0
FGT_PE,D,20150119,000000,3,3,3,3,0,0
FGT_PE,D,20150120,000000,3,3,3,3,0,0
FGT_PE,D,20150121,000000,3,3,3,3,0,0
FGT_PE,D,20150122,000000,3,3,3,3,0,0
FGT_PE,D,20150123,000000,3,3,3,3,0,0
FGT_PE,D,20150126,000000,3,3,3,3,0,0
FGT_PE,D,20150127,000000,3,3,3,3,0,0
FGT_PE,D,20150128,000000,2.9,2.9,2.6,2.8,0,0
FGT_PE,D,20150129,000000,2.8,2.8,2.6,2.8,0,0
FGT_PE,D,20150130,000000,2.9,2.9,2.9,2.9,0,0
FGT_PE,D,20150202,000000,2.9,2.9,2.7,2.9,0,0
FGT_PE,D,20150203,000000,2.9,2.9,2.9,2.9,0,0
FGT_PE,D,20150204,000000,2.9,2.9,2.8,2.8,0,0
FGT_PE,D,20150205,000000,2.9,2.9,2.8,2.8,0,0
FGT_PE,D,20150206,000000,2.8,2.8,2.7,2.7,0,0
FGT_PE,D,20150209,000000,2.7,2.7,2.4,2.7,0,0
FGT_PE,D,20150210,000000,2.7,2.8,2.7,2.8,0,0
FGT_PE,D,20150211,000000,2.8,2.8,2.6,2.8,0,0
FGT_PE,D,20150212,000000,2.8,2.8,2.6,2.8,0,0
FGT_PE,D,20150213,000000,2.8,2.8,2.6,2.7,0,0
FGT_PE,D,20150216,000000,2.7,2.7,2.7,2.7,0,0
FGT_PE,D,20150217,000000,2.7,2.7,2.7,2.7,0,0
FGT_PE,D,20150218,000000,2.7,2.7,2.7,2.7,0,0
FGT_PE,D,20150219,000000,2.7,2.7,2.6,2.7,0,0
FGT_PE,D,20150220,000000,2.8,3.3,2.8,3.3,0,0
FGT_PE,D,20150223,000000,3.3,3.8,3.3,3.8,0,0
FGT_PE,D,20150224,000000,3.8,4.3,3.8,4.2,0,0
FGT_PE,D,20150225,000000,4.2,4.2,4.1,4.2,0,0
FGT_PE,D,20150226,000000,4.2,4.2,3.8,4.2,0,0
FGT_PE,D,20150227,000000,4.2,4.2,4.2,4.2,0,0
FGT_PE,D,20150302,000000,4.1,4.1,4.1,4.1,0,0
FGT_PE,D,20150303,000000,4.1,4.1,3.6,3.7,0,0
FGT_PE,D,20150304,000000,4.1,4.1,3.9,4,0,0
FGT_PE,D,20150305,000000,4.1,4.1,4.1,4.1,0,0
FGT_PE,D,20150306,000000,4.1,4.2,4.1,4.2,0,0
FGT_PE,D,20150309,000000,4.1,4.1,4.1,4.1,0,0
FGT_PE,D,20150310,000000,4.2,4.2,4,4,0,0
FGT_PE,D,20150311,000000,4.1,4.1,4.1,4.1,0,0
FGT_PE,D,20150312,000000,4,4.1,4,4.1,0,0
FGT_PE,D,20150313,000000,4.2,4.2,4.1,4.1,0,0
FGT_PE,D,20150316,000000,4,4.1,4,4.1,0,0
FGT_PE,D,20150317,000000,4.2,4.2,4.2,4.2,0,0
FGT_PE,D,20150318,000000,4.1,4.1,4.1,4.1,0,0
FGT_PE,D,20150319,000000,4.1,4.1,4.1,4.1,0,0
FGT_PE,D,20150320,000000,3.8,4.1,3.8,3.9,0,0
FGT_PE,D,20150323,000000,3.9,3.9,3.9,3.9,0,0
FGT_PE,D,20150324,000000,3.9,4,3.9,4,0,0
FGT_PE,D,20150325,000000,4,4,3.8,3.9,0,0
FGT_PE,D,20150326,000000,4,4,4,4,0,0
FGT_PE,D,20150327,000000,4,4,4,4,0,0
FGT_PE,D,20150330,000000,3.8,3.8,3.7,3.7,0,0
FGT_PE,D,20150331,000000,3.9,3.9,3.8,3.9,0,0
FGT_PE,D,20150401,000000,4,4,4,4,0,0
FGT_PE,D,20150407,000000,4,4,4,4,0,0
FGT_PE,D,20150409,000000,3.9,3.9,3.9,3.9,0,0
FGT_PE,D,20150410,000000,3.9,4,3.9,4,0,0
FGT_PE,D,20150413,000000,4,4,4,4,0,0
FGT_PE,D,20150414,000000,4,4.1,4,4.1,0,0
FGT_PE,D,20150415,000000,4.1,4.1,3.9,3.9,0,0
FGT_PE,D,20150416,000000,4,4,3.9,4,0,0
FGT_PE,D,20150417,000000,3.9,3.9,3.8,3.9,0,0
FGT_PE,D,20150420,000000,4,4,3.8,3.8,0,0
FGT_PE,D,20150421,000000,3.9,4,3.9,4,0,0
FGT_PE,D,20150422,000000,3.9,3.9,3.6,3.6,0,0
FGT_PE,D,20150423,000000,3.9,3.9,3.9,3.9,0,0
FGT_PE,D,20150424,000000,3.9,3.9,3.9,3.9,0,0
FGT_PE,D,20150427,000000,3.9,3.9,3.9,3.9,0,0
FGT_PE,D,20150428,000000,3.9,3.9,3.7,3.7,0,0
FGT_PE,D,20150429,000000,3.9,3.9,3.7,3.7,0,0
FGT_PE,D,20150430,000000,3.9,3.9,3.8,3.8,0,0
