<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTE_PE,D,20070813,000000,13.61,13.61,13.61,13.61,0,0
FTE_PE,D,20070814,000000,13.61,13.61,13.61,13.61,0,0
FTE_PE,D,20070816,000000,12.098,12.098,12.098,12.098,0,0
FTE_PE,D,20070817,000000,12.098,12.098,12.098,12.098,0,0
FTE_PE,D,20070820,000000,12.098,12.098,12.098,12.098,0,0
FTE_PE,D,20070821,000000,11.594,11.594,11.594,11.594,0,0
FTE_PE,D,20070822,000000,11.523,11.523,11.523,11.523,0,0
FTE_PE,D,20070823,000000,8.6418,8.6418,8.6418,8.6418,0,0
FTE_PE,D,20070824,000000,8.7858,8.7858,8.7858,8.7858,0,0
FTE_PE,D,20070827,000000,8.4978,8.4978,8.4978,8.4978,0,0
FTE_PE,D,20070828,000000,8.4256,8.4256,8.4256,8.4256,0,0
FTE_PE,D,20070829,000000,8.4256,8.4256,8.4256,8.4256,0,0
FTE_PE,D,20070830,000000,8.2096,8.2096,8.2096,8.2096,0,0
FTE_PE,D,20070831,000000,8.4978,8.4978,8.4978,8.4978,0,0
FTE_PE,D,20070903,000000,8.8577,8.8577,8.8577,8.8577,0,0
FTE_PE,D,20070904,000000,9.0023,9.0023,9.0023,9.0023,0,0
FTE_PE,D,20070905,000000,8.7858,8.7858,8.7858,8.7858,0,0
FTE_PE,D,20070906,000000,8.9295,8.9295,8.9295,8.9295,0,0
FTE_PE,D,20070907,000000,8.5697,8.5697,8.5697,8.5697,0,0
FTE_PE,D,20070910,000000,8.2817,8.2817,8.2817,8.2817,0,0
FTE_PE,D,20070911,000000,8.4256,8.4256,8.4256,8.4256,0,0
FTE_PE,D,20070912,000000,8.4256,8.4256,8.4256,8.4256,0,0
FTE_PE,D,20070913,000000,8.2817,8.2817,8.2817,8.2817,0,0
FTE_PE,D,20070914,000000,8.2817,8.2817,8.2817,8.2817,0,0
FTE_PE,D,20070917,000000,8.3536,8.3536,8.3536,8.3536,0,0
FTE_PE,D,20070918,000000,8.3536,8.3536,8.3536,8.3536,0,0
FTE_PE,D,20070919,000000,8.4256,8.4256,8.4256,8.4256,0,0
FTE_PE,D,20070920,000000,8.4256,8.4256,8.4256,8.4256,0,0
FTE_PE,D,20070921,000000,8.5697,8.5697,8.5697,8.5697,0,0
FTE_PE,D,20070924,000000,8.8577,8.8577,8.8577,8.8577,0,0
FTE_PE,D,20070925,000000,8.5697,8.5697,8.5697,8.5697,0,0
FTE_PE,D,20070926,000000,8.5697,8.5697,8.5697,8.5697,0,0
FTE_PE,D,20070927,000000,8.7137,8.7137,8.7137,8.7137,0,0
FTE_PE,D,20070928,000000,8.4256,8.4256,8.4256,8.4256,0,0
FTE_PE,D,20071001,000000,8.2096,8.2096,8.2096,8.2096,0,0
FTE_PE,D,20071002,000000,8.2817,8.2817,8.2817,8.2817,0,0
FTE_PE,D,20071003,000000,8.4978,8.4978,8.4978,8.4978,0,0
FTE_PE,D,20071004,000000,8.2096,8.2096,8.2096,8.2096,0,0
FTE_PE,D,20071005,000000,8.4256,8.4256,8.4256,8.4256,0,0
FTE_PE,D,20071008,000000,8.2096,8.2096,8.2096,8.2096,0,0
FTE_PE,D,20071009,000000,7.9215,7.9215,7.9215,7.9215,0,0
FTE_PE,D,20071010,000000,7.8496,7.8496,7.8496,7.8496,0,0
FTE_PE,D,20071011,000000,7.8496,7.8496,7.8496,7.8496,0,0
FTE_PE,D,20071012,000000,8.2096,8.2096,8.2096,8.2096,0,0
FTE_PE,D,20071015,000000,8.3536,8.3536,8.3536,8.3536,0,0
FTE_PE,D,20071016,000000,8.3536,8.3536,8.3536,8.3536,0,0
FTE_PE,D,20071017,000000,8.3536,8.3536,8.3536,8.3536,0,0
FTE_PE,D,20071018,000000,8.2817,8.2817,8.2817,8.2817,0,0
FTE_PE,D,20071019,000000,8.0657,8.0657,8.0657,8.0657,0,0
FTE_PE,D,20071022,000000,8.2096,8.2096,8.2096,8.2096,0,0
FTE_PE,D,20071023,000000,8.2096,8.2096,8.2096,8.2096,0,0
FTE_PE,D,20071024,000000,8.2096,8.2096,8.2096,8.2096,0,0
FTE_PE,D,20071025,000000,7.9215,7.9215,7.9215,7.9215,0,0
FTE_PE,D,20071026,000000,7.8496,7.8496,7.8496,7.8496,0,0
FTE_PE,D,20071029,000000,7.6335,7.6335,7.6335,7.6335,0,0
FTE_PE,D,20071030,000000,7.2734,7.2734,7.2734,7.2734,0,0
FTE_PE,D,20071031,000000,7.2016,7.2016,7.2016,7.2016,0,0
FTE_PE,D,20071102,000000,6.9132,6.9132,6.9132,6.9132,0,0
FTE_PE,D,20071105,000000,6.8413,6.8413,6.8413,6.8413,0,0
FTE_PE,D,20071106,000000,6.8413,6.8413,6.8413,6.8413,0,0
FTE_PE,D,20071107,000000,6.4094,6.4094,6.4094,6.4094,0,0
FTE_PE,D,20071108,000000,6.1212,6.1212,6.1212,6.1212,0,0
FTE_PE,D,20071109,000000,6.1212,6.2653,5.8331,6.1932,0,0
FTE_PE,D,20071112,000000,5.9774,6.1932,5.9774,6.1212,0,0
FTE_PE,D,20071113,000000,6.1212,6.1212,5.9052,6.0492,0,0
FTE_PE,D,20071114,000000,6.1212,6.1212,5.8331,5.9052,0,0
FTE_PE,D,20071115,000000,5.8331,5.9052,5.3291,5.3291,0,0
FTE_PE,D,20071116,000000,5.3291,9.938,5.3291,9.938,0,0
FTE_PE,D,20071119,000000,9.938,9.938,9.577,9.794,0,0
FTE_PE,D,20071120,000000,9.65,9.65,9.2905,9.4339,0,0
FTE_PE,D,20071121,000000,9.577,9.577,8.8577,8.9295,0,0
FTE_PE,D,20071122,000000,9.0023,9.0023,8.1377,8.1377,0,0
FTE_PE,D,20071123,000000,8.4978,9.0739,8.4978,8.9295,0,0
FTE_PE,D,20071126,000000,9.3622,9.3622,8.9295,9.0023,0,0
FTE_PE,D,20071127,000000,8.5697,9.794,8.5697,9.0739,0,0
FTE_PE,D,20071128,000000,9.2174,9.938,9.2174,9.65,0,0
FTE_PE,D,20071129,000000,10.011,10.011,9.65,9.722,0,0
FTE_PE,D,20071130,000000,9.722,9.938,9.722,9.938,0,0
FTE_PE,D,20071203,000000,10.011,10.011,9.65,9.938,0,0
FTE_PE,D,20071204,000000,9.794,10.154,9.794,10.154,0,0
FTE_PE,D,20071205,000000,10.154,10.37,10.081,10.37,0,0
