<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIF_PE,D,20200724,000000,30.3,30.3,30.3,30.3,0,0
GIF_PE,D,20200727,000000,30.4,38.7,28.8,38.7,0,0
GIF_PE,D,20200728,000000,43.5,46.4,35.3,35.3,0,0
GIF_PE,D,20200729,000000,35.3,35.3,31,32.7,0,0
GIF_PE,D,20200730,000000,33.4,33.4,26.7,26.7,0,0
GIF_PE,D,20200804,000000,31.9,35,28.7,35,0,0
GIF_PE,D,20200805,000000,36.4,36.4,33.3,33.5,0,0
GIF_PE,D,20200806,000000,34.5,34.5,30.4,31.1,0,0
GIF_PE,D,20200807,000000,32.1,32.1,28.3,29.7,0,0
GIF_PE,D,20200810,000000,31.2,31.2,29.2,29.4,0,0
GIF_PE,D,20200811,000000,29.2,29.2,25.6,26.6,0,0
GIF_PE,D,20200812,000000,26.1,26.1,23.8,25,0,0
GIF_PE,D,20200813,000000,25,27.7,25,27.7,0,0
GIF_PE,D,20200814,000000,28.8,29.5,28.6,28.6,0,0
GIF_PE,D,20200817,000000,29.7,29.7,27,28.3,0,0
GIF_PE,D,20200818,000000,29.7,29.7,27.2,27.6,0,0
GIF_PE,D,20200819,000000,26.6,28.8,26.3,28.3,0,0
GIF_PE,D,20200820,000000,28.6,29.3,27.2,27.9,0,0
GIF_PE,D,20200821,000000,27.9,28.1,27.1,27.7,0,0
