<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GKI_PE,D,20070823,000000,408.4,408.4,408.4,408.4,0,0
GKI_PE,D,20070824,000000,408.4,408.4,408.4,408.4,0,0
GKI_PE,D,20070827,000000,407.84,407.84,407.84,407.84,0,0
GKI_PE,D,20070828,000000,403.25,403.25,403.25,403.25,0,0
GKI_PE,D,20070829,000000,405.36,405.36,405.36,405.36,0,0
GKI_PE,D,20070830,000000,270.18,270.18,270.18,270.18,0,0
GKI_PE,D,20070831,000000,275.5,275.5,275.5,275.5,0,0
GKI_PE,D,20070903,000000,273.4,273.4,273.4,273.4,0,0
GKI_PE,D,20070904,000000,272.01,272.01,272.01,272.01,0,0
GKI_PE,D,20070905,000000,270.18,270.18,270.18,270.18,0,0
GKI_PE,D,20070906,000000,273.76,273.76,273.76,273.76,0,0
GKI_PE,D,20070907,000000,274.03,274.03,274.03,274.03,0,0
GKI_PE,D,20070910,000000,266.7,266.7,266.7,266.7,0,0
GKI_PE,D,20070911,000000,270.18,270.18,270.18,270.18,0,0
GKI_PE,D,20070912,000000,263.2,263.2,263.2,263.2,0,0
GKI_PE,D,20070913,000000,266.32,266.32,266.32,266.32,0,0
GKI_PE,D,20070914,000000,266.32,266.32,266.32,266.32,0,0
GKI_PE,D,20070917,000000,259.71,259.71,259.71,259.71,0,0
GKI_PE,D,20070918,000000,263.2,263.2,263.2,263.2,0,0
GKI_PE,D,20070919,000000,267.42,267.42,267.42,267.42,0,0
GKI_PE,D,20070920,000000,263.2,263.2,263.2,263.2,0,0
GKI_PE,D,20070921,000000,266.05,266.05,266.05,266.05,0,0
GKI_PE,D,20070924,000000,263.2,263.2,263.2,263.2,0,0
GKI_PE,D,20070925,000000,246.39,246.39,246.39,246.39,0,0
GKI_PE,D,20070926,000000,248.78,248.78,248.78,248.78,0,0
GKI_PE,D,20070927,000000,247.4,247.4,247.4,247.4,0,0
GKI_PE,D,20070928,000000,248.78,248.78,248.78,248.78,0,0
GKI_PE,D,20071001,000000,242.16,242.16,242.16,242.16,0,0
GKI_PE,D,20071002,000000,241.43,241.43,241.43,241.43,0,0
GKI_PE,D,20071003,000000,238.58,238.58,238.58,238.58,0,0
GKI_PE,D,20071004,000000,236.85,236.85,236.85,236.85,0,0
GKI_PE,D,20071005,000000,236.57,236.57,236.57,236.57,0,0
GKI_PE,D,20071008,000000,235.09,235.09,235.09,235.09,0,0
GKI_PE,D,20071009,000000,235.09,235.09,235.09,235.09,0,0
GKI_PE,D,20071010,000000,236.85,236.85,236.85,236.85,0,0
GKI_PE,D,20071011,000000,236.85,236.85,236.85,236.85,0,0
GKI_PE,D,20071012,000000,236.85,236.85,236.85,236.85,0,0
GKI_PE,D,20071015,000000,238.96,238.96,238.96,238.96,0,0
GKI_PE,D,20071016,000000,238.58,238.58,238.58,238.58,0,0
GKI_PE,D,20071017,000000,238.58,238.58,238.58,238.58,0,0
GKI_PE,D,20071018,000000,238.58,238.58,238.58,238.58,0,0
GKI_PE,D,20071019,000000,238.58,238.58,238.58,238.58,0,0
GKI_PE,D,20071022,000000,238.31,238.31,238.31,238.31,0,0
GKI_PE,D,20071023,000000,237.57,237.57,237.57,237.57,0,0
GKI_PE,D,20071024,000000,237.93,237.93,237.93,237.93,0,0
GKI_PE,D,20071025,000000,238.31,238.31,238.31,238.31,0,0
GKI_PE,D,20071026,000000,242.16,242.16,242.16,242.16,0,0
GKI_PE,D,20071029,000000,240.43,240.43,240.43,240.43,0,0
GKI_PE,D,20071030,000000,240.06,240.06,240.06,240.06,0,0
GKI_PE,D,20071031,000000,240.06,240.06,240.06,240.06,0,0
GKI_PE,D,20071102,000000,239.32,239.32,239.32,239.32,0,0
GKI_PE,D,20071105,000000,236.57,236.57,236.57,236.57,0,0
GKI_PE,D,20071106,000000,236.57,236.57,236.57,236.57,0,0
GKI_PE,D,20071107,000000,235.09,235.09,235.09,235.09,0,0
GKI_PE,D,20071108,000000,84.213,84.213,84.213,84.213,0,0
GKI_PE,D,20071109,000000,84.029,84.488,78.428,84.488,0,0
GKI_PE,D,20071112,000000,83.937,84.488,78.795,81.091,0,0
GKI_PE,D,20071113,000000,80.906,80.906,76.499,80.356,0,0
GKI_PE,D,20071114,000000,78.519,80.906,78.519,80.539,0,0
GKI_PE,D,20071115,000000,78.428,80.539,76.039,79.07,0,0
GKI_PE,D,20071116,000000,76.131,79.07,75.948,78.886,0,0
GKI_PE,D,20071119,000000,78.886,78.886,75.029,77.693,0,0
GKI_PE,D,20071120,000000,74.662,76.866,74.662,76.59,0,0
GKI_PE,D,20071121,000000,75.396,75.396,74.754,75.213,0,0
GKI_PE,D,20071122,000000,75.213,75.213,70.346,75.213,0,0
GKI_PE,D,20071123,000000,75.213,76.499,75.213,76.407,0,0
GKI_PE,D,20071126,000000,76.407,78.886,72.733,78.886,0,0
GKI_PE,D,20071127,000000,78.242,78.242,72.917,77.968,0,0
GKI_PE,D,20071128,000000,78.978,81.366,76.131,81.274,0,0
GKI_PE,D,20071129,000000,81.549,84.671,81.274,84.671,0,0
GKI_PE,D,20071130,000000,84.671,87.794,84.671,87.243,0,0
GKI_PE,D,20071203,000000,87.151,87.886,85.315,87.886,0,0
GKI_PE,D,20071204,000000,86.049,87.702,81.825,87.61,0,0
GKI_PE,D,20071205,000000,83.57,87.794,83.57,87.702,0,0
GKI_PE,D,20071206,000000,87.702,87.702,85.315,87.243,0,0
GKI_PE,D,20071210,000000,83.203,87.151,83.203,86.325,0,0
GKI_PE,D,20071211,000000,80.906,82.192,80.906,81.549,0,0
GKI_PE,D,20071212,000000,76.682,84.947,76.682,83.57,0,0
GKI_PE,D,20071213,000000,79.529,84.763,79.529,83.203,0,0
GKI_PE,D,20071214,000000,83.386,84.856,83.386,84.856,0,0
GKI_PE,D,20071217,000000,76.682,84.029,76.682,83.937,0,0
GKI_PE,D,20071218,000000,76.682,84.121,76.682,84.121,0,0
GKI_PE,D,20071219,000000,84.947,85.406,79.897,85.315,0,0
GKI_PE,D,20071220,000000,85.315,85.315,81.549,84.121,0,0
GKI_PE,D,20071221,000000,84.029,84.213,81.549,81.549,0,0
GKI_PE,D,20071227,000000,84.397,84.58,84.397,84.488,0,0
GKI_PE,D,20071228,000000,81.549,84.671,81.549,84.671,0,0
GKI_PE,D,20080102,000000,85.315,85.315,80.539,85.038,0,0
GKI_PE,D,20080104,000000,81.641,84.58,81.641,84.58,0,0
GKI_PE,D,20080107,000000,84.947,84.947,82.192,83.937,0,0
GKI_PE,D,20080108,000000,81.641,81.641,79.07,81.458,0,0
GKI_PE,D,20080109,000000,76.682,76.682,75.765,76.039,0,0
GKI_PE,D,20080110,000000,72.366,76.314,72.366,76.131,0,0
GKI_PE,D,20080111,000000,70.346,75.58,70.346,75.58,0,0
GKI_PE,D,20080114,000000,73.285,73.285,73.285,73.285,0,0
GKI_PE,D,20080115,000000,73.651,73.651,65.202,69.06,0,0
GKI_PE,D,20080116,000000,62.173,67.131,62.173,62.724,0,0
GKI_PE,D,20080117,000000,65.753,65.753,61.438,61.53,0,0
GKI_PE,D,20080118,000000,61.53,62.081,56.57,58.866,0,0
GKI_PE,D,20080121,000000,58.866,61.345,57.672,60.335,0,0
GKI_PE,D,20080122,000000,54.55,65.753,54.55,65.753,0,0
GKI_PE,D,20080123,000000,73.101,73.651,66.489,67.131,0,0
GKI_PE,D,20080124,000000,72.733,72.733,65.57,71.539,0,0
GKI_PE,D,20080125,000000,72.641,74.019,69.519,73.927,0,0
GKI_PE,D,20080128,000000,66.58,72.733,66.58,72.641,0,0
GKI_PE,D,20080129,000000,76.499,76.499,71.539,75.304,0,0
GKI_PE,D,20080130,000000,76.499,78.428,76.499,77.693,0,0
GKI_PE,D,20080131,000000,76.499,78.428,76.499,77.784,0,0
GKI_PE,D,20080201,000000,73.376,78.428,73.376,77.142,0,0
GKI_PE,D,20080206,000000,69.519,75.304,69.519,75.304,0,0
GKI_PE,D,20080207,000000,75.304,75.304,71.172,75.304,0,0
GKI_PE,D,20080208,000000,75.121,76.039,75.121,76.039,0,0
GKI_PE,D,20080211,000000,71.539,75.121,70.622,71.539,0,0
GKI_PE,D,20080212,000000,73.927,75.213,70.988,75.213,0,0
GKI_PE,D,20080213,000000,72.274,74.019,72.274,73.927,0,0
GKI_PE,D,20080214,000000,71.539,73.927,71.539,71.539,0,0
GKI_PE,D,20080215,000000,73.376,75.213,73.376,75.213,0,0
GKI_PE,D,20080218,000000,75.213,75.396,49.682,49.682,0,0
GKI_PE,D,20080219,000000,51.519,51.611,51.519,51.611,0,0
GKI_PE,D,20080220,000000,51.703,51.796,51.703,51.796,0,0
GKI_PE,D,20080221,000000,49.682,51.796,49.682,51.796,0,0
GKI_PE,D,20080225,000000,49.775,51.796,49.775,51.796,0,0
GKI_PE,D,20080226,000000,49.591,51.796,49.591,51.796,0,0
GKI_PE,D,20080227,000000,50.418,51.796,50.418,51.796,0,0
GKI_PE,D,20080228,000000,50.142,51.796,50.142,51.796,0,0
GKI_PE,D,20080229,000000,50.418,50.418,49.315,49.315,0,0
GKI_PE,D,20080303,000000,51.428,51.703,51.153,51.244,0,0
GKI_PE,D,20080304,000000,51.703,51.703,50.05,51.428,0,0
GKI_PE,D,20080305,000000,51.611,51.611,51.611,51.611,0,0
GKI_PE,D,20080306,000000,50.05,50.876,49.224,50.784,0,0
GKI_PE,D,20080307,000000,49.039,50.876,49.039,50.601,0,0
GKI_PE,D,20080311,000000,50.05,50.326,50.05,50.326,0,0
GKI_PE,D,20080312,000000,50.784,50.784,49.224,50.693,0,0
GKI_PE,D,20080313,000000,49.591,50.693,49.591,50.418,0,0
GKI_PE,D,20080314,000000,49.132,49.132,47.662,47.662,0,0
GKI_PE,D,20080317,000000,46.835,48.304,44.081,48.029,0,0
GKI_PE,D,20080318,000000,48.304,48.304,47.111,47.938,0,0
GKI_PE,D,20080319,000000,49.591,49.591,45.734,46.927,0,0
GKI_PE,D,20080320,000000,45.734,45.734,44.816,44.816,0,0
GKI_PE,D,20080325,000000,46.561,46.561,46.561,46.561,0,0
GKI_PE,D,20080326,000000,46.561,48.304,43.713,44.172,0,0
GKI_PE,D,20080327,000000,44.448,45.642,44.081,45.183,0,0
GKI_PE,D,20080328,000000,45.183,47.111,44.357,45.458,0,0
GKI_PE,D,20080331,000000,45.458,45.458,45.458,45.458,0,0
GKI_PE,D,20080401,000000,44.264,45.458,44.264,45.458,0,0
GKI_PE,D,20080402,000000,44.448,45.458,44.448,44.907,0,0
GKI_PE,D,20080404,000000,44.907,44.907,44.264,44.632,0,0
GKI_PE,D,20080407,000000,44.081,46.927,44.081,46.376,0,0
GKI_PE,D,20080408,000000,46.744,46.744,44.816,46.193,0,0
GKI_PE,D,20080409,000000,45.642,46.652,44.448,45.183,0,0
GKI_PE,D,20080410,000000,44.448,46.376,44.172,45.366,0,0
GKI_PE,D,20080411,000000,46.835,46.835,44.172,44.632,0,0
GKI_PE,D,20080414,000000,43.622,44.172,43.347,43.347,0,0
GKI_PE,D,20080415,000000,43.347,43.347,43.347,43.347,0,0
GKI_PE,D,20080416,000000,41.05,43.438,41.05,43.438,0,0
GKI_PE,D,20080417,000000,44.448,44.448,44.357,44.448,0,0
GKI_PE,D,20080418,000000,44.998,44.998,42.335,43.805,0,0
GKI_PE,D,20080421,000000,42.427,44.632,41.877,41.877,0,0
GKI_PE,D,20080422,000000,43.805,43.805,40.591,41.877,0,0
GKI_PE,D,20080423,000000,42.335,42.703,39.305,41.877,0,0
GKI_PE,D,20080424,000000,43.162,43.162,42.703,42.703,0,0
GKI_PE,D,20080425,000000,43.07,43.07,40.131,41.233,0,0
GKI_PE,D,20080428,000000,41.785,44.998,41.233,44.998,0,0
GKI_PE,D,20080429,000000,44.998,45.918,44.998,45.918,0,0
GKI_PE,D,20080430,000000,40.866,45.734,40.866,45.275,0,0
GKI_PE,D,20080505,000000,45.55,45.55,45.55,45.55,0,0
GKI_PE,D,20080506,000000,45.275,47.111,45.275,47.111,0,0
GKI_PE,D,20080507,000000,44.998,46.561,44.907,44.907,0,0
GKI_PE,D,20080508,000000,46.101,46.101,8.6325,8.6325,0,0
GKI_PE,D,20080509,000000,8.8162,8.8162,8.357,8.5406,0,0
GKI_PE,D,20080512,000000,8.5406,8.7243,8.5406,8.7243,0,0
GKI_PE,D,20080513,000000,8.357,8.5406,8.357,8.5406,0,0
GKI_PE,D,20080514,000000,8.1734,8.2652,8.1734,8.2652,0,0
