<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLC_PE,D,20130819,000000,10.969,10.969,10.969,10.969,0,0
GLC_PE,D,20130820,000000,10.969,10.969,10.969,10.969,0,0
GLC_PE,D,20130821,000000,10.969,10.969,10.969,10.969,0,0
GLC_PE,D,20130822,000000,10.969,10.969,10.479,10.871,0,0
GLC_PE,D,20130823,000000,10.969,10.969,10.969,10.969,0,0
GLC_PE,D,20130826,000000,10.969,10.969,10.969,10.969,0,0
GLC_PE,D,20130827,000000,10.969,10.969,10.969,10.969,0,0
GLC_PE,D,20130828,000000,10.969,10.969,10.675,10.675,0,0
GLC_PE,D,20130829,000000,10.871,10.871,10.675,10.675,0,0
GLC_PE,D,20130830,000000,10.675,10.675,10.675,10.675,0,0
GLC_PE,D,20130902,000000,10.675,10.675,10.675,10.675,0,0
GLC_PE,D,20130903,000000,10.675,10.675,10.381,10.381,0,0
GLC_PE,D,20130904,000000,10.675,10.871,10.675,10.871,0,0
GLC_PE,D,20130905,000000,10.773,10.871,10.773,10.871,0,0
GLC_PE,D,20130906,000000,10.871,10.871,10.284,10.675,0,0
GLC_PE,D,20130909,000000,10.675,10.675,10.675,10.675,0,0
GLC_PE,D,20130910,000000,10.479,11.165,10.479,11.165,0,0
GLC_PE,D,20130911,000000,11.263,11.263,11.165,11.165,0,0
GLC_PE,D,20130912,000000,11.263,11.263,10.773,10.871,0,0
GLC_PE,D,20130913,000000,10.871,10.871,10.871,10.871,0,0
GLC_PE,D,20130916,000000,10.871,11.557,10.871,11.557,0,0
GLC_PE,D,20130917,000000,11.655,13.222,11.557,12.83,0,0
GLC_PE,D,20130918,000000,12.83,12.83,11.948,12.634,0,0
GLC_PE,D,20130919,000000,12.634,12.732,12.438,12.634,0,0
GLC_PE,D,20130920,000000,12.634,13.418,12.634,13.418,0,0
GLC_PE,D,20130923,000000,13.907,13.907,13.222,13.222,0,0
GLC_PE,D,20130924,000000,13.907,13.907,13.026,13.222,0,0
GLC_PE,D,20130925,000000,13.418,13.418,12.83,13.418,0,0
GLC_PE,D,20130926,000000,13.418,13.418,12.928,13.418,0,0
GLC_PE,D,20130927,000000,13.418,13.418,12.438,12.536,0,0
GLC_PE,D,20130930,000000,12.536,12.536,12.144,12.536,0,0
GLC_PE,D,20131001,000000,12.536,12.536,12.34,12.536,0,0
GLC_PE,D,20131002,000000,12.536,12.536,11.948,12.536,0,0
GLC_PE,D,20131003,000000,12.536,12.536,12.536,12.536,0,0
GLC_PE,D,20131004,000000,12.536,12.536,12.536,12.536,0,0
GLC_PE,D,20131007,000000,12.046,12.242,12.046,12.242,0,0
