<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW_PE,D,20101109,000000,13.119,13.119,13.119,13.119,0,0
GPW_PE,D,20101110,000000,13.119,13.119,12.638,12.638,0,0
GPW_PE,D,20101112,000000,12.398,12.999,12.217,12.999,0,0
GPW_PE,D,20101115,000000,12.939,13.842,12.698,13.842,0,0
GPW_PE,D,20101116,000000,13.781,13.781,13.481,13.481,0,0
GPW_PE,D,20101117,000000,13.481,13.661,13.3,13.3,0,0
GPW_PE,D,20101118,000000,13.481,13.601,13.42,13.42,0,0
GPW_PE,D,20101119,000000,13.54,13.54,13.42,13.481,0,0
GPW_PE,D,20101122,000000,13.481,13.54,13.481,13.481,0,0
GPW_PE,D,20101123,000000,13.481,13.481,13.179,13.179,0,0
GPW_PE,D,20101124,000000,13.3,13.42,13.179,13.42,0,0
GPW_PE,D,20101125,000000,13.481,13.481,13.3,13.36,0,0
GPW_PE,D,20101126,000000,13.36,13.36,13.119,13.3,0,0
GPW_PE,D,20101129,000000,13.179,13.179,13.119,13.119,0,0
GPW_PE,D,20101130,000000,12.999,13.3,12.999,13.24,0,0
GPW_PE,D,20101201,000000,13.24,13.661,13.24,13.661,0,0
GPW_PE,D,20101202,000000,13.661,13.721,13.54,13.661,0,0
GPW_PE,D,20101203,000000,13.661,13.661,13.54,13.54,0,0
GPW_PE,D,20101206,000000,13.54,13.54,13.36,13.42,0,0
GPW_PE,D,20101207,000000,13.3,13.36,13.24,13.3,0,0
GPW_PE,D,20101208,000000,13.24,13.42,13.24,13.42,0,0
GPW_PE,D,20101209,000000,13.36,13.42,13.3,13.36,0,0
GPW_PE,D,20101210,000000,13.36,13.36,13.3,13.36,0,0
GPW_PE,D,20101213,000000,13.36,13.54,13.36,13.54,0,0
GPW_PE,D,20101214,000000,13.42,13.42,13.3,13.3,0,0
GPW_PE,D,20101215,000000,13.24,13.3,13.24,13.3,0,0
GPW_PE,D,20101216,000000,13.3,13.3,13.179,13.3,0,0
GPW_PE,D,20101217,000000,13.24,13.24,13.179,13.179,0,0
GPW_PE,D,20101220,000000,13.179,13.24,13.119,13.24,0,0
GPW_PE,D,20101221,000000,13.119,13.24,13.119,13.179,0,0
