<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRN_PE,D,20110628,000000,7.6328,7.6328,7.6328,7.6328,0,0
GRN_PE,D,20110630,000000,7.8044,7.8044,7.8044,7.8044,0,0
GRN_PE,D,20110706,000000,7.8062,7.8062,7.8062,7.8062,0,0
GRN_PE,D,20110707,000000,7.8062,7.8062,7.8062,7.8062,0,0
GRN_PE,D,20110711,000000,7.8062,7.8062,7.7193,7.7193,0,0
GRN_PE,D,20110713,000000,7.7193,7.8062,7.7193,7.8062,0,0
GRN_PE,D,20110718,000000,7.9796,7.9796,7.8929,7.8929,0,0
GRN_PE,D,20110727,000000,7.3725,7.3725,7.2857,7.2857,0,0
GRN_PE,D,20110728,000000,7.0256,7.0256,7.0256,7.0256,0,0
GRN_PE,D,20110802,000000,6.6806,6.6806,6.2418,6.2418,0,0
GRN_PE,D,20110803,000000,6.1583,6.1583,5.7246,5.7246,0,0
GRN_PE,D,20110804,000000,5.6378,6.8521,5.3776,6.8521,0,0
GRN_PE,D,20110805,000000,5.8112,6.6787,5.8112,6.6787,0,0
GRN_PE,D,20110808,000000,6.4183,6.4183,5.7246,5.7246,0,0
GRN_PE,D,20110810,000000,5.898,5.898,5.7246,5.7246,0,0
GRN_PE,D,20110811,000000,5.7246,5.7246,5.7246,5.7246,0,0
GRN_PE,D,20110812,000000,5.7246,5.7246,5.7246,5.7246,0,0
GRN_PE,D,20110816,000000,5.4643,5.4643,5.4643,5.4643,0,0
GRN_PE,D,20110823,000000,5.5512,5.7246,5.5512,5.7246,0,0
GRN_PE,D,20110829,000000,5.6378,5.898,5.6378,5.898,0,0
GRN_PE,D,20110830,000000,6.1583,6.6787,6.1583,6.4183,0,0
GRN_PE,D,20110831,000000,6.4174,7.023,6.4174,7.023,0,0
GRN_PE,D,20110901,000000,6.6787,6.6787,6.5919,6.6787,0,0
GRN_PE,D,20110902,000000,6.4174,6.4174,6.2418,6.2418,0,0
GRN_PE,D,20110905,000000,6.3317,7.1992,6.3317,7.1992,0,0
GRN_PE,D,20110907,000000,6.5051,6.5051,6.3296,6.3296,0,0
GRN_PE,D,20110908,000000,6.4174,6.6806,6.4174,6.6806,0,0
GRN_PE,D,20110909,000000,6.8521,6.8521,6.7654,6.7654,0,0
GRN_PE,D,20110912,000000,6.8521,6.9388,6.8521,6.9388,0,0
GRN_PE,D,20110913,000000,6.9388,7.1992,6.9388,7.1123,0,0
GRN_PE,D,20110915,000000,7.1123,7.1123,6.8521,7.1123,0,0
GRN_PE,D,20110916,000000,6.8562,6.8562,6.8562,6.8562,0,0
GRN_PE,D,20110919,000000,6.6787,6.6787,6.6787,6.6787,0,0
GRN_PE,D,20110920,000000,6.7654,6.7654,6.6787,6.6787,0,0
GRN_PE,D,20110923,000000,6.6806,6.6806,6.6806,6.6806,0,0
GRN_PE,D,20110926,000000,6.3317,6.3317,6.3317,6.3317,0,0
GRN_PE,D,20110928,000000,6.075,6.3296,6.075,6.3296,0,0
GRN_PE,D,20110929,000000,6.075,6.3296,6.075,6.3296,0,0
GRN_PE,D,20110930,000000,5.9872,6.075,5.9872,5.9872,0,0
GRN_PE,D,20111003,000000,6.075,6.154,6.075,6.154,0,0
GRN_PE,D,20111005,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20111006,000000,5.9696,5.9696,5.9696,5.9696,0,0
GRN_PE,D,20111007,000000,5.7063,5.7063,5.5307,5.5307,0,0
GRN_PE,D,20111010,000000,5.4429,5.4429,5.4429,5.4429,0,0
GRN_PE,D,20111011,000000,5.4429,5.7063,5.4429,5.6184,0,0
GRN_PE,D,20111012,000000,5.3551,5.4429,5.1795,5.4429,0,0
GRN_PE,D,20111013,000000,5.3551,5.3551,5.3551,5.3551,0,0
GRN_PE,D,20111014,000000,5.3551,5.3551,5.3551,5.3551,0,0
GRN_PE,D,20111018,000000,5.2673,5.2673,5.1795,5.1795,0,0
GRN_PE,D,20111021,000000,5.3551,5.3551,5.3551,5.3551,0,0
GRN_PE,D,20111025,000000,5.1795,5.1795,5.1795,5.1795,0,0
GRN_PE,D,20111028,000000,5.2673,5.2673,5.2673,5.2673,0,0
GRN_PE,D,20111031,000000,5.3551,5.4429,5.3551,5.4429,0,0
GRN_PE,D,20111102,000000,5.3551,5.3551,5.3551,5.3551,0,0
GRN_PE,D,20111104,000000,5.1795,5.1795,5.0919,5.0919,0,0
GRN_PE,D,20111107,000000,5.0919,5.1795,5.0919,5.1795,0,0
GRN_PE,D,20111109,000000,5.0038,5.0919,5.0038,5.0038,0,0
GRN_PE,D,20111110,000000,5.0038,5.0038,5.0038,5.0038,0,0
GRN_PE,D,20111114,000000,4.9162,4.9162,4.9162,4.9162,0,0
GRN_PE,D,20111115,000000,4.9162,5.1795,4.9162,5.1795,0,0
GRN_PE,D,20111116,000000,5.1795,5.1795,5.1795,5.1795,0,0
GRN_PE,D,20111121,000000,5.2673,5.2673,5.1795,5.1795,0,0
GRN_PE,D,20111125,000000,5.0038,6.1452,5.0038,6.1452,0,0
GRN_PE,D,20111129,000000,5.7063,5.7063,5.4429,5.4429,0,0
GRN_PE,D,20111201,000000,5.5307,5.7941,5.5307,5.7941,0,0
GRN_PE,D,20111202,000000,5.7063,5.8819,5.7063,5.8819,0,0
GRN_PE,D,20111208,000000,5.6184,5.6184,5.3551,5.3551,0,0
GRN_PE,D,20111209,000000,5.3551,5.3551,5.3551,5.3551,0,0
GRN_PE,D,20111212,000000,5.3551,5.3551,5.3551,5.3551,0,0
GRN_PE,D,20111216,000000,5.4429,5.4429,4.9162,4.9162,0,0
GRN_PE,D,20111219,000000,5.0038,5.0038,3.9505,3.9505,0,0
GRN_PE,D,20111220,000000,4.8283,4.8283,4.4771,4.7406,0,0
GRN_PE,D,20111222,000000,4.9162,5.4429,4.7406,5.0038,0,0
GRN_PE,D,20111223,000000,4.7406,4.7406,4.7406,4.7406,0,0
GRN_PE,D,20111227,000000,4.6528,5.6184,4.5651,5.6184,0,0
GRN_PE,D,20111228,000000,4.7406,6.233,4.7406,6.233,0,0
GRN_PE,D,20111229,000000,4.7406,5.9696,4.7406,5.9696,0,0
GRN_PE,D,20120102,000000,5.7063,5.7063,5.0919,5.0919,0,0
GRN_PE,D,20120103,000000,5.3551,5.6184,5.3551,5.6184,0,0
GRN_PE,D,20120110,000000,5.2673,5.2673,4.5651,4.5651,0,0
GRN_PE,D,20120116,000000,5.2673,5.2673,5.0038,5.0038,0,0
GRN_PE,D,20120117,000000,5.3551,5.4429,5.3551,5.4429,0,0
GRN_PE,D,20120125,000000,5.3551,5.3551,5.3551,5.3551,0,0
GRN_PE,D,20120127,000000,5.4429,5.6184,5.4429,5.6184,0,0
GRN_PE,D,20120202,000000,5.7941,5.7941,5.5307,5.5307,0,0
GRN_PE,D,20120203,000000,5.5307,5.6184,5.5307,5.6184,0,0
GRN_PE,D,20120206,000000,5.7941,5.7941,5.7063,5.7063,0,0
GRN_PE,D,20120208,000000,6.1452,6.7597,6.1452,6.233,0,0
GRN_PE,D,20120209,000000,6.4964,6.5842,6.4964,6.5842,0,0
GRN_PE,D,20120214,000000,6.4087,6.4087,6.4087,6.4087,0,0
GRN_PE,D,20120215,000000,6.4087,6.4087,6.4087,6.4087,0,0
GRN_PE,D,20120216,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20120220,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20120221,000000,6.0575,6.1452,6.0575,6.0575,0,0
GRN_PE,D,20120222,000000,5.9696,6.233,5.9696,6.233,0,0
GRN_PE,D,20120223,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20120224,000000,6.0575,6.0575,6.0575,6.0575,0,0
GRN_PE,D,20120227,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20120228,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20120305,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20120306,000000,6.1452,6.233,6.1452,6.233,0,0
GRN_PE,D,20120307,000000,6.233,6.4087,5.9696,5.9696,0,0
GRN_PE,D,20120308,000000,5.9696,5.9696,5.9696,5.9696,0,0
GRN_PE,D,20120309,000000,6.1452,6.233,6.1452,6.233,0,0
GRN_PE,D,20120312,000000,6.0575,6.0575,5.9696,5.9696,0,0
GRN_PE,D,20120313,000000,5.8819,5.8819,5.8819,5.8819,0,0
GRN_PE,D,20120316,000000,5.8819,5.8819,5.8819,5.8819,0,0
GRN_PE,D,20120320,000000,5.7063,5.7063,5.6184,5.6184,0,0
GRN_PE,D,20120321,000000,5.4429,5.4429,5.4429,5.4429,0,0
GRN_PE,D,20120326,000000,5.4429,5.4429,5.4429,5.4429,0,0
GRN_PE,D,20120327,000000,5.7063,5.7063,5.6184,5.6184,0,0
GRN_PE,D,20120402,000000,5.7063,6.6719,5.7063,6.4087,0,0
GRN_PE,D,20120403,000000,6.5842,6.5842,6.4964,6.5842,0,0
GRN_PE,D,20120404,000000,6.4087,6.4087,6.4087,6.4087,0,0
GRN_PE,D,20120413,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20120423,000000,6.233,6.233,6.233,6.233,0,0
GRN_PE,D,20120424,000000,6.0575,6.0575,5.9696,5.9696,0,0
GRN_PE,D,20120514,000000,5.9696,5.9696,5.8819,5.9696,0,0
GRN_PE,D,20120515,000000,5.8819,5.8819,5.8819,5.8819,0,0
GRN_PE,D,20120516,000000,5.6184,5.6184,5.4429,5.4429,0,0
GRN_PE,D,20120517,000000,5.6184,5.6184,5.6184,5.6184,0,0
GRN_PE,D,20120521,000000,5.5307,5.5307,5.5307,5.5307,0,0
GRN_PE,D,20120523,000000,5.5307,5.5307,4.4771,5.3551,0,0
GRN_PE,D,20120528,000000,5.2673,5.2673,5.2673,5.2673,0,0
GRN_PE,D,20120529,000000,4.9162,5.2673,4.9162,5.2673,0,0
GRN_PE,D,20120530,000000,5.1795,5.1795,5.1795,5.1795,0,0
GRN_PE,D,20120531,000000,5.3551,6.233,5.3551,6.233,0,0
GRN_PE,D,20120606,000000,5.3551,5.3551,5.0038,5.1795,0,0
GRN_PE,D,20120608,000000,5.0919,5.0919,5.0919,5.0919,0,0
GRN_PE,D,20120614,000000,5.0919,5.0919,5.0919,5.0919,0,0
GRN_PE,D,20120615,000000,4.8283,4.8283,4.7406,4.7406,0,0
GRN_PE,D,20120618,000000,4.7406,4.7406,4.4771,4.6528,0,0
GRN_PE,D,20120619,000000,4.7406,5.5307,4.7406,5.5307,0,0
GRN_PE,D,20120620,000000,6.4964,6.4964,4.126,4.126,0,0
GRN_PE,D,20120621,000000,4.6528,4.6528,4.3895,4.4771,0,0
GRN_PE,D,20120622,000000,4.4771,4.6528,4.4771,4.6528,0,0
GRN_PE,D,20120625,000000,4.4771,4.4771,4.4771,4.4771,0,0
GRN_PE,D,20120626,000000,4.6528,4.8283,4.4771,4.4771,0,0
GRN_PE,D,20120627,000000,4.3895,4.3895,4.3017,4.3017,0,0
GRN_PE,D,20120628,000000,4.2138,5.1795,4.2138,4.2138,0,0
GRN_PE,D,20120629,000000,4.5683,5.0917,4.5683,4.9142,0,0
GRN_PE,D,20120702,000000,4.5651,4.5651,3.9505,3.9505,0,0
GRN_PE,D,20120703,000000,4.0384,4.0384,3.1605,3.775,0,0
GRN_PE,D,20120705,000000,3.775,4.0384,3.1605,3.9505,0,0
GRN_PE,D,20120706,000000,4.0384,4.126,4.0384,4.126,0,0
GRN_PE,D,20120709,000000,4.126,4.9162,4.126,4.9162,0,0
GRN_PE,D,20120710,000000,5.0038,5.1795,4.4771,4.9162,0,0
GRN_PE,D,20120711,000000,4.9162,4.9162,4.2138,4.2138,0,0
GRN_PE,D,20120712,000000,4.4771,4.4771,4.126,4.3895,0,0
GRN_PE,D,20120713,000000,4.2138,4.8283,4.2138,4.8283,0,0
GRN_PE,D,20120716,000000,4.3017,4.8283,3.8627,4.5651,0,0
GRN_PE,D,20120718,000000,4.0384,4.0384,4.0384,4.0384,0,0
GRN_PE,D,20120719,000000,4.0384,4.8283,4.0384,4.8283,0,0
GRN_PE,D,20120720,000000,4.9162,5.7063,4.6528,5.7063,0,0
GRN_PE,D,20120723,000000,4.6528,5.4429,4.6528,5.4429,0,0
GRN_PE,D,20120724,000000,4.6528,6.4964,4.6528,6.4964,0,0
GRN_PE,D,20120726,000000,5.3551,6.0575,5.3551,6.0575,0,0
