<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI_PE,D,20080506,000000,28.763,28.763,28.763,28.763,0,0
IFI_PE,D,20080507,000000,29.247,29.247,29.247,29.247,0,0
IFI_PE,D,20080508,000000,26.543,26.543,25.642,25.782,0,0
IFI_PE,D,20080509,000000,25.782,26.68,25.642,26.68,0,0
IFI_PE,D,20080512,000000,26.68,27.792,26.68,27.792,0,0
IFI_PE,D,20080513,000000,25.019,27.03,24.951,27.03,0,0
IFI_PE,D,20080515,000000,24.395,26.266,24.395,26.266,0,0
IFI_PE,D,20080516,000000,23.841,24.05,23.148,23.148,0,0
IFI_PE,D,20080519,000000,23.773,24.395,23.148,24.395,0,0
IFI_PE,D,20080520,000000,24.326,24.326,24.326,24.326,0,0
IFI_PE,D,20080521,000000,22.107,24.257,22.107,24.257,0,0
IFI_PE,D,20080523,000000,24.326,25.019,24.257,24.741,0,0
IFI_PE,D,20080526,000000,24.812,24.812,24.186,24.186,0,0
IFI_PE,D,20080527,000000,23.148,36.801,23.148,36.801,0,0
IFI_PE,D,20080529,000000,34.031,36.801,33.128,33.543,0,0
IFI_PE,D,20080530,000000,34.445,34.445,31.674,34.374,0,0
IFI_PE,D,20080602,000000,32.505,32.505,32.505,32.505,0,0
IFI_PE,D,20080603,000000,32.159,32.159,32.017,32.088,0,0
IFI_PE,D,20080604,000000,30.285,32.017,30.285,30.285,0,0
IFI_PE,D,20080605,000000,31.188,33.267,31.188,33.267,0,0
IFI_PE,D,20080606,000000,33.82,36.663,33.82,35.347,0,0
IFI_PE,D,20080609,000000,36.105,36.105,35.347,36.039,0,0
IFI_PE,D,20080610,000000,28.902,36.039,28.902,28.902,0,0
IFI_PE,D,20080611,000000,34.514,34.514,34.445,34.445,0,0
IFI_PE,D,20080612,000000,34.374,34.374,29.316,33.543,0,0
IFI_PE,D,20080613,000000,33.474,33.474,33.474,33.474,0,0
IFI_PE,D,20080616,000000,33.612,33.612,33.543,33.543,0,0
IFI_PE,D,20080617,000000,34.374,34.374,33.543,34.374,0,0
IFI_PE,D,20080618,000000,35.414,35.414,35.414,35.414,0,0
IFI_PE,D,20080619,000000,35.828,36.801,35.828,36.801,0,0
IFI_PE,D,20080620,000000,36.593,36.593,36.593,36.593,0,0
IFI_PE,D,20080624,000000,34.93,34.93,34.374,34.374,0,0
IFI_PE,D,20080626,000000,34.93,34.93,34.93,34.93,0,0
IFI_PE,D,20080627,000000,30.354,33.267,28.902,32.642,0,0
IFI_PE,D,20080630,000000,32.642,32.642,32.642,32.642,0,0
IFI_PE,D,20080701,000000,28.902,30.285,28.415,29.802,0,0
IFI_PE,D,20080702,000000,27.931,29.802,27.308,29.733,0,0
IFI_PE,D,20080703,000000,27.931,29.316,27.583,29.18,0,0
IFI_PE,D,20080707,000000,29.316,29.316,27.513,28.902,0,0
IFI_PE,D,20080708,000000,27.999,27.999,27.931,27.931,0,0
IFI_PE,D,20080711,000000,27.931,29.18,27.513,28.902,0,0
IFI_PE,D,20080714,000000,29.387,29.387,29.387,29.387,0,0
IFI_PE,D,20080715,000000,26.68,27.792,25.298,27.792,0,0
IFI_PE,D,20080716,000000,25.298,27.03,25.298,27.03,0,0
IFI_PE,D,20080717,000000,27.098,29.039,27.098,29.039,0,0
IFI_PE,D,20080718,000000,29.039,29.039,29.039,29.039,0,0
IFI_PE,D,20080723,000000,27.931,29.039,27.931,27.931,0,0
IFI_PE,D,20080729,000000,26.753,26.753,26.613,26.68,0,0
IFI_PE,D,20080730,000000,26.613,28.415,26.613,28.415,0,0
IFI_PE,D,20080805,000000,27.861,27.861,12.752,12.752,0,0
IFI_PE,D,20080806,000000,13.446,13.446,12.959,12.959,0,0
IFI_PE,D,20080807,000000,13.792,13.792,13.792,13.792,0,0
IFI_PE,D,20080808,000000,13.168,13.238,12.267,13.238,0,0
IFI_PE,D,20080811,000000,13.653,13.653,13.653,13.653,0,0
IFI_PE,D,20080813,000000,13.446,14.137,13.446,14.068,0,0
IFI_PE,D,20080814,000000,14.83,14.83,12.128,13.653,0,0
IFI_PE,D,20080818,000000,13.93,13.93,13.93,13.93,0,0
IFI_PE,D,20080819,000000,12.267,13.653,12.267,13.653,0,0
IFI_PE,D,20080821,000000,12.406,13.099,12.406,13.099,0,0
IFI_PE,D,20080822,000000,13.03,13.03,12.267,12.545,0,0
IFI_PE,D,20080825,000000,13.653,13.653,13.653,13.653,0,0
IFI_PE,D,20080826,000000,13.722,13.862,13.722,13.792,0,0
IFI_PE,D,20080828,000000,13.168,13.722,11.991,13.722,0,0
IFI_PE,D,20080901,000000,13.446,13.446,12.197,12.335,0,0
IFI_PE,D,20080902,000000,12.335,12.545,12.128,12.545,0,0
IFI_PE,D,20080904,000000,12.474,12.545,12.474,12.474,0,0
IFI_PE,D,20080908,000000,12.406,12.474,12.406,12.474,0,0
IFI_PE,D,20080909,000000,12.474,12.545,12.474,12.474,0,0
IFI_PE,D,20080910,000000,12.406,12.474,12.406,12.474,0,0
IFI_PE,D,20080916,000000,12.267,12.267,9.3554,11.783,0,0
IFI_PE,D,20080917,000000,11.367,11.367,11.367,11.367,0,0
IFI_PE,D,20080918,000000,10.464,11.02,10.464,11.02,0,0
IFI_PE,D,20080919,000000,10.949,11.02,10.949,10.949,0,0
IFI_PE,D,20080922,000000,10.949,10.949,10.949,10.949,0,0
IFI_PE,D,20080924,000000,10.812,10.949,10.741,10.741,0,0
IFI_PE,D,20080925,000000,10.812,11.783,10.812,11.783,0,0
IFI_PE,D,20080926,000000,11.853,12.335,11.438,12.197,0,0
IFI_PE,D,20080929,000000,11.645,11.853,11.645,11.853,0,0
IFI_PE,D,20080930,000000,11.438,11.438,11.298,11.298,0,0
IFI_PE,D,20081001,000000,11.783,12.059,11.367,12.059,0,0
IFI_PE,D,20081002,000000,11.645,12.059,11.645,11.645,0,0
IFI_PE,D,20081003,000000,12.059,12.059,11.574,11.783,0,0
IFI_PE,D,20081006,000000,11.089,11.158,10.257,10.464,0,0
IFI_PE,D,20081007,000000,10.537,10.537,9.0789,10.049,0,0
IFI_PE,D,20081008,000000,9.494,10.049,9.1476,9.1476,0,0
IFI_PE,D,20081009,000000,9.2871,9.2871,9.2871,9.2871,0,0
IFI_PE,D,20081010,000000,9.1476,9.1476,8.1787,8.1787,0,0
IFI_PE,D,20081013,000000,8.317,9.3554,8.1787,9.3554,0,0
IFI_PE,D,20081014,000000,8.9418,9.494,8.8011,9.494,0,0
IFI_PE,D,20081015,000000,9.2871,10.049,9.2871,10.049,0,0
IFI_PE,D,20081016,000000,9.2871,9.2871,8.9418,9.2871,0,0
IFI_PE,D,20081017,000000,8.9418,8.9418,8.8011,8.871,0,0
IFI_PE,D,20081020,000000,8.6646,8.6646,8.6646,8.6646,0,0
IFI_PE,D,20081021,000000,8.4551,8.5934,8.4551,8.5934,0,0
IFI_PE,D,20081022,000000,8.1787,8.1787,7.7618,7.7618,0,0
IFI_PE,D,20081023,000000,7.3465,7.7618,7.2769,7.693,0,0
IFI_PE,D,20081024,000000,7.2079,7.2079,7.0691,7.1386,0,0
IFI_PE,D,20081027,000000,6.7919,8.5934,6.7919,8.5934,0,0
IFI_PE,D,20081028,000000,8.871,8.871,8.4551,8.7322,0,0
IFI_PE,D,20081029,000000,8.871,9.2871,8.8011,8.871,0,0
