<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMC_PE,D,20110504,000000,5.8019,5.8019,5.8019,5.8019,0,0
IMC_PE,D,20110505,000000,5.8019,5.8019,5.5153,5.6586,0,0
IMC_PE,D,20110506,000000,5.7302,5.7302,5.587,5.6586,0,0
IMC_PE,D,20110509,000000,5.6586,5.7302,5.6586,5.7302,0,0
IMC_PE,D,20110510,000000,5.7302,5.8019,5.6586,5.6586,0,0
IMC_PE,D,20110511,000000,5.5153,5.6586,5.5153,5.6586,0,0
IMC_PE,D,20110512,000000,5.587,5.7302,5.587,5.6586,0,0
IMC_PE,D,20110513,000000,5.6586,5.7302,5.587,5.6586,0,0
IMC_PE,D,20110516,000000,5.587,5.6586,5.587,5.6586,0,0
IMC_PE,D,20110517,000000,5.6586,5.6586,5.5153,5.587,0,0
IMC_PE,D,20110518,000000,5.587,5.6586,5.5153,5.6586,0,0
IMC_PE,D,20110519,000000,5.6586,5.6586,5.6586,5.6586,0,0
IMC_PE,D,20110520,000000,5.587,5.6586,5.587,5.6586,0,0
IMC_PE,D,20110523,000000,5.587,5.7302,5.587,5.6586,0,0
IMC_PE,D,20110524,000000,5.587,5.6586,5.587,5.6586,0,0
IMC_PE,D,20110525,000000,5.587,5.6586,5.587,5.6586,0,0
IMC_PE,D,20110526,000000,5.6586,5.7302,5.6586,5.7302,0,0
IMC_PE,D,20110527,000000,5.7302,6.0168,5.7302,6.0168,0,0
IMC_PE,D,20110530,000000,6.0168,6.0168,5.9451,6.0168,0,0
IMC_PE,D,20110531,000000,5.9451,6.0883,5.9451,6.0168,0,0
IMC_PE,D,20110601,000000,6.0168,6.0168,5.9451,6.0168,0,0
IMC_PE,D,20110602,000000,6.0168,6.0168,5.9451,5.9451,0,0
IMC_PE,D,20110603,000000,5.8734,5.9451,5.8734,5.9451,0,0
IMC_PE,D,20110606,000000,5.9451,5.9451,5.8734,5.9451,0,0
IMC_PE,D,20110607,000000,6.0168,6.0168,5.9451,5.9451,0,0
IMC_PE,D,20110608,000000,5.9451,5.9451,5.9451,5.9451,0,0
IMC_PE,D,20110609,000000,5.9451,5.9451,5.8019,5.8734,0,0
IMC_PE,D,20110610,000000,5.8019,5.8734,5.8019,5.8734,0,0
IMC_PE,D,20110613,000000,5.8734,5.8734,5.8019,5.8734,0,0
IMC_PE,D,20110614,000000,5.8734,5.8734,5.8734,5.8734,0,0
IMC_PE,D,20110615,000000,5.8019,5.8734,5.8019,5.8019,0,0
IMC_PE,D,20110616,000000,5.8019,5.8019,5.6586,5.6586,0,0
IMC_PE,D,20110617,000000,5.7302,5.7302,5.5153,5.7302,0,0
IMC_PE,D,20110620,000000,5.7302,5.8019,5.6586,5.8019,0,0
IMC_PE,D,20110621,000000,5.8019,5.8734,5.8019,5.8019,0,0
IMC_PE,D,20110622,000000,5.8019,5.8019,5.7302,5.8019,0,0
IMC_PE,D,20110624,000000,5.6586,5.8019,5.6586,5.6586,0,0
IMC_PE,D,20110627,000000,5.6586,5.6586,5.587,5.587,0,0
IMC_PE,D,20110628,000000,5.5153,5.6586,5.5153,5.6586,0,0
IMC_PE,D,20110629,000000,5.6586,5.7302,5.6586,5.7302,0,0
IMC_PE,D,20110630,000000,5.7302,5.7302,5.7302,5.7302,0,0
IMC_PE,D,20110701,000000,5.7302,5.7302,5.5153,5.7302,0,0
IMC_PE,D,20110704,000000,5.587,5.587,5.5153,5.587,0,0
IMC_PE,D,20110705,000000,5.6586,5.6586,5.3721,5.3721,0,0
IMC_PE,D,20110706,000000,5.3721,5.4437,5.2288,5.3004,0,0
IMC_PE,D,20110707,000000,5.4437,5.5153,5.3004,5.3721,0,0
IMC_PE,D,20110708,000000,5.3721,5.4437,5.3004,5.4437,0,0
IMC_PE,D,20110711,000000,5.4437,5.4437,5.4437,5.4437,0,0
IMC_PE,D,20110712,000000,5.3004,5.3004,5.2288,5.3004,0,0
IMC_PE,D,20110713,000000,5.3004,5.4437,5.3004,5.4437,0,0
IMC_PE,D,20110714,000000,5.3004,5.3721,5.3004,5.3721,0,0
IMC_PE,D,20110715,000000,5.3004,5.3721,5.3004,5.3004,0,0
IMC_PE,D,20110718,000000,5.3004,5.3004,5.2288,5.2288,0,0
IMC_PE,D,20110719,000000,5.2288,5.2288,5.0855,5.1571,0,0
IMC_PE,D,20110720,000000,5.1571,5.1571,5.1571,5.1571,0,0
IMC_PE,D,20110721,000000,5.0139,5.1571,5.0139,5.0855,0,0
IMC_PE,D,20110722,000000,5.2288,5.3721,5.1571,5.3721,0,0
IMC_PE,D,20110725,000000,5.4437,5.4437,5.3721,5.3721,0,0
IMC_PE,D,20110726,000000,5.3004,5.3721,5.3004,5.3721,0,0
IMC_PE,D,20110727,000000,5.3721,5.587,5.3721,5.587,0,0
IMC_PE,D,20110728,000000,5.3004,5.6586,5.3004,5.6586,0,0
IMC_PE,D,20110729,000000,5.587,5.6586,5.587,5.587,0,0
IMC_PE,D,20110801,000000,5.587,5.587,5.5153,5.5153,0,0
IMC_PE,D,20110802,000000,5.4437,5.5153,5.4437,5.4437,0,0
IMC_PE,D,20110803,000000,5.4437,5.4437,5.3721,5.3721,0,0
IMC_PE,D,20110804,000000,5.3004,5.3004,5.0139,5.0855,0,0
IMC_PE,D,20110805,000000,4.7273,5.0855,4.7273,4.7991,0,0
IMC_PE,D,20110808,000000,4.3692,4.6558,4.0828,4.3692,0,0
IMC_PE,D,20110809,000000,4.0828,4.2977,3.9396,4.2977,0,0
IMC_PE,D,20110810,000000,4.2977,4.5841,4.2261,4.2977,0,0
IMC_PE,D,20110811,000000,4.1543,4.1543,3.9396,4.1543,0,0
IMC_PE,D,20110812,000000,4.2977,4.3692,4.1543,4.3692,0,0
IMC_PE,D,20110816,000000,4.7991,4.7991,4.5126,4.7273,0,0
IMC_PE,D,20110817,000000,4.7273,4.7273,4.7273,4.7273,0,0
IMC_PE,D,20110818,000000,4.7273,4.7273,4.3692,4.6558,0,0
IMC_PE,D,20110819,000000,4.2261,4.6558,4.2261,4.6558,0,0
IMC_PE,D,20110822,000000,4.7273,4.8707,4.7273,4.8707,0,0
IMC_PE,D,20110823,000000,4.7991,4.8707,4.7991,4.8707,0,0
IMC_PE,D,20110824,000000,4.7991,5.1571,4.7991,5.0139,0,0
IMC_PE,D,20110825,000000,5.2288,5.2288,4.7273,5.0139,0,0
IMC_PE,D,20110826,000000,4.9422,5.0139,4.9422,4.9422,0,0
IMC_PE,D,20110829,000000,5.2288,5.2288,5.1571,5.1571,0,0
IMC_PE,D,20110830,000000,5.2288,5.2288,3.6531,3.6531,0,0
IMC_PE,D,20110831,000000,3.7247,3.7962,3.7247,3.7962,0,0
IMC_PE,D,20110901,000000,3.6531,3.7962,3.6531,3.7962,0,0
IMC_PE,D,20110905,000000,3.5813,3.7962,3.5813,3.6531,0,0
IMC_PE,D,20110906,000000,3.3665,3.5813,3.3665,3.5813,0,0
IMC_PE,D,20110907,000000,3.6531,3.6531,3.5813,3.5813,0,0
IMC_PE,D,20110908,000000,3.4382,3.4382,3.2949,3.2949,0,0
IMC_PE,D,20110909,000000,3.3665,3.3665,3.2233,3.2233,0,0
IMC_PE,D,20110912,000000,3.08,3.2233,3.0082,3.1516,0,0
IMC_PE,D,20110913,000000,3.1516,3.1516,2.9367,3.08,0,0
IMC_PE,D,20110914,000000,3.08,3.08,2.9367,3.08,0,0
IMC_PE,D,20110915,000000,3.08,3.3665,2.9367,3.2233,0,0
IMC_PE,D,20110916,000000,3.2233,3.2233,3.0082,3.0082,0,0
IMC_PE,D,20110919,000000,3.1516,3.1516,2.8651,3.0082,0,0
IMC_PE,D,20110920,000000,3.0082,3.0082,2.9367,3.0082,0,0
IMC_PE,D,20110921,000000,3.0082,3.0082,2.9367,3.0082,0,0
IMC_PE,D,20110922,000000,2.9367,2.9367,2.8651,2.9367,0,0
IMC_PE,D,20110923,000000,2.9367,2.9367,2.8651,2.9367,0,0
IMC_PE,D,20110926,000000,2.8651,2.9367,2.8651,2.9367,0,0
IMC_PE,D,20110927,000000,3.0082,3.08,2.9367,2.9367,0,0
IMC_PE,D,20110928,000000,3.08,3.08,3.0082,3.08,0,0
IMC_PE,D,20110929,000000,3.08,3.3665,3.08,3.2233,0,0
IMC_PE,D,20110930,000000,3.1516,3.4382,3.1516,3.4382,0,0
IMC_PE,D,20111003,000000,3.4382,3.5098,3.3665,3.5098,0,0
IMC_PE,D,20111004,000000,3.2233,3.4382,3.2233,3.4382,0,0
IMC_PE,D,20111005,000000,3.3665,3.5098,3.3665,3.5098,0,0
IMC_PE,D,20111006,000000,3.5098,3.5098,3.2949,3.3665,0,0
IMC_PE,D,20111007,000000,3.5098,3.5098,3.3665,3.3665,0,0
IMC_PE,D,20111010,000000,3.3665,3.5098,3.2949,3.5098,0,0
IMC_PE,D,20111011,000000,3.3665,3.6531,3.3665,3.6531,0,0
IMC_PE,D,20111012,000000,3.6531,3.6531,3.4382,3.4382,0,0
IMC_PE,D,20111013,000000,3.5813,3.5813,3.3665,3.5813,0,0
IMC_PE,D,20111014,000000,3.5813,3.6531,3.3665,3.6531,0,0
IMC_PE,D,20111017,000000,3.7247,3.7247,3.4382,3.7247,0,0
IMC_PE,D,20111018,000000,3.6531,3.6531,3.5813,3.6531,0,0
IMC_PE,D,20111019,000000,3.5813,3.7247,3.5813,3.7247,0,0
IMC_PE,D,20111020,000000,3.7247,3.7247,3.4382,3.6531,0,0
IMC_PE,D,20111021,000000,3.7247,3.7962,3.7247,3.7962,0,0
IMC_PE,D,20111024,000000,3.7962,3.7962,3.5813,3.5813,0,0
IMC_PE,D,20111025,000000,3.5813,3.5813,3.5098,3.5813,0,0
IMC_PE,D,20111026,000000,3.5098,3.5813,3.5098,3.5098,0,0
IMC_PE,D,20111027,000000,3.6531,3.6531,3.3665,3.3665,0,0
IMC_PE,D,20111028,000000,3.3665,3.3665,3.2949,3.2949,0,0
IMC_PE,D,20111031,000000,3.2233,3.3665,3.2233,3.2949,0,0
IMC_PE,D,20111102,000000,3.2949,3.2949,3.2233,3.2233,0,0
IMC_PE,D,20111103,000000,3.1516,3.2233,3.1516,3.1516,0,0
IMC_PE,D,20111104,000000,3.08,3.08,3.08,3.08,0,0
IMC_PE,D,20111107,000000,3.0082,3.0082,3.0082,3.0082,0,0
IMC_PE,D,20111108,000000,3.2233,3.2949,3.0082,3.08,0,0
IMC_PE,D,20111109,000000,2.9367,3.08,2.9367,3.08,0,0
IMC_PE,D,20111110,000000,3.08,3.08,3.08,3.08,0,0
IMC_PE,D,20111114,000000,3.08,3.1516,3.08,3.1516,0,0
IMC_PE,D,20111115,000000,3.0082,3.08,2.9367,3.0082,0,0
IMC_PE,D,20111116,000000,2.9367,3.0082,2.9367,2.9367,0,0
IMC_PE,D,20111117,000000,3.0082,3.0082,2.3637,2.3637,0,0
IMC_PE,D,20111118,000000,2.2921,2.3637,2.2921,2.2921,0,0
IMC_PE,D,20111121,000000,2.2204,2.2921,2.1488,2.2921,0,0
IMC_PE,D,20111122,000000,2.2204,2.4353,2.2204,2.4353,0,0
IMC_PE,D,20111123,000000,2.4353,2.4353,2.2204,2.3637,0,0
IMC_PE,D,20111124,000000,2.2204,2.2921,2.2204,2.2921,0,0
IMC_PE,D,20111125,000000,2.2921,2.4353,2.2204,2.4353,0,0
IMC_PE,D,20111128,000000,2.3637,2.4353,2.2921,2.4353,0,0
IMC_PE,D,20111129,000000,2.2921,2.4353,2.2921,2.4353,0,0
IMC_PE,D,20111130,000000,2.4353,2.5786,2.3637,2.507,0,0
IMC_PE,D,20111201,000000,2.507,2.5786,2.3637,2.5786,0,0
IMC_PE,D,20111202,000000,2.5786,2.6502,2.507,2.6502,0,0
IMC_PE,D,20111205,000000,2.7218,2.7218,2.507,2.5786,0,0
IMC_PE,D,20111206,000000,2.5786,2.5786,2.507,2.507,0,0
IMC_PE,D,20111207,000000,2.4353,2.507,2.4353,2.507,0,0
IMC_PE,D,20111208,000000,2.5786,2.5786,2.4353,2.4353,0,0
IMC_PE,D,20111209,000000,2.5786,2.5786,2.3637,2.4353,0,0
IMC_PE,D,20111213,000000,2.2921,2.4353,2.2921,2.2921,0,0
IMC_PE,D,20111214,000000,2.2921,2.2921,2.2204,2.2921,0,0
IMC_PE,D,20111215,000000,2.2921,2.3637,2.2921,2.3637,0,0
IMC_PE,D,20111216,000000,2.2921,2.3637,2.2921,2.3637,0,0
IMC_PE,D,20111219,000000,2.2921,2.3637,2.2921,2.3637,0,0
IMC_PE,D,20111220,000000,2.4353,2.4353,2.3637,2.3637,0,0
IMC_PE,D,20111221,000000,2.2921,2.3637,2.2921,2.3637,0,0
IMC_PE,D,20111222,000000,2.2921,2.3637,2.2921,2.3637,0,0
IMC_PE,D,20111223,000000,2.3637,2.3637,2.3637,2.3637,0,0
IMC_PE,D,20111227,000000,2.4353,2.4353,2.2921,2.3637,0,0
IMC_PE,D,20111228,000000,2.3637,2.507,2.3637,2.4353,0,0
IMC_PE,D,20111229,000000,2.507,2.507,2.507,2.507,0,0
IMC_PE,D,20111230,000000,2.507,2.7218,2.4353,2.4353,0,0
IMC_PE,D,20120102,000000,2.4353,2.507,2.4353,2.507,0,0
IMC_PE,D,20120103,000000,2.507,2.5786,2.507,2.5786,0,0
IMC_PE,D,20120104,000000,2.6502,2.6502,2.4353,2.507,0,0
IMC_PE,D,20120105,000000,2.5786,2.5786,2.4353,2.507,0,0
IMC_PE,D,20120109,000000,2.507,2.5786,2.4353,2.5786,0,0
IMC_PE,D,20120110,000000,2.5786,2.6502,2.5786,2.5786,0,0
IMC_PE,D,20120111,000000,2.5786,2.5786,2.5786,2.5786,0,0
IMC_PE,D,20120112,000000,2.5786,2.6502,2.5786,2.6502,0,0
IMC_PE,D,20120113,000000,2.6502,2.6502,2.507,2.507,0,0
IMC_PE,D,20120116,000000,2.5786,2.5786,2.5786,2.5786,0,0
IMC_PE,D,20120117,000000,2.5786,2.5786,2.507,2.5786,0,0
IMC_PE,D,20120118,000000,2.507,2.5786,2.507,2.5786,0,0
IMC_PE,D,20120119,000000,2.507,2.5786,2.507,2.5786,0,0
IMC_PE,D,20120120,000000,2.6502,2.7218,2.5786,2.5786,0,0
IMC_PE,D,20120123,000000,2.5786,2.6502,2.5786,2.6502,0,0
IMC_PE,D,20120124,000000,2.5786,2.6502,2.5786,2.6502,0,0
IMC_PE,D,20120125,000000,2.5786,2.6502,2.5786,2.5786,0,0
IMC_PE,D,20120126,000000,2.5786,2.6502,2.5786,2.6502,0,0
IMC_PE,D,20120127,000000,2.7934,2.7934,2.6502,2.7218,0,0
IMC_PE,D,20120130,000000,2.7218,2.8651,2.7218,2.8651,0,0
IMC_PE,D,20120131,000000,2.8651,3.0082,2.8651,2.8651,0,0
IMC_PE,D,20120201,000000,2.7934,2.9367,2.7934,2.9367,0,0
IMC_PE,D,20120202,000000,2.9367,2.9367,2.7934,2.8651,0,0
IMC_PE,D,20120203,000000,2.8651,2.9367,2.8651,2.9367,0,0
IMC_PE,D,20120206,000000,2.8651,2.9367,2.8651,2.8651,0,0
IMC_PE,D,20120207,000000,2.8651,2.8651,2.7934,2.8651,0,0
IMC_PE,D,20120208,000000,2.8651,3.0082,2.8651,3.0082,0,0
IMC_PE,D,20120209,000000,3.0082,3.08,3.0082,3.0082,0,0
IMC_PE,D,20120210,000000,3.0082,3.08,2.9367,3.08,0,0
IMC_PE,D,20120213,000000,3.08,3.1516,3.08,3.08,0,0
IMC_PE,D,20120214,000000,3.08,3.08,3.08,3.08,0,0
IMC_PE,D,20120215,000000,3.08,3.1516,3.08,3.08,0,0
IMC_PE,D,20120216,000000,3.08,3.1516,3.0082,3.1516,0,0
IMC_PE,D,20120217,000000,3.1516,3.1516,3.08,3.1516,0,0
IMC_PE,D,20120220,000000,3.2949,3.2949,3.1516,3.1516,0,0
IMC_PE,D,20120221,000000,3.2233,3.2233,3.08,3.1516,0,0
IMC_PE,D,20120222,000000,3.1516,3.2233,3.08,3.2233,0,0
IMC_PE,D,20120223,000000,3.2233,3.2949,3.2233,3.2233,0,0
IMC_PE,D,20120224,000000,3.08,3.2949,3.08,3.2949,0,0
IMC_PE,D,20120227,000000,3.2949,3.2949,3.2233,3.2233,0,0
IMC_PE,D,20120228,000000,3.2233,3.2949,3.2233,3.2949,0,0
IMC_PE,D,20120229,000000,3.2949,3.2949,3.2233,3.2949,0,0
IMC_PE,D,20120301,000000,3.2233,3.2949,3.2233,3.2949,0,0
IMC_PE,D,20120302,000000,3.2233,3.2949,3.2233,3.2949,0,0
IMC_PE,D,20120305,000000,3.1516,3.2949,3.1516,3.2949,0,0
IMC_PE,D,20120306,000000,3.1516,3.2949,3.08,3.2949,0,0
IMC_PE,D,20120307,000000,3.1516,3.2949,3.1516,3.2949,0,0
IMC_PE,D,20120308,000000,3.2949,3.2949,3.2949,3.2949,0,0
IMC_PE,D,20120309,000000,3.2949,3.2949,3.2949,3.2949,0,0
IMC_PE,D,20120312,000000,3.2949,3.2949,3.2949,3.2949,0,0
IMC_PE,D,20120313,000000,3.2949,3.3665,3.2949,3.3665,0,0
IMC_PE,D,20120314,000000,3.3665,3.5813,3.3665,3.5098,0,0
IMC_PE,D,20120315,000000,3.5098,3.7247,3.5098,3.7247,0,0
IMC_PE,D,20120316,000000,3.7247,3.9396,3.7247,3.8679,0,0
IMC_PE,D,20120319,000000,3.8679,4.2261,3.7962,4.0828,0,0
IMC_PE,D,20120320,000000,4.0828,4.0828,3.9396,3.9396,0,0
IMC_PE,D,20120321,000000,3.9396,4.0112,3.6531,3.6531,0,0
IMC_PE,D,20120322,000000,3.6531,3.7962,3.6531,3.7247,0,0
IMC_PE,D,20120323,000000,3.5813,3.9396,3.5813,3.7247,0,0
IMC_PE,D,20120326,000000,3.7247,3.8679,3.7247,3.8679,0,0
IMC_PE,D,20120327,000000,3.8679,3.8679,3.7247,3.8679,0,0
IMC_PE,D,20120328,000000,3.7247,3.8679,3.7247,3.7962,0,0
IMC_PE,D,20120329,000000,3.8679,3.8679,3.7247,3.7247,0,0
IMC_PE,D,20120330,000000,3.7962,3.7962,3.7247,3.7962,0,0
IMC_PE,D,20120402,000000,3.7247,3.7962,3.7247,3.7962,0,0
IMC_PE,D,20120403,000000,3.7247,3.7962,3.7247,3.7962,0,0
IMC_PE,D,20120404,000000,3.7247,3.7962,3.7247,3.7962,0,0
IMC_PE,D,20120405,000000,3.7247,3.7962,3.7247,3.7962,0,0
IMC_PE,D,20120410,000000,3.7962,3.7962,3.7962,3.7962,0,0
IMC_PE,D,20120411,000000,3.7962,3.8679,3.7962,3.8679,0,0
IMC_PE,D,20120412,000000,3.8679,3.9396,3.8679,3.8679,0,0
IMC_PE,D,20120413,000000,3.8679,4.0828,3.8679,4.0828,0,0
IMC_PE,D,20120416,000000,4.0828,4.0828,3.9396,4.0112,0,0
IMC_PE,D,20120417,000000,4.0112,4.0112,3.8679,4.0112,0,0
IMC_PE,D,20120418,000000,3.7962,3.9396,3.7962,3.9396,0,0
IMC_PE,D,20120419,000000,3.8679,4.0112,3.8679,4.0112,0,0
