<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INC_PE,D,20071120,000000,61.2,61.2,61.2,61.2,0,0
INC_PE,D,20071121,000000,62.8,62.8,53.1,58.9,0,0
INC_PE,D,20071122,000000,55.9,64.1,54.4,61.9,0,0
INC_PE,D,20071123,000000,62.9,63.3,61.9,62.8,0,0
INC_PE,D,20071126,000000,63.7,65.6,60.4,61.4,0,0
INC_PE,D,20071127,000000,57.1,60.1,57.1,59.3,0,0
INC_PE,D,20071128,000000,59.3,61.9,58.9,61.2,0,0
INC_PE,D,20071129,000000,62,64.5,62,64.2,0,0
INC_PE,D,20071130,000000,65.5,70.1,65.5,69.8,0,0
INC_PE,D,20071203,000000,70.6,70.6,66.4,68.2,0,0
INC_PE,D,20071204,000000,66.1,68.3,62.5,65,0,0
INC_PE,D,20071205,000000,66.5,70.1,66.5,67.3,0,0
INC_PE,D,20071206,000000,68.7,69,64.3,66.6,0,0
INC_PE,D,20071207,000000,66.6,66.6,62.7,65.3,0,0
INC_PE,D,20071210,000000,65.7,65.7,60.6,63,0,0
INC_PE,D,20071211,000000,61.9,61.9,60.1,61,0,0
INC_PE,D,20071212,000000,58.6,60.9,58.6,59.6,0,0
INC_PE,D,20071213,000000,59.7,60.5,58,58.2,0,0
INC_PE,D,20071214,000000,58.4,59,56,56.3,0,0
INC_PE,D,20071217,000000,56.2,56.2,50.7,51.5,0,0
INC_PE,D,20071218,000000,50.1,55.1,49,50.7,0,0
INC_PE,D,20071219,000000,51.8,51.8,49,49.6,0,0
INC_PE,D,20071220,000000,49.2,50.3,46.7,46.7,0,0
INC_PE,D,20071221,000000,47,48.1,43.5,45,0,0
INC_PE,D,20071227,000000,45.6,52,45.6,51.5,0,0
INC_PE,D,20071228,000000,51.3,55.2,49.9,54.5,0,0
INC_PE,D,20080102,000000,56.6,66.5,56.6,65.2,0,0
INC_PE,D,20080103,000000,64.9,64.9,61.2,63.3,0,0
INC_PE,D,20080104,000000,63.9,64.5,59.7,61.5,0,0
INC_PE,D,20080107,000000,59.1,66.3,59.1,66.3,0,0
INC_PE,D,20080108,000000,69.6,75.8,69.6,73.1,0,0
INC_PE,D,20080109,000000,70.5,70.5,65,66,0,0
INC_PE,D,20080110,000000,66.4,67.1,59.9,63,0,0
INC_PE,D,20080111,000000,62,65.2,62,62.7,0,0
INC_PE,D,20080114,000000,64.8,64.8,64.8,64.8,0,0
INC_PE,D,20080115,000000,61.9,64.2,54.1,54.1,0,0
INC_PE,D,20080116,000000,48.5,56.7,45.7,56.7,0,0
INC_PE,D,20080117,000000,56.7,59.7,52.8,59.2,0,0
INC_PE,D,20080118,000000,57.4,61.1,56.1,61,0,0
INC_PE,D,20080121,000000,55.6,59.7,55.6,59.7,0,0
INC_PE,D,20080122,000000,53.7,58.5,53.7,57.4,0,0
INC_PE,D,20080123,000000,60.4,60.4,53.7,57.8,0,0
INC_PE,D,20080124,000000,60.4,60.4,58.9,59.5,0,0
INC_PE,D,20080125,000000,61.1,61.1,55.3,55.8,0,0
INC_PE,D,20080128,000000,53.3,54.7,52.9,53,0,0
INC_PE,D,20080129,000000,55.5,55.5,53.1,54.6,0,0
INC_PE,D,20080130,000000,53.7,55,53.7,54.3,0,0
INC_PE,D,20080131,000000,55,55,53.2,53.2,0,0
INC_PE,D,20080201,000000,55.1,55.1,52.2,53.7,0,0
INC_PE,D,20080204,000000,55.3,56.8,54.6,54.9,0,0
INC_PE,D,20080205,000000,54.8,54.9,53,53.8,0,0
INC_PE,D,20080206,000000,52.3,54.5,51.9,54.5,0,0
INC_PE,D,20080207,000000,55.6,55.6,53.1,54.5,0,0
INC_PE,D,20080208,000000,55.9,55.9,53.5,54.4,0,0
INC_PE,D,20080211,000000,54.3,58.8,54.3,57.7,0,0
INC_PE,D,20080212,000000,58.9,58.9,56.2,57.8,0,0
INC_PE,D,20080213,000000,56.7,57.4,55.4,56.7,0,0
INC_PE,D,20080214,000000,58.1,58.1,56.8,56.8,0,0
INC_PE,D,20080215,000000,56.8,59,56.8,58.6,0,0
INC_PE,D,20080218,000000,61.6,71.6,61.6,71.2,0,0
INC_PE,D,20080219,000000,74.2,74.9,71.6,71.6,0,0
INC_PE,D,20080220,000000,71.6,71.6,68.3,70.1,0,0
INC_PE,D,20080221,000000,70.5,74.6,66.7,72.4,0,0
INC_PE,D,20080222,000000,65.7,72.2,65.7,67.9,0,0
INC_PE,D,20080225,000000,67.9,69.1,64.9,64.9,0,0
INC_PE,D,20080226,000000,67.6,68.7,65.7,67,0,0
INC_PE,D,20080227,000000,67.9,70.9,67.9,70,0,0
INC_PE,D,20080228,000000,70.3,71.3,69.4,71.3,0,0
INC_PE,D,20080229,000000,71.3,71.3,68.1,68.3,0,0
INC_PE,D,20080303,000000,66.6,66.9,13.5,13.5,0,0
INC_PE,D,20080304,000000,12.8,13.5,12.8,13.2,0,0
INC_PE,D,20080305,000000,13.5,13.5,12.7,13.3,0,0
INC_PE,D,20080306,000000,13.2,13.2,12.7,13.2,0,0
INC_PE,D,20080307,000000,12.5,13,12.5,12.8,0,0
INC_PE,D,20080310,000000,12.4,12.9,12.3,12.6,0,0
INC_PE,D,20080311,000000,12.6,12.6,11.8,12.1,0,0
INC_PE,D,20080312,000000,11.9,12.3,11.5,11.8,0,0
INC_PE,D,20080313,000000,11.8,11.9,11.2,11.7,0,0
INC_PE,D,20080314,000000,12,12.2,11.8,12.2,0,0
INC_PE,D,20080317,000000,12.3,12.3,12,12.1,0,0
INC_PE,D,20080318,000000,12.4,12.4,11.9,12.1,0,0
INC_PE,D,20080319,000000,12.2,12.2,11.9,12.2,0,0
INC_PE,D,20080320,000000,12.2,12.2,12,12.1,0,0
INC_PE,D,20080325,000000,11.9,12,11.9,11.9,0,0
INC_PE,D,20080326,000000,11.9,11.9,11.6,11.9,0,0
INC_PE,D,20080327,000000,11.9,11.9,11.4,11.8,0,0
INC_PE,D,20080328,000000,11.8,11.9,11.6,11.8,0,0
INC_PE,D,20080331,000000,11.3,11.3,11.3,11.3,0,0
INC_PE,D,20080401,000000,11.7,11.7,10.7,10.7,0,0
INC_PE,D,20080402,000000,10.8,10.8,10.2,10.3,0,0
INC_PE,D,20080403,000000,10.4,10.4,9.4,9.5,0,0
INC_PE,D,20080404,000000,9.7,10,9.6,10,0,0
INC_PE,D,20080407,000000,10.5,11.6,10,11.1,0,0
INC_PE,D,20080408,000000,6.7,7.6,6.6,6.9,0,0
INC_PE,D,20080409,000000,6.9,6.9,6.3,6.3,0,0
INC_PE,D,20080410,000000,6.3,6.3,5.9,5.9,0,0
INC_PE,D,20080411,000000,5.9,5.9,5.5,5.6,0,0
INC_PE,D,20080414,000000,5.4,5.7,5.2,5.7,0,0
INC_PE,D,20080415,000000,5.7,6,5.4,5.5,0,0
INC_PE,D,20080416,000000,5.3,5.6,5.3,5.5,0,0
INC_PE,D,20080417,000000,5.6,5.6,5.4,5.5,0,0
INC_PE,D,20080418,000000,5.5,5.6,5.4,5.6,0,0
INC_PE,D,20080421,000000,5.6,5.6,5.4,5.5,0,0
INC_PE,D,20080422,000000,5.4,5.4,4.9,5.3,0,0
INC_PE,D,20080423,000000,5.1,5.2,4.8,5,0,0
INC_PE,D,20080424,000000,5,5.1,4.9,5.1,0,0
INC_PE,D,20080425,000000,5.2,5.2,4.9,5.1,0,0
