<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ING_PE,D,20070813,000000,14.52,14.52,14.52,14.52,0,0
ING_PE,D,20070814,000000,14.942,14.942,14.942,14.942,0,0
ING_PE,D,20070816,000000,14.52,14.52,14.52,14.52,0,0
ING_PE,D,20070817,000000,15.443,15.443,15.443,15.443,0,0
ING_PE,D,20070820,000000,15.786,15.786,15.786,15.786,0,0
ING_PE,D,20070821,000000,15.786,15.786,15.786,15.786,0,0
ING_PE,D,20070822,000000,16.796,16.796,16.796,16.796,0,0
ING_PE,D,20070823,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20070824,000000,17.047,17.047,17.047,17.047,0,0
ING_PE,D,20070827,000000,17.047,17.047,17.047,17.047,0,0
ING_PE,D,20070828,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20070829,000000,16.545,16.545,16.545,16.545,0,0
ING_PE,D,20070830,000000,16.622,16.622,16.622,16.622,0,0
ING_PE,D,20070831,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20070903,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20070904,000000,16.883,16.883,16.883,16.883,0,0
ING_PE,D,20070905,000000,16.883,16.883,16.883,16.883,0,0
ING_PE,D,20070906,000000,16.883,16.883,16.883,16.883,0,0
ING_PE,D,20070907,000000,16.883,16.883,16.883,16.883,0,0
ING_PE,D,20070910,000000,16.711,16.711,16.711,16.711,0,0
ING_PE,D,20070911,000000,16.622,16.622,16.622,16.622,0,0
ING_PE,D,20070912,000000,16.2,16.2,16.2,16.2,0,0
ING_PE,D,20070913,000000,15.863,15.863,15.863,15.863,0,0
ING_PE,D,20070914,000000,15.863,15.863,15.863,15.863,0,0
ING_PE,D,20070917,000000,16.287,16.287,16.287,16.287,0,0
ING_PE,D,20070918,000000,16.372,16.372,16.372,16.372,0,0
ING_PE,D,20070919,000000,16.622,16.622,16.622,16.622,0,0
ING_PE,D,20070920,000000,16.883,16.883,16.883,16.883,0,0
ING_PE,D,20070921,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20070924,000000,16.883,16.883,16.883,16.883,0,0
ING_PE,D,20070925,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20070926,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20070927,000000,16.796,16.796,16.796,16.796,0,0
ING_PE,D,20070928,000000,16.796,16.796,16.796,16.796,0,0
ING_PE,D,20071001,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20071002,000000,16.967,16.967,16.967,16.967,0,0
ING_PE,D,20071003,000000,16.711,16.711,16.711,16.711,0,0
ING_PE,D,20071004,000000,16.46,16.46,16.46,16.46,0,0
ING_PE,D,20071005,000000,16.037,16.037,16.037,16.037,0,0
ING_PE,D,20071008,000000,16.123,16.123,16.123,16.123,0,0
ING_PE,D,20071009,000000,16.287,16.287,16.287,16.287,0,0
ING_PE,D,20071010,000000,16.372,16.372,16.372,16.372,0,0
ING_PE,D,20071011,000000,16.545,16.545,16.545,16.545,0,0
ING_PE,D,20071012,000000,16.46,16.46,16.46,16.46,0,0
ING_PE,D,20071015,000000,16.46,16.46,16.46,16.46,0,0
ING_PE,D,20071016,000000,16.545,16.545,16.545,16.545,0,0
ING_PE,D,20071017,000000,16.622,16.622,16.622,16.622,0,0
ING_PE,D,20071018,000000,16.46,16.46,16.46,16.46,0,0
ING_PE,D,20071019,000000,16.622,16.622,16.622,16.622,0,0
ING_PE,D,20071022,000000,16.123,16.123,16.123,16.123,0,0
ING_PE,D,20071023,000000,16.46,16.46,16.46,16.46,0,0
ING_PE,D,20071024,000000,16.372,16.372,16.372,16.372,0,0
ING_PE,D,20071025,000000,16.46,16.46,16.46,16.46,0,0
ING_PE,D,20071026,000000,16.372,16.372,16.372,16.372,0,0
ING_PE,D,20071029,000000,16.46,16.46,16.46,16.46,0,0
ING_PE,D,20071030,000000,16.287,16.287,16.287,16.287,0,0
ING_PE,D,20071031,000000,16.372,16.372,16.372,16.372,0,0
ING_PE,D,20071102,000000,15.951,15.951,15.951,15.951,0,0
ING_PE,D,20071105,000000,15.701,15.701,15.701,15.701,0,0
ING_PE,D,20071106,000000,15.951,15.951,15.951,15.951,0,0
ING_PE,D,20071107,000000,15.951,15.951,15.951,15.951,0,0
ING_PE,D,20071108,000000,15.951,15.951,15.951,15.951,0,0
ING_PE,D,20071109,000000,15.443,15.786,15.364,15.443,0,0
ING_PE,D,20071112,000000,15.279,15.443,14.769,15.443,0,0
ING_PE,D,20071113,000000,15.279,15.443,15.191,15.191,0,0
ING_PE,D,20071114,000000,15.279,15.279,15.107,15.191,0,0
ING_PE,D,20071115,000000,15.191,15.279,14.52,14.942,0,0
ING_PE,D,20071116,000000,15.191,15.191,14.261,14.942,0,0
ING_PE,D,20071119,000000,15.364,15.364,14.597,14.769,0,0
ING_PE,D,20071120,000000,14.097,14.097,14.097,14.097,0,0
ING_PE,D,20071121,000000,14.183,14.347,13.503,13.588,0,0
ING_PE,D,20071122,000000,13.761,14.434,13.415,14.434,0,0
ING_PE,D,20071123,000000,14.434,14.769,14.347,14.769,0,0
ING_PE,D,20071126,000000,14.434,14.684,14.434,14.684,0,0
ING_PE,D,20071127,000000,14.434,14.434,14.261,14.434,0,0
ING_PE,D,20071128,000000,14.52,14.769,13.839,13.839,0,0
ING_PE,D,20071129,000000,13.839,14.183,13.839,13.839,0,0
