<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INK_PE,D,20070813,000000,35.744,35.744,35.744,35.744,0,0
INK_PE,D,20070814,000000,35.185,35.185,35.185,35.185,0,0
INK_PE,D,20070816,000000,30.814,30.814,30.814,30.814,0,0
INK_PE,D,20070817,000000,28.988,28.988,28.988,28.988,0,0
INK_PE,D,20070820,000000,27.637,27.637,27.637,27.637,0,0
INK_PE,D,20070821,000000,26.53,26.53,26.53,26.53,0,0
INK_PE,D,20070822,000000,28.357,28.357,28.357,28.357,0,0
INK_PE,D,20070823,000000,29.464,29.464,29.464,29.464,0,0
INK_PE,D,20070824,000000,32.722,32.722,32.722,32.722,0,0
INK_PE,D,20070827,000000,34.071,34.071,34.071,34.071,0,0
INK_PE,D,20070828,000000,32.648,32.648,32.648,32.648,0,0
INK_PE,D,20070829,000000,31.928,31.928,31.928,31.928,0,0
INK_PE,D,20070830,000000,33.198,33.198,33.198,33.198,0,0
INK_PE,D,20070831,000000,34.15,34.15,34.15,34.15,0,0
INK_PE,D,20070903,000000,32.722,32.722,32.722,32.722,0,0
INK_PE,D,20070904,000000,33.125,33.125,33.125,33.125,0,0
INK_PE,D,20070905,000000,32.567,32.567,32.567,32.567,0,0
INK_PE,D,20070906,000000,31.614,31.614,31.614,31.614,0,0
INK_PE,D,20070907,000000,31.291,31.291,31.291,31.291,0,0
INK_PE,D,20070910,000000,29.464,29.464,29.464,29.464,0,0
INK_PE,D,20070911,000000,30.579,30.579,30.579,30.579,0,0
INK_PE,D,20070912,000000,30.814,30.814,30.814,30.814,0,0
INK_PE,D,20070913,000000,30.895,30.895,30.895,30.895,0,0
INK_PE,D,20070914,000000,31.056,31.056,31.056,31.056,0,0
INK_PE,D,20070917,000000,31.218,31.218,31.218,31.218,0,0
INK_PE,D,20070918,000000,32.567,32.567,32.567,32.567,0,0
INK_PE,D,20070919,000000,33.279,33.279,33.279,33.279,0,0
INK_PE,D,20070920,000000,33.044,33.044,33.044,33.044,0,0
INK_PE,D,20070921,000000,33.198,33.198,33.198,33.198,0,0
INK_PE,D,20070924,000000,32.172,32.172,32.172,32.172,0,0
INK_PE,D,20070925,000000,31.928,31.928,31.928,31.928,0,0
INK_PE,D,20070926,000000,31.453,31.453,31.453,31.453,0,0
INK_PE,D,20070927,000000,31.848,31.848,31.848,31.848,0,0
INK_PE,D,20070928,000000,30.66,30.66,30.66,30.66,0,0
INK_PE,D,20071001,000000,29.789,29.789,29.789,29.789,0,0
INK_PE,D,20071002,000000,30.579,30.579,30.579,30.579,0,0
INK_PE,D,20071003,000000,30.975,30.975,30.975,30.975,0,0
