<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRL_PE,D,20121218,000000,2.2769,2.2769,2.2769,2.2769,0,0
IRL_PE,D,20121219,000000,2.3098,2.3429,2.2769,2.3098,0,0
IRL_PE,D,20121220,000000,2.3429,2.3429,2.2769,2.2769,0,0
IRL_PE,D,20121221,000000,2.2769,2.3098,2.2769,2.3098,0,0
IRL_PE,D,20121227,000000,2.3098,2.3429,2.3098,2.3429,0,0
IRL_PE,D,20121228,000000,2.3429,2.3429,2.3429,2.3429,0,0
IRL_PE,D,20130102,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130103,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130104,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130107,000000,2.3759,2.3759,2.3098,2.3098,0,0
IRL_PE,D,20130108,000000,2.3098,2.3429,2.3098,2.3098,0,0
IRL_PE,D,20130109,000000,2.3098,2.3429,2.3098,2.3098,0,0
IRL_PE,D,20130110,000000,2.3098,2.3098,2.3098,2.3098,0,0
IRL_PE,D,20130111,000000,2.3098,2.3429,2.3098,2.3429,0,0
IRL_PE,D,20130114,000000,2.3429,2.3759,2.3429,2.3759,0,0
IRL_PE,D,20130115,000000,2.3759,2.3759,2.3429,2.3429,0,0
IRL_PE,D,20130117,000000,2.3429,2.3759,2.3429,2.3759,0,0
IRL_PE,D,20130118,000000,2.3759,2.4088,2.3759,2.3759,0,0
IRL_PE,D,20130121,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130122,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130123,000000,2.3098,2.3098,2.2438,2.2438,0,0
IRL_PE,D,20130124,000000,2.2769,2.2769,2.2438,2.2438,0,0
IRL_PE,D,20130125,000000,2.2438,2.2438,2.2438,2.2438,0,0
IRL_PE,D,20130128,000000,2.2769,2.2769,2.2438,2.2769,0,0
IRL_PE,D,20130129,000000,2.2769,2.2769,2.2769,2.2769,0,0
IRL_PE,D,20130130,000000,2.2769,2.2769,2.2769,2.2769,0,0
IRL_PE,D,20130131,000000,2.2769,2.2769,2.2769,2.2769,0,0
IRL_PE,D,20130201,000000,2.2769,2.3098,2.2769,2.3098,0,0
IRL_PE,D,20130204,000000,2.3429,2.3759,2.3098,2.3429,0,0
IRL_PE,D,20130205,000000,2.3429,2.3429,2.3098,2.3429,0,0
IRL_PE,D,20130206,000000,2.3429,2.3759,2.3429,2.3759,0,0
IRL_PE,D,20130207,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130208,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130211,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130212,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130213,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130214,000000,2.3759,2.3759,2.3429,2.3429,0,0
IRL_PE,D,20130215,000000,2.3429,2.3759,2.3429,2.3759,0,0
IRL_PE,D,20130218,000000,2.3759,2.3759,2.3429,2.3429,0,0
IRL_PE,D,20130219,000000,2.3429,2.3759,2.3429,2.3759,0,0
IRL_PE,D,20130220,000000,2.3759,2.3759,2.3429,2.3429,0,0
IRL_PE,D,20130221,000000,2.3429,2.3429,2.3098,2.3429,0,0
IRL_PE,D,20130222,000000,2.3759,2.3759,2.3429,2.3429,0,0
IRL_PE,D,20130225,000000,2.3429,2.3759,2.3429,2.3759,0,0
IRL_PE,D,20130226,000000,2.3759,2.3759,2.3759,2.3759,0,0
IRL_PE,D,20130227,000000,2.3759,2.4088,2.3759,2.3759,0,0
IRL_PE,D,20130228,000000,2.4742,2.5403,2.4742,2.5403,0,0
IRL_PE,D,20130301,000000,2.5079,2.5409,2.5079,2.5409,0,0
IRL_PE,D,20130304,000000,2.5409,2.5409,2.5409,2.5409,0,0
IRL_PE,D,20130305,000000,2.5409,2.5409,2.5409,2.5409,0,0
IRL_PE,D,20130306,000000,2.5409,2.5409,2.5409,2.5409,0,0
IRL_PE,D,20130307,000000,2.5409,2.5738,2.5409,2.5409,0,0
IRL_PE,D,20130308,000000,2.5409,2.5738,2.5409,2.5738,0,0
IRL_PE,D,20130311,000000,2.6069,2.6069,2.5738,2.5738,0,0
IRL_PE,D,20130312,000000,2.5738,2.5738,2.5738,2.5738,0,0
IRL_PE,D,20130313,000000,2.5738,2.5738,2.5738,2.5738,0,0
IRL_PE,D,20130314,000000,2.5738,2.5738,2.5738,2.5738,0,0
IRL_PE,D,20130315,000000,2.5409,2.5738,2.5409,2.5738,0,0
IRL_PE,D,20130318,000000,2.5409,2.5409,2.5409,2.5409,0,0
IRL_PE,D,20130319,000000,2.5409,2.5409,2.5079,2.5079,0,0
IRL_PE,D,20130320,000000,2.5079,2.5409,2.4748,2.5409,0,0
IRL_PE,D,20130321,000000,2.5409,2.5409,2.5409,2.5409,0,0
IRL_PE,D,20130322,000000,2.5079,2.5409,2.5079,2.5409,0,0
IRL_PE,D,20130325,000000,2.5409,2.5738,2.5409,2.5738,0,0
IRL_PE,D,20130326,000000,2.5738,2.6069,2.5409,2.5738,0,0
