<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS_PE,D,20110216,000000,36.256,36.256,36.256,36.256,0,0
IZS_PE,D,20110217,000000,35.601,36.256,35.028,35.191,0,0
IZS_PE,D,20110218,000000,35.028,35.191,35.028,35.191,0,0
IZS_PE,D,20110221,000000,35.519,35.519,35.191,35.191,0,0
IZS_PE,D,20110222,000000,35.519,35.519,34.21,35.11,0,0
IZS_PE,D,20110223,000000,35.519,36.01,35.274,35.274,0,0
IZS_PE,D,20110224,000000,35.437,35.437,34.783,35.274,0,0
IZS_PE,D,20110225,000000,35.274,35.437,35.028,35.274,0,0
IZS_PE,D,20110228,000000,35.519,36.745,35.437,35.928,0,0
IZS_PE,D,20110301,000000,35.601,36.582,35.601,36.256,0,0
IZS_PE,D,20110302,000000,36.01,36.745,36.01,36.256,0,0
IZS_PE,D,20110303,000000,36.91,36.91,27.008,27.008,0,0
IZS_PE,D,20110304,000000,27.008,27.008,26.681,27.008,0,0
IZS_PE,D,20110307,000000,27.172,27.418,26.681,27.418,0,0
IZS_PE,D,20110308,000000,27.581,27.662,27.418,27.662,0,0
IZS_PE,D,20110309,000000,27.662,27.662,27.418,27.581,0,0
IZS_PE,D,20110310,000000,27.418,29.216,27.418,29.135,0,0
IZS_PE,D,20110311,000000,29.135,29.135,28.481,28.481,0,0
IZS_PE,D,20110314,000000,28.481,29.381,28.317,28.808,0,0
IZS_PE,D,20110315,000000,28.726,28.726,27.335,28.073,0,0
IZS_PE,D,20110316,000000,28.398,28.398,27.335,28.073,0,0
IZS_PE,D,20110317,000000,27.581,28.073,27.581,27.744,0,0
IZS_PE,D,20110318,000000,27.744,27.744,27.172,27.418,0,0
IZS_PE,D,20110321,000000,27.418,27.744,26.353,27.744,0,0
IZS_PE,D,20110322,000000,27.744,27.744,27.418,27.662,0,0
IZS_PE,D,20110323,000000,27.662,27.662,27.008,27.662,0,0
IZS_PE,D,20110324,000000,27.662,27.662,27.335,27.581,0,0
IZS_PE,D,20110325,000000,27.662,27.662,27.254,27.662,0,0
IZS_PE,D,20110328,000000,27.662,27.662,27.172,27.418,0,0
IZS_PE,D,20110329,000000,27.581,27.581,27.254,27.418,0,0
IZS_PE,D,20110330,000000,27.744,27.744,27.254,27.418,0,0
IZS_PE,D,20110331,000000,27.662,27.662,27.254,27.418,0,0
IZS_PE,D,20110401,000000,27.418,27.418,27.335,27.335,0,0
IZS_PE,D,20110404,000000,27.172,28.481,27.172,28.073,0,0
IZS_PE,D,20110405,000000,27.989,28.073,27.744,28.073,0,0
IZS_PE,D,20110406,000000,28.398,28.398,27.827,28.317,0,0
IZS_PE,D,20110407,000000,28.317,28.317,28.153,28.317,0,0
IZS_PE,D,20110408,000000,28.481,28.481,28.153,28.398,0,0
IZS_PE,D,20110411,000000,28.398,28.398,27.908,28.317,0,0
IZS_PE,D,20110412,000000,27.989,28.317,27.744,28.317,0,0
IZS_PE,D,20110413,000000,28.317,28.398,28.153,28.153,0,0
IZS_PE,D,20110414,000000,28.153,28.234,28.073,28.234,0,0
IZS_PE,D,20110415,000000,28.234,28.234,28.073,28.073,0,0
IZS_PE,D,20110418,000000,27.908,28.073,27.335,27.744,0,0
IZS_PE,D,20110419,000000,27.418,27.827,27.008,27.827,0,0
IZS_PE,D,20110420,000000,26.844,27.827,26.844,27.744,0,0
IZS_PE,D,20110421,000000,27.827,27.827,27.335,27.335,0,0
IZS_PE,D,20110426,000000,27.662,27.662,26.926,26.926,0,0
IZS_PE,D,20110427,000000,26.926,26.926,26.598,26.681,0,0
IZS_PE,D,20110428,000000,26.926,27.008,26.025,26.188,0,0
IZS_PE,D,20110429,000000,26.517,26.926,26.435,26.844,0,0
IZS_PE,D,20110502,000000,26.926,26.926,26.844,26.844,0,0
IZS_PE,D,20110504,000000,26.844,26.926,25.863,26.598,0,0
IZS_PE,D,20110505,000000,26.844,26.844,26.598,26.844,0,0
IZS_PE,D,20110506,000000,26.926,26.926,26.271,26.844,0,0
IZS_PE,D,20110509,000000,26.844,26.844,26.271,26.681,0,0
IZS_PE,D,20110510,000000,26.844,26.844,26.844,26.844,0,0
IZS_PE,D,20110511,000000,26.844,27.089,26.681,26.681,0,0
