<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWW_PE,D,20140813,000000,62,62,62,62,0,0
JWW_PE,D,20140814,000000,89.2,106.9,85.9,89.1,0,0
JWW_PE,D,20140818,000000,102.6,102.6,81.8,81.8,0,0
JWW_PE,D,20140819,000000,88.7,88.7,75.5,87.6,0,0
JWW_PE,D,20140820,000000,84.8,84.8,82,83.3,0,0
JWW_PE,D,20140821,000000,83,87.6,83,84.7,0,0
JWW_PE,D,20140822,000000,83.6,99,83.5,86.3,0,0
JWW_PE,D,20140825,000000,92,92,84.8,88.9,0,0
JWW_PE,D,20140826,000000,88.9,88.9,88.9,88.9,0,0
JWW_PE,D,20140827,000000,85.5,91.8,84.1,91.7,0,0
JWW_PE,D,20140828,000000,91.4,91.4,84.6,87.7,0,0
JWW_PE,D,20140829,000000,87.7,87.7,83.2,87.4,0,0
JWW_PE,D,20140901,000000,84.6,84.6,73.2,73.2,0,0
JWW_PE,D,20140902,000000,74.6,74.6,74.6,74.6,0,0
JWW_PE,D,20140903,000000,77.5,77.7,77.5,77.7,0,0
JWW_PE,D,20140904,000000,78.3,91.8,78.3,91.7,0,0
JWW_PE,D,20140905,000000,93.3,94.7,89,94.7,0,0
JWW_PE,D,20140908,000000,91.8,93.3,90,93.3,0,0
JWW_PE,D,20140909,000000,89,106.7,89,101.9,0,0
JWW_PE,D,20140910,000000,107.3,127.8,107.3,127.8,0,0
JWW_PE,D,20140911,000000,127.9,127.9,102.3,112,0,0
JWW_PE,D,20140912,000000,113.5,113.5,91.2,101.9,0,0
JWW_PE,D,20140915,000000,97.6,97.6,86.1,88.7,0,0
JWW_PE,D,20140916,000000,89,101.9,89,101.9,0,0
JWW_PE,D,20140917,000000,101.9,101.9,101.9,101.9,0,0
JWW_PE,D,20140918,000000,97.6,97.6,86.1,86.3,0,0
JWW_PE,D,20140919,000000,86.5,86.9,86.5,86.8,0,0
JWW_PE,D,20140922,000000,86.8,87.5,86.1,86.1,0,0
JWW_PE,D,20140923,000000,88.8,88.9,88.8,88.9,0,0
JWW_PE,D,20140924,000000,89.1,99.9,89.1,99.8,0,0
JWW_PE,D,20140925,000000,99.1,99.1,97.6,97.6,0,0
JWW_PE,D,20140926,000000,96.1,96.2,96.1,96.2,0,0
JWW_PE,D,20140929,000000,96.3,96.3,96.2,96.2,0,0
JWW_PE,D,20140930,000000,96,96,90.4,90.4,0,0
JWW_PE,D,20141001,000000,96.1,96.1,90.5,90.6,0,0
JWW_PE,D,20141002,000000,93.4,110.6,93.4,110.5,0,0
JWW_PE,D,20141003,000000,111.9,112,111.9,112,0,0
JWW_PE,D,20141006,000000,109.9,109.9,109.8,109.8,0,0
JWW_PE,D,20141007,000000,109,109,103.3,103.4,0,0
JWW_PE,D,20141008,000000,103.4,103.4,103.4,103.4,0,0
JWW_PE,D,20141009,000000,103.4,103.4,92.6,92.6,0,0
JWW_PE,D,20141013,000000,90.4,93.3,89.1,93.3,0,0
JWW_PE,D,20141014,000000,94.7,97.6,94.7,97.6,0,0
JWW_PE,D,20141015,000000,97.6,99,97.6,99,0,0
JWW_PE,D,20141017,000000,99,99,99,99,0,0
JWW_PE,D,20141020,000000,99.7,99.8,99.7,99.8,0,0
JWW_PE,D,20141021,000000,96.3,96.3,88.4,95.5,0,0
JWW_PE,D,20141023,000000,87.6,87.6,87.6,87.6,0,0
JWW_PE,D,20141024,000000,86.2,89.7,84.9,89.7,0,0
JWW_PE,D,20141027,000000,84.8,84.8,84.1,84.1,0,0
JWW_PE,D,20141030,000000,84.6,89,84.6,89,0,0
JWW_PE,D,20141031,000000,89,93.3,89,93.3,0,0
JWW_PE,D,20141103,000000,96.1,97.6,96.1,97.6,0,0
JWW_PE,D,20141105,000000,100.3,100.7,98.3,98.3,0,0
JWW_PE,D,20141106,000000,101.9,101.9,101.9,101.9,0,0
JWW_PE,D,20141107,000000,103.3,124,93.3,104.8,0,0
JWW_PE,D,20141110,000000,104.7,123.4,104.7,114.8,0,0
JWW_PE,D,20141112,000000,122,150.7,122,150.7,0,0
JWW_PE,D,20141113,000000,157.1,188.5,156.8,186.2,0,0
JWW_PE,D,20141114,000000,186.4,204.3,186.4,186.5,0,0
JWW_PE,D,20141117,000000,189.4,200.9,168.6,168.7,0,0
JWW_PE,D,20141118,000000,165,187.9,165,173.7,0,0
JWW_PE,D,20141119,000000,175,183.4,172.9,173,0,0
JWW_PE,D,20141120,000000,179.3,182.1,173.6,173.7,0,0
JWW_PE,D,20141121,000000,173.6,173.6,172.9,173,0,0
JWW_PE,D,20141124,000000,177.9,185.8,173.6,173.7,0,0
JWW_PE,D,20141125,000000,177.9,180.1,172.2,172.3,0,0
JWW_PE,D,20141126,000000,178.2,179.6,177.3,177.3,0,0
JWW_PE,D,20141127,000000,179.3,179.3,177.2,177.3,0,0
JWW_PE,D,20141128,000000,177.9,177.9,172.2,175.8,0,0
JWW_PE,D,20141201,000000,176.5,177.9,175.9,176,0,0
JWW_PE,D,20141202,000000,177.2,177.3,173.6,173.7,0,0
JWW_PE,D,20141203,000000,172.9,172.9,167.9,168,0,0
JWW_PE,D,20141204,000000,165.2,175.3,165.2,172.3,0,0
JWW_PE,D,20141205,000000,173.9,173.9,173.7,173.7,0,0
JWW_PE,D,20141208,000000,175,177.3,174.3,177.3,0,0
JWW_PE,D,20141209,000000,177.2,177.3,177.2,177.3,0,0
JWW_PE,D,20141210,000000,176.9,182.2,176.9,177.3,0,0
JWW_PE,D,20141211,000000,177.2,179.3,175,178,0,0
JWW_PE,D,20141212,000000,177.9,178,172.2,178,0,0
JWW_PE,D,20141215,000000,177.9,178,177.9,178,0,0
JWW_PE,D,20141216,000000,177.9,177.9,25.7,25.7,0,0
JWW_PE,D,20141217,000000,24.1,27.5,24.1,24.1,0,0
JWW_PE,D,20141218,000000,24.1,24.1,21.4,21.4,0,0
JWW_PE,D,20141219,000000,20.9,20.9,20,20,0,0
JWW_PE,D,20141222,000000,20,20.1,20,20.1,0,0
JWW_PE,D,20141223,000000,20.1,23,19.9,19.9,0,0
JWW_PE,D,20141229,000000,19.2,20.8,19,19.5,0,0
JWW_PE,D,20141230,000000,18.7,22.4,18.7,19.6,0,0
JWW_PE,D,20150102,000000,19.7,19.7,19.5,19.5,0,0
JWW_PE,D,20150107,000000,20.6,20.7,19,19,0,0
JWW_PE,D,20150108,000000,20.1,20.1,20,20,0,0
JWW_PE,D,20150109,000000,20.1,20.2,20.1,20.2,0,0
JWW_PE,D,20150112,000000,20.3,20.3,20.3,20.3,0,0
JWW_PE,D,20150115,000000,19.3,19.8,19.3,19.8,0,0
JWW_PE,D,20150119,000000,19.3,19.8,19.3,19.7,0,0
JWW_PE,D,20150120,000000,20,20.5,18.9,19,0,0
JWW_PE,D,20150121,000000,18.7,18.7,18.7,18.7,0,0
JWW_PE,D,20150122,000000,18.7,21.4,18.7,21.4,0,0
JWW_PE,D,20150123,000000,23.5,28.1,23.5,28.1,0,0
JWW_PE,D,20150126,000000,26.8,26.8,26.7,26.7,0,0
JWW_PE,D,20150128,000000,28.4,28.4,25.6,25.7,0,0
JWW_PE,D,20150129,000000,26.8,26.8,26.7,26.7,0,0
JWW_PE,D,20150130,000000,28,28.1,28,28.1,0,0
JWW_PE,D,20150204,000000,26.8,28.9,26.8,28.7,0,0
JWW_PE,D,20150205,000000,28.7,28.7,28.7,28.7,0,0
JWW_PE,D,20150206,000000,28.7,28.7,28.7,28.7,0,0
JWW_PE,D,20150209,000000,28.7,28.7,28.7,28.7,0,0
JWW_PE,D,20150210,000000,28,28,26.1,27,0,0
JWW_PE,D,20150211,000000,25.7,25.8,23.9,25.7,0,0
JWW_PE,D,20150212,000000,24.1,25.2,23.1,23.1,0,0
JWW_PE,D,20150213,000000,24,24.3,19.5,23.1,0,0
JWW_PE,D,20150216,000000,22.1,22.1,18.1,18.2,0,0
JWW_PE,D,20150217,000000,19.8,23.7,18.2,18.4,0,0
JWW_PE,D,20150218,000000,18.4,19.8,18.4,19.8,0,0
JWW_PE,D,20150219,000000,18.6,20.6,18.6,20.6,0,0
JWW_PE,D,20150220,000000,20.9,25.7,20.9,25.7,0,0
JWW_PE,D,20150223,000000,26.8,29.5,17.2,17.2,0,0
JWW_PE,D,20150224,000000,19.4,19.4,16.9,18.2,0,0
JWW_PE,D,20150225,000000,18.5,18.5,17,18,0,0
JWW_PE,D,20150226,000000,18.4,18.4,17.8,18,0,0
JWW_PE,D,20150227,000000,17.7,17.7,17,17.7,0,0
JWW_PE,D,20150302,000000,17,18,17,18,0,0
