<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
K2I_PE,D,20080606,000000,26.528,26.528,26.528,26.528,0,0
K2I_PE,D,20080609,000000,26.658,27.567,26.528,27.567,0,0
K2I_PE,D,20080610,000000,27.567,27.567,26.592,27.112,0,0
K2I_PE,D,20080611,000000,25.943,26.397,25.943,25.943,0,0
K2I_PE,D,20080612,000000,26.528,28.088,26.528,26.658,0,0
K2I_PE,D,20080613,000000,27.112,27.112,27.112,27.112,0,0
K2I_PE,D,20080616,000000,27.112,27.112,27.112,27.112,0,0
K2I_PE,D,20080617,000000,27.112,27.112,27.112,27.112,0,0
K2I_PE,D,20080618,000000,27.112,27.112,17.556,17.556,0,0
K2I_PE,D,20080619,000000,16.059,17.556,16.059,17.556,0,0
K2I_PE,D,20080620,000000,17.556,17.556,17.556,17.556,0,0
K2I_PE,D,20080623,000000,17.556,17.556,17.556,17.556,0,0
K2I_PE,D,20080624,000000,17.556,17.556,16.191,16.839,0,0
K2I_PE,D,20080625,000000,17.229,17.229,17.229,17.229,0,0
K2I_PE,D,20080626,000000,17.229,17.229,17.229,17.229,0,0
K2I_PE,D,20080627,000000,16.839,17.229,16.059,17.229,0,0
K2I_PE,D,20080630,000000,17.229,17.229,15.865,15.865,0,0
K2I_PE,D,20080701,000000,16.385,16.385,16.123,16.32,0,0
K2I_PE,D,20080704,000000,15.539,15.865,15.539,15.865,0,0
K2I_PE,D,20080708,000000,15.345,15.345,14.433,15.278,0,0
K2I_PE,D,20080709,000000,15.214,15.214,14.564,15.214,0,0
K2I_PE,D,20080710,000000,15.278,15.278,15.214,15.214,0,0
K2I_PE,D,20080711,000000,15.605,15.669,15.605,15.669,0,0
K2I_PE,D,20080714,000000,15.669,15.669,15.669,15.669,0,0
K2I_PE,D,20080715,000000,14.433,16.059,14.433,16.059,0,0
K2I_PE,D,20080716,000000,16.059,16.059,14.433,15.214,0,0
K2I_PE,D,20080717,000000,15.214,15.214,13.653,15.019,0,0
K2I_PE,D,20080721,000000,14.759,14.759,14.759,14.759,0,0
K2I_PE,D,20080722,000000,14.89,14.89,14.89,14.89,0,0
K2I_PE,D,20080723,000000,14.89,14.89,14.89,14.89,0,0
K2I_PE,D,20080724,000000,14.89,14.89,14.89,14.89,0,0
K2I_PE,D,20080725,000000,14.89,14.89,14.89,14.89,0,0
K2I_PE,D,20080728,000000,14.89,14.89,13.653,14.499,0,0
K2I_PE,D,20080730,000000,14.433,14.759,13.133,14.759,0,0
K2I_PE,D,20080731,000000,14.823,14.823,14.823,14.823,0,0
K2I_PE,D,20080801,000000,14.823,14.823,14.823,14.823,0,0
K2I_PE,D,20080804,000000,14.823,14.823,14.759,14.823,0,0
K2I_PE,D,20080805,000000,14.694,14.694,13.394,14.499,0,0
K2I_PE,D,20080806,000000,14.499,14.499,13.719,14.499,0,0
K2I_PE,D,20080807,000000,14.629,14.629,14.564,14.629,0,0
