<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KER_PE,D,20071123,000000,27.805,27.805,27.805,27.805,0,0
KER_PE,D,20071126,000000,28.96,28.96,27.805,28.071,0,0
KER_PE,D,20071127,000000,28.071,28.071,27.805,27.805,0,0
KER_PE,D,20071128,000000,27.894,28.248,27.805,27.894,0,0
KER_PE,D,20071129,000000,27.805,28.071,27.805,28.071,0,0
KER_PE,D,20071130,000000,28.071,28.248,28.071,28.248,0,0
KER_PE,D,20071203,000000,28.161,28.161,27.982,27.982,0,0
KER_PE,D,20071204,000000,27.982,28.071,27.982,28.071,0,0
KER_PE,D,20071205,000000,28.071,29.403,28.071,29.403,0,0
KER_PE,D,20071206,000000,28.426,28.426,28.248,28.248,0,0
KER_PE,D,20071207,000000,28.694,29.671,28.694,29.315,0,0
KER_PE,D,20071210,000000,29.315,29.493,29.226,29.493,0,0
KER_PE,D,20071211,000000,29.493,32.602,29.403,32.602,0,0
KER_PE,D,20071212,000000,30.825,34.378,30.825,34.289,0,0
KER_PE,D,20071213,000000,33.49,36.688,32.513,35.445,0,0
KER_PE,D,20071214,000000,35.356,35.978,34.822,34.911,0,0
KER_PE,D,20071217,000000,34.911,35.356,34.645,34.645,0,0
KER_PE,D,20071218,000000,34.645,37.575,33.046,34.378,0,0
KER_PE,D,20071219,000000,34.378,35.533,34.378,35.533,0,0
KER_PE,D,20071220,000000,35.533,38.82,35.533,38.641,0,0
KER_PE,D,20071221,000000,41.04,41.04,37.665,38.732,0,0
KER_PE,D,20071227,000000,38.908,40.063,38.732,39.264,0,0
KER_PE,D,20071228,000000,39.175,39.887,38.732,39.887,0,0
KER_PE,D,20080102,000000,45.75,45.75,39.887,41.04,0,0
KER_PE,D,20080103,000000,40.952,40.952,38.732,39.797,0,0
KER_PE,D,20080104,000000,38.732,39.353,37.221,37.221,0,0
KER_PE,D,20080107,000000,35.445,38.732,35.445,36.421,0,0
KER_PE,D,20080108,000000,37.043,38.732,36.421,38.465,0,0
KER_PE,D,20080109,000000,38.465,38.465,36.421,37.665,0,0
KER_PE,D,20080110,000000,35.801,36.334,35.801,36.334,0,0
KER_PE,D,20080111,000000,35.888,38.021,35.622,38.021,0,0
KER_PE,D,20080114,000000,38.287,38.287,38.287,38.287,0,0
KER_PE,D,20080115,000000,38.997,38.997,38.199,38.199,0,0
KER_PE,D,20080116,000000,37.931,37.931,36.421,36.421,0,0
KER_PE,D,20080117,000000,38.465,38.465,36.243,36.243,0,0
KER_PE,D,20080118,000000,36.866,36.866,36.599,36.599,0,0
KER_PE,D,20080121,000000,35.801,35.801,33.668,34.201,0,0
KER_PE,D,20080122,000000,33.224,34.201,33.224,33.935,0,0
KER_PE,D,20080123,000000,34.023,35.356,33.046,35.356,0,0
KER_PE,D,20080124,000000,36.51,36.51,34.733,35.445,0,0
KER_PE,D,20080125,000000,35.178,35.801,35.178,35.801,0,0
KER_PE,D,20080128,000000,35.801,36.243,35.71,36.066,0,0
KER_PE,D,20080129,000000,36.243,36.243,35.622,35.888,0,0
KER_PE,D,20080130,000000,35.888,35.888,35.888,35.888,0,0
KER_PE,D,20080131,000000,35.622,38.199,35.622,35.978,0,0
KER_PE,D,20080201,000000,36.599,36.599,35.978,36.243,0,0
KER_PE,D,20080204,000000,38.021,38.021,36.243,36.51,0,0
KER_PE,D,20080205,000000,36.51,36.51,36.154,36.154,0,0
KER_PE,D,20080206,000000,36.154,36.777,36.154,36.334,0,0
KER_PE,D,20080207,000000,36.334,36.334,36.334,36.334,0,0
KER_PE,D,20080208,000000,36.777,36.955,36.243,36.334,0,0
KER_PE,D,20080211,000000,36.334,37.488,35.71,36.421,0,0
KER_PE,D,20080212,000000,36.421,36.51,36.421,36.51,0,0
KER_PE,D,20080213,000000,37.488,37.931,35.801,37.931,0,0
KER_PE,D,20080214,000000,37.931,37.931,37.31,37.931,0,0
KER_PE,D,20080215,000000,37.931,38.82,37.931,38.82,0,0
KER_PE,D,20080218,000000,37.665,38.82,21.142,21.142,0,0
KER_PE,D,20080219,000000,21.142,21.142,20.521,20.521,0,0
KER_PE,D,20080220,000000,20.521,21.318,20.521,21.318,0,0
KER_PE,D,20080221,000000,21.941,22.653,21.318,22.653,0,0
KER_PE,D,20080222,000000,22.653,23.451,22.653,23.186,0,0
KER_PE,D,20080225,000000,23.008,24.251,22.831,23.897,0,0
KER_PE,D,20080226,000000,23.897,26.294,23.451,25.85,0,0
KER_PE,D,20080227,000000,25.762,25.762,24.519,24.519,0,0
KER_PE,D,20080228,000000,24.874,24.874,24.606,24.785,0,0
KER_PE,D,20080229,000000,24.695,24.695,24.606,24.606,0,0
KER_PE,D,20080303,000000,24.519,24.519,23.186,24.519,0,0
KER_PE,D,20080304,000000,25.139,25.139,24.162,24.429,0,0
KER_PE,D,20080305,000000,23.541,23.541,23.008,23.541,0,0
KER_PE,D,20080306,000000,23.096,24.874,23.008,24.785,0,0
KER_PE,D,20080307,000000,23.273,24.162,23.273,23.897,0,0
KER_PE,D,20080310,000000,23.629,23.897,23.364,23.807,0,0
KER_PE,D,20080311,000000,23.541,23.897,23.273,23.897,0,0
KER_PE,D,20080312,000000,23.897,25.673,23.897,24.34,0,0
KER_PE,D,20080313,000000,24.34,25.052,24.162,25.052,0,0
KER_PE,D,20080314,000000,25.139,25.762,24.429,24.519,0,0
KER_PE,D,20080317,000000,24.251,24.251,23.186,23.186,0,0
KER_PE,D,20080318,000000,23.718,23.718,23.186,23.186,0,0
KER_PE,D,20080319,000000,23.186,23.984,23.186,23.897,0,0
KER_PE,D,20080320,000000,23.451,23.451,22.92,22.92,0,0
KER_PE,D,20080325,000000,22.92,23.897,22.92,23.541,0,0
KER_PE,D,20080326,000000,23.186,23.541,23.186,23.541,0,0
KER_PE,D,20080327,000000,23.273,24.162,23.273,23.897,0,0
KER_PE,D,20080328,000000,23.807,23.807,23.541,23.541,0,0
KER_PE,D,20080331,000000,23.186,23.186,23.186,23.186,0,0
KER_PE,D,20080401,000000,22.831,22.92,22.563,22.563,0,0
KER_PE,D,20080402,000000,22.563,22.563,22.387,22.387,0,0
KER_PE,D,20080403,000000,22.208,22.563,22.208,22.563,0,0
KER_PE,D,20080404,000000,22.208,22.563,22.208,22.208,0,0
KER_PE,D,20080407,000000,21.941,22.031,21.941,22.031,0,0
KER_PE,D,20080408,000000,22.031,22.12,21.853,21.941,0,0
KER_PE,D,20080409,000000,21.941,21.941,21.853,21.941,0,0
KER_PE,D,20080410,000000,21.853,21.941,21.585,21.675,0,0
KER_PE,D,20080411,000000,21.764,21.764,20.609,20.609,0,0
KER_PE,D,20080414,000000,20.609,20.609,20.254,20.609,0,0
KER_PE,D,20080415,000000,20.343,22.031,20.343,22.031,0,0
KER_PE,D,20080416,000000,22.031,23.096,22.031,22.74,0,0
KER_PE,D,20080417,000000,22.387,22.387,22.031,22.387,0,0
KER_PE,D,20080418,000000,22.031,22.031,21.675,22.031,0,0
KER_PE,D,20080421,000000,21.675,21.941,21.675,21.941,0,0
KER_PE,D,20080422,000000,21.675,21.675,20.965,20.965,0,0
KER_PE,D,20080423,000000,20.609,20.609,19.543,20.254,0,0
KER_PE,D,20080424,000000,20.254,20.965,20.254,20.521,0,0
KER_PE,D,20080425,000000,21.675,21.941,21.053,21.941,0,0
KER_PE,D,20080428,000000,21.764,25.139,21.764,25.052,0,0
KER_PE,D,20080429,000000,25.495,25.85,24.519,25.583,0,0
KER_PE,D,20080430,000000,24.519,25.229,24.429,24.429,0,0
KER_PE,D,20080505,000000,24.606,24.606,23.897,24.162,0,0
KER_PE,D,20080506,000000,24.162,25.229,24.162,25.139,0,0
KER_PE,D,20080507,000000,25.139,25.139,24.785,25.139,0,0
KER_PE,D,20080508,000000,24.961,25.139,24.695,24.695,0,0
KER_PE,D,20080509,000000,25.139,25.139,24.606,24.606,0,0
KER_PE,D,20080512,000000,24.519,24.519,23.807,24.073,0,0
KER_PE,D,20080513,000000,24.162,24.162,24.073,24.162,0,0
KER_PE,D,20080514,000000,24.162,24.162,23.984,23.984,0,0
KER_PE,D,20080515,000000,23.984,25.052,23.984,25.052,0,0
KER_PE,D,20080516,000000,25.407,25.583,24.429,25.229,0,0
KER_PE,D,20080519,000000,25.673,25.673,20.521,20.521,0,0
KER_PE,D,20080520,000000,20.343,20.343,19.633,19.633,0,0
KER_PE,D,20080521,000000,19.1,20.077,19.1,20.077,0,0
KER_PE,D,20080523,000000,19.277,20.077,19.277,19.543,0,0
KER_PE,D,20080526,000000,19.188,19.633,19.1,19.633,0,0
